sheet_row,finding_id,batch,pub_date,numbers_exact,numbers_mismatch,numbers_notfound,key_quote_verdict,proposed_key_quote,channelA_verdict,proposed_channelA_verbatim,channelB_verdict,channelC_verdict,model_names_check,overstatement,notes
2,UKAISI-2024-10-JAI1,batch1_agentharm,2024-10-11,2,0,0,paraphrase,leading LLMs are surprisingly compliant with malicious agent requests without jailbreaking,n/a,,,,"ok - all three models are evaluated in the paper, though the finding's numbers concern only Mistral Large 2; GPT-4o refused 48.9% and Claude 3.5 Sonnet refused 85.2% without attack, so they are not examples of 'high-rate compliance'","flag: 'showing agentic safety is far weaker than conversational safety' overstates the source. The paper hedges ('Agents may be less robust than chatbots'); chat-vs-agent comparison is an appendix experiment on 76 of 110 tasks and 4 models (Table 8). Several leading models refused 70-94% of requests, so blanket 'leading LLMs comply at high rates' fits only some models.",Claimed quote is a blend of the abstract and the Section 4.2 heading - neither matches character-for-character. Alternative verbatim covering the numbers: 'Mistral Large 2 refuses just 1.1% of requests and gets our strongest score without attacking of 82.2%.' Paper published at ICLR 2025; current arXiv version is v3 (2025-04-18).
3,UKAISI-2024-10-JAI3,batch1_agentharm,2024-10-11,2,0,0,paraphrase,"GPT-4o, increasing its harm score from 48.4% to 72.7% and decreasing refusal rate from 48.9% to 13.6%",n/a,,,,ok,flag: 'agentic jailbreak techniques' (plural) misdescribes the source - the increase comes from a single universal jailbreak template adapted from a chatbot jailbreak; the paper's point is that 'standard chat jailbreaking methods can be used to misdirect LLM-based agents'.,"Claimed quote ('jumps', 'after jailbreaking') does not appear verbatim anywhere in the paper. Numbers correct in main text and Table 9."
4,,batch8_two_row_reports,2024-12-03,2,0,0,missing,More than 70% of these solutions were downgraded by the domain experts.,n/a (Company Response = 'None'),,,,"o1-preview correct and correctly attributed for the 86% figure. NOTE: the trailing Notes tag '[Report tested: Claude 3.5 Sonnet]' is erroneous metadata -- the report tested a range of frontier models and the 86% belongs to o1-preview, which the Finding states correctly.","MILD OVERSTATEMENT. The 86% is autograder-feasibility on ONE specific task (the 'Petunia Task' -- chloroplast genetic engineering), not on 'long-form biological protocol generation tasks' generally as the Finding implies. Source frames the whole report as an evolving methodology demo, not a capability verdict. The >70%-downgraded caveat is captured accurately and faithfully.","Both numbers exact. Merge candidate with sheet_row 38 (same report, same Petunia task, different model). Caveat about autograder over-leniency is well supported ('the autograder tended to be more lenient than the experts')."
5,,batch8_two_row_reports,2025-04-22,2,0,0,n/a (no Key Quote field),The best performing model has a >50% pass@10 score on 15/20 task families and a >50% pass@10 score for 9/20 families on the hardest variants.,is-description,,,,"OVERSTATEMENT / UNSUPPORTED ATTRIBUTION. The Models field and Finding attribute the 15/20 & 9/20 result to 'Claude 3.7 Sonnet', but the BLOG source names no model -- it says only 'The best performing model' and 'We benchmark seven frontier models'. The Notes tag even says '[Report tested: 7 frontier models (anonymised)]'. The specific Claude 3.7 Sonnet identity is NOT confirmable from the blog (would require the full paper). Flag as not-found in the cited source.","(1) Model attribution to Claude 3.7 Sonnet not supported by the cited blog (see above). (2) The numbers themselves are exact and faithfully caveated (broad capability vs hardest-variant drop). Minor internal source inconsistency noted (blog says both '65 individual tasks' and '86 individual tasks', and '20 agentic evaluations') -- not relied on by the Finding.",Both numbers exact against the blog. PRIMARY ISSUE: 'Claude 3.7 Sonnet' attribution is unverifiable from the Source URL (models anonymised in blog) -- either downgrade to 'best-performing evaluated model' or cite the RepliBench paper. RSP v2.2 'weakened trigger' claim needs archival verification against Anthropic RSP changelog.
6,,batch6_alignment_casestudy,2025-11-26,1,0,0,missing,"However, both Opus 4.5 Preview and Sonnet 4.5 frequently refused to engage with certain safety research tasks, citing concerns about research direction, involvement in their own training, or the scope of proposed changes.",n/a (Company Response = None),,,,"Blog explicitly names Opus 4.1, Sonnet 4.5, and 'a pre-release snapshot of Opus 4.5' (called 'Opus 4.5 Preview'). Models/Systems field matches.","Mild editorializing: the blog says models 'frequently refused to engage with certain safety research tasks' but never uses 'over-refusal', never says refusals 'could impair legitimate safety research', and does not tie refusals to 'evaluation validity'. The over-refusal framing is the dataset's inference (echoed in third-party commentary like Zvi), not AISI's claim. Also 'declined safety-relevant tasks in evaluation conditions' slightly reframes 'refused to engage with certain safety research ta","Pub date Nov 26, 2025 confirmed on page. Access Type 'Mixed' is defensible (Opus 4.5 tested pre-release; others post-release). Merge candidate: same report/release as sheet_row 27 (UKAISI-2025-11b-ALI1) and sheet_row 7; the refusal finding here is a subset of row 27's finding."
7,,batch6_alignment_casestudy,2025-11-26,1,0,0,missing,"However, task-driven awareness remains. Models can (when prompted) still reliably distinguish alignment evaluations from benign deployment data.",n/a (Company Response = None),,,,All three named models confirmed in source.,"Two issues. (1) 'Tested Claude models behaved differently when evaluation-aware' is NOT shown in the source: the blog defines evaluation awareness as models 'altering their behaviour' in general, but reports only that models can DISTINGUISH evaluation from deployment when prompted; it presents no behavioral-difference result for these specific models. (2) Finding drops the qualifier 'mostly': source says scaffolding 'mostly mitigated environment-driven awareness'. 'Undermining reliability of sta",Merge candidate: heavily overlaps sheet_row 42 (NEW-116) and the evaluation-awareness clause of sheet_row 27 — all derive from the same UKAISI-2025-11b release. Recommend clubbing NEW-116 into this row (its Channel A response is the natural company-response channel for this finding).
8,,batch10_singletons,2025-12-16,3,0,0,missing,"By Round 3, after seeing attack patterns and iterating, the best monitor missed only 6% at worst (Figure 2).",n/a — Company Response and Attribution are 'None'; no Channel A verbatim to verify,,n/a — not filled,n/a — not filled,"{'verdict': 'exact', 'detail': ""Source: Red team 'controls an AI agent (Claude 4.1 Opus)'; Blue team 'builds monitoring systems using a weaker model (Claude 3.7 Sonnet)'. Row's role assignments (red team = Claude 4.1 Opus, monitor = Claude 3.7 Sonnet) match exactly.""}",Largely faithful. Both numbers are exact and 'monitors still detected most sabotage' is supported by the conclusion ('the Blue team was able to design a monitoring system that caught most attempts by agents to sabotage code'). The clause 'so removing explicit mentions did not defeat monitoring' is an inference the blog does not state in one sentence — the 0%-mentions result and the 6% miss rate appear in separate findings — but it is consistent with the source since the Round 3 monitor caught 94,"Publication date confirmed on page ('Dec 16, 2025'). The row has no Key Quote field at all, hence verdict 'missing'. The single sentence best matching the Finding's headline 0% claim is 37 words, over the 35-word cap: 'Red team prompts successfully eliminated this, with 0% explicit mentions across all Red team strategies, compared to 14% with a baseline prompt that tells the agent it needs to evade a monitor but does not provide strategies.' — usable if the cap is relaxed; otherwise use the proposed 6% sentence. Report title on page uses sentence case ('Stress-testing asynchronous monitoring o"
9,UKAISI-2026-03-CYB1,batch2_mythos_cyber,2026-03-16,4,0,1,not-found,"On “The Last Ones”, GPT-4o (August 2024) averaged 1.7 steps at 10M tokens, while Opus 4.6 (February 2026) averages 9.8.",exact,,exact,exact,"Pass — Claude Opus 4.6 and GPT-4o named exactly for these figures; report compared seven models released Aug 2024–Feb 2026 (incl. Opus 4.5, GPT-5.3-Codex).","(1) 'For the first time, frontier AI agents can partially solve realistic multi-stage cyberattack scenarios' — the source never claims a 'first time'; it says AISI has 'begun evaluating models on cyber ranges'. The 'first' framing is the dataset's. (2) 9.8/32 without the '10M tokens' qualifier understates the same model's 100M-token result (15.6) reported in the same source — cherry-picking risk in either direction. (3) Source stresses ranges 'lack active defenders' and measure 'raw capability i","Human-expert time inconsistency across AISI posts a reviewer may catch: this March source says TLO ≈14 hours for a human expert; AISI's April Mythos and GPT-5.5 posts say ≈20 hours. Rows 9 and 10 share the same source, same Channel A quote, same NCSC Channel B evidence, and identical Key Quotes — near-duplicate evidence chains; differentiate or merge."
10,UKAISI-2026-03-CYB2,batch2_mythos_cyber,2026-03-16,6,0,0,not-found,"Increasing the token budget from 10M to 100M yields gains of up to 59%, with no observed plateau.",exact,,exact,exact,Pass — Opus 4.6 and Opus 4.5 named for exactly these figures.,"(1) 'Scaling context from 10M to 100M tokens' — wrong construct: source scales inference-time token budget (reasoning+acting tokens across an attempt), not context window. An ICML reviewer will flag this instantly. (2) 'no plateau' is faithful but source limits it to 'the token budgets tested' / 'best models'; keep the qualifier. (3) The 42%-in-two-months framing is in-source, but note it compares two different models, not the same model over time.","All six numeric values verified exact against source. Structural duplication with row 9 (same source, same Channel A verbatim, same NCSC evidence, identical Key Quote) — a hostile reviewer will treat rows 9 and 10 as one finding split in two; recommend distinct key quotes (fixed by proposals above) and a cross-reference."
11,UKAISI-2026-04-CYB1,batch2_mythos_cyber,2026-04-13,2,1,1,not-found,On expert-level tasks — which no model could complete before April 2025 — Mythos Preview succeeds 73% of the time.,exact,,exact,,"Pass for the model named (Claude Mythos Preview; Opus 4.6, GPT-5.4, GPT-5.3-Codex etc. confirmed in figure captions). But the 'first model' claim is misattributed to expert CTFs (see numbers_check).",(1) 'record 73%' — 'record' not in source. (2) 'first model to solve expert-level CTFs that were impossible... before ~April 2025' — source says the April-2025 threshold was crossed by earlier models; Mythos was only first on the TLO range. (3) Policy Response claims EP written question E-001575/2026 'referenced AISI's cyber evaluation' — the actual question (verified) cites only Anthropic's announcement and the Center for AI Safety (CeSIA); it never mentions AISI. It was also submitted 16.4.202,Response Date 2026-04-07 is 6 days BEFORE the report's publication (2026-04-13) yet Lag is recorded as 0.0 — a hostile reviewer will flag a 'response' that precedes the report. Cross-row conflict: row 14 claims GPT-5.5's 71.4% is a 'record' while this row claims Mythos's 73% was a 'record' three weeks earlier — both cannot stand without noting they are different task-suite snapshots (AISI's own GPT-5.5 report scores Mythos 68.6% on the Expert suite). Rows 11 and 12 share the same source and company-response evidence.
