"Canadian AI Safety Institute (CAISI Canada)","International AI Safety Report 2026 (CAISI contribution)","https://aisafety.ca/international-ai-safety-report/","2026-02-03","EXCLUDED - no findings","Announcement/landing page promoting the Bengio-led International AI Safety Report 2026; no evidence-backed finding asserted by CAISI itself on the page","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","CIFAR commits $1M to global AI safety initiative","https://cifar.ca/cifarnews/2026/02/19/cifar-commits-1m-to-global-ai-safety-initiative/","2026-02-19","EXCLUDED - no findings","Funding announcement ($1M to UK-led AI Alignment Project, four funded Canadian projects); no measured results or observed behaviors","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","CIFAR awards over $1M to support sociotechnical challenges in AI safety (second Catalyst cohort)","https://cifar.ca/cifarnews/2026/03/28/cifar-awards-over-1m-to-support-sociotechnical-challenges-in-ai-safety/","2026-03-28","EXCLUDED - no findings","Funding announcement for eight Catalyst projects; describes planned research objectives only, no empirical findings","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Canadian Public Policy, April 2026 (special issue on AI safety)","https://aisafety.ca/canadian-publicy-policy-april-2026/","2026-06-02","EXCLUDED - no findings","Promotional announcement of a journal special issue; page lists no authors, results, or findings, only a link to UTP Publishing","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: A unified statistical framework for quantifying rare event risks for language models (AI Alignment)","https://aisafety.ca/research_project/unified-statistical-framework-for-quantifying-rare-event-risks-for-language-models/","2026-04-11","EXCLUDED - no findings","Funded project description (Bei Jiang, U Alberta/Amii); prospective statistical methods for long-tail LLM failures, no results yet","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Addressing AI-Safety through Indigenous Community-based Governance (Catalyst)","https://aisafety.ca/research_project/ai-safety-through-indigenous-community-based-governance/","2026-04-11","EXCLUDED - no findings","Catalyst project description; planned co-creation of a governance model, no empirical findings","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Advancing AI alignment through debate and shared normative reasoning (Catalyst)","https://aisafety.ca/research_project/advancing-ai-alignment-through-debate-and-shared-normative-reasoning/","","EXCLUDED - no findings","Catalyst project description (Gillian Hadfield); future-tense plan to assess normative reasoning in multi-agent RL, no results","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Adversarial robustness in knowledge graphs (Catalyst)","https://aisafety.ca/research_project/adversarial-robustness-in-knowledge-graphs/","","EXCLUDED - no findings","Catalyst project description; planned ML defenses and robustness evaluation methodologies for knowledge graphs, no findings","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Adversarial robustness of large language model (LLM) safety (Catalyst)","https://aisafety.ca/research_project/adversarial-robustness-of-llm-safety/","2026-04-11","EXCLUDED - no findings","Catalyst project description (Gauthier Gidel); proposed automated attack model for LLM vulnerabilities, no measured results","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: CIPHER — Countering influence through pattern highlighting and evolving responses (Catalyst)","https://aisafety.ca/research_project/cipher/","2026-04-11","EXCLUDED - no findings","Catalyst project description; tool for detecting foreign interference still in development, no evaluation findings","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Democratic Alignment of LLMs Through Economic Theory (Catalyst)","https://aisafety.ca/research_project/democratic-alignment-of-llms-through-economic-theory/","2026-04-11","EXCLUDED - no findings","Catalyst project description; forward-looking framework (mechanism design, quadratic voting), no empirical results","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Economic Foundations of AI Certification (Catalyst)","https://aisafety.ca/research_project/economic-foundations-of-ai-certification/","","EXCLUDED - no findings","Catalyst project description; planned safety-through-certification framework, no findings","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Formalizing constraints for assessing and mitigating agentic risk (Catalyst)","https://aisafety.ca/research_project/formalizing-constraints-for-assessing-and-mitigating-agentic-risk/","","EXCLUDED - no findings","Catalyst project description (Sheila McIlraith); planned tools and governance model for agentic AI risk, no results","","2026-08-01","agent"
