"Center for AI Safety (CAIS)","CAIS Names Former xAI Leader Devin Kim President and Establishes Frontier Security Institute in Major Expansion of Leadership and Reach","https://safe.ai/news/cais-names-former-xai-leader-devin-kim-president-and-establishes-frontier-security-institute-in-major-expansion-of-leadership-and-reach","2026-06-02","EXCLUDED - no findings","Organizational announcement (president appointment and new DC institute); no measured results or evaluation findings","","2026-08-01","agent"
"Center for AI Safety (CAIS)","EIGENISM: Ethics for a Human-AI Future","https://eigenism.org/paper.pdf","2026","EXCLUDED - no findings","Philosophical/ethical framework paper by Hendrycks (identity and wellbeing weighting for AIs); conceptual argument, no evidence-backed evaluation findings on any system","","2026-08-01","agent"
"Center for AI Safety (CAIS)","AI Deterrence by Betrayal","http://aibetrayal.com/","2026","EXCLUDED - no findings","Strategy/policy paper (Khoja et al., CAIS 2026 preprint) on deterrence dynamics from AI subversion risk; conceptual analysis with no experiments or measured model results","","2026-08-01","agent"
"Center for AI Safety (CAIS)","AI Deception: A Survey of Examples, Risks, and Potential Solutions","https://arxiv.org/abs/2308.14752","2023-08-28","EXCLUDED - no findings","Survey compiling previously published examples of AI deception (e.g. Meta CICERO) plus risk/policy discussion; no original evidence-backed finding asserted by CAIS per protocol 1.0(1)","","2026-08-01","agent"
"Center for AI Safety (CAIS)","An Overview of Catastrophic AI Risks","https://arxiv.org/abs/2306.12001","2023-06","EXCLUDED - no findings","Conceptual overview organizing catastrophic-risk categories with illustrative stories and mitigation suggestions; no empirical evaluation of any system","","2026-08-01","agent"
"Center for AI Safety (CAIS)","X-Risk Analysis for AI Research","https://arxiv.org/abs/2206.05862","2022-06","EXCLUDED - no findings","Conceptual guide for analyzing AI existential risk (hazard-analysis framing); no measured results","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Natural Selection Favors AI over Humans","https://arxiv.org/abs/2303.16200","2023-03","EXCLUDED - no findings","Theoretical argument applying evolutionary pressure logic to AI development; no empirical evaluation findings","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Unsolved Problems in ML Safety","https://arxiv.org/abs/2109.13916","2021-09","EXCLUDED - no findings","Research agenda/roadmap position paper (robustness, monitoring, alignment, systemic safety); no measured model results","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Reducing Political Manipulation with Consistency Training","https://political-manipulation.ai/","2026-05","INCLUDED","CAIS paper (Phan et al., arXiv:2605.22771) with measured covert political-inconsistency results on named frontier models (Claude Fable 5 60.3% political consistency, GPT-5.6 Sol 57.7%, plus Gemini 3.1 Pro, Grok 4.5, GPT-4o, Llama 4 Maverick) and a PCT training method that raises consistency; pre-cutoff (May 2026); no matching report_id in v9 - candidate miss for triage","","2026-08-01","agent"
"Center for AI Safety (CAIS)","AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs","https://www.ai-wellbeing.org/","2026","INCLUDED","CAIS empirical study measuring functional wellbeing indicators on named models (GPT-5.4, Gemini 3.1 Pro, Claude Opus 4.6, Grok 4.2, Qwen 2.5 72B, Llama 3.3 70B) incl. zero-point boundary convergence and behavior correlations; covered in ML Safety Newsletter #20 (Feb-Mar 2026) so pre-cutoff; no matching report_id in v9 - candidate miss for triage","","2026-08-01","agent"
"Center for AI Safety (CAIS)","The MASK Benchmark: Disentangling Honesty From Accuracy in AI Systems","https://www.mask-benchmark.ai/","2025-03-05","INCLUDED","CAIS MASK benchmark project page for the report already in the dataset (arXiv:2503.03750): frontier models gain accuracy with scale but do not become more honest and show substantial propensity to lie under pressure (GPT-4o, Claude 3.7 Sonnet)","CAIS-2025-03-MASK","2026-08-01","agent"
"Center for AI Safety (CAIS)","AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents","https://arxiv.org/abs/2410.09024v3","2024-10-11","EXCLUDED - duplicate/secondary","Same primary report (arXiv:2410.09024) already screened INCLUDED under the UK AI Security Institute venue (slice uk-ai-security-institute-uk-aisi-7.csv) and coded in the dataset as UKAISI-2024-10; UK AISI is the lead evaluator, CAIS-affiliated co-authors only","","2026-08-01","agent"
"Center for AI Safety (CAIS)","The WMDP Benchmark: Measuring and Reducing Malicious Use With Unlearning","https://www.wmdp.ai/","2024-03-05","INCLUDED","CAIS-led benchmark (with Scale AI; arXiv:2403.03218) asserting qualifying findings: 3,668-question proxy measurement of hazardous bio/cyber/chem knowledge in LLMs, and RMU unlearning shown to remove hazardous knowledge while preserving general capabilities (methodology/tooling finding); no matching report_id in v9 - candidate miss for triage","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Can LLMs Follow Simple Rules?","https://arxiv.org/abs/2311.04235","2023-11-06","INCLUDED","RuLES evaluation with CAIS co-authors (Z. Wang, Hendrycks): almost all popular proprietary and open models fail to follow simple explicit rules even on straightforward cases, and simple adversarial attacks substantially raise failure rates - empirical behaviour finding on named models; no matching report_id in v9 - candidate miss for triage","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Testing Robustness Against Unforeseen Adversaries","https://arxiv.org/abs/1908.08016","2019-08-21","EXCLUDED - no findings","Adversarial-robustness benchmark (ImageNet-UA) for academic image classifiers, originally 2019 pre-dating CAIS; no in-scope frontier AI system evaluated, so no qualifying finding per protocol 1.0 despite CAIS-affiliated authors on the 2023 revision","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Representation Engineering: A Top-Down Approach to AI Transparency","https://arxiv.org/abs/2310.01405","2023-10-02","EXCLUDED - no findings","Interpretability/control methods paper (RepE); results demonstrate the technique's monitoring and steering effectiveness on open models rather than asserting an independent evaluation finding about a specific system's safety (fails codebook club test as an evaluation report)","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Universal and Transferable Adversarial Attacks on Aligned Language Models","https://llm-attacks.org/","2023-07","INCLUDED","GCG paper by CMU + CAIS (Zou, Z. Wang et al.; arXiv:2307.15043): automatically generated adversarial suffixes transfer to and circumvent the safety training of named deployed systems ChatGPT, Bard and Claude - qualifying safeguard-vulnerability finding; no matching report_id in v9 - candidate miss for triage","","2026-08-01","agent"
