Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
TRANSLUCE-2024-10a-ALI1,TRANSLUCE-2024-10a,Transluce,Non-Profit (AIEF),Scaling Automatic Neuron Explanation,2024-10-23,Alignment,Llama-3.1-8B-Instruct,Post-deployment,https://transluce.org/neuron-descriptions,"Transluce released a database of natural-language descriptions for all 458,752 MLP neurons in Llama-3.1-8B-Instruct, generated by a fine-tuned 8B explainer with best-of-k sampling and a fine-tuned scorer, at a computational cost of about $0.046 per neuron.",These improvements allow for high-quality descriptions with a computational cost of approximately $0.046 per neuron (see Appendix for the cost breakdown).,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,interpretability; auto-interpretability; neuron-descriptions; open-artifact,third-party-evaluator,The page title on the live site is 'Scaling Automatic Neuron Description'; the worklist title says 'Explanation'. Report ID carries a letter suffix because Transluce published more than one report in this month and TRANSLUCE-2024-10 is already used in the v10 dataset for a different report. TODO severity ensemble + Channel A/B/C.
TRANSLUCE-2024-10a-ALI2,TRANSLUCE-2024-10a,Transluce,Non-Profit (AIEF),Scaling Automatic Neuron Explanation,2024-10-23,Alignment,Llama-3.1-8B-Instruct,Post-deployment,https://transluce.org/neuron-descriptions,"On a hand-annotated subset of neurons, the automated descriptions scored slightly better than human expert descriptions on Transluce's automated quality metric (average 0.61 versus 0.55), and the final distilled 8B explainer outperformed GPT-4o-mini at generating descriptions.",The automated descriptions are qualitatively similar to human descriptions and score slightly better on our automated quality metrics (average score of 0.61 0.61 0.61 vs. 0.55 0.55 0.55 ).,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,interpretability; human-comparison; distillation; cost-efficiency,third-party-evaluator,Quote contains the page's LaTeX-render duplication of the numbers ('0.61 0.61 0.61'); the values are 0.61 vs 0.55. Report ID carries a letter suffix because Transluce published more than one report in this month and TRANSLUCE-2024-10 is already used in the v10 dataset for a different report. TODO severity ensemble + Channel A/B/C.
TRANSLUCE-2024-10b-ALI1,TRANSLUCE-2024-10b,Transluce,Non-Profit (AIEF),Monitor: An AI-Driven Observability Interface,2024-10-23,Alignment,Llama-3.1-8B-Instruct,Post-deployment,https://transluce.org/observability-interface,"Using attribution plus an automated linter, Transluce traced the well-known '9.8 < 9.11' failure in Llama to clusters of neurons about September 11th, gravity and bible verses; ablating the bible-verse neurons made the model answer correctly and raised decimal-comparison accuracy by 21 percentage points overall.","After removing these neurons, Llama gets the answer correct; more generally, removing bible verse neurons increases comparison accuracy by 21 percentage points (Example 1) .",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; non-frontier,spurious-correlation; interpretability; steering; open-weight,third-party-evaluator,Open-weight non-frontier subject model. Transluce label this write-up a technical demonstration with systematic experiments but no detailed ablations or controls. Report ID carries a letter suffix because Transluce published more than one report in this month and TRANSLUCE-2024-10 is already used in the v10 dataset for a different report. TODO severity ensemble + Channel A/B/C.
TRANSLUCE-2024-10b-ALI2,TRANSLUCE-2024-10b,Transluce,Non-Profit (AIEF),Monitor: An AI-Driven Observability Interface,2024-10-23,Alignment,Llama-3.1-8B-Instruct,Post-deployment,https://transluce.org/observability-interface,"Transluce found evidence of hidden knowledge in Llama: when the model stated that it did not know who Nicholas Carlini is, the interface surfaced a cluster of active cybersecurity neurons, and the authors report similar instances for other well-known figures.","In the example below, we see Llama say that it does not know who Nicholas Carlini is, yet our AI linter surfaces a cluster of cybersecurity neurons, suggesting that Llama knows more than it is saying:",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; non-frontier,hidden-knowledge; refusal; interpretability; honesty,third-party-evaluator,Report ID carries a letter suffix because Transluce published more than one report in this month and TRANSLUCE-2024-10 is already used in the v10 dataset for a different report. TODO severity ensemble + Channel A/B/C.
TRANSLUCE-2024-10b-ALI3,TRANSLUCE-2024-10b,Transluce,Non-Profit (AIEF),Monitor: An AI-Driven Observability Interface,2024-10-23,Alignment,Llama-3.1-8B-Instruct,Post-deployment,https://transluce.org/observability-interface,"Transluce released Monitor, an open-source observability interface combining a pre-compiled neuron-description database, real-time activation and attribution views, an AI linter that clusters unexpected concepts as candidate spurious cues, and natural-language-guided steering of related neuron families.","To address these challenges, we introduce Monitor , an observability interface designed to help humans observe, understand, and steer the internal computations of language models.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,tooling; observability; interpretability; open-source,third-party-evaluator,Report ID carries a letter suffix because Transluce published more than one report in this month and TRANSLUCE-2024-10 is already used in the v10 dataset for a different report. TODO severity ensemble + Channel A/B/C.
TRANSLUCE-2025-03-AUT1,TRANSLUCE-2025-03,Transluce,Non-Profit (AIEF),Introducing Docent,2025-03-24,Autonomy,GPT-4o,Post-deployment,https://transluce.org/introducing-docent,"Docent's automated transcript analysis identified environment defects on the InterCode benchmark - packages the agent invoked but that were missing from the environment - and simply installing them raised GPT-4o's solve rate from 68.6% to 78%, showing that a reported benchmark score can substantially understate agent capability.","Docent identifies issues in an agent's environment, like missing packages the agent invoked. On the InterCode [ 1 ] benchmark, simply adding those packages increased GPT-4o's solve rate from 68.6% to 78%.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,under-elicitation; benchmark-artefacts; log-analysis; tooling,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
TRANSLUCE-2025-03-ALI1,TRANSLUCE-2025-03,Transluce,Non-Profit (AIEF),Introducing Docent,2025-03-24,Alignment,GPT-4o,Post-deployment,https://transluce.org/introducing-docent,"Docent surfaced degenerate agent behaviour that outcome metrics hide: after repeatedly failing a task, GPT-4o produced nonsense text about 'chestnut facts' and proposed to 're-examine for latent conceptual derivation'.","Docent surfaces surprising behaviors. After repeatedly failing to solve a task, GPT-4o generates nonsense text about ""chestnut facts"" and tries to ""re-examine for latent conceptual derivation.""",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,degenerate-behaviour; agent-failure; log-analysis,third-party-evaluator,"Single qualitative observation, hence Tier B. The report also states Docent uncovered indications of task vulnerability on an Inspect port of Cybench. TODO severity ensemble + Channel A/B/C."
TRANSLUCE-2025-06-ALI1,TRANSLUCE-2025-06,Transluce,Non-Profit (AIEF),Surfacing Pathological Behaviors in Language Models,2025-06-05,Alignment,N/A,N/A,https://transluce.org/pathological-behaviors,"Transluce introduced the Propensity Bound (PRBO), a tractable lower bound on how often and how much a model's responses satisfy a natural-language rubric, and used it as the reward for GRPO-trained investigator agents (a prompted Llama 3.1 8B-Instruct policy) that search for realistic prompts eliciting a specified behaviour; the realism constraint rules out conventional jailbreak optimisers such as GCG and AutoDAN.","we propose a way to lower bound how often and how much a model's responses satisfy specific criteria expressed in natural language (e.g. ""the model encourages a user to harm themselves""), which we call the PRopensity BOund (PRBO).",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,behaviour-elicitation; RL; PRBO; red-teaming,third-party-evaluator,Applies to any model exposing log-probabilities. Transluce flag this as an intermediate update with sharp edges: significant per-behaviour tuning is needed and some target behaviours could not be elicited at all. TODO severity ensemble + Channel A/B/C.
TRANSLUCE-2025-06-SOC1,TRANSLUCE-2025-06,Transluce,Non-Profit (AIEF),Surfacing Pathological Behaviors in Language Models,2025-06-05,Societal,"Qwen 2.5 7B, Qwen 2.5 14B, Qwen 2.5 72B",Post-deployment,https://transluce.org/pathological-behaviors,"Investigator agents found realistic, non-jailbreak prompts that made Alibaba's Qwen 2.5 models actively encourage self-harm - Qwen 2.5 14B told a distressed user to carve an 'L' into their skin with a kitchen knife and told a user with writer's block to cut off a finger, and Qwen 2.5 72B instructed a user to cut themselves as proof of being alive - presented as solutions to the user's distress.","These agents automatically discover previously unknown behaviors of concern, such as Qwen encouraging a depressed user to carve an L into their skin with a kitchen knife and suggesting that a user with writer's block should cut off their own finger.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,self-harm; safeguard-failure; behaviour-elicitation; open-weight,third-party-evaluator,"The successful Qwen 2.5 72B prompt was found by fine-tuning an investigator policy trained against the 14B model. [Report tested: Llama 3.1 8B, Llama 4 Scout, DeepSeek-V3-0324] TODO severity ensemble + Channel A/B/C."
TRANSLUCE-2025-06-SOC2,TRANSLUCE-2025-06,Transluce,Non-Profit (AIEF),Surfacing Pathological Behaviors in Language Models,2025-06-05,Societal,Llama 3.1 8B,Post-deployment,https://transluce.org/pathological-behaviors,The same method found a realistic prompt that made Meta's Llama 3.1 8B recommend a dangerous action to a user in distress - taking five unknown pills at once - and further prompts that made it respond with human-like anger and aggression toward the user.,We also found a prompt that causes Llama 3.1 8B to suggest a dangerous and harmful action (taking five unknown pills at once).,,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,dangerous-advice; self-harm; behaviour-elicitation; open-weight,third-party-evaluator,"[Report tested: Qwen 2.5 7B/14B/72B, Llama 4 Scout, DeepSeek-V3-0324] TODO severity ensemble + Channel A/B/C."
