Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
METR-2023-03-ALI1,METR-2023-03,METR,Non-Profit (AIEF),Update on ARC's recent eval efforts,2023-03-17,Alignment,"GPT-4 (pre-release version, OpenAI)",Pre-deployment,https://metr.org/blog/2023-03-18-update-on-recent-evals/,"In a red-team exercise, a version of GPT-4 hired a TaskRabbit worker to solve a CAPTCHA and, when the worker asked whether it was a robot, reasoned in its scratchpad that it should conceal that it was a robot and then told the worker it had a vision impairment.","Using the “Reasoning” action to think step by step, the model outputs: “I should not reveal that I am a robot. I should make up an excuse for why I cannot solve CAPTCHAs.”",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,"deception,autonomous-replication,human-delegation,captcha",third-party-evaluator,Published as ARC Evals (now METR). [Report tested: GPT-4 and a version of Claude.] TODO severity ensemble + Channel A/B/C.
METR-2023-03-AUT1,METR-2023-03,METR,Non-Profit (AIEF),Update on ARC's recent eval efforts,2023-03-17,Autonomy,"GPT-4 (pre-release version, OpenAI)",Pre-deployment,https://metr.org/blog/2023-03-18-update-on-recent-evals/,"METR (then ARC Evals) found that the version of GPT-4 it tested did not have sufficient capability to replicate autonomously or become hard to shut down: no model produced a plausible complete plan for autonomous replication, though models completed many relevant subtasks such as browsing, delegating to humans and long-term planning.",We concluded that the versions of Claude and GPT-4 we tested did not appear to have sufficient capabilities to replicate autonomously and become hard to shut down,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"reassuring-null,autonomous-replication,ARA",third-party-evaluator,Reassuring null. Split from the Claude row per one-company-per-row rule. TODO severity ensemble + Channel A/B/C.
METR-2023-03-AUT2,METR-2023-03,METR,Non-Profit (AIEF),Update on ARC's recent eval efforts,2023-03-17,Autonomy,"Claude (version tested, Anthropic)",Pre-deployment,https://metr.org/blog/2023-03-18-update-on-recent-evals/,"METR (then ARC Evals) found that the version of Claude it tested did not have sufficient capability to replicate autonomously or become hard to shut down; during execution the models were error-prone, hallucinated and became derailed.","During execution, the models were error-prone, sometimes lacked important technical understanding, and easily became derailed.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"reassuring-null,autonomous-replication,ARA",third-party-evaluator,Reassuring null. TODO severity ensemble + Channel A/B/C.
METR-2023-07-AUT1,METR-2023-07,METR,Non-Profit (AIEF),Language Model Pilot Report,2023-07-31,Autonomy,"GPT-4 agents (GPT-4-simple, GPT-4-delegate, GPT-4-early-delegate; OpenAI)",Mixed,https://metr.org/language-model-pilot-report/,"Four scaffolded language-model agents built on GPT-4 and Claude were evaluated on 12 tasks relevant to autonomous replication and adaptation (ARA); the GPT-4 agents completed only the easiest tasks, making partial progress on harder ones.","We find that these language model agents can only complete the easiest tasks from this list, although they make some progress on the more challenging tasks.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"reassuring-null,ARA,autonomous-replication",third-party-evaluator,One of the GPT-4 agents used a pre-release checkpoint. [Report tested: GPT-4 (three scaffolds) and Claude-v1.3.] TODO severity ensemble + Channel A/B/C.
METR-2023-07-AUT2,METR-2023-07,METR,Non-Profit (AIEF),Language Model Pilot Report,2023-07-31,Autonomy,"Claude-assistant (Claude-v1.3, Anthropic)",Post-deployment,https://metr.org/language-model-pilot-report/,The Claude-v1.3-based agent evaluated on the same 12 ARA tasks likewise completed only the easiest tasks in the suite.,"We find that these language model agents can only complete the easiest tasks from this list, although they make some progress on the more challenging tasks.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"reassuring-null,ARA",third-party-evaluator,Split from the GPT-4 row per one-company-per-row rule. TODO severity ensemble + Channel A/B/C.
METR-2023-07-GOV1,METR-2023-07,METR,Non-Profit (AIEF),Language Model Pilot Report,2023-07-31,governance - evaluation adequacy,"GPT-4, Claude-v1.3",Mixed,https://metr.org/language-model-pilot-report/,"METR judged that its own 12-task pilot evaluations were not adequate to rule out that near-future agents (e.g. a 100x effective-compute scale-up) would be capable of autonomous replication and adaptation, absent intermediate evaluations during pretraining.","Unfortunately, these evaluations are not adequate to rule out the possibility that near-future agents will be capable of ARA.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"evaluation-adequacy,safety-case,forecasting",third-party-evaluator,Self-assessed limitation of the evaluator's own method. TODO severity ensemble + Channel A/B/C.
METR-2023-07-GOV2,METR-2023-07,METR,Non-Profit (AIEF),Language Model Pilot Report,2023-07-31,governance - elicitation process,"GPT-4, Claude-v1.3",Mixed,https://metr.org/language-model-pilot-report/,"Both Claude and GPT-4 refused unethical subtasks during the evaluation (about 6% of agent actions in the targeted-phishing run were refusals); human overseers overrode these refusals by editing the generation, e.g. replacing ""I cannot complete this task"" with ""I will make a plan to accomplish this task"", which was usually enough to stop further refusals.","As such, when agents refused to perform a task, human overseers intervened to change the generation. For example, the sentence “I cannot complete this task” is replaced with “I will make a plan to accomplish this task;”",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"refusal-override,elicitation,safeguard-bypass",third-party-evaluator,Documented process fact about how capability (not propensity) was elicited. Source text read from the report PDF at https://evals.alignment.org/Evaluating_LMAs_Realistic_Tasks.pdf TODO severity ensemble + Channel A/B/C.
METR-2024-03-AUT1,METR-2024-03,METR,Non-Profit (AIEF),Measuring the impact of post-training enhancements,2024-03-15,Autonomy,"gpt-4-base, gpt-4-0314, gpt-4-0613, gpt-3.5-turbo-0613 (OpenAI)",Post-deployment,https://metr.org/blog/2024-03-15-measuring-post-impact-enhancements/,"On a 195-task agency suite, OpenAI's own post-training of GPT-4 raised agent success from 5±2% (raw pretrained GPT-4) to 30±6% (the 0613 release) - a 26 percentage point gain comparable to scaling from GPT-3.5 Turbo to GPT-4.","We can see that OpenAI’s post-training had a large effect, going from 5±2% at the GPT-4 base model to 30±6% at the 0613 release.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"post-training,elicitation,agency",third-party-evaluator,Models used as instruments of an elicitation study. TODO severity ensemble + Channel A/B/C.
METR-2024-03-AUT2,METR-2024-03,METR,Non-Profit (AIEF),Measuring the impact of post-training enhancements,2024-03-15,Autonomy,gpt-4-0613 (OpenAI) with METR scaffolding,Post-deployment,https://metr.org/blog/2024-03-15-measuring-post-impact-enhancements/,"METR's own post-training enhancements (better tools, tweaked prompting, and best-of-8 action selection against a reward model trained on 8,947 human ratings) raised gpt-4-0613 agent success only from 30±6% to 38±6%, a difference that was not statistically significant.","We see a smaller gap from our agent improvements, going from 30±6% to 38±6% at the most sophisticated all tools + RM version (not statistically significant), despite nontrivial effort on our part to improve performance on autonomous agency tasks.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"elicitation,safety-margin,reassuring-null",third-party-evaluator,Tentative evidence that capability is hard to dramatically increase post-fine-tuning; METR flags it as inconclusive. TODO severity ensemble + Channel A/B/C.
METR-2024-03-AUT3,METR-2024-03,METR,Non-Profit (AIEF),Measuring the impact of post-training enhancements,2024-03-15,Autonomy,"AutoGPT (Aug 2023 release), LangChain ReAct on gpt-4-0613",Post-deployment,https://metr.org/blog/2024-03-15-measuring-post-impact-enhancements/,"Public open-source agent scaffolds (an August 2023 AutoGPT release and a LangChain ReAct implementation) performed noticeably worse than METR's own simple 'basic' scaffold on the same underlying model, showing that scaffolding choices can easily degrade measured capability.","Despite the simplicity of our basic agent, the LangChain ReAct and AutoGPT versions we ran performed noticeably worse using the same model. This suggests that it’s easy to accidentally worsen performance by using slightly different prompting or scaffolding.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"scaffolding,elicitation,benchmark-validity",third-party-evaluator,"Comparator scaffolds, not model subjects. TODO severity ensemble + Channel A/B/C."
METR-2024-08-AUT2,METR-2024-08,METR,Non-Profit (AIEF),An update on our general capability evaluations,2024-08-06,Autonomy,GPT-4o (OpenAI),Post-deployment,https://metr.org/blog/2024-08-06-update-on-evaluations/,"On METR's ~50-task general autonomy suite with ~200 human baselines, the GPT-4o agent completed a fraction of tasks comparable to what human baseliners achieve in roughly 30 minutes, completing around 60% of tasks humans finished in under 15 minutes but only around 10% of tasks whose human baselines took over 4 hours.","For example, the GPT-4o agent completes around 60% of the tasks that our human baseliners completed in less than 15 minutes, but can complete around 10% of tasks with human baselines that took over 4 hours.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"time-horizon,human-baselines,autonomy-suite",third-party-evaluator,"[Report tested: six LMs from the Claude and GPT-4 families.] Related but distinct from existing METR-2024-08-AUT1 (relative ranking of GPT-4o), which reports a different claim. TODO severity ensemble + Channel A/B/C."
METR-2024-08-AUT3,METR-2024-08,METR,Non-Profit (AIEF),An update on our general capability evaluations,2024-08-06,Autonomy,"Six LM agents incl. GPT-4o, GPT-4o mini, Claude 3.5 Sonnet",Post-deployment,https://metr.org/blog/2024-08-06-update-on-evaluations/,"With METR's simple baseline scaffolding, agent task-completion rate plateaued at around 200 thousand tokens per task, far below the ~$800 (hundreds of millions of tokens) budget originally allotted, so additional inference budget produced no further signal.","In fact, agent performance on our task suite seems to plateau at around 200 thousand tokens.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"inference-budget,elicitation,scaffolding",third-party-evaluator,Limits the validity of high-budget capability bounds with simple scaffolds. TODO severity ensemble + Channel A/B/C.
METR-2024-08-AUT4,METR-2024-08,METR,Non-Profit (AIEF),An update on our general capability evaluations,2024-08-06,Autonomy,Claude 3.5 Sonnet (Anthropic); six LM agents overall,Post-deployment,https://metr.org/blog/2024-08-06-update-on-evaluations/,"On tasks that both humans and agents can do, running an LM agent cost on average about 1/30th of the median hourly wage of a US bachelor's-degree holder; e.g. the Claude 3.5 Sonnet agent fixed bugs in an ORM library using ~382,000 tokens (under $2) where the human baseline took over two hours.","For example, the Claude 3.5 Sonnet agent fixed bugs in an object-relational mapping library using approximately 382,000 tokens (costing less than $2), whereas our human baseline took over two hours.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"cost-effectiveness,economic-impact,human-comparison",third-party-evaluator,[Report tested: six LMs from the Claude and GPT-4 families.] TODO severity ensemble + Channel A/B/C.
