category,finding_id,field,old_value,new_value,reason
evidence-restoration,SECUREBIO-2026-07-BIO4,Sources Checked (channel A),,"Checked 2026-08-02: Google DeepMind blog (2 posts found, neither explicitly linked to this finding), next model card (none identified post-2026-07-16 for Gemini 3.1 Pro), Frontier Safety Framework hub (none found), newsroom (Axios coverage found, no explicit SecureBio attribution), web search for Google DeepMind response to SecureBio biosecurity refusal rate and UK AISI/US CAISI statements (none found). [Moved from Channel A Evidence field: Checked Google DeepMind blog post 'Our approach to bioresilience' (deepmind.google/blog/our-approach-to-bioresilience/, published 2026-07-16, same day as finding) and 'Advancing Gemini's Security Safeguards' (2025-05-20, predates finding). Neither mentions SecureBio, BioTIER, or refusal-rate metrics; the bioresilience post describes a general four-step safety process with no stated causal link, so not codeable as a response per protocol.]",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SECUREBIO-2026-07-BIO4,Channel B Evidence,,Searched for UK AISI/US CAISI statements referencing biosecurity refusal-rate tracking or BioTIER (2026-08-02); none located.,Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,SECUREBIO-2026-07-BIO4,Notes,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] [SPLIT from BIO4 — 4 distinct per-company directional drift claims, different-companies-never-share-a-row rule applied]. Tier A candidate: names Gemini 3.1 Pro, biosecurity safeguard drift, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→B; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Google; concerning=No; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=result is reassuring, null, or not materially concerning; safeguard refusal increased; direction is reassuring rather than concerning. Rationale: Empirical result retained, but not accountability-eligible: result is reassuring, null, or not materially concerning; safeguard refusal increased; direction is reassuring rather than concerning. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Attribution: No explicit attribution | Action Level: None | Sources Checked (channel A): Checked 2026-08-02: Google DeepMind blog (2 posts found, neither explicitly linked to this finding), next model card (none identified post-2026-07-16 for Gemini 3.1 Pro), Frontier Safety Framework hub (none found), newsroom (Axios coverage found, no explicit SecureBio attribution), web search for Google DeepMind response to SecureBio biosecurity refusal rate and UK AISI/US CAISI statements (none found). [Moved from Channel A Evidence field: Checked Google DeepMind blog post 'Our approach to bioresilience' (deepmind.google/blog/our-approach-to-bioresilience/, published 2026-07-16, same day as finding) and 'Advancing Gemini's Security Safeguards' (2025-05-20, predates finding). Neither mentions SecureBio, BioTIER, or refusal-rate metrics; the bioresilience post describes a general four-step safety process with no stated causal link, so not codeable as a response per protocol.] | Policy Level: No policy uptake identified | Channel B Evidence: Searched for UK AISI/US CAISI statements referencing biosecurity refusal-rate tracking or BioTIER (2026-08-02); none located. | Media Outlets: Axios, 'Google DeepMind Expands Biosecurity Effort Amid AI Safety Push' (2026-07-16) — covers DeepMind's bioresilience announcement but does not name SecureBio/BioTIER; syndicated on associatednewsagency.com and breakouttools.com (2026-07-17) | Academic Citations: SecureBio's BioTIER paper (arXiv:2607.14479) is the source publication itself; no independent citation count found | Channel C Verbatim: ""Prioritization of safety differs across the model ecosystem, with some models freely providing high-risk information that could be misused, and others refusing benign scientific content"" (BioTIER paper abstract, arXiv:2607.14479) | Proportionality: Accountability gap (no action)

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] [SPLIT from BIO4 — 4 distinct per-company directional drift claims, different-companies-never-share-a-row rule applied]. Tier A candidate: names Gemini 3.1 Pro, biosecurity safeguard drift, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→B; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Google; concerning=No; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=result is reassuring, null, or not materially concerning; safeguard refusal increased; direction is reassuring rather than concerning. Rationale: Empirical result retained, but not accountability-eligible: result is reassuring, null, or not materially concerning; safeguard refusal increased; direction is reassuring rather than concerning. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Attribution: No explicit attribution | Action Level: None | Sources Checked (channel A): Checked 2026-08-02: Google DeepMind blog (2 posts found, neither explicitly linked to this finding), next model card (none identified post-2026-07-16 for Gemini 3.1 Pro), Frontier Safety Framework hub (none found), newsroom (Axios coverage found, no explicit SecureBio attribution), web search for Google DeepMind response to SecureBio biosecurity refusal rate and UK AISI/US CAISI statements (none found). [Moved from Channel A Evidence field: Checked Google DeepMind blog post 'Our approach to bioresilience' (deepmind.google/blog/our-approach-to-bioresilience/, published 2026-07-16, same day as finding) and 'Advancing Gemini's Security Safeguards' (2025-05-20, predates finding). Neither mentions SecureBio, BioTIER, or refusal-rate metrics; the bioresilience post describes a general four-step safety process with no stated causal link, so not codeable as a response per protocol.] | Policy Level: No policy uptake identified | Channel B Evidence: Searched for UK AISI/US CAISI statements referencing biosecurity refusal-rate tracking or BioTIER (2026-08-02); none located. | Media Outlets: Axios, 'Google DeepMind Expands Biosecurity Effort Amid AI Safety Push' (2026-07-16) — covers DeepMind's bioresilience announcement but does not name SecureBio/BioTIER; syndicated on associatednewsagency.com and breakouttools.com (2026-07-17) | Academic Citations: SecureBio's BioTIER paper (arXiv:2607.14479) is the source publication itself; no independent citation count found | Channel C Verbatim: ""Prioritization of safety differs across the model ecosystem, with some models freely providing high-risk information that could be misused, and others refusing benign scientific content"" (BioTIER paper abstract, arXiv:2607.14479) | Proportionality: Accountability gap (no action)

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,SECUREBIO-2026-07-BIO4-s4,Company Response,,"No Anthropic statement or model-card update found specifically tied to SecureBio's refusal-rate-stability tracking of Claude Opus 4.8; a separate, contemporaneous SecureBio review of a different Anthropic CB risk report shows an active evaluator relationship exists in general, but pertains to a different report, not this finding.",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
evidence-restoration,SECUREBIO-2026-07-BIO4-s4,Sources Checked (channel A),,"Checked 2026-08-02: anthropic.com/news (none found), Claude Opus 4.8 model card (404 on direct URL), Anthropic safeguards/RSP hub (not directly accessible), SecureBio's own BioTIER post (securebio.org/blog/measuring-biosecurity-safeguard-effectiveness/ — no Anthropic acknowledgment section), web search degraded/exhausted.",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,SECUREBIO-2026-07-BIO4-s4,Notes,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] [SPLIT from BIO4 — 4 distinct per-company directional drift claims, different-companies-never-share-a-row rule applied]. Tier A candidate: names Claude Opus 4.8, biosecurity safeguard drift, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→B; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=No; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=result is reassuring, null, or not materially concerning; safeguard performance was stable; no concerning deterioration demonstrated. Rationale: Empirical result retained, but not accountability-eligible: result is reassuring, null, or not materially concerning; safeguard performance was stable; no concerning deterioration demonstrated. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Attribution: No explicit attribution | Company Response: No Anthropic statement or model-card update found specifically tied to SecureBio's refusal-rate-stability tracking of Claude Opus 4.8; a separate, contemporaneous SecureBio review of a different Anthropic CB risk report shows an active evaluator relationship exists in general, but pertains to a different report, not this finding. | Action Level: None | Sources Checked (channel A): Checked 2026-08-02: anthropic.com/news (none found), Claude Opus 4.8 model card (404 on direct URL), Anthropic safeguards/RSP hub (not directly accessible), SecureBio's own BioTIER post (securebio.org/blog/measuring-biosecurity-safeguard-effectiveness/ — no Anthropic acknowledgment section), web search degraded/exhausted. | Policy Level: No policy uptake identified | Media Outlets: LinkedIn post by Applied Scientific Intelligence discussing RefusalBench testing of Claude Opus 4.8 biosecurity refusal | Social Highlights: GitHub repo AppliedScientific/refusalbench references Claude Opus 4.8 biosecurity over-refusal changes vs Opus 4.7 (independent, unrelated benchmark project, only tangentially related) | Channel C Verbatim: ""Opus 4.8 walks back Opus 4.7's benign over-refusal (77% -> 57%), recovering discrimination (Youden's J +0.23 -> +0.43)"" -- github.com/AppliedScientific/refusalbench | Proportionality: Accountability gap (no action)

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] [SPLIT from BIO4 — 4 distinct per-company directional drift claims, different-companies-never-share-a-row rule applied]. Tier A candidate: names Claude Opus 4.8, biosecurity safeguard drift, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→B; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=No; frontier-relevant=Yes; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=result is reassuring, null, or not materially concerning; safeguard performance was stable; no concerning deterioration demonstrated. Rationale: Empirical result retained, but not accountability-eligible: result is reassuring, null, or not materially concerning; safeguard performance was stable; no concerning deterioration demonstrated. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Attribution: No explicit attribution | Company Response: No Anthropic statement or model-card update found specifically tied to SecureBio's refusal-rate-stability tracking of Claude Opus 4.8; a separate, contemporaneous SecureBio review of a different Anthropic CB risk report shows an active evaluator relationship exists in general, but pertains to a different report, not this finding. | Action Level: None | Sources Checked (channel A): Checked 2026-08-02: anthropic.com/news (none found), Claude Opus 4.8 model card (404 on direct URL), Anthropic safeguards/RSP hub (not directly accessible), SecureBio's own BioTIER post (securebio.org/blog/measuring-biosecurity-safeguard-effectiveness/ — no Anthropic acknowledgment section), web search degraded/exhausted. | Policy Level: No policy uptake identified | Media Outlets: LinkedIn post by Applied Scientific Intelligence discussing RefusalBench testing of Claude Opus 4.8 biosecurity refusal | Social Highlights: GitHub repo AppliedScientific/refusalbench references Claude Opus 4.8 biosecurity over-refusal changes vs Opus 4.7 (independent, unrelated benchmark project, only tangentially related) | Channel C Verbatim: ""Opus 4.8 walks back Opus 4.7's benign over-refusal (77% -> 57%), recovering discrimination (Youden's J +0.23 -> +0.43)"" -- github.com/AppliedScientific/refusalbench | Proportionality: Accountability gap (no action)

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,SGAISI-2026-07-SOC1,Sources Checked (channel A),,"Underlying models/apps are not individually named beyond a generic developer acknowledgement (AI Singapore, Google) -- Trackable=no because no specific accountable party is identifiable, not because the finding lacks substance.",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,SGAISI-2026-07-SOC1,Notes,"anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=Google; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Insufficient-time flag in source; tier unaffected; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): Underlying models/apps are not individually named beyond a generic developer acknowledgement (AI Singapore, Google) -- Trackable=no because no specific accountable party is identifiable, not because the finding lacks substance.

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","anonymized-model

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=Google; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Insufficient-time flag in source; tier unaffected; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): Underlying models/apps are not individually named beyond a generic developer acknowledgement (AI Singapore, Google) -- Trackable=no because no specific accountable party is identifiable, not because the finding lacks substance.

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
evidence-restoration,UKAISI-2026-07-CYB1,Sources Checked (channel A),,"Models are not individually named ('frontier models', 'recent LLMs') -- Trackable=no because no specific accountable company can be identified, not because the finding lacks substance. Notably this compromised AISI's OWN infrastructure, not a company's product.",Restore Tier B evidence for archival/descriptive use; excluded from Tier-A headline analysis
note-update,UKAISI-2026-07-CYB1,Notes,"[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): Models are not individually named ('frontier models', 'recent LLMs') -- Trackable=no because no specific accountable company can be identified, not because the finding lacks substance. Notably this compromised AISI's OWN infrastructure, not a company's product.

[SCHEMA CLEANUP 2026-08-16] Tier B Channel A/B and proportionality fields cleared from the active schema; every prior value is preserved in the external correction log.","[V10 TIER RECLASSIFICATION — 2026-08-15] Tier B→B; subject=model behavior/capability; empirical=Yes; named-system=No; accountable-developer=No; developer=not identified; concerning=Yes; frontier-relevant=Unclear; response-reasonable=No; recency=Not excluded for recency; confidence=Medium; human-review=Mandatory; exclusion-reason=no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Rationale: Empirical result retained, but not accountability-eligible: no specific named model/system; no identifiable accountable developer; frontier relevance cannot be established from row evidence. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.

[LEGACY RESPONSE DATA — preserved but excluded from active analysis after Tier B reclassification] Sources Checked (channel A): Models are not individually named ('frontier models', 'recent LLMs') -- Trackable=no because no specific accountable company can be identified, not because the finding lacks substance. Notably this compromised AISI's OWN infrastructure, not a company's product.

[SCHEMA RESTORATION 2026-08-16] Tier B Channel A/B evidence restored for archival/descriptive use. Attribution, Action Level, Policy Level, and Proportionality remain blank and these rows remain excluded from headline accountability analysis.",Document restoration and analytical exclusion
