v11 revised corpus — applied corrections and current release gate,,,,,
,,,,,
Release status,REVISED — HUMAN SIGN-OFF PENDING,,,,
,,,,,
Metric,Revised count,,,,
Active findings,563,,,,
Distinct Report IDs,239,,,,
Tier A,76,,,,
Tier B,303,,,,
Tier C,184,,,,
Rows on HOLD,116,,,,
Rows awaiting sign-off only,447,,,,
Newly removed overlaps,5,,,,
Total rows preserved in Removed,40,,,,
,,,,,
Decisions applied,,,,,
Decision,Result,Effect,Evidence handling,Release implication,
August 2026 UK AISI,INCLUDED,Three rows retained; Tier C increases by three versus the earlier audit recommendation.,Rows remain on exact-date HOLD.,Manuscript coverage must say through August 2026.,
Duplicate removal,5 rows,Active corpus 568 → 563.,All five rows preserved in Removed; Apollo companion evidence clubbed into retained row Notes.,No evidence silently deleted.,
Tier reclassification,Applied,"A=76, B=303, C=184.",Eval?/Action Trackable? fields updated to encode the final tier.,Tier A accountability denominator falls from 94 to 76.,
ResearchRubrics identity,Merged,One report identity instead of two.,Distinct findings retained as AUT1/AUT2 and GOV1/GOV2.,Report count normalized.,
Dates/titles/IDs/URLs/quotes,Applied where source-verified,Concrete corrections written into the active dataset.,Unresolved values remain visible as HOLD.,No guessed day or inaccessible-source quote inserted.,
Weval dates,Updated-date policy applied,22 cards dated and IDs regenerated.,Date basis documented in Legend and Notes.,Do not describe as original publication dates.,
Human validation,Pending,116 HOLD; 447 sign-off-only rows.,Sign-off cells left blank with controlled values.,Dataset should not yet be called independently verified.,
