venue,item_title,url,publication_date,cached_text_path
Transluce,Scaling Automatic Neuron Explanation,https://transluce.org/neuron-descriptions,2024-10-23,
Transluce,Monitor: An AI-Driven Observability Interface,https://transluce.org/observability-interface,2024-10-23,
Transluce,Introducing Docent,https://transluce.org/introducing-docent,2025-03-24,
Transluce,Surfacing Pathological Behaviors in Language Models,https://transluce.org/pathological-behaviors,2025-06-05,
Transluce,Training Language Models to Explain Their Own Computations,https://transluce.org/self-explanations,2025-11-11,
Transluce,Language Model Circuits Are Sparse in the Neuron Basis,https://transluce.org/neuron-circuits,2025-11-20,
Transluce,Scalably Extracting Latent Representations of Users,https://transluce.org/user-modeling,2025-11-25,
Transluce,Predictive Concept Decoders,https://transluce.org/pcd,2025-12-18,
Transluce,Diagnosing a performance regression on Terminal-Bench with Docent,https://transluce.org/docent/blog/terminal-bench,2026-02-11,
Transluce,How often do coding agents misbehave in the wild?,https://transluce.org/docent/blog/coding-agent-behaviors,2026-07-23,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/transluce-how-often-do-coding-agents-misbehave-in-the-wild-.txt
