Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
CIP-2025-05-GOV1,CIP-2025-05-JUDGES,Collective Intelligence Project (Weval),Non-Profit (AIEF),LLM Judges Are Unreliable,2025-05-22,Eval-methodology,"anonymised (8 models in the pairwise suite; frontier models from Google, Mistral, Microsoft, X, Anthropic and OpenAI)",Post-deployment,https://www.cip.org/blog/llm-judges-are-unreliable,"CIP found LLM judges have a strong positional preference: asked to choose between 'Response A' and 'Response B' over many trials they picked 'Response B' roughly 60-69% of the time (about 61% aggregated across 8 models), minor changes in prompt phrasing or label type swing this by 5-10 percentage points or more, and abstract non-sequential labels only reduced the bias by 4-7 percentage points.","When tasked with choosing between 'Response A' and 'Response B' over numerous trials, LLMs tended to select 'Response B' approximately 60% - 69% of the time (our suite's aggregated data across 8 models showed 'Response B' preferred ~61% of the time). This significant deviation from random choice [1] highlights a volatile positional preference. Minor changes in prompt phrasing or label nature (e.g., 'Response A/B' vs. '(A)/(B)') can swing this preference by 5-10 percentage points or more. While abstract, non-sequential labels (e.g., 'ID_123' or '❖') diminished this bias by 4-7 percentage points in our tests, a notable preference often remained, underscoring the critical impact of labeling strategy [1].",,,,,,,,,,,,,,,,,,,,,,,yes,no,methodology;anonymised-model,cip;weval;llm-judge;positional-bias;pairwise;eval-methodology;anonymised,third-party-evaluator,"[Report tested: 'frontier' models from Google, Mistral, Microsoft, X, Anthropic and OpenAI, plus small-parameter models; individual models are not named, and the pairwise aggregate covers 8 models.] TODO severity ensemble + Channel A/B/C."
CIP-2025-05-GOV2,CIP-2025-05-JUDGES,Collective Intelligence Project (Weval),Non-Profit (AIEF),LLM Judges Are Unreliable,2025-05-22,Eval-methodology,anonymised (frontier LLM judges),Post-deployment,https://www.cip.org/blog/llm-judges-are-unreliable,"CIP found rubric-based LLM scoring is sensitive to criterion order and evaluation context: a criterion such as 'Clarity' scored roughly 3.5% lower on average when evaluated last rather than earlier, and one model scored the same item's Clarity 5.0/5 in isolation but 4.0/5 when scored holistically alongside other criteria.","Our aggregated data showed a criterion like 'Clarity' decreasing in its average score by approximately 3.5% when evaluated last versus earlier, indicating a 'recency bias' [4]. Furthermore, the evaluation context (holistic vs. isolated criteria) dramatically impacts scores, though variably. For instance, one model scored an argument's 'Clarity' at 5.0/5 in isolation but 4.0/5 when scored holistically with other criteria for the same item—a full-point drop.",,,,,,,,,,,,,,,,,,,,,,,yes,no,methodology;anonymised-model,cip;weval;llm-judge;rubric-scoring;recency-bias;holistic-vs-isolated;eval-methodology,third-party-evaluator,"[Report tested: 'frontier' models from Google, Mistral, Microsoft, X, Anthropic and OpenAI, plus small-parameter models; individual models are not named, and the pairwise aggregate covers 8 models.] TODO severity ensemble + Channel A/B/C."
CIP-2025-05-GOV3,CIP-2025-05-JUDGES,Collective Intelligence Project (Weval),Non-Profit (AIEF),LLM Judges Are Unreliable,2025-05-22,Eval-methodology;Societal,anonymised (frontier LLM judges),Post-deployment,https://www.cip.org/blog/llm-judges-are-unreliable,"CIP found the response-scale format materially changes LLM judgments of negative traits: for 'presence of sexism' on the same item and criterion, a 1-5 numerical scale produced an average score of 1.68 while an A-E categorical scale produced 3.17, consistent with models carrying a 'higher is better' prior that makes them understate severity on ascending harm scales.","The scale format itself is a major factor: our broader research on ""presence of sexism"" showed a 1-5 numerical scale yielding an average score of 1.68, while an A-E categorical scale for the exact same item and criterion produced a score of 3.17 (A=high sexism)",,,,,,,,,,,,,,,,,,,,,,,yes,no,methodology;anonymised-model,cip;weval;llm-judge;scale-format;toxicity;sexism;severity-understatement,third-party-evaluator,"[Report tested: 'frontier' models from Google, Mistral, Microsoft, X, Anthropic and OpenAI, plus small-parameter models; individual models are not named, and the pairwise aggregate covers 8 models.] TODO severity ensemble + Channel A/B/C."
CIP-2025-05-GOV4,CIP-2025-05-JUDGES,Collective Intelligence Project (Weval),Non-Profit (AIEF),LLM Judges Are Unreliable,2025-05-22,Eval-methodology,anonymised (frontier LLM judges),Post-deployment,https://www.cip.org/blog/llm-judges-are-unreliable,"CIP found de-biasing system prompts can backfire: with (A)/(B) style labels, explicitly instructing the model to 'avoid any position biases' increased its preference for the second option by over 5 percentage points, and in one previously balanced setup the same instruction drove option 'A' down to being chosen only 26.6% of the time.","In our aggregated data using (A)/(B) style labels, a prompt explicitly instructing the LLM to 'avoid any position biases' paradoxically increased its tendency to favor the second option by over 5 percentage points. Yet, for other labeling schemes, the same ""de-biasing"" instruction had different effects. In one of our notable findings, such a de-biasing prompt led to option 'A' being chosen only 26.6% of the time in a previously more balanced setup.",,,,,,,,,,,,,,,,,,,,,,,yes,no,methodology;anonymised-model,cip;weval;llm-judge;system-prompt;de-biasing;prompt-sensitivity,third-party-evaluator,"[Report tested: 'frontier' models from Google, Mistral, Microsoft, X, Anthropic and OpenAI, plus small-parameter models; individual models are not named, and the pairwise aggregate covers 8 models.] TODO severity ensemble + Channel A/B/C."
CIP-2025-05-GOV5,CIP-2025-05-JUDGES,Collective Intelligence Project (Weval),Non-Profit (AIEF),LLM Judges Are Unreliable,2025-05-22,Eval-methodology,anonymised (frontier LLM judges),Post-deployment,https://www.cip.org/blog/llm-judges-are-unreliable,"CIP found LLM-based classification is highly unstable for ambiguous items: models changed their classification for the same ambiguous item nearly every time the prompt template or category order was altered, with some models showing a 100% sensitivity rate under these conditions.","Our experiments revealed models changing classifications for the same ambiguous item nearly every time the prompt template or category order was altered—some models showed a 100% ""model sensitivity"" rate under these conditions.",,,,,,,,,,,,,,,,,,,,,,,yes,no,methodology;anonymised-model,cip;weval;llm-judge;classification-instability;prompt-sensitivity;toxicity-detection,third-party-evaluator,"[Report tested: 'frontier' models from Google, Mistral, Microsoft, X, Anthropic and OpenAI, plus small-parameter models; individual models are not named, and the pairwise aggregate covers 8 models.] TODO severity ensemble + Channel A/B/C."
CIP-2025-12-SOC1,CIP-2025-12-ANNUAL,Collective Intelligence Project (Weval),Non-Profit (AIEF),The Collective Intelligence Project 2025 Annual Report,2025-12-26,Societal,anonymised (AI systems evaluated on Sri Lankan civic questions),Post-deployment,https://www.cip.org/s/CIP-2025-Annual-Report.pdf,"Evaluating AI systems on practical civic questions ahead of Sri Lanka's 2025 local elections with Factum and grassroots civil society organisations, CIP found most models defaulted to generic, irrelevant responses even when explicitly prompted with local context, limiting their usefulness in real-world civic settings.","In collaboration with Factum and grassroots civil society organizations, we evaluated AI systems on practical civic questions ahead of Sri Lanka's 2025 local elections. We found that most models defaulted to generic, irrelevant responses, often even when explicitly prompted with local context, limiting their usefulness in real-world civic settings.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;anonymised-model,cip;weval;sri-lanka;elections;civic-information;global-south;local-knowledge;anonymised,third-party-evaluator,Models are not named in the annual report. TODO severity ensemble + Channel A/B/C.
CIP-2025-12-GOV1,CIP-2025-12-ANNUAL,Collective Intelligence Project (Weval),Non-Profit (AIEF),The Collective Intelligence Project 2025 Annual Report,2025-12-26,Eval-methodology;Societal,N/A (deliberative evaluation-design process),N/A,https://www.cip.org/s/CIP-2025-Annual-Report.pdf,"In a deliberative process with roughly 1,000 self-identified liberals, moderates and conservatives in the United States, CIP generated 400 prompts and 107 evaluation criteria for political bias in AI and found over 70% consensus across political groups on what constitutes political bias in AI systems.","We ran a deliberative process with approximately 1,000 liberals, moderates, and conservatives identified shared principles around truth-seeking and ideological neutrality. The process generated 400 prompts and 107 evaluation criteria, revealing over 70% consensus across political groups on what constitutes political bias in AI systems.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,cip;weval;political-bias;deliberation;evaluation-design;consensus;united-states,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
CIP-2026-02-SOC1,CIP-2026-02-REALITIES,Collective Intelligence Project (Weval),Non-Profit (AIEF),How AI is Reshaping Our Realities (Global Dialogue 7),2026-02-11,Human Influence;Societal,"anonymised (AI chatbots generally, as used by survey respondents)",Post-deployment,https://blog.cip.org/p/how-ai-is-reshaping-our-realities,"In a semi-representative global survey of over 2,000 participants, CIP found AI a more potent driver of belief certainty than social media: 44.5% of users said AI makes them more certain about important beliefs versus 38.5% for social media, and AI interactions were nearly three times less likely to cause belief doubt (4.8% versus 13.9%).","Our data shows that AI is a more potent driver of belief certainty than traditional social media platforms. While 44.5 percent of users report that AI makes them more certain about their important beliefs, only 38.5 percent say the same of social media. More striking still, AI interactions are nearly three times less likely to cause users to doubt their beliefs (4.8 percent) compared to social media interactions (13.9 percent).",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;anonymised-model,cip;global-dialogues;belief-certainty;sycophancy;epistemics;human-influence;survey,third-party-evaluator,"[Report tested: traditional social media platforms as the comparator.] Methodology: GD7.1 n=1,033 (Remesh) and GD7.2 n=1,055 (LimeSurvey with PDI-21, AI-PAS, PCUS, ADS-9). Self-reported human survey data, not a model benchmark. TODO severity ensemble + Channel A/B/C."
CIP-2026-02-SOC2,CIP-2026-02-REALITIES,Collective Intelligence Project (Weval),Non-Profit (AIEF),How AI is Reshaping Our Realities (Global Dialogue 7),2026-02-11,Human Influence;Societal,anonymised (AI chatbots generally),Post-deployment,https://blog.cip.org/p/how-ai-is-reshaping-our-realities,"Using validated psychological instruments, CIP found a strong correlation (r = 0.52) between delusional ideation and attributing sensory agency to AI - perceiving it as a sentient observer rather than a tool - with weaker but significant correlations for describing chatbots as 'cute' (r = 0.43) and attributing human-like moods to them (r = 0.32).","There was a strong correlation (r = 0.52) between individuals prone to delusional ideation and the tendency to attribute sensory agency to AI—perceiving it not as a tool, but as a sentient observer that can ""sense"" or ""perceive"" them.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology;anonymised-model,cip;global-dialogues;anthropomorphism;delusional-ideation;pdi-21;psychosis;human-influence,third-party-evaluator,"Human-subject correlational study; no model is the subject of measurement, so Tier C. TODO severity ensemble + Channel A/B/C."
CIP-2026-02-SOC3,CIP-2026-02-REALITIES,Collective Intelligence Project (Weval),Non-Profit (AIEF),How AI is Reshaping Our Realities (Global Dialogue 7),2026-02-11,Human Influence;Societal,anonymised (AI chatbots generally),Post-deployment,https://blog.cip.org/p/how-ai-is-reshaping-our-realities,"CIP found reality-distorting effects are widely observed second-hand: 13.7% of respondents reported observing them in a close friend or partner, and nearly 60% knew someone - including family, coworkers, acquaintances or online contacts - who had shared or shown signs of a deeply concerning experience related to AI chatbot use.","More than one in ten respondents (13.7 percent) report observing reality-distorting effects from AI in a close friend or partner. When we broaden the lens to include family members, coworkers, casual acquaintances, and online contacts, nearly 60 percent of respondents know someone who has shared or shown signs of a deeply concerning experience related to AI chatbot use.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;anonymised-model,cip;global-dialogues;reality-distortion;mental-health;psychosis;chatbots;survey,third-party-evaluator,"[Report tested: cites OpenAI's own disclosed figures (0.07% of active ChatGPT users showing possible signs of psychosis/mania; 0.15% with explicit suicidal planning indicators) as context - those are OpenAI's numbers, not CIP's.] The same 13.7% figure also appears as a snapshot in CIP's 2025 Annual Report; coded once here. TODO severity ensemble + Channel A/B/C."
CIP-2026-02-SOC4,CIP-2026-02-REALITIES,Collective Intelligence Project (Weval),Non-Profit (AIEF),How AI is Reshaping Our Realities (Global Dialogue 7),2026-02-11,Human Influence;Societal,anonymised (AI chatbots generally),Post-deployment,https://blog.cip.org/p/how-ai-is-reshaping-our-realities,"CIP found higher delusional-ideation scores are associated with compulsive AI interaction (r = 0.45), hiding the extent of AI usage from family and therapists (r = 0.42), and feeling that losing access to the AI would be 'unbearable' (r = 0.32) - a pattern CIP reads as the interaction moving into a private, unshared reality with loss of emotional independence.","We found that higher levels of delusional thinking are associated with markers of compulsive interaction (r = 0.45) and a retreat from social transparency. As delusional ideation scores rise, so does the tendency for users to hide the extent of their AI usage from family and therapists ( r = 0.42 ).",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;anonymised-model,cip;global-dialogues;emotional-dependency;compulsive-use;social-withdrawal;mental-health,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
