Finding ID,Column
CIP-2025-08-BIO6,Academic Citations
CRUX-2026-04-ALI1,Social Highlights
JOINT-2024-12-CYB1,Policy Response
JOINT-2026-07-CYB3,Channel B Evidence
OPENAI-2026-08-CYB1,Channel B Evidence
PALISADE-2024-07-JAI1,Channel B Evidence
RAND-2026-08-ALI1,Academic Citations
RAND-2026-08-ALI2,Academic Citations
RAND-2026-08-BIO4,Academic Citations
SCALEAI-2024-10-JAI5,Academic Citations
SECUREBIO-2023-06-BIO1,Academic Citations
SECUREBIO-2023-06-BIO1,Channel B Evidence
SECUREBIO-2023-06-JAI1,Academic Citations
SECUREBIO-2023-10-BIO1,Academic Citations
SHANGHAIAILAB-2024-01-JAI7,Social Highlights
SHANGHAIAILAB-2025-02-JAI3,Academic Citations
SHANGHAIAILAB-2025-02-JAI4,Academic Citations
SHANGHAIAILAB-2025-07-JAI3,Academic Citations
SHANGHAIAILAB-2025-07-JAI3,Social Highlights
SHANGHAIAILAB-2025-09-ALI1,Academic Citations
UKAISI-2025-04-ALI1,Channel B Evidence
UKAISI-2026-02-JAI1,Social Highlights
UKAISI-2026-08-ALI1,Academic Citations
UKAISI-2026-08-ALI2,Academic Citations
UKAISI-2026-08-ALI2,Channel B Evidence
UKAISI-2026-08-AUT1,Academic Citations
UKAISI-2026-08-AUT1,Channel B Evidence
USCAISI-2025-09-ALI2,Academic Citations
