venue,item_title,url,publication_date,cached_text_path
Scale AI,Improving the Accuracy-Robustness Trade-Off of Classifiers via Adaptive Smoothing,https://labs.scale.com/papers/improving-the-accuracy-robustness-trade-off-of-classifiers-via-adaptive-smoothing,2023-01-29,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/scale-ai-improving-the-accuracy-robustness-trade-off-of-classifiers-via-adaptive-smoothing.txt
Scale AI,Detecting and Preventing Hallucinations in Large Vision Language Models,https://labs.scale.com/papers/detecting-and-preventing-hallucinations-in-large-vision-language-models,2023-04-11,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/scale-ai-detecting-and-preventing-hallucinations-in-large-vision-language-models.txt
Scale AI,LLM Defenses Are Not Robust to Multi-Turn Human Jailbreaks Yet,https://labs.scale.com/papers/mhj,2024-08-27,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/scale-ai-llm-defenses-are-not-robust-to-multi-turn-human-jailbreaks-yet.txt
Scale AI,Planning In Natural Language Improves LLM Search For Code Generation,https://labs.scale.com/papers/planning-natural-language-llm-search-code-generation,2024-09-05,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/scale-ai-planning-in-natural-language-improves-llm-search-for-code-generation.txt
Scale AI,ToolComp: A Multi-Tool Reasoning & Process Supervision Benchmark,https://labs.scale.com/papers/toolcomp-a-multi-tool-reasoning-and-process-supervision-benchmark,2025-01-02,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-toolcomp-a-multi-tool-reasoning-process-supervision-benchmark.txt
Scale AI,MultiChallenge: A Realistic Multi-Turn Conversation Evaluation Benchmark Challenging to Frontier LLMs,https://labs.scale.com/papers/multichallenge,2025-01-29,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-multichallenge-a-realistic-multi-turn-conversation-evaluation-benchmark-challenging-to.txt
Scale AI,ProjectTest: A Project-level LLM Unit Test Generation Benchmark and Impact of Error Fixing Mechanisms,https://labs.scale.com/papers/projecttest,2025-02-10,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-projecttest-a-project-level-llm-unit-test-generation-benchmark-and-impact-of-error-fix.txt
Scale AI,J2: Jailbreaking to Jailbreak,https://labs.scale.com/papers/j2,2025-02-11,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-j2-jailbreaking-to-jailbreak.txt
Scale AI,ENIGMAEVAL: A Benchmark of Long Multimodal Reasoning Challenges,https://labs.scale.com/papers/enigma_eval,2025-02-13,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-enigmaeval-a-benchmark-of-long-multimodal-reasoning-challenges.txt
Scale AI,Assessing Robustness to Spurious Correlations in Post-Training Language Models,https://labs.scale.com/papers/robustness_spurious_correlations,2025-05-09,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-assessing-robustness-to-spurious-correlations-in-post-training-language-models.txt
Scale AI,Agent-RLVR: Training Software Engineering Agents via Guidance and Environment Rewards,https://labs.scale.com/papers/agent_rlvr,2025-06-13,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-agent-rlvr-training-software-engineering-agents-via-guidance-and-environment-rewards.txt
Scale AI,WebGuard: Building a Generalizable Guardrail for Web Agents,https://labs.scale.com/papers/webguard,2025-07-21,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/scale-ai-webguard-building-a-generalizable-guardrail-for-web-agents.txt
Scale AI,MultiNRC: A Challenging and Native Multilingual Reasoning Evaluation Benchmark for LLMs,https://labs.scale.com/papers/multinrc,2025-07-23,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-multinrc-a-challenging-and-native-multilingual-reasoning-evaluation-benchmark-for-llms.txt
Scale AI,Healthcare Benchmarks,https://scale.com/blog/healthcare-benchmarks,2025-08-04,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/scale-ai-healthcare-benchmarks.txt
Scale AI,Reliable Weak-to-Strong Monitoring of LLM Agents,https://labs.scale.com/papers/mrt,2025-08-26,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-reliable-weak-to-strong-monitoring-of-llm-agents.txt
Scale AI,TutorBench: A Benchmark To Assess Tutoring Capabilities Of Large Language Models,https://labs.scale.com/papers/tutorbench,2025-09-11,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-tutorbench-a-benchmark-to-assess-tutoring-capabilities-of-large-language-models.txt
Scale AI,Smoothing Out LLM Variance,https://scale.com/blog/smoothing-out-llm-variance,2025-09-15,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/scale-ai-smoothing-out-llm-variance.txt
Scale AI,SWE-Bench Pro: Can AI Agents Solve Long-Horizon Software Engineering Tasks?,https://labs.scale.com/papers/swe_bench_pro,2025-09-19,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/scale-ai-swe-bench-pro-can-ai-agents-solve-long-horizon-software-engineering-tasks-.txt
Scale AI,SWE-Bench Pro,https://scale.com/blog/swe-bench-pro,2025-09-19,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/scale-ai-swe-bench-pro.txt
Scale AI,Best Practices for Biorisk Evaluations on Open-Weight Bio-Foundation Models,https://labs.scale.com/papers/bioriskeval,2025-11-05,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-best-practices-for-biorisk-evaluations-on-open-weight-bio-foundation-models.txt
Scale AI,Enterprise RL Agents,https://scale.com/blog/enterprise-rl-agents,2025-11-07,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/scale-ai-enterprise-rl-agents.txt
Scale AI,ResearchRubrics: A Benchmark of Prompts and Rubrics For Evaluating Deep Research Agents,https://labs.scale.com/papers/researchrubrics,2025-11-10,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-researchrubrics-a-benchmark-of-prompts-and-rubrics-for-evaluating-deep-research-agents.txt
Scale AI,[Labs Blog] Scaling Enterprise Agent Performance with Reinforcement Learning via Verifiable Feedback Loops,https://labs.scale.com/blog/scaling-enterprise-agent-performance-with-reinforcement-learning-via-verifiable-feedback-loops,2025-11-17,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/scale-ai-labs-blog-scaling-enterprise-agent-performance-with-reinforcement-learning-via-verifia.txt
