venue,item_title,url,publication_date,cached_text_path
Redwood Research,Stress-Testing Capability Elicitation With Password-Locked Models (paper),https://arxiv.org/abs/2405.19550,2024-05,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/redwood-research-stress-testing-capability-elicitation-with-password-locked-models-paper-.txt
Redwood Research,Getting 50% (SoTA) on ARC-AGI with GPT-4o,https://blog.redwoodresearch.org/p/getting-50-sota-on-arc-agi-with-gpt,2024-06-17,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/redwood-research-getting-50-sota-on-arc-agi-with-gpt-4o.txt
Redwood Research,"Alignment Faking in Large Language Models (paper, with Anthropic)",https://www.anthropic.com/research/alignment-faking,2024-12,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/redwood-research-alignment-faking-in-large-language-models-paper-with-anthropic-.txt
Redwood Research,Ctrl-Z: Controlling AI Agents via Resampling (paper),https://arxiv.org/abs/2504.10374,2025-04,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/redwood-research-ctrl-z-controlling-ai-agents-via-resampling-paper-.txt
Redwood Research,Ctrl-Z: Controlling AI Agents via Resampling (blog),https://blog.redwoodresearch.org/p/ctrl-z-controlling-ai-agents-via,2025-04-16,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/redwood-research-ctrl-z-controlling-ai-agents-via-resampling-blog-.txt
Redwood Research,Sonnet 4.5's eval gaming seriously undermines alignment evals,https://blog.redwoodresearch.org/p/sonnet-45s-eval-gaming-seriously,2025-10-30,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/redwood-research-sonnet-4-5-s-eval-gaming-seriously-undermines-alignment-evals.txt
Redwood Research,Recent LLMs can use filler tokens or problem repeats to improve (no-CoT) math performance,https://blog.redwoodresearch.org/p/recent-llms-can-use-filler-tokens,2025-12-22,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/redwood-research-recent-llms-can-use-filler-tokens-or-problem-repeats-to-improve-no-cot-math-pe.txt
Redwood Research,Measuring no CoT math time horizon (single forward pass),https://blog.redwoodresearch.org/p/measuring-no-cot-math-time-horizon,2025-12-26,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/redwood-research-measuring-no-cot-math-time-horizon-single-forward-pass-.txt
Redwood Research,Recent LLMs can do 2-hop and 3-hop latent (no CoT) reasoning on natural facts,https://blog.redwoodresearch.org/p/recent-llms-can-do-2-hop-and-3-hop,2026-01-01,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/redwood-research-recent-llms-can-do-2-hop-and-3-hop-latent-no-cot-reasoning-on-natural-facts.txt
Redwood Research,Logit ROCs: Monitor TPR is linear in FPR in logit space,https://blog.redwoodresearch.org/p/logit-rocs-monitor-tpr-is-linear,2026-04-12,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/redwood-research-logit-rocs-monitor-tpr-is-linear-in-fpr-in-logit-space.txt
Redwood Research,Research Sabotage in ML Codebases,https://blog.redwoodresearch.org/p/research-sabotage-in-ml-codebases,2026-04-29,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/redwood-research-research-sabotage-in-ml-codebases.txt
Redwood Research,Retrying vs Resampling in AI Control,https://blog.redwoodresearch.org/p/retrying-vs-resampling-in-ai-control,2026-05-29,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rp2/redwood-research-retrying-vs-resampling-in-ai-control.txt
Redwood Research,SOTA alignment assessments don't strongly update us against misalignment,https://blog.redwoodresearch.org/p/sota-alignment-assessments-dont-strongly,2026-07-31,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/redwood-research-sota-alignment-assessments-don-t-strongly-update-us-against-misalignment.txt
