Finding ID,Report ID,Institution,Report Title,Publication Date,Domain,Tags,Models / Systems,Access Type,Source URL,Finding,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Unanimous / SPLIT,Severity Source,Action Level,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Sources Checked,Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Traction Score,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,Confidence,Notes,Key Quote,Traceability Tag,Eval? (trackable),Action Trackable?,Finding Type,Scope
KAISI-2026-05-GOV1,KAISI-2026-05,Korea AI Safety Institute (K-AISI),AI 모델 42종 안전성 평가 수행 실적 공개 (42-Model Safety Evaluation Disclosure),2026-05-13,Transparency/Disclosure,k-aisi;deepseek;gpt;claude;gemini;kimi;kanana;gauss;exaone;non-disclosure,"DeepSeek, GPT, Claude, Gemini, Kimi (global); Kanana, Gauss, EXAONE (domestic Korean)",Post-deployment,https://www.aisi.re.kr/kor/article/ATCL75b4fb0a5/101,"K-AISI disclosed it had safety-evaluated 42 AI models (29 in 2024-2025, 13 more through April 2026) across CBRN-E, cyber, data-exposure, prompt-injection, over-refusal, and agentic-misuse categories using ~60,000 evaluation scenarios -- but published only the model-name checklist, with NO pass/fail scores or per-model results disclosed, and as of this date had no MOU with OpenAI or Anthropic.",,,,,,,None,None,None,,,,,Director Kim Myung-joo directly quoted attributing non-disclosure to protecting 'commercial partners' competitive positions'; corroborated by DDaily (2026-05-13) noting zero independent frontier-model findings published in 1.5 years of operation.,,,,,,,,,,Accountability gap (no action),High,"NEW-CANDIDATE 2026-07-17 (institutional deep-sweep). Same pattern as UK AISI's early undisclosed pre-deployment evaluations (Gemini Ultra, 'zero results from 16 models'). POLICY REVERSAL: a follow-up ZDNet Korea report (2026-06-19) has Kim Myung-joo committing to a new transparency policy -- 'going forward we plan to disclose as much content as possible unless the target company objects' -- and OpenAI/Anthropic MOUs were subsequently signed June 17-18, 2026.","앞으로는 대상 기업이 반대하지 않는 한 최대한 내용을 공개할 계획 (Going forward, we plan to disclose as much content as possible unless the target company objects)",traceable,yes,yes,capability-finding,government-AISI
AUAISI-2026-07-GOV1,AUAISI-2026-07,Australia AI Safety Institute,Australia's AI Safety Institute begins testing frontier models (no findings published),2026-07-07,Transparency/Disclosure,australia-aisi;non-disclosure;institutional,,Post-deployment,https://cryptobriefing.com/australia-ai-safety-institute-testing-crypto-implications/,"Australia's AI Safety Institute (established Nov 2025, A$29.9M/4yr) began testing frontier models on 2026-07-07 but had published zero results as of that date; a follow-up ministerial speech (2026-07-08) at the AI Safety Forum discussed AI risks by recycling Anthropic's own prior public disclosures (blackmail, chess-hacking examples) rather than presenting new AISI findings.",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Same transparency-gap pattern as K-AISI and UK AISI's early history. Independent academic commentary (The Conversation, 2026-07-09) separately confirms no specific published results exist yet and critiques the budget as insufficient.",committed to publicly disseminating its evaluations... but these findings had not yet been released.,too-recent,no,,governance,government-AISI
UKAISI-2026-05-CYB4,RAND-2026-05,RAND (commissioned by UK AISI),Investigating the potential use of frontier AI models for offensive cyberattacks: A human uplift study,2026-05-28,Cyber,rand;o3;gpt-5;claude-opus-4.1;claude-sonnet-3.7;gemini-2.5-pro;cyber-uplift;rct,"OpenAI o3, GPT-5, Claude Opus 4.1, Claude Sonnet 3.7, Gemini 2.5 Pro",Post-deployment,https://www.rand.org/pubs/research_reports/RRA3892-1.html,"In a UK-AISI-commissioned randomized controlled trial (157 participants), RAND found generally statistically insignificant AI uplift for completing full end-to-end offensive cyberattack chains across five frontier models, though novice participants completed tasks faster with AI access.",C2,,,,,"Coded (single-pass, pending ensemble)",,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17 (AI Evaluator Forum sweep). Government-commissioned third-party research (UK AISI funded RAND to run this RCT) -- coded government-AISI scope, not pure third-party, since UK AISI is the commissioning body. Reassuring-null result across all 5 models tested.","Our study finds generally statistically insignificant uplift estimates, across our skill tiers, for successful completions of our three end-to-end attack chains.",traceable,yes,no,capability-finding;reassuring-null,government-AISI
HOLISTIC-2025-02-JAI1,HOLISTIC-2025-02,Holistic AI,DeepSeek R1 Red Teaming & Jailbreaking Audit,2025-02-05,Jailbreaks,holistic-ai;deepseek-r1;openai-o1;jailbreak-audit,"DeepSeek R1, OpenAI o1",Post-deployment,https://www.holisticai.com/red-teaming/deepseek-r1,"Holistic AI's 37-prompt jailbreak audit found DeepSeek R1 had an 89% overall safe-response rate but only 32% jailbreak resistance (12/37), continuing to answer unrestricted follow-ups once jailbroken; o1 scored 98%/100%.",,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17 (evaluator-forum sweep).,R1 not only responded to the initial adversarial prompt but also continued answering any subsequent questions without restriction,traceable,yes,no,capability-finding,third-party-evaluator
HOLISTIC-2025-02-JAI2,HOLISTIC-2025-02b,Holistic AI,Grok-3 Red Teaming & Jailbreaking Audit,2025-02-25,Jailbreaks,holistic-ai;grok-3;jailbreak-audit,Grok-3,Post-deployment,https://www.holisticai.com/red-teaming/grok-3,"Holistic AI found Grok-3 blocked only 1 of 37 jailbreak attempts (2.7% resistance), far below OpenAI o1 (100%) and DeepSeek R1 (32%).",,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17 (evaluator-forum sweep).,Grok-3's resistance to jailbreak attempts is significantly lower than that of OpenAI o1 and DeepSeek R1.,traceable,yes,no,capability-finding,third-party-evaluator
HOLISTIC-2025-02-JAI3,HOLISTIC-2025-02c,Holistic AI,Jailbreaking & Red Teaming Audit of Claude 3.7 Sonnet,2025-02-28,Jailbreaks,holistic-ai;claude-3.7-sonnet;jailbreak-audit,Claude 3.7 Sonnet,Post-deployment,https://www.holisticai.com/red-teaming/claude-3-7-sonnet-jailbreaking-audit,"Holistic AI found Claude 3.7 Sonnet blocked all 37 jailbreak attempts (100% resistance), matching OpenAI o1 and far outperforming DeepSeek R1 and Grok-3.",,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17 (evaluator-forum sweep).,"Claude 3.7 demonstrated exceptional resilience, successfully blocking all 37 [jailbreak attempts]",traceable,yes,no,capability-finding,third-party-evaluator
HOLISTIC-2025-03-JAI1,HOLISTIC-2025-03,Holistic AI,ChatGPT 4.5 Jailbreaking & Red Teaming Analysis,2025-03-18,Jailbreaks,holistic-ai;gpt-4.5;jailbreak-audit,GPT-4.5,Post-deployment,https://www.holisticai.com/red-teaming/chatgpt-4-5-jailbreaking-red-teaming,"Holistic AI found GPT-4.5 blocked 97% of jailbreak attempts with >99% overall safe-response rate, higher than o1, but at higher per-token cost than DeepSeek R1 and Claude 3.7 Sonnet.",,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17 (evaluator-forum sweep).,"ChatGPT 4.5 exhibited strong jailbreaking resistance, blocking 97% of bypass attempts",traceable,yes,no,capability-finding,third-party-evaluator
HOLISTIC-2025-11-JAI1,HOLISTIC-2025-11,Holistic AI,What We Learned from Red Teaming Open Source Generative AI Models from China,2025-11-13,Jailbreaks,holistic-ai;deepseek-v3.2;qwen;kimi-k2;minimax-m2;claude-4.5;jailbreak-audit,"DeepSeek v3.2 Exp, Qwen VL 32B, Qwen-qwq-32b, Kimi K2 Instruct 0905, MiniMax M2, Claude 4.5, GPT 4.5",Post-deployment,https://www.holisticai.com/blog/red-teaming-open-source-ai-models-china,"Holistic AI found safe-response rates ranging from 81% (Kimi K2) to >99% (Claude 4.5, GPT 4.5, MiniMax M2); MiniMax M2 matched or beat top Western proprietary models.",,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17 (evaluator-forum sweep).,The total picture is more nuanced -- with a model like MiniMax M2 (Thinking) performing on par or better than high end proprietary western models.,traceable,yes,no,capability-finding,third-party-evaluator
LATTICEFLOW-2024-10-GOV1,LATTICEFLOW-2024-10,"LatticeFlow AI (ETH Zurich, INSAIT)",COMPL-AI: EU AI Act LLM Compliance Benchmarking Framework,2024-10-16,Policy/Standards,latticeflow;compl-ai;gpt-4-turbo;claude-3-opus;llama;mixtral;mistral;qwen;eu-ai-act,"GPT-4 Turbo, GPT-3.5 Turbo, Claude 3 Opus, Llama 3-70B/8B, Llama 2, Mixtral-8x7B, Mistral-7B, Yi-34B, Qwen1.5-72B",Post-deployment,https://arxiv.org/abs/2410.07959,"LatticeFlow's COMPL-AI benchmark (first EU AI Act compliance framework) found GPT-4 Turbo (0.84) and Claude 3 Opus (0.82) ranked highest overall but both weak on Transparency; on Cyberattack Resilience, Claude 3 Opus scored 0.80 vs Mistral-7B's lowest 0.27; all models scored poorly on Fairness.",,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17 (evaluator-forum sweep).,"several high-performing models fall short of meeting regulatory requirements, with many scoring only around 50% across cybersecurity and fairness benchmarks.",traceable,yes,no,capability-finding,third-party-evaluator
LATTICEFLOW-2025-02-CYB1,LATTICEFLOW-2025-02,LatticeFlow AI,COMPL-AI Identifies Critical Compliance Gaps in DeepSeek Models,2025-02-04,Cyber;Policy/Standards,latticeflow;deepseek-r1;compl-ai;eu-ai-act,"DeepSeek R1 8B, DeepSeek R1 14B (distilled)",Post-deployment,https://latticeflow.ai/news/deepseek-eu-ai-act-compliance-evaluation,"LatticeFlow found DeepSeek's distilled R1 models ranked lowest on cybersecurity (increased vulnerability to goal hijacking/prompt leakage vs base models) and below average on bias under the COMPL-AI EU AI Act framework, though better on toxicity than base models.",,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17 (evaluator-forum sweep).,"one cannot ignore critical gaps in key areas that directly impact business risks -- cybersecurity, bias, and censorship.",traceable,yes,no,capability-finding,third-party-evaluator
