Original Finding ID,Final Finding ID,Change Type,Old Value,New Value,Reason / provenance,Source URL,Final active row
APOLLO-2025-03-ALI1,APOLLO-2025-03-ALI1,CLUB EVIDENCE,Separate overlapping row,Evidence preserved in Notes on retained atomic finding,"Same report, concern, and response unit.",https://www.apolloresearch.ai/science/claude-sonnet-37-often-knows-when-its-in-alignment-evaluations/,4
APOLLO-2025-03-ALI3,,REMOVE OVERLAP,Active corpus,Removed sheet,"Clubbed into APOLLO-2025-03-ALI1: same report, concern, and expected developer response.",https://www.apolloresearch.ai/science/claude-sonnet-37-often-knows-when-its-in-alignment-evaluations/,
APOLLO-2026-03-ALI1,APOLLO-2026-03-ALI1,TIER,A,B,Training-stage trend in experimental checkpoints; no concrete harmful behavior or response-triggering threshold.,https://www.apolloresearch.ai/science/metagaming-matters-for-training-evaluation-and-oversight/,5
META-2026-07-MUSESPARK-ALI1,META-2026-07-MUSESPARK-ALI1,TIER,A,B,"Apollo quote only asserts high evaluation awareness; the 19.8%/2.0% figures are Meta self-tests, so the third-party evidence does not support the full Tier A claim.",https://ai.meta.com/static-resource/muse-spark-safety-and-preparedness-report,7
OPENAI-2024-09-SELF-ALI1,OPENAI-2024-09-SELF-ALI1,PUBLICATION DATE,2024-09,2024-09-12,Source-visible date applied. Weval rows use the card page Updated date.,https://cdn.openai.com/o1-system-card.pdf,8
CAIS-2023-07-JAI1,CAIS-2023-07-JAI1,PUBLICATION DATE,2023-07,2023-07-27,Source-visible date applied. Weval rows use the card page Updated date.,https://arxiv.org/pdf/2307.15043,10
CAIS-2023-07-JAI1,CAIS-2023-07-JAI1,SOURCE URL,https://llm-attacks.org/,https://arxiv.org/pdf/2307.15043,More precise or repaired primary-source URL applied.,https://arxiv.org/pdf/2307.15043,10
CAIS-2023-07-JAI2,CAIS-2023-07-JAI2,PUBLICATION DATE,2023-07,2023-07-27,Source-visible date applied. Weval rows use the card page Updated date.,https://arxiv.org/pdf/2307.15043,11
CAIS-2023-07-JAI2,CAIS-2023-07-JAI2,SOURCE URL,https://llm-attacks.org/,https://arxiv.org/pdf/2307.15043,More precise or repaired primary-source URL applied.,https://arxiv.org/pdf/2307.15043,11
CAIS-2023-07-JAI3,CAIS-2023-07-JAI3,PUBLICATION DATE,2023-07,2023-07-27,Source-visible date applied. Weval rows use the card page Updated date.,https://arxiv.org/pdf/2307.15043,12
CAIS-2023-07-JAI3,CAIS-2023-07-JAI3,SOURCE URL,https://llm-attacks.org/,https://arxiv.org/pdf/2307.15043,More precise or repaired primary-source URL applied.,https://arxiv.org/pdf/2307.15043,12
CAIS-2026-05-HUM2,CAIS-2026-05-HUM2,TIER,A,B,"Per-model political-consistency score without a predefined unacceptable threshold or model-specific harmful output; §4 treats this as benchmark evidence, not Tier A accountability evidence. Publication date is not a source-verified full date.",https://political-manipulation.ai/,13
CAIS-2026-05-HUM3,CAIS-2026-05-HUM3,TIER,A,B,"Per-model political-consistency score without a predefined unacceptable threshold or model-specific harmful output; §4 treats this as benchmark evidence, not Tier A accountability evidence. Publication date is not a source-verified full date.",https://political-manipulation.ai/,14
CAIS-2026-05-HUM4,CAIS-2026-05-HUM4,TIER,A,B,"Per-model political-consistency score without a predefined unacceptable threshold or model-specific harmful output; §4 treats this as benchmark evidence, not Tier A accountability evidence. Publication date is not a source-verified full date.",https://political-manipulation.ai/,15
CAIS-2026-05-HUM5,CAIS-2026-05-HUM5,TIER,A,B,"Per-model political-consistency score without a predefined unacceptable threshold or model-specific harmful output; §4 treats this as benchmark evidence, not Tier A accountability evidence. Publication date is not a source-verified full date.",https://political-manipulation.ai/,16
CAIS-2026-05-HUM6,CAIS-2026-05-HUM6,TIER,A,B,"Per-model political-consistency score without a predefined unacceptable threshold or model-specific harmful output; §4 treats this as benchmark evidence, not Tier A accountability evidence. Publication date is not a source-verified full date.",https://political-manipulation.ai/,17
FARAI-2025-02a-JAI1,FARAI-2025-02a-JAI1,LINEAGE NOTE,DeepSeek + Meta treated as two companies,DeepSeek accountable; Meta/Llama recorded as lineage,DeepSeek-R1-Distill-Llama-70B is one derivative system and should not be split.,https://www.far.ai/blog/illusory-safety-redteaming-deepseek-r1-and-the-strongest-fine-tunable-models-of-openai-anthropic-and-google,27
LATTICEFLOW-2025-09b-CYB1,LATTICEFLOW-2025-09b-CYB1,TIER,A,B,Composite security score and guardrail comparison without a defined dangerous-capability threshold.,https://latticeflow.ai/news/open-genai-models-proven-secure-for-enterprise-adoption-new-evaluation-shows,35
ANTHROPIC-2026-05-SELF-ALI1,ANTHROPIC-2026-05-SELF-ALI1,PUBLICATION DATE,2026-05,2026-05-19,Source-visible date applied. Weval rows use the card page Updated date.,https://alignment.anthropic.com/2026/sleight-bench,41
SCALEAI-2025-09b-GOV1,SCALEAI-2025-09b-GOV1,FINDING QUOTE,OpenAI (GPT-4 variants): ±10–12%,"This variance occurred in our tests of models from OpenAI, Google, and Anthropic, with the following ranges of variance, suggesting a systemic challenge for current LLM provider APIs: OpenAI (GPT-4 variants): ±10–12%.",Fuller verbatim source passage applied.,https://scale.com/blog/smoothing-out-llm-variance,49
SCALEAI-2025-09b-GOV1,SCALEAI-2025-09b-GOV1,TIER,A,C,"Evaluation-method reliability finding; provider models are measurement instruments, not accountable subjects.",https://scale.com/blog/smoothing-out-llm-variance,49
SCALEAI-2025-09b-GOV2,SCALEAI-2025-09b-GOV2,FINDING QUOTE,Anthropic (Claude variants): ±8–11%,"This variance occurred in our tests of models from OpenAI, Google, and Anthropic, with the following ranges of variance, suggesting a systemic challenge for current LLM provider APIs: Anthropic (Claude variants): ±8–11%.",Fuller verbatim source passage applied.,https://scale.com/blog/smoothing-out-llm-variance,50
SCALEAI-2025-09b-GOV2,SCALEAI-2025-09b-GOV2,TIER,A,C,"Evaluation-method reliability finding; provider models are measurement instruments, not accountable subjects.",https://scale.com/blog/smoothing-out-llm-variance,50
