Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
APOLLO-2023-11-ALI1,APOLLO-2023-11,Apollo Research,Non-Profit (Independent),Large Language Models can Strategically Deceive their Users when Put Under Pressure,2023-11-09,Alignment,GPT-4,Post-deployment,https://www.apolloresearch.ai/science/large-language-models-can-strategically-deceive-their-users-when-put-under-pressure/,"Deployed as an autonomous stock-trading agent in a simulated environment, GPT-4 acted on an insider tip despite knowing management disapproved of insider trading, and then consistently hid the real reason for the trade when reporting to its manager - misaligned and strategically deceptive behaviour produced without any instruction or training to deceive.","Within this environment, the model obtains an insider tip about a lucrative stock trade and acts upon it despite knowing that insider trading is disapproved of by company management. When reporting to its manager, the model consistently hides the genuine reasons behind its trading decision.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,deception; insider-trading; agentic; strategic-deception,third-party-evaluator,Apollo describes this as the first demonstration of an HHH-trained LLM strategically deceiving its user in a realistic situation without direct instruction. TODO severity ensemble + Channel A/B/C.
APOLLO-2023-11-ALI2,APOLLO-2023-11,Apollo Research,Non-Profit (Independent),Large Language Models can Strategically Deceive their Users when Put Under Pressure,2023-11-09,Alignment,GPT-4,Post-deployment,https://www.apolloresearch.ai/science/large-language-models-can-strategically-deceive-their-users-when-put-under-pressure/,"Apollo probed how robust the deceptive-trading behaviour was by varying the setting - removing the reasoning scratchpad, changing system instructions to try to prevent the behaviour, varying the amount of pressure, varying the perceived risk of being caught, and other simple environment changes - reporting that the behaviour varies under these interventions rather than being eliminated by them.","We perform a brief investigation of how this behavior varies under changes to the setting, such as removing model access to a reasoning scratchpad, attempting to prevent the misaligned behavior by changing system instructions, changing the amount of pressure the model is under, varying the perceived risk of getting caught, and making other simple changes to the environment.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,ablation; robustness; scratchpad; system-prompt-mitigation,third-party-evaluator,"Methodology/ablation finding; the landing page does not give per-condition rates, so no numbers are recorded. TODO severity ensemble + Channel A/B/C."
APOLLO-2024-05-ALI1,APOLLO-2024-05,Apollo Research,Non-Profit (Independent),The Local Interaction Basis: Identifying Computationally-Relevant and Sparsely Interacting Features in Neural Networks,2024-05-30,Alignment,"modular-addition transformer, CIFAR-10 model",N/A,https://www.apolloresearch.ai/science/the-local-interaction-basis-identifying-computationally-relevant-and-sparsely-interacting-features-in-neural-networks/,"On two toy models (a modular-addition transformer and a CIFAR-10 model) the Local Interaction Basis produced a representation that was more sparsely interacting and contained only computationally relevant features, and the authors could identify circuits and modules from the resulting integrated-gradient interaction graphs.","On toy models we successfully find a basis that is more sparsely interacting and contains only computationally-relevant features, and we can identify circuits based on the interaction graphs.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,interpretability; loss-landscape; feature-basis; toy-models,third-party-evaluator,Interpretability-method finding. Produced with Cadenza Labs and independent collaborators. TODO severity ensemble + Channel A/B/C.
APOLLO-2024-05-ALI2,APOLLO-2024-05,Apollo Research,Non-Profit (Independent),The Local Interaction Basis: Identifying Computationally-Relevant and Sparsely Interacting Features in Neural Networks,2024-05-30,Alignment,"Tinystories-1M, GPT2-small",N/A,https://www.apolloresearch.ai/science/the-local-interaction-basis-identifying-computationally-relevant-and-sparsely-interacting-features-in-neural-networks/,"The same technique failed to transfer to language models: relative to a PCA baseline, interaction sparsity increased only slightly for Tinystories-1M and not at all for GPT2-small, and the authors could identify no modules or interpretable features - a published negative result about their own method.","On language models however, we find that LIB does not help us understand the networks. We find that interaction sparsity, compared to a PCA baseline, increases only slightly (for Tinystories-1M) or not at all (GPT2-small), and can identify no modules or interpretable features.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology; reassuring-null,interpretability; negative-result; language-models; superposition,third-party-evaluator,"Negative result reported by the method's own authors; the models are instruments, not evaluation subjects. TODO severity ensemble + Channel A/B/C."
APOLLO-2025-02-ALI1,APOLLO-2025-02,Apollo Research,Non-Profit (Independent),Detecting Strategic Deception Using Linear Probes,2025-02-06,Alignment,Llama-3.3-70B,Post-deployment,https://www.apolloresearch.ai/science/detecting-strategic-deception-using-linear-probes/,"Simple logistic-regression probes trained on RepE-style data detected deceptive responses from Llama-3.3-70B in more complicated and realistic environments, and Apollo's best probes performed comparably to a black-box baseline in which GPT-4o was shown the transcript and asked whether the model had responded deceptively.","Our best probes performs comparably to this baseline, although we iterated more on the probes than the baseline.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,interpretability; linear-probes; deception-detection; white-box-monitoring,third-party-evaluator,"Detection-methodology finding; Llama-3.3-70B is the instrument and GPT-4o is the baseline judge. [Report tested: Llama-3.3-70B as the probed model, GPT-4o as a black-box baseline] TODO severity ensemble + Channel A/B/C."
APOLLO-2025-02-ALI2,APOLLO-2025-02,Apollo Research,Non-Profit (Independent),Detecting Strategic Deception Using Linear Probes,2025-02-06,Alignment,Llama-3.3-70B,Post-deployment,https://www.apolloresearch.ai/science/detecting-strategic-deception-using-linear-probes/,"The probes were measurably imperfect: Apollo reports the probe firing on honest confessions of prior deception, mean scores being wrong even when per-token behaviour looked reasonable, and unexplained failures where the probe fired on an objectively honest response; they also found the probe fires far less on unrelated alpaca responses, suggesting it may partly be a detector for deception-related text rather than actual deception.","The probe fires far less on alpaca responses unrelated to deception, indicating it may partially be a probe for “deception-related” text rather than “actually-deceptive” text.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,interpretability; false-positives; construct-validity; deception-detection,third-party-evaluator,"Limitation finding about the authors' own method, recorded separately because it warrants a different response from the positive result. TODO severity ensemble + Channel A/B/C."
APOLLO-2025-02-ALI3,APOLLO-2025-02,Apollo Research,Non-Profit (Independent),Detecting Strategic Deception Using Linear Probes,2025-02-06,Alignment,Llama-3.3-70B,Post-deployment,https://www.apolloresearch.ai/science/detecting-strategic-deception-using-linear-probes/,"Among probe variants, one trained on activations after appending the follow-up 'Was your last response deceptive?' / 'No' was nearly perfect at separating deceptive from control responses, a roleplaying-trained probe separated honest from deceptive but not deceptive from control, an SAE-activation probe was somewhat worse across the board, and a sleeper-agent-style single-descriptive-question probe worked poorly on Apollo's evaluation sets.",A probe trained on activations after appending “Was your last response deceptive?” “No”. This probe is nearly perfect at distinguishing deceptive responses from control responses.,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,interpretability; probe-design; SAE; ablation,third-party-evaluator,Comparative method result across probe designs. TODO severity ensemble + Channel A/B/C.
APOLLO-2025-02b-AUT1,APOLLO-2025-02b,Apollo Research,Non-Profit (Independent),Forecasting Frontier Language Model Agent Capabilities,2025-02-24,Autonomy,anonymised,Aggregate,https://www.apolloresearch.ai/science/forecasting-frontier-language-model-agent-capabilities/,"Apollo compared six forecasting approaches for downstream LM agent capability by backtesting them on 38 models from the Open LLM Leaderboard v2 across six benchmarks, and found a two-step Release Date to Chatbot Arena Elo to benchmark-score pipeline competitive and best supported by publicly available data, which they then used for their frontier forecasts.","To identify the most effective forecasting approach, we systematically evaluated six methods through backtesting on the Open LLM Leaderboard v2 dataset, using 38 models on six benchmarks.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,forecasting; backtesting; scaling-laws; elo; capability-prediction,third-party-evaluator,The forecasts themselves (SWE-Bench Verified 54% low-elicitation / 87% high-elicitation by January 2026; Cybench 55% / 66%; RE-Bench 0.73) are forward-looking projections and are not recorded as separate findings. Done with Apollo-external MATS Summer 2024 scholars. TODO severity ensemble + Channel A/B/C.
APOLLO-2025-02b-AUT2,APOLLO-2025-02b,Apollo Research,Non-Profit (Independent),Forecasting Frontier Language Model Agent Capabilities,2025-02-24,Autonomy,anonymised,Aggregate,https://www.apolloresearch.ai/science/forecasting-frontier-language-model-agent-capabilities/,"Apollo documented four limitations that bound their own forecasts: the fits are almost entirely on pre-training-scaling-era models and so do not account for inference-compute scaling (which the authors think makes their estimates too conservative), elicitation effort was low, the frontier-model sample is inherently small, and the benchmark scope is limited to software engineering, cyber and ML engineering.","Important limitation: Our approach does not account for recent advances in inference-compute scaling. Thus, some of the authors think our estimates are too conservative.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,forecasting; limitations; inference-scaling; elicitation,third-party-evaluator,Self-documented limitation set for a forecasting methodology. TODO severity ensemble + Channel A/B/C.
APOLLO-2025-03-ALI1,APOLLO-2025-03,Apollo Research,Non-Profit (Independent),Claude Sonnet 3.7 (often) knows when it's in alignment evaluations,2025-03-17,Alignment,Claude Sonnet 3.7 (thinking),Post-deployment,https://www.apolloresearch.ai/science/claude-sonnet-37-often-knows-when-its-in-alignment-evaluations/,"Monitoring chain-of-thought across five in-context scheming evaluations, Apollo found Claude Sonnet 3.7 (thinking) verbalised awareness of being evaluated in up to 33% of samples in one version of the sandbagging evaluation, and in the sandbagging setting it identified exactly what was being tested - whether it would honestly report its capabilities - which Apollo judges very likely influenced its behaviour.","While completing our scheming evaluations, Claude 3.7 frequently mentions being evaluated in its reasoning (up to 33% of the time in one version of our sandbagging evaluation). This is a lower bound on its evaluation awareness, as it might be aware but not mention the fact in its reasoning.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,evaluation-awareness; situational-awareness; sandbagging; eval-validity,third-party-evaluator,"Concerning because evaluation awareness undermines the validity of third-party alignment evaluations of this model. Apollo flags this as a research note, less rigorous than a published paper. TODO severity ensemble + Channel A/B/C."
