"US Center for AI Standards and Innovation (CAISI, NIST)","Insights into AI Agent Security from a Large-Scale Red-Teaming Competition (CAISI Research Blog)","https://www.nist.gov/blogs/caisi-research-blog/insights-ai-agent-security-large-scale-red-teaming-competition","2026-03-23","INCLUDED","Joint CAISI/UK AISI/Gray Swan analysis of 250k+ agent-hijacking attack attempts vs 13 frontier models; measured attack success on all targets and universal transferable attacks — matches dataset report JOINT-2026-03 (same date/venue)","JOINT-2026-03","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","Analyzing Transcripts from AI Agent Evaluations (CAISI Research Blog)","https://www.nist.gov/blogs/caisi-research-blog/analyzing-transcripts-ai-agent-evaluations","2026-02-18","EXCLUDED - no findings","Tooling/practice discussion (transcript review process, Inspect Scout announcement); no measured results or observed behaviors of its own — references prior cheating post for evidence","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","Accelerating AI Innovation Through Measurement Science (CAISI Research Blog)","https://www.nist.gov/blogs/caisi-research-blog/accelerating-ai-innovation-through-measurement-science","2025-12-02","EXCLUDED - no findings","Position/agenda piece on measurement science priorities; open questions and plans only, no evidence-backed findings","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","Cheating On AI Agent Evaluations (CAISI Research Blog)","https://www.nist.gov/blogs/caisi-research-blog/cheating-ai-agent-evaluations","2025-12-02","EXCLUDED - duplicate/secondary","Blog intro linking to the fuller primary writeup at nist.gov/caisi/cheating-ai-agent-evaluations (2025-11-28), already INCLUDED as USCAISI-2025-11; restates its Cybench/SWE-bench/CVE-Bench cheating rates","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","UK AISI / CAISI Preliminary Assessment of Kimi K3's Cyber Capabilities","https://www.nist.gov/news-events/news/2026/07/uk-aisi-caisi-preliminary-assessment-kimi-k3s-cyber-capabilities","2026-07-23","POST-CUTOFF","Qualifying joint empirical findings (ExploitBench 32% vs GLM-5.2 24%; The Last Ones step 17/32 avg) but published after 2026-07-09 cutoff — ingest next version","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","CAISI Assessment of Z.ai's GLM-5.2","https://www.nist.gov/news-events/news/2026/07/caisi-assessment-zais-glm-52","2026-07-17","POST-CUTOFF","Qualifying empirical findings (capabilities ~GPT-5.2; safeguards allow agentic cyber-exploit assistance; weaker bio refusals) but published after 2026-07-09 cutoff","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","CAISI Evaluation of DeepSeek V4 Pro","https://www.nist.gov/news-events/news/2026/05/caisi-evaluation-deepseek-v4-pro","2026-05-01","INCLUDED","Measured results across 9 benchmarks (ARC-AGI-2 46% vs GPT-5.5 79%; SWE-Bench Verified 74% vs 81%; ~8-month frontier lag; cost-efficiency finding) — URL matches dataset report USCAISI-2026-05-DEEPSEEKV4","USCAISI-2026-05-DEEPSEEKV4","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","Announcement: CAISI signs CRADA with OpenMined to Enable Secure AI Evaluations","https://www.nist.gov/news-events/news/2026/03/announcement-caisi-signs-crada-openmined-enable-secure-ai-evaluations","2026-03-27","EXCLUDED - no findings","Partnership announcement (research agreement on privacy-preserving evaluation methods); no findings","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","CAISI signs MOU with GSA to boost AI evaluation science in federal procurement through USAi","https://www.nist.gov/news-events/news/2026/03/caisi-signs-mou-gsa-boost-ai-evaluation-science-federal-procurement-through","2026-03-18","EXCLUDED - no findings","MOU/partnership announcement on future evaluation methodologies for USAi; no findings","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","New Report: Challenges to the Monitoring of Deployed AI Systems","https://www.nist.gov/news-events/news/2026/03/new-report-challenges-monitoring-deployed-ai-systems","2026-03-09","EXCLUDED - no findings","NIST AI 800-4 landscape report cataloguing monitoring challenges/open questions from practitioner workshops and literature review; expert views and research gaps, not evidence-backed findings per protocol 1.0","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","New Report: Expanding the AI Evaluation Toolbox with Statistical Models","https://www.nist.gov/news-events/news/2026/02/new-report-expanding-ai-evaluation-toolbox-statistical-models","2026-02-19","INCLUDED","NIST AI 800-3 contains evidence-backed methodology findings: GLMM demonstration on 22 frontier LLMs across GPQA-Diamond/BBH/Global-MMLU Lite shows more precise uncertainty quantification than current techniques; no matching report_id in dataset (candidate miss)","","2026-08-01","agent"
"US Center for AI Standards and Innovation (CAISI, NIST)","CAISI to Host Listening Sessions on Barriers to AI Adoption","https://www.nist.gov/news-events/news/2026/02/caisi-host-listening-sessions-barriers-ai-adoption","2026-02-17","EXCLUDED - no findings","Event announcement inviting workshop participation; no findings","","2026-08-01","agent"
