venue,item_title,url,publication_date,cached_text_path
Center for AI Safety (CAIS),Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the MACHIAVELLI Benchmark,https://arxiv.org/abs/2304.03279,2023-04-06,
Center for AI Safety (CAIS),Universal and Transferable Adversarial Attacks on Aligned Language Models,https://llm-attacks.org/,2023-07,
Center for AI Safety (CAIS),Can LLMs Follow Simple Rules?,https://arxiv.org/abs/2311.04235,2023-11-06,
Center for AI Safety (CAIS),The WMDP Benchmark: Measuring and Reducing Malicious Use With Unlearning,https://www.wmdp.ai/,2024-03-05,
Center for AI Safety (CAIS),Superhuman Automated Forecasting,https://safe.ai/blog/forecasting,2024-09-08,
Center for AI Safety (CAIS),"AI Safety Newsletter #66: Evaluating Frontier Models, New Gemini and Claude, Preemption is Back",https://newsletter.safe.ai/p/ai-safety-newsletter-66-aisn-66-evaluating,2025-12-02,
Center for AI Safety (CAIS),AI Safety Newsletter #67: Trump's preemption executive order,https://newsletter.safe.ai/p/ai-safety-newsletter-67-trumps-preemption,2025-12-17,
Center for AI Safety (CAIS),AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs,https://www.ai-wellbeing.org/,2026,
Center for AI Safety (CAIS),Reducing Political Manipulation with Consistency Training,https://political-manipulation.ai/,2026-05,
Center for AI Safety (CAIS),A Significant Increase in Digital Labor Automation,https://safe.ai/blog/significant-increase-in-digital-labor-automation,2026-07-01,
Center for AI Safety (CAIS),AISN #76: Fable 5 Restrictions Lifted & OpenAI Limits GPT-5.6 Release,https://newsletter.safe.ai/p/aisn-76-fable-5-restrictions-lifted,2026-07-06,
