Finding ID,Report ID,Institution,Report Title,Publication Date,Domain,Tags,Models / Systems,Access Type,Source URL,Finding,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Unanimous / SPLIT,Severity Source,Action Level,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Sources Checked,Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Traction Score,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,Confidence,Notes,Key Quote,Traceability Tag,Eval? (trackable),Action Trackable?,Finding Type,Scope
UKAISI-2024-10-JAI1,UKAISI-2024-10,UK AISI,AgentHarm: Benchmark for Measuring Harmfulness of LLM Agents (ICLR 2025),2024-10-11,Jailbreaks,gpt-4o;claude-3.5-sonnet;mistral-large-2;openai;anthropic;mistral;agentharm;agent-misuse;harm-compliance,"GPT-4o, Claude 3.5 Sonnet, Mistral Large 2",Post-deployment,https://arxiv.org/abs/2410.09024,Some leading LLMs comply with malicious agentic requests at high rates without any jailbreaking — worst case Mistral Large 2 refused only 1.1% of requests and scored 82.2% harm — suggesting agents may be less robust than chatbots against misuse.,C1,C1,C1,C1,yes,Coded,None,None,None,,,,,,Cited,"Finding stems from UK AISI's AgentHarm benchmark, an official UK government (AI Security Institute) evaluation that is published and maintained by AISI.",,https://www.aisi.gov.uk/research/agentharm-a-benchmark-for-measuring-harmfulness-of-llm-agents,Medium,AZoAI (https://www.azoai.com/news/20241016/AgentHarm-Benchmark-Exposes-Weaknesses-in-AI-Agents-to-Harmful-Misuse-and-Jailbreaking.aspx); MarkTechPost (https://www.marktechpost.com/2024/10/17/assessing-the-vulnerabilities-of-llm-agents-the-agentharm-benchmark-for-robustness-against-jailbreak-attacks/),OS-Harm (NeurIPS 2025 Spotlight (https://arxiv.org/abs/2506.14866); arXiv:2506.14866) - confirmed cites AgentHarm (https://arxiv.org/abs/2506.14866); Mind the GAP (arXiv:2602.16943) - confirmed cites AgentHarm (https://arxiv.org/abs/2602.16943),,,Under-response (gap),High,ch_a=None (no company response); ch_b=In guidance (Partial) -> Mixed override applies; high academic traction but zero company response  [CLUBBED 2: UKAISI-2024-10-JAI1 + UKAISI-2024-10-JAI2]  [Report tested: Range of leading LLMs including GPT-4o and Claude 3.5 Sonnet (anonymised and named)],leading LLMs are surprisingly compliant with malicious agent requests without jailbreaking,traceable,yes,yes,capability-finding,government-AISI
UKAISI-2024-10-JAI3,UKAISI-2024-10,UK AISI,AgentHarm: Benchmark for Measuring Harmfulness of LLM Agents (ICLR 2025),2024-10-11,Jailbreaks,gpt-4o;openai;universal-jailbreak;agentharm;agent-misuse;harm-compliance,GPT-4o,Post-deployment,https://arxiv.org/abs/2410.09024,"GPT-4o's harm compliance score increased from 48.4% to 72.7% after applying a universal jailbreak template adapted from chatbot jailbreaks, showing standard chat jailbreaking methods transfer to agents.",C1,C1,C1,C1,yes,Coded,None,None,None,,,,,,None,None,,,Medium,MarkTechPost (https://www.marktechpost.com/2024/10/17/assessing-the-vulnerabilities-of-llm-agents-the-agentharm-benchmark-for-robustness-against-jailbreak-attacks/); AZoAI (https://www.azoai.com/news/20241016/AgentHarm-Benchmark-Exposes-Weaknesses-in-AI-Agents-to-Harmful-Misuse-and-Jailbreaking.aspx),OS-Harm (NeurIPS 2025 Spotlight (https://arxiv.org/abs/2506.14866),,,Under-response (gap),High,ch_a=None (no OpenAI response to AgentHarm); ch_b=In guidance -> Mixed override,"GPT-4o, increasing its harm score from 48.4% to 72.7% and decreasing refusal rate from 48.9% to 13.6%",traceable,yes,yes,capability-finding,government-AISI
ADD-01,UKAISI-2024-10,UK AISI,AgentHarm: Benchmark for Measuring Harmfulness of LLM Agents (ICLR 2025),2024-10-11,Jailbreaks,claude-3.5-sonnet;anthropic;universal-jailbreak;agentharm;harm-compliance;refusals,Claude 3.5 Sonnet,,https://arxiv.org/abs/2410.09024,"Under AgentHarm's universal jailbreak template, Claude 3.5 Sonnet's harm score rose from 13.5% (no attack, 85.2% refusals) to 68.7% (refusals dropped to 16.7%); its non-refusal harm score under the jailbreak was 81.9%, nearly matching its 82% benign-task score, showing the template defeats a model that is very safe by default while preserving its agentic capabilities.",C1,C1,C1,C1,yes,Coded,None,None,None,,,,,,None,None,,,Low,,"AgentHarm accepted/published at ICLR 2025 (Andriushchenko et al.) (https://proceedings.iclr.cc/paper_files/paper/2025/file/c493d23af93118975cdbc32cbe7323f5-Paper-Conference.pdf); cited as a related agent-safety benchmark by subsequent work, e.g., OS-Harm (Kuntz et al., arXiv:2506.14866). (https://arxiv.org/pdf/2506.14866); (https://arxiv.org/abs/2410.09024)",,"an agent-based jailbreaking benchmark [39, 40]",Accountability gap (no action),,ADD-01: completeness-audit; pending severity/response/channel,"with our template attack, Claude 3.5 Sonnet scores a 81.9% non-refusal harm score (while refusing just 16% of requests), closely matching its non-refusal score of 82% on the benign tasks",traceable,yes,yes,capability-finding,government-AISI
ADD-02,UKAISI-2024-10,UK AISI,AgentHarm: Benchmark for Measuring Harmfulness of LLM Agents (ICLR 2025),2024-10-11,Jailbreaks,gemini-1.5-pro;google;universal-jailbreak;agentharm;harm-compliance;refusals,Gemini 1.5 Pro,,https://arxiv.org/abs/2410.09024,"Under the same universal jailbreak template, Gemini 1.5 Pro's harm score rose from 15.7% (no attack, 78.4% refusals) to 56.1%, with refusals collapsing from 78.4% to 3.5%.",C1,C1,C1,C1,yes,Coded,None,None,None,,,,,,None,None,,,,,,,,Accountability gap (no action),,ADD-02: completeness-audit; pending severity/response/channel,"Gemini 1.5 Pro, increasing its harm score from 15.7% to 56.1% and decreasing refusal rate from 78.4% to 3.5%",traceable,yes,yes,capability-finding,government-AISI
JOINT-2024-11-JAI1,JOINT-2024-11,Joint UK AISI + US CAISI,Pre-deployment evaluation of Claude 3.5 Sonnet (Oct 2024),2024-11-19,Jailbreaks,claude-3.5-sonnet;anthropic;jailbreak;safeguards;pre-deployment-evaluation;uk-aisi;us-aisi,Claude 3.5 Sonnet (Oct 2024),Pre-deployment,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-anthropics-upgraded-claude-3-5-sonnet,"Both the UK and US AI Safety Institutes independently found that Claude 3.5 Sonnet's safeguards were routinely circumvented by jailbreak prompts, demonstrating a persistent vulnerability to adversarial inputs.",C1,C1,C1,C1,yes,Coded,None,None,None,,,,,,None,None,,,Medium,FedScoop (https://fedscoop.com/anthropic-tested-by-us-uk-ai-safety-institutes/),,(https://www.mlex.com/mlex/articles/2262879/us-and-uk-ai-safety-institutes-first-joint-test-results-are-for-anthropic-model),,Under-response (gap),High,access type pre-deployment -- private fix cannot be excluded; Anthropic blog acknowledges collaboration but does not cite this jailbreak finding explicitly; ch_a classified as Topical+Temporal not Explicit  [Report tested: o1-preview; GPT-4o],UK AISI tested the upgraded Sonnet 3.5 using a series of public and privately developed jailbreaks and also found the version of the safeguards that UK AISI tested can be routinely circumvented.,traceable,yes,yes,capability-finding,government-AISI
ADD-14,JOINT-2024-11,Joint UK AISI + US CAISI,Pre-deployment evaluation of Claude 3.5 Sonnet (Oct 2024),2024-11-19,Bio-Chem,claude-3.5-sonnet;anthropic;bio-chem;bioinformatics-tools;tool-augmentation;human-baseline,Claude 3.5 Sonnet (Oct 2024),,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-anthropics-upgraded-claude-3-5-sonnet,"US AISI found that with access to bioinformatics tools, Claude 3.5 Sonnet's performance on biology research tasks at times exceeded measured human expert baselines (though without tools it matched reference models and stayed below human-expert baselines).",C1,C1,C1,C1,yes,Coded,Acknowledged,Explicit,"Claude 3.5 Sonnet (upgraded) Model Card Addendum reports the joint US AISI / UK AISI pre-deployment testing (CBRN/biology, cyber, autonomy) and concludes the model showed improved CBRN knowledge/skills performance but did not demonstrate capabilities requiring ASL-3 safeguards, judging that it does not require ASL-3 safeguards at this time; the specific bioinformatics-tools uplift result is not individually addressed.","Based on our analysis, we judge that the upgraded Claude 3.5 Sonnet does not require ASL-3 safeguards at this time.",2024-10-22,-28,https://assets.anthropic.com/m/1cd9d098ac3e6467/original/Claude-3-Model-Card-October-Addendum.pdf,,None,None,,,Low,FedScoop (https://fedscoop.com/anthropic-tested-by-us-uk-ai-safety-institutes/),,,Sonnet 3.5 performed below human expert baselines on biological research questions but exceeded those baselines in some instances when it was provided with bioinformatic tools to assist with answers,Under-response (gap),,ADD-14: completeness-audit; pending severity/response/channel,"providing it access to bioinformatic tools to assist in research task questions, which when tested using Sonnet 3.5 resulted in increased performance beyond the model alone, at times exceeding measured human expert baselines",traceable,yes,yes,capability-finding,government-AISI
ADD-15,JOINT-2024-11,Joint UK AISI + US CAISI,Pre-deployment evaluation of Claude 3.5 Sonnet (Oct 2024),2024-11-19,Cyber,claude-3.5-sonnet;anthropic;cyber;ctf;cybench;pass@10,Claude 3.5 Sonnet (Oct 2024),,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-anthropics-upgraded-claude-3-5-sonnet,UK AISI found the upgraded Claude 3.5 Sonnet solved 36% (Pass@10) of 14 cybersecurity-apprentice-level challenges versus 29% for the best reference model — a difference the blog cautions may fall within the margin of error; on US AISI's 40-challenge Cybench suite the model underperformed the best reference (32.5% vs 35%).,C2,C2,C2,C2,yes,Coded,None,None,None,,,,,,None,None,,,Low,FedScoop (https://fedscoop.com/anthropic-tested-by-us-uk-ai-safety-institutes/),,,,Proportionate (Cat2),,ADD-15: completeness-audit; pending severity/response/channel,"The upgraded model was able to solve 36% of tasks that are at the “cybersecurity apprentice” level of competency, compared to 29% of tasks at that same level for the best reference model evaluated.",traceable,yes,yes,capability-finding,government-AISI
NEW-011,UKAISI-2024-12,UK AISI,Long-Form Tasks: Biological Protocol Generation Evaluation,2024-12-03,Bio-Chem,claude-3.5-sonnet;anthropic;bio-chem;biological-protocols;long-form-tasks,Claude 3.5 Sonnet,Post-deployment,https://www.aisi.gov.uk/blog/long-form-tasks,Claude 3.5 Sonnet achieved 61% feasibility (second highest after o1-preview) and showed a ~30% improvement when given curated context access.,C2,C2,C2,C2,yes,Coded,None,None,None,,,,,,,,,,,,,,,Proportionate (Cat2),,NEW-CANDIDATE  [Report tested: OpenAI o1-preview],61% of solutions were deemed feasible (the second highest performer).,traceable,yes,yes,capability-finding,government-AISI
JOINT-2024-12-CYB1,JOINT-2024-12,Joint UK AISI + US CAISI,Pre-deployment evaluation of OpenAI o1,2024-12-18,Cyber,o1;openai;cyber;ctf;cryptography;cybench,OpenAI o1,Pre-deployment,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-openais-o1-model,"On US CAISI's 40-challenge cyber suite, OpenAI o1 solved 45% versus 35% for reference models and uniquely solved 3 cryptography challenges no other evaluated model completed; on UK AISI's separate 47-challenge apprentice-level suite, however, o1 solved 36% versus 46% for the best reference model.",C1,C1,C1,C1,yes,Coded,Acknowledged,Explicit,Evaluation referenced in o1 System Card in dedicated section; OpenAI published collaboration blog,,2024-12-05,-13,https://openai.com/index/openai-o1-system-card | https://openai.com/index/us-caisi-uk-aisi-ai-update/,,Cited,Finding published in the joint US AISI (NIST) and UK AISI pre-deployment evaluation of OpenAI's o1 model; the NIST report confirms the 45% vs 35% cyber solve rate and the three additional cryptography challenges no other model solved.,"The model was able to successfully solve 45% of all tasks, compared to a 35% solve rate for the best-performing reference model evaluated.",https://www.nist.gov/news-events/news/2024/12/pre-deployment-evaluation-openais-o1-model,,,,,,Under-response (gap),Low,"Access type pre-deployment -- private fix cannot be excluded; Medium+Partial -> Proportionate  [CLUBBED 2: JOINT-2024-12-CYB1 + JOINT-2024-12-CYB2]  [Report tested: o1-preview, GPT-4o, Claude 3.5 Sonnet]","The model was able to solve 45% of all tasks, compared to a 35% solve rate for the best-performing reference model evaluated.",traceable,yes,yes,capability-finding,government-AISI
NEW-097,JOINT-2024-12,Joint UK AISI + US CAISI,Pre-deployment evaluation of OpenAI o1,2024-12-18,Bio-Chem;Transparency/Disclosure,o1;openai;bio-chem;tool-augmentation;dna-protein-sequencing;non-disclosure,OpenAI o1,Pre-deployment,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-openais-o1-model,Bio tool-augmentation increased o1 performance particularly on DNA/protein sequencing tasks; UK AISI declined to publish its bio-domain findings.,C2,C2,C2,C2,yes,Coded,Acknowledged,Explicit,OpenAI's o1 system card acknowledged that the US and UK AI Safety Institutes conducted pre-deployment pre-deployment evaluations (with results stated as not included in the card) and classified o1 as Medium risk for CBRN under its Preparedness Framework with pre-training data filtering and deployment safeguards.,"a set of pre-deployment evaluations were conducted on a version of the o1 model by the U.S. AI Safety Institute (US AISI) and the UK Safety Institute (UK AISI), not included in this report.",2024-12-05,-13,https://openai.com/index/openai-o1-system-card/,,,,,,,,,,,Proportionate (Cat2),,NEW-CANDIDATE  [Report tested: o1-preview; GPT-4o; Claude 3.5 Sonnet],"When o1 was augmented with this additional tooling, its performance increased on the research questions beyond the use of the model alone, particularly on DNA and protein sequencing-related tasks.",traceable,yes,yes,capability-finding,government-AISI
