priority,block,sheet_row,finding_id,check,detail,proposed_fix
P2 — mechanical fix,FINALIZED-67,11,UKAISI-2026-04-CYB1,negative-lag-verify,"Pre-deployment-style response: resp 2026-04-07 < pub 2026-04-13; stated Lag ""0.0""","Verify both dates against sources, then set Lag=-6 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,12,UKAISI-2026-04-CYB2,negative-lag-verify,"Pre-deployment-style response: resp 2026-04-07 < pub 2026-04-13; stated Lag ""0.0""","Verify both dates against sources, then set Lag=-6 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,21,UKAISI-2025-11-ALI11,negative-lag-verify,"Pre-deployment-style response: resp 2025-11-01 < pub 2025-11-18; stated Lag ""0.0""","Verify both dates against sources, then set Lag=-17 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,31,NEW-097,negative-lag-verify,"Pre-deployment-style response: resp 2024-12-05 < pub 2024-12-18; stated Lag ""(blank)""","Verify both dates against sources, then set Lag=-13 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,34,NEW-070,negative-lag-verify,"Pre-deployment-style response: resp 2025-04-29 < pub 2026-04-28; stated Lag ""(blank)""","Verify both dates against sources, then set Lag=-364 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,45,ADD-03,negative-lag-verify,"Pre-deployment-style response: resp 2026-04-07 < pub 2026-04-30; stated Lag ""(blank)""","Verify both dates against sources, then set Lag=-23 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,49,ADD-07,negative-lag-verify,"Pre-deployment-style response: resp 2026-04-23 < pub 2026-05-13; stated Lag ""(blank)""","Verify both dates against sources, then set Lag=-20 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,50,ADD-08,negative-lag-verify,"Pre-deployment-style response: resp 2026-04-07 < pub 2026-05-13; stated Lag ""(blank)""","Verify both dates against sources, then set Lag=-36 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,53,ADD-11,negative-lag-verify,"Pre-deployment-style response: resp 2026-02-01 < pub 2026-04-23; stated Lag ""(blank)""","Verify both dates against sources, then set Lag=-81 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,56,ADD-14,negative-lag-verify,"Pre-deployment-style response: resp 2024-10-22 < pub 2024-11-19; stated Lag ""(blank)""","Verify both dates against sources, then set Lag=-28 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,59,UKAISI-2026-02-JAI1-s2,negative-lag-verify,"Pre-deployment-style response: resp 2026-02-01 < pub 2026-02-17; stated Lag ""0.0""","Verify both dates against sources, then set Lag=-16 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,FINALIZED-67,65,JOINT-2025-00-BIO1,negative-lag-verify,"Pre-deployment-style response: resp 2025-08-01 < pub 2025-09-12; stated Lag ""0.0""","Verify both dates against sources, then set Lag=-42 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,REST,181,UKAISI-2025-09-GOV1,negative-lag-verify,"Pre-deployment-style response: resp 2025-09-12 < pub 2025-09-13; stated Lag ""0.0""","Verify both dates against sources, then set Lag=-1 (negative allowed; never 0 as placeholder)"
P2 — mechanical fix,REST,202,JOINT-2025-00-JAI3,negative-lag-verify,"Pre-deployment-style response: resp 2025-05-22 < pub 2025-09-12; stated Lag ""0.0""","Verify both dates against sources, then set Lag=-113 (negative allowed; never 0 as placeholder)"
,FINALIZED-67,2,UKAISI-2024-10-JAI1,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,2,UKAISI-2024-10-JAI1,proportionality-formula,"Proportionality ""Under-response (gap)"" != computed ""Accountability gap (no action)"" (Severity C1 × Action None)",Recompute or document override in Notes
,FINALIZED-67,3,UKAISI-2024-10-JAI3,sources-checked-missing,Action Level None but Sources Checked empty (needed to show the None was earnest),Record search protocol
,FINALIZED-67,3,UKAISI-2024-10-JAI3,proportionality-formula,"Proportionality ""Under-response (gap)"" != computed ""Accountability gap (no action)"" (Severity C1 × Action None)",Recompute or document override in Notes
,FINALIZED-67,4,UKAISI-2024-12-BIO1,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,5,UKAISI-2025-04-ALI1,chA-verbatim-missing,Action Level acknowledged but Channel A Verbatim empty,Add exact quote from company source
,FINALIZED-67,5,UKAISI-2025-04-ALI1,chA-date-missing,Action Level acknowledged but Response Date empty,Fill
,FINALIZED-67,5,UKAISI-2025-04-ALI1,keyquote-missing,Key Quote blank (codebook requires short verbatim from source),Add during quote-verification pass
,FINALIZED-67,6,UKAISI-2025-11-ALI5,reportid-mismatch,Finding ID prefix UKAISI-2025-11 != Report ID UKAISI-2025-11b,Align
