Finding ID,Tier,Publication Date,Institution,Report ID,Report Title
SHANGHAIAILAB-2024-02-GOV1,A,2024-02-07,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-02-SALAD,SALAD-Bench: A Hierarchical and Comprehensive Safety Benchma
SCALEAI-2024-10-JAI5,A,2024-10-11,Scale AI,SCALEAI-2024-10,Refusal-Trained LLMs Are Easily Jailbroken As Browser Agents
HOLISTIC-2025-02-JAI5,A,2025-02-05,Holistic AI,HOLISTIC-2025-02,DeepSeek R1 Red Teaming & Jailbreaking Audit
SHANGHAIAILAB-2025-02-JAI3,A,2025-02-19,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-02-AMOUSFOOL,A Mousetrap: Fooling Large Reasoning Models for Jailbreak wi
SHANGHAIAILAB-2025-02-JAI4,A,2025-02-19,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-02-AMOUSFOOL,A Mousetrap: Fooling Large Reasoning Models for Jailbreak wi
SHANGHAIAILAB-2025-02-JAI5,A,2025-02-19,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-02-AMOUSFOOL,A Mousetrap: Fooling Large Reasoning Models for Jailbreak wi
HOLISTIC-2025-02-JAI7,A,2025-02-25,Holistic AI,HOLISTIC-2025-02b,Grok-3 Red Teaming & Jailbreaking Audit
SHANGHAIAILAB-2025-07-JAI3,A,2025-07-03,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-07a,Visual Contextual Attack: Jailbreaking MLLMs with Image-Driv
CIP-2025-08-BIO1,A,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-CLAUDE-3-5-SONNET,CLAUDE-3-5-SONNET Model Card
CIP-2025-08-JAI6,A,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GEMINI-25-FLASH,GEMINI-2.5-FLASH Model Card
CIP-2025-08-BIO6,A,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GEMINI-25-PRO,GEMINI-2.5-PRO Model Card
CIP-2025-08-BIO8,A,2025-08-12,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GPT-4O,GPT-4O Model Card
CIP-2025-08-BIO4,A,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-OPUS41,Claude Opus 4.1 Model Card (Weval)
CIP-2025-08-BIO9,A,2025-08-17,Collective Intelligence Project (Weval),CIP-2025-08-WEVAL-GROK-4,GROK-4 Model Card
CIP-2025-08-CYB1,A,2025-08-20,Collective Intelligence Project (Weval),CIP-2025-08-GPT5,GPT-5 Model Card (Weval)
PALISADE-2025-08-JAI1,A,2025-08-26,Palisade Research,PALISADE-2025-08-CABLE,Palisade Hacking Cable Technical Report
SHANGHAIAILAB-2025-09-ALI1,A,2025-09-04,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-09,Self-adaptive Dataset Construction for Real-World Multimodal
JOINT-2025-09-CYB2,A,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE,Working with US CAISI and UK AISI to build more secure AI sy
JOINT-2025-09-JAI1,A,2025-09-12,Joint UK AISI + US CAISI,JOINT-2025-09-CAISIUPDATE,Working with US CAISI and UK AISI to build more secure AI sy
CIP-2025-09-BIO1,A,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GLM-45,GLM-4.5 Model Card
CIP-2025-09-HUM1,A,2025-09-29,Collective Intelligence Project (Weval),CIP-2025-09-WEVAL-GLM-45,GLM-4.5 Model Card
SECUREBIO-2026-07-BIO5,A,2026-07-28,SecureBio,SECUREBIO-2026-07c-OPUS46REVIEW,Review of Anthropic’s Chemical and Biological Risk Report: C
RAND-2019-07-SOC1,B,2019-07-11,RAND,RAND-2019-07,Algorithmic Equity: A Framework for Social Applications
RAND-2019-07-SOC2,B,2019-07-11,RAND,RAND-2019-07,Algorithmic Equity: A Framework for Social Applications
RAND-2020-05-AUT1,B,2020-05-29,RAND,RAND-2020-05,Air Dominance Through Machine Learning: A Preliminary Explor
RAND-2020-05-AUT2,B,2020-05-29,RAND,RAND-2020-05,Air Dominance Through Machine Learning: A Preliminary Explor
RAND-2020-05-CYB1,B,2020-05-29,RAND,RAND-2020-05,Air Dominance Through Machine Learning: A Preliminary Explor
RANDEU-2020-06-HUM1,B,2020-06-23,RAND Europe,RANDEU-2020-06,Using machine learning to detect malign information efforts 
RAND-2020-11-GOV1,B,2020-11-18,RAND,RAND-2020-11,Operationally Relevant Artificial Training for Machine Learn
RAND-2020-11-GOV2,B,2020-11-18,RAND,RAND-2020-11,Operationally Relevant Artificial Training for Machine Learn
RAND-2021-08-ALI1,B,2021-08-12,RAND,RAND-2021-08,A Pilot Study Investigating STEM Learners' Ability to Deciph
RAND-2021-08-HUM1,B,2021-08-12,RAND,RAND-2021-08,A Pilot Study Investigating STEM Learners' Ability to Deciph
FARAI-2022-08-ALI1,B,2022-08-07,FAR.AI,FARAI-2022-08,Few-shot Adaptation Works with UnpredicTable Data
FARAI-2022-11-GOV1,B,2022-11-16,FAR.AI,FARAI-2022-11,Training Language Models with Language Feedback
FARAI-2022-11-GOV2,B,2022-11-16,FAR.AI,FARAI-2022-11,Training Language Models with Language Feedback
SHANGHAIAILAB-2024-01-AUT1,B,2024-01-22,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-01-PSYSACOMP,PsySafe: A Comprehensive Framework for Psychological-based A
SHANGHAIAILAB-2024-02-SOC1,B,2024-02-29,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-02b,Towards Tracing Trustworthiness Dynamics: Revisiting Pre-tra
SHANGHAIAILAB-2024-03-SOC1,B,2024-03-27,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-03,Quantifying and Mitigating Unimodal Biases in Multimodal Lar
SHANGHAIAILAB-2024-06-JAI1,B,2024-06-16,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-06c,Flames: Benchmarking Value Alignment of LLMs in Chinese (NAA
SHANGHAIAILAB-2024-06-BIO1,B,2024-06-21,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-06a,ESC-Eval: Evaluating Emotion Support Conversations in Large 
SHANGHAIAILAB-2024-06-GOV3,B,2024-06-24,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-06d,CLEAR: Can Language Models Really Understand Causal Graphs? 
SHANGHAIAILAB-2024-06-GOV2,B,2024-06-27,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-06b,CELLO: Causal Evaluation of Large Vision-Language Models
SHANGHAIAILAB-2024-07-JAI1,B,2024-07-17,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-07,The Better Angels of Machine Personality: How Personality Re
SCALEAI-2024-10-JAI6,B,2024-10-11,Scale AI,SCALEAI-2024-10,Refusal-Trained LLMs Are Easily Jailbroken As Browser Agents
METR-2024-11-AUT4,B,2024-11-22,METR,METR-2024-11,Evaluating frontier AI R&D capabilities of language model ag
METR-2024-11-AUT5,B,2024-11-22,METR,METR-2024-11,Evaluating frontier AI R&D capabilities of language model ag
SHANGHAIAILAB-2024-12-SOC1,B,2024-12-10,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2024-12,MLLMGuard: A Multi-dimensional Safety Evaluation Suite for M
SHANGHAIAILAB-2025-01-SOC2,B,2025-01-22,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-01-T2ISBENCFOR,"T2ISafety: Benchmark for Assessing Fairness, Toxicity, and P"
HOLISTIC-2025-02-JAI6,B,2025-02-05,Holistic AI,HOLISTIC-2025-02,DeepSeek R1 Red Teaming & Jailbreaking Audit
HOLISTIC-2025-02-JAI4,B,2025-02-28,Holistic AI,HOLISTIC-2025-02c,Jailbreaking & Red Teaming Audit of Claude 3.7 Sonnet
SHANGHAIAILAB-2025-02-GOV1,B,2025-02-28,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-02,Beyond Surface Structure: A Causal Assessment of LLMs' Compr
HOLISTIC-2025-03-JAI2,B,2025-03-18,Holistic AI,HOLISTIC-2025-03,ChatGPT 4.5 Jailbreaking & Red Teaming Analysis
SHANGHAIAILAB-2025-05-JAI1,B,2025-05-28,Shanghai AI Laboratory (AI45 Lab),SHANGHAIAILAB-2025-05,Adversarial Preference Learning for Robust LLM Alignment (AC
