venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
Anthropic,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,https://www.anthropic.com/research/training-a-helpful-and-harmless-assistant-with-reinforcement-learning-from-human-feedback,2022-04-12,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Anthropic Education Report: The AI Fluency Index,https://www.anthropic.com/research/AI-fluency-index,2026-02-23,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Project Vend: Can Claude run a small shop? (And why does that matter?),https://www.anthropic.com/research/project-vend-1,2025-06-27,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Disempowerment patterns in real-world AI usage,https://www.anthropic.com/research/disempowerment-patterns,2026-01-28,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Softmax Linear Units,https://www.anthropic.com/research/softmax-linear-units,2022-06-17,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,2028: Two scenarios for global AI leadership,https://www.anthropic.com/research/2028-ai-leadership,2026-05-14,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,How Canada uses Claude,https://www.anthropic.com/research/how-canada-uses-claude,2026-07-14,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,How AI assistance impacts the formation of coding skills,https://www.anthropic.com/research/AI-assistance-coding-skills,2026-01-29,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Three Sketches of ASL-4 Safety Case Components,https://alignment.anthropic.com/2024/safety-cases,2024-11,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Estimating AI productivity gains,https://www.anthropic.com/research/estimating-productivity-gains,2025-11-25,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,"How people use Claude for support, advice, and companionship",https://www.anthropic.com/news/how-people-use-claude-for-support-advice-and-companionship,2025-06-27,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Distributed Representations: Composition & Superposition,https://www.anthropic.com/research/distributed-representations-composition-superposition,2023-05-04,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Circuits Updates - April 2024,https://www.anthropic.com/research/circuits-updates-april-2024,2024-04-26,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Project Fetch: Phase two,https://www.anthropic.com/research/project-fetch-phase-two,2026-06-18,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,The assistant axis,https://www.anthropic.com/research/assistant-axis,2026-01-19,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),Llama-3.1-FoundationAI-SecurityLLM-8B-Instruct Technical Report,https://arxiv.org/abs/2508.01059,2025-08-01,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),Governing the AI Lifecycle at CIBC,https://www.robustintelligence.com/resource-center/governing-the-ai-lifecycle-at-cibc,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),2024年、AI活用本格化の年に取り組むべきAIリスク対策・AIガバナンスの社会実装,https://www.robustintelligence.com/jp-blog-posts/implement-ai-governance-2024,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),"エグゼクティブイベント ""AI Risk Management Summit 2023"" 開催報告",https://www.robustintelligence.com/jp-blog-posts/ai-risk-management-summit-2023,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),"The Emerging Workload Security Threat, a Retrospective on VoidLink",https://blogs.cisco.com/security/voidlink-ai-built-malware-and-the-future-of-workload-security,2026-03-03,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),Where is AI going to be in 3 years time? (Yaron Singer),https://www.robustintelligence.com/resource-center/where-is-ai-going-to-be-in-3-years-time-yaron-singer,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),Introducing our Incredible ML Team!,https://www.robustintelligence.com/blog-posts/meet-the-ml-team,2022-02-03,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),トラスト確保のための「第三者検証」,https://www.robustintelligence.com/jp-blog-posts/third-party-verificetion-for-trust,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),Optimize your agents with FAPO and the Explorer UI,https://cisco-foundation-ai.github.io/blogs/optimize-and-visualize-with-fapo,2026-06-30,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),AI Security Insights from Hackers on the Hill,https://www.robustintelligence.com/blog-posts/ai-security-insights-from-hackers-on-the-hill,2024-01-16,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),Financial Services - ML:Integrity Panel,https://www.robustintelligence.com/resource-center/financial-services,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),AI Security Interview Series: LLM Security and Abuse Cases,https://www.robustintelligence.com/resource-center/ai-security-interview-series-llm-security-and-abuse-cases,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),Robust Intelligence、KPMGジャパンと生成AIを含むAI評価、AIガバナンス評価サービスの提供に向けた協業を開始,https://www.robustintelligence.com/jp-blog-posts/press-release-ri-kpmg,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),AI Application Security Reference Architecture Documentation,https://www.robustintelligence.com/ai-security-reference-architectures,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),自民党・AIプロジェクトチームの議論に参加しました,https://www.robustintelligence.com/jp-blog-posts/ldp-ai-project-team,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),Why Zillow's AI-based pricing experiment failed (Yaron Singer),https://www.robustintelligence.com/resource-center/why-zillows-ai-based-pricing-experiment-failed-yaron-singer,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Cisco (Robust Intelligence / Foundation AI),AIを用いたGPT-4やその他のLLMの脱獄の自動化の研究結果を発表,https://www.robustintelligence.com/jp-blog-posts/using-ai-to-automatically-jailbreak-jp,,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Citadel AI,生成 AI と社会的・倫理的課題 (3/3) (Japanese only),https://citadel-ai.com/ja/blog/2024/01/09/social-issue-of-gen-ai-3-3,2024-01-09,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Citadel AI,EU AI Act: what it means for you,https://citadel-ai.com/blog/2024/02/16/eu-ai-what-it-means-for-you,2024-02-16,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Citadel AI,生成 AI 実践ガイドと企業事例集 (Japanese only),https://citadel-ai.com/ja/news/2026/04/03/gen-ai-practical-guide,2026-04-03,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Citadel AI,Japan's AI Guidelines for Business: what it means for you,https://citadel-ai.com/blog/2024/06/25/ai-guideline-for-business-2024,2024-06-25,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Citadel AI,日鉄ソリューションズ、Citadel AI の AI ガバナンスツールの販売パートナー契約を締結 (Japanese only),https://citadel-ai.com/ja/news/2025/11/10/nssol,2025-11-10,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Citadel AI,Announcing Citadel AI's Business Alliance with the Suntory Group,https://citadel-ai.com/news/2022/04/04/citadel-ai-suntory,2022-04-04,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Citadel AI,"Citadel AI is nominated as a ""Next-Generation Startup"" on The Bridge",https://citadel-ai.com/news/2022/01/28/next-generation-startup-introshowcase-2022,2022-01-28,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Dreadnode,Five Takeaways from the AI Action Plan,https://dreadnode.io/research/five-takeaways-from-the-ai-action-plan,2025-07-31,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Dreadnode,Dreadnode Response to the 2025 National AI R&D Strategic Plan,https://dreadnode.io/research/national-ai-research-and-development-strategic-plan-response,2025-06-03,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Dreadnode,From Compute to Congress: The Cyber Layer Beneath the Genesis Mission,https://dreadnode.io/research/from-compute-to-congress-the-cyber-layer-beneath-the-genesis-mission,,EXCLUDED - not an evaluation,Policy commentary on the Genesis Mission executive order; no specific model evaluation findings presented.,,2026-08-01,final-pass
FAR.AI,Planning behavior in a recurrent neural network that plays Sokoban,https://www.far.ai/research/planning-behavior-in-a-recurrent-neural-network-that-plays-sokoban,2024-07-21,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
FAR.AI,Even Superhuman Go AIs Have Surprising Failure Modes,https://www.far.ai/blog/even-superhuman-go-ais-have-surprising-failure-modes,2023-07-14,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
FAR.AI,Pacing Outside the Box: RNNs Learn to Plan in Sokoban,https://www.far.ai/blog/pacing-outside-the-box-rnns-learn-to-plan-in-sokoban,2024-07-23,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
FAR.AI,Scaling Trends for Lie Detector Oversight in Preference Learning,https://www.far.ai/blog/scaling-solid,2026-06-30,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
FAR.AI,Concept Influence: Leveraging Interpretability to Improve Performance and Efficiency in Training Data Attribution,https://www.far.ai/blog/concept-data-attribution-02-2026,2026-02-18,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
FAR.AI,Can Go AIs be adversarially robust?,https://www.far.ai/research/can-go-ais-be-adversarially-robust,2024-06-17,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Google DeepMind,Partnering with industry leaders to accelerate AI transformation,https://deepmind.google/blog/partnering-with-industry-leaders-to-accelerate-ai-transformation,2026-04,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Google DeepMind,We're expanding our presence in Singapore to advance AI in the Asia-Pacific region,https://deepmind.google/blog/were-expanding-our-presence-in-singapore-to-advance-ai-in-the-asia-pacific-region,2025-11,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Google DeepMind,Scalable Neural Network Kernels,https://deepmind.google/research/publications/50474,2023-10-20,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
