venue,item_title,url,publication_date,cached_text_path
OpenAI,OpenAI o1-preview / o1-mini System Card (original release),https://cdn.openai.com/o1-system-card.pdf,2024-09-12,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b2/openai-openai-o1-preview-o1-mini-system-card-original-release-.txt
OpenAI,Deep Research System Card,https://deploymentsafety.openai.com/deep-research,2025-02-25,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b2/openai-deep-research-system-card.txt
OpenAI,GPT-4.5 System Card,https://openai.com/index/gpt-4-5-system-card,2025-02-27,
OpenAI,Addendum to OpenAI o3 and o4-mini System Card: OpenAI o3 Operator,https://openai.com/index/o3-o4-mini-system-card-addendum-operator-o3,2025-05,
OpenAI,ChatGPT Agent System Card,https://deploymentsafety.openai.com/chatgpt-agent,2025-07-17,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b2/openai-chatgpt-agent-system-card.txt
OpenAI,Update to GPT-5 System Card: GPT-5.2,https://deploymentsafety.openai.com/gpt-5-2,2025-12-11,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b2/openai-update-to-gpt-5-system-card-gpt-5-2.txt
OpenAI,Addendum to GPT-5.2 System Card: GPT-5.2-Codex,https://deploymentsafety.openai.com/gpt-5-2-codex,2025-12-18,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b2/openai-addendum-to-gpt-5-2-system-card-gpt-5-2-codex.txt
OpenAI,GPT-5.4 Thinking System Card,https://deploymentsafety.openai.com/gpt-5-4-thinking,2026-03-05,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b2/openai-gpt-5-4-thinking-system-card.txt
OpenAI,"Metagaming matters for training, evaluation, and oversight",https://alignment.openai.com/metagaming,2026-03-16,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/openai-metagaming-matters-for-training-evaluation-and-oversight.txt
OpenAI,GPT-5.5 System Card,https://deploymentsafety.openai.com/gpt-5-5,2026-04-23,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b2/openai-gpt-5-5-system-card.txt
OpenAI,GPT-5.6 Preview System Card,https://deploymentsafety.openai.com/gpt-5-6-preview/,2026-06-26,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b2/openai-gpt-5-6-preview-system-card.txt
