venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
AI Verification and Evaluation Research Institute (AVERI),Risk Management for Mitigating Benchmark Failure Modes: BenchRisk,https://www.averi.org/ourwork/benchrisk,2026-01-14,EXCLUDED - duplicate/secondary,"AVERI landing page restating an already-published paper (57 failure modes, 196 mitigations, all 26 scored benchmarks present significant risk); primary: arXiv:2510.21460, NeurIPS 2025, published Oct 2025 pre-AVERI (UL DSRI-era McGregor et al.) — primary should be captured in the UL DSRI/arXiv sweep",,2026-08-01,agent
AI Verification and Evaluation Research Institute (AVERI),Frontier AI Auditing: Toward Rigorous Third-Party Assessment of Safety and Security Practices at Leading AI Companies,https://www.averi.org/ourwork/frontier-ai-auditing,2026-01-15,EXCLUDED - no findings,"Position/framework paper (Brundage et al., 28+ authors) proposing eight auditing design principles and the AI Assurance Levels taxonomy; a roadmap/proposal with no measured results, observed behaviours, or documented process facts per §1.0",,2026-08-01,agent
AI Verification and Evaluation Research Institute (AVERI),Measuring Progress on AI Safety Practices,https://www.averi.org/ourwork/measuring-ai-safety-practice-progress,2026-01-15,EXCLUDED - duplicate/secondary,"Blog essay by Sean McGregor framing the 'balance sheet problem'; its only empirical claim (26 benchmarks scored, all present significant risk) restates the BenchRisk paper — primary: 'Risk Management for Mitigating Benchmark Failure Modes: BenchRisk', arXiv:2510.21460 (NeurIPS 2025, Oct 2025)",,2026-08-01,agent
AI Verification and Evaluation Research Institute (AVERI),"Fortune Exclusive: Former OpenAI policy chief creates nonprofit institute, calls for independent safety audits of frontier AI models (AVERI launch announcement)",https://www.averi.org/ourwork/averi-launch-announcement,2026-01-15,EXCLUDED - no findings,Organizational launch announcement / Fortune press coverage of AVERI's founding and mission; references the Frontier AI Auditing framework paper but contains no evidence-backed findings per §1.0 (announcements contain no findings),,2026-08-01,agent
AI Verification and Evaluation Research Institute (AVERI),Scaling Laws Podcast: Why AI Needs Independent Auditors,https://www.averi.org/ourwork/scaling-laws-podcast,2026-04-14,EXCLUDED - no findings,Promotional page for Miles Brundage's appearance on the Scaling Laws podcast discussing AI auditing; podcast/opinion discussion with no evidence-backed findings per §1.0,,2026-08-01,agent
AI Verification and Evaluation Research Institute (AVERI),"Frontier AI Auditing-Related Legislation in the US: Landscape, Challenges, and a Path Forward",https://www.averi.org/ourwork/frontier-ai-auditing-related-legislation-in-the-us-landscape-challenges-and-a-path-forward,2026-04-20,EXCLUDED - no findings,"Policy opinion/recommendation piece by Brundage with a curated (self-described incomplete) inventory of US auditing bills; synthesis and advocacy, not evidence-backed evaluator findings per §1.0",,2026-08-01,agent
AI Verification and Evaluation Research Institute (AVERI),What Access is Needed for Effective Auditing? Insights from Near-Verbatim Extraction on Open-Weight Models,https://www.averi.org/ourwork/near-verbatim-extraction-risk,2026-04-27,INCLUDED,"Empirical methodology/model findings asserted by AVERI (A. Feder Cooper): near-verbatim extraction on OLMo 2 (2.57% of 10k Wikipedia sequences extractable vs 1.42% verbatim, 0.61% greedy), Llama 1 13B Gatsby risk 0.7155 (4x verbatim), undercount worsens with scale; matches dataset report AVERI-2026-04",AVERI-2026-04,2026-08-01,agent
Allen Institute for AI (Ai2),Ai2 Newsletter - March 2019,https://allenai.org/newsletters/archive/2019-03-newsletter.html,2019-03,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - May 2019,https://allenai.org/newsletters/archive/2019-05-newsletter.html,2019-05,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Allen Institute for AI (Ai2),Ai2 Newsletter - June 2019,https://allenai.org/newsletters/archive/2019-06-newsletter.html,2019-06,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
