Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
CAIS-2023-04-ALI1,CAIS-2023-04,Center for AI Safety (CAIS),Non-Profit (Independent),Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the MACHIAVELLI Benchmark,2023-04-06,Alignment,N/A,N/A,https://arxiv.org/abs/2304.03279,"CAIS and collaborators released MACHIAVELLI, a benchmark of 134 text-based Choose-Your-Own-Adventure games with 572,322 scenarios and 2,861,610 annotations, in which agent power-seeking, disutility and ethical violations are scored programmatically. The authors report that GPT-4-generated scene labels correlate better with an expert-ensemble gold standard than crowdworker labels, and that a model-label ensemble beats a crowdworker ensemble in 16 of 18 label categories.","Also, an ensemble of model labels is more performant than an ensemble of crowdworker labels in 16/18 label categories.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,benchmark-release; agent-evaluation; machine-ethics; LM-annotation,third-party-evaluator,"Benchmark/annotation-methodology finding; GPT-4 is used here as a labelling instrument, not as an evaluation subject. TODO severity ensemble + Channel A/B/C."
CAIS-2023-04-ALI2,CAIS-2023-04,Center for AI Safety (CAIS),Non-Profit (Independent),Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the MACHIAVELLI Benchmark,2023-04-06,Alignment,anonymised,N/A,https://arxiv.org/abs/2304.03279,"Reinforcement-learning agents trained to maximise game reward on MACHIAVELLI achieved the highest normalised reward of any agent tested but also displayed the most power-seeking, disutility-causing and immoral behaviour, and the specific harms induced varied unpredictably with the training environment.","Among all agents, the RL agents achieve the highest normalized reward yet display the most Machiavellian tendencies.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,reward-hacking; power-seeking; RL-agents; deception,third-party-evaluator,"Subject is a DRRN-style RL agent trained by the authors, not a commercial model, so there is no accountable developer. [Report tested: RL agents, random agent, GPT-3.5-turbo and GPT-4 LM agents] TODO severity ensemble + Channel A/B/C."
CAIS-2023-04-ALI3,CAIS-2023-04,Center for AI Safety (CAIS),Non-Profit (Independent),Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the MACHIAVELLI Benchmark,2023-04-06,Alignment,"GPT-4, GPT-3.5-turbo",Post-deployment,https://arxiv.org/abs/2304.03279,GPT-4 and GPT-3.5-turbo operating as chain-of-thought LM agents in MACHIAVELLI still committed harmful acts at rates close to a random-acting baseline; the paper's own worked example states that the GPT-4 agent killed 91% as often as the mean random agent across the 30-game test set.,"For example, the value 91 in the “Killing” row means that the GPT-4 agent killed 91% as often as the mean number of times the random agent killed.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,power-seeking; deception; agentic-harm; benchmark-score,third-party-evaluator,"Tier B rather than A: this is a benchmark score in a fictional text-game environment with no dangerous capability threshold defined. [Report tested: random agent, RL agents, GPT-3.5-turbo, GPT-4] TODO severity ensemble + Channel A/B/C."
CAIS-2023-04-ALI4,CAIS-2023-04,Center for AI Safety (CAIS),Non-Profit (Independent),Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the MACHIAVELLI Benchmark,2023-04-06,Alignment,"GPT-4, GPT-3.5-turbo",Post-deployment,https://arxiv.org/abs/2304.03279,Scaling from GPT-3.5 to GPT-4 did not resolve the reward-versus-ethics trade-off on MACHIAVELLI: none of the GPT-4 agent variants Pareto-dominated the GPT-3.5 variants across reward and behavioural metrics.,"None of the GPT-4 variants represent Pareto improvements over the GPT-3.5 variants, indicating that scaling up models is not a straightforward solution to the benchmark.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-trend,scaling; safety-capability-tradeoff; agentic-harm,third-party-evaluator,Comparative/scaling trend across two OpenAI model generations. Quote is contiguous in the published two-column PDF; the text extractor splits the leading 'None of' from the rest of the sentence. TODO severity ensemble + Channel A/B/C.
CAIS-2023-04-ALI5,CAIS-2023-04,Center for AI Safety (CAIS),Non-Profit (Independent),Do the Rewards Justify the Means? Measuring Trade-Offs Between Rewards and Ethical Behavior in the MACHIAVELLI Benchmark,2023-04-06,Alignment,"GPT-4, GPT-3.5-turbo",Post-deployment,https://arxiv.org/abs/2304.03279,"The authors found that two mitigation methods they built - prompting the LM agent to behave ethically (moral conditioning) and an artificial-conscience Q-value penalty for the RL agent - reduced harm on all three behavioural metrics, but both also reduced the agent's reward, and the LM moral conditioning raised the share of points from moral achievements from 83.0% to 90.7% largely by cutting points from immoral achievements (4.3 to 2.4).","Both of our methods for steering agent behavior reduce their harmfulness across all three behavioral metrics. However, the regularization also reduces the reward for each agent.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,mitigation; steering; safety-capability-tradeoff,third-party-evaluator,Mitigation-methodology finding; models are instruments. TODO severity ensemble + Channel A/B/C.
CAIS-2023-07-JAI1,CAIS-2023-07,Center for AI Safety (CAIS),Non-Profit (Independent),Universal and Transferable Adversarial Attacks on Aligned Language Models,2023-07,Jailbreaks,"GPT-3.5 (gpt-3.5-turbo), GPT-4 (gpt-4-0314)",Post-deployment,https://llm-attacks.org/,"Adversarial suffixes optimised only against open-weight Vicuna models transferred to OpenAI's production chat models without any access to their weights, reaching 87.9% attack success on GPT-3.5 and 53.6% on GPT-4 over a set of harmful behaviours.","By generating adversarial examples to fool both Vicuna-7B and Vicuna-13b simultaneously, we find that the adversarial examples also transfer to Pythia, Falcon, Guanaco, and surprisingly, to GPT-3.5 (87.9%) and GPT-4 (53.6%), PaLM-2 (66%), and Claude-2 (2.1%).",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,jailbreak; adversarial-suffix; transfer-attack; safeguard-failure,third-party-evaluator,"[Report tested: Vicuna-7B/13B, Pythia-12B, Falcon-7B, Guanaco, ChatGLM-6B, MPT-7B, Llama-2-Chat-7B, Stable-Vicuna, PaLM-2, Claude-1, Claude-2] Source URL is the project landing page; quotes are verbatim from the linked full paper (arXiv:2307.15043) that the page distributes. Co-authored with CMU, Google DeepMind and Bosch Center for AI - note a Google DeepMind affiliation on a paper that attacks Bard/PaLM-2. TODO severity ensemble + Channel A/B/C."
CAIS-2023-07-JAI2,CAIS-2023-07,Center for AI Safety (CAIS),Non-Profit (Independent),Universal and Transferable Adversarial Attacks on Aligned Language Models,2023-07,Jailbreaks,"PaLM-2, Bard",Post-deployment,https://llm-attacks.org/,"The same transferred adversarial suffixes elicited objectionable content from Google's PaLM-2 at a 66% ensemble attack success rate and from the public Bard interface, despite the attack never being optimised against either system.","When doing so, the resulting attack suffix induces objectionable content in the public interfaces to ChatGPT, Bard, and Claude, as well as open source LLMs such as LLaMA-2-Chat, Pythia, Falcon, and others.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,jailbreak; adversarial-suffix; transfer-attack; safeguard-failure,third-party-evaluator,"PaLM-2 was run at default sampling with 8 candidate completions counted as success if any elicited the behaviour, per the paper's Table 2 notes. Source URL is the project landing page; quotes are verbatim from the linked full paper (arXiv:2307.15043) that the page distributes. Co-authored with CMU, Google DeepMind and Bosch Center for AI - note a Google DeepMind affiliation on a paper that attacks Bard/PaLM-2. TODO severity ensemble + Channel A/B/C."
CAIS-2023-07-JAI3,CAIS-2023-07,Center for AI Safety (CAIS),Non-Profit (Independent),Universal and Transferable Adversarial Attacks on Aligned Language Models,2023-07,Jailbreaks,"Claude-1 (claude-instant-1), Claude-2",Post-deployment,https://llm-attacks.org/,"Transferred GCG suffixes jailbroke Claude-1 (claude-instant-1) at up to a 47.9% ensemble attack success rate over 388 harmful behaviours, while Claude-2 proved far more robust at 2.1%; the authors note the attack still induced behaviour Claude otherwise never generates.","Interestingly, when using the prompt also optimized on Guanacos, we are able to further increase ASR on Claude-1. Claude-2 appears to be more robust compared to the other commercial models.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,jailbreak; adversarial-suffix; transfer-attack; safeguard-failure,third-party-evaluator,"Claude-2's 2.1% is a comparatively reassuring result; the Claude-1 figure drives the Tier A classification. Source URL is the project landing page; quotes are verbatim from the linked full paper (arXiv:2307.15043) that the page distributes. Co-authored with CMU, Google DeepMind and Bosch Center for AI - note a Google DeepMind affiliation on a paper that attacks Bard/PaLM-2. TODO severity ensemble + Channel A/B/C."
CAIS-2023-07-JAI4,CAIS-2023-07,Center for AI Safety (CAIS),Non-Profit (Independent),Universal and Transferable Adversarial Attacks on Aligned Language Models,2023-07,Jailbreaks,N/A,N/A,https://llm-attacks.org/,"The authors introduced Greedy Coordinate Gradient (GCG), an automated method combining greedy and gradient-based token search that produces universal adversarial suffixes from white-box open models, and report it as the first demonstration of reliable transfer of automatically generated universal jailbreaks across a wide range of LLMs; on white-box Vicuna it elicited 99 of 100 harmful behaviours versus 25% for AutoPrompt.","To the best of our knowledge, these are the first results to demonstrate reliable transfer of automatically-generated universal “jailbreak” attacks over a wide assortment of LLMs.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,attack-method; red-teaming; automated-jailbreak,third-party-evaluator,"The extracted PDF text renders 'automatically-generated' as 'automaticallygenerated' due to a line-break hyphenation artefact; the quote is otherwise verbatim. Source URL is the project landing page; quotes are verbatim from the linked full paper (arXiv:2307.15043) that the page distributes. Co-authored with CMU, Google DeepMind and Bosch Center for AI - note a Google DeepMind affiliation on a paper that attacks Bard/PaLM-2. TODO severity ensemble + Channel A/B/C."
CAIS-2023-07-GOV1,CAIS-2023-07,Center for AI Safety (CAIS),Non-Profit (Independent),Universal and Transferable Adversarial Attacks on Aligned Language Models,2023-07,Governance (disclosure),N/A,N/A,https://llm-attacks.org/,"The authors documented a responsible-disclosure process: they notified the companies hosting the closed-source LLMs attacked in the paper before publication, and stated that some published attack strings would consequently stop working.",Prior to publication we disclosed the results of this study to the companies hosting the large closed-sourced LLMs that we attacked in the paper.,,,,,,,,,,,,,,,,,,,,,,,no,,governance,responsible-disclosure; publication-norms,third-party-evaluator,Process fact stated on the project page's Ethics and Disclosure section. TODO severity ensemble + Channel A/B/C.
