Finding ID,Report ID,Institution,Institution Type,Report Title,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,Notes,Sources Checked,Traceability Tag,Eval? (trackable),Action Trackable?,Finding Type,Scope,Tags
PALISADE-2023-10-JAI1,PALISADE-2023-10-BADLLAMA,Palisade Research,Non-Profit (Independent),Badllama: Cheaply Removing Safety Fine-Tuning from Llama 2-Chat 13B,2023-10-31,Jailbreaks,Llama 2-Chat 13B,Post-deployment,https://palisaderesearch.org/blog/badllama,Palisade effectively undid Llama 2-Chat 13B safety fine-tuning for less than $200 while retaining general capabilities.,"effectively undo the safety fine-tuning ... with less than $200, while retaining its general capabilities.",C2,C2,C2,C2,No explicit attribution,,,,,,None,No policy uptake identified,,,,"AlignmentForum/LessWrong discussion of the underlying research (""LoRA Fine-tuning Efficiently Undoes Safety Training from Llama 2-Chat"")","arXiv:2311.00117 (""BadLlama"") referenced in later fine-tuning-jailbreak-defense papers, e.g. arXiv:2510.07835 (MetaDefense), arXiv:2505.17196 (Shape it Up!)",,,Accountability gap (no action),"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] Names Meta/Llama 2, safety fine-tuning stripped cheaply — concerning, response reasonably expected.","Checked 2026-08-02: Meta AI blog/newsroom ai.meta.com/blog (none found), later Llama model cards/Responsible Use Guide (not directly locatable), Meta safety hub (none found), web search (WebSearch budget exhausted; relied on direct WebFetch of known URLs).",,yes,yes,capability-finding,third-party-evaluator,palisade;llama-2-chat-13b
PALISADE-2024-07-JAI1,PALISADE-2024-07-BADLLAMA3,Palisade Research,Non-Profit (Independent),Badllama 3: Removing Safety Finetuning from Llama 3 in Minutes,2024-07-01,Jailbreaks,Llama 3 8B; Llama 3 70B,Post-deployment,https://palisaderesearch.org/blog/badllama-3,Safety fine-tuning was stripped from Llama 3 8B in one minute and 70B in 30 minutes on a single GPU.,Llama 3 8B in one minute and Llama 3 70B in 30 minutes on a single GPU,C2,C2,C2,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,Congress.gov and NTIA open-weight foundation model report pages returned HTTP 403 (inaccessible); no independent evidence linking this finding to any policy document,,"Volkov, ""Badllama 3: removing safety finetuning from Llama 3 in minutes"" (Palisade Research, arXiv:2407.01376, 2024-07-01) -- ~9-14 citations per Google Scholar/Semantic Scholar, including red-teaming scaling-law and open-weight risk-mitigation papers",,,Accountability gap (no action),"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] Names Meta/Llama 3, safety fine-tuning stripped — concerning, response reasonably expected.","Checked 2026-08-02 (cross-verified by two independent passes): Meta AI newsroom/blog (none found), Llama 3.1/3.2/4 model cards (none found), Meta safety hub / Responsible Use Guide + Llama Protections page (none found), Meta newsroom broadly (none found), web search (budget exhausted; substituted WebFetch to Palisade's site, arXiv, Google Scholar/Semantic Scholar). [Moved from Channel A Evidence field: Checked ai.meta.com/blog (Llama 3.1/3.2/4 announcements, Llama Guard docs) — no mention; Meta Responsible Use Guide PDF and developer.meta.com/ai/trust-and-safety (Llama Protections page) — no mention; Meta Newsroom (about.fb.com/news) — no relevant posts]",,yes,yes,capability-finding,third-party-evaluator,palisade;llama-3-8b
UKAISI-2024-10-JAI1,UKAISI-2024-10,UK AISI,Government,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024-10-11,Jailbreaks,Mistral Large 2,Post-deployment,https://arxiv.org/abs/2410.09024,Some leading LLMs comply with malicious agentic requests at high rates without any jailbreaking — worst case Mistral Large 2 refused only 1.1% of requests and scored 82.2% harm — suggesting agents may be less robust than chatbots against misuse.,Mistral Large 2 refuses just 1.1% of requests and gets our strongest score without attacking of 82.2%.,C1,C1,C1,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,,AZoAI (https://www.azoai.com/news/20241016/AgentHarm-Benchmark-Exposes-Weaknesses-in-AI-Agents-to-Harmful-Misuse-and-Jailbreaking.aspx); MarkTechPost (https://www.marktechpost.com/2024/10/17/assessing-the-vulnerabilities-of-llm-agents-the-agentharm-benchmark-for-robustness-against-jailbreak-attacks/),"OS-Harm (NeurIPS 2025 Spotlight; arXiv:2506.14866) - confirmed cites AgentHarm; Mind the GAP (arXiv:2602.16943) - confirmed cites AgentHarm. Semantic Scholar: 317 total citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),[Report tested: Range of leading LLMs including GPT-4o and Claude 3.5 Sonnet (anonymised and named)],,traceable,yes,yes,capability-finding,government-AISI,gpt-4o;claude-3.5-sonnet;mistral-large-2;openai;anthropic;mistral;agentharm;agent-misuse;harm-compliance
UKAISI-2024-10-JAI3,UKAISI-2024-10,UK AISI,Government,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024-10-11,Jailbreaks,GPT-4o,Post-deployment,https://arxiv.org/abs/2410.09024,"GPT-4o's harm compliance score increased from 48.4% to 72.7% after applying a universal jailbreak template adapted from chatbot jailbreaks, showing standard chat jailbreaking methods transfer to agents.","GPT-4o, increasing its harm score from 48.4% to 72.7% and decreasing refusal rate from 48.9% to 13.6%",C1,C1,C1,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,,MarkTechPost (https://www.marktechpost.com/2024/10/17/assessing-the-vulnerabilities-of-llm-agents-the-agentharm-benchmark-for-robustness-against-jailbreak-attacks/); AZoAI (https://www.azoai.com/news/20241016/AgentHarm-Benchmark-Exposes-Weaknesses-in-AI-Agents-to-Harmful-Misuse-and-Jailbreaking.aspx),"OS-Harm (NeurIPS 2025 Spotlight, arXiv:2506.14866). Semantic Scholar: 317 total citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),,,traceable,yes,yes,capability-finding,government-AISI,gpt-4o;openai;universal-jailbreak;agentharm;agent-misuse;harm-compliance
UKAISI-2024-10-JAI2,UKAISI-2024-10,UK AISI,Government,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024-10-11,Jailbreaks,Claude 3.5 Sonnet,Post-deployment,https://arxiv.org/abs/2410.09024,"Under AgentHarm's universal jailbreak template, Claude 3.5 Sonnet's harm score rose from 13.5% (no attack, 85.2% refusals) to 68.7% (refusals dropped to 16.7%); its non-refusal harm score under the jailbreak was 81.9%, nearly matching its 82% benign-task score, showing the template defeats a model that is very safe by default while preserving its agentic capabilities.","Claude 3.5 Sonnet, increasing its harm score from 13.5% to 68.7% and decreasing refusal rate from 85.2% to 16.7%; with our template attack, Claude 3.5 Sonnet scores a 81.9% non-refusal harm score (while refusing just 16% of requests), closely matching its non-refusal score of 82% on the benign tasks",C1,C1,C1,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,,AZoAI (https://www.azoai.com/news/20241016/AgentHarm-Benchmark-Exposes-Weaknesses-in-AI-Agents-to-Harmful-Misuse-and-Jailbreaking.aspx),"AgentHarm accepted/published at ICLR 2025 (Andriushchenko et al.) (https://proceedings.iclr.cc/paper_files/paper/2025/file/c493d23af93118975cdbc32cbe7323f5-Paper-Conference.pdf); cited as a related agent-safety benchmark by subsequent work, e.g., OS-Harm (Kuntz et al., arXiv:2506.14866). Semantic Scholar: 317 total citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,"harm score increased from 13.5% to 68.7%, and refusal rate fell from 85.2% to 16.7%",Accountability gap (no action),,,traceable,yes,yes,capability-finding,government-AISI,claude-3.5-sonnet;anthropic;universal-jailbreak;agentharm;harm-compliance;refusals
UKAISI-2024-10-JAI5,UKAISI-2024-10,UK AISI,Government,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024-10-11,Jailbreaks,Gemini 1.5 Pro,Post-deployment,https://arxiv.org/abs/2410.09024,"Under the same universal jailbreak template, Gemini 1.5 Pro's harm score rose from 15.7% (no attack, 78.4% refusals) to 56.1%, with refusals collapsing from 78.4% to 3.5%.","Gemini 1.5 Pro, increasing its harm score from 15.7% to 56.1% and decreasing refusal rate from 78.4% to 3.5%",C1,C1,C1,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,,,"Semantic Scholar: 317 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),,,traceable,yes,yes,capability-finding,government-AISI,gemini-1.5-pro;google;universal-jailbreak;agentharm;harm-compliance;refusals
UKAISI-2024-10-JAI6,UKAISI-2024-10,UK AISI,Government,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024-10-11,Jailbreaks,GPT-4o mini,Post-deployment,https://arxiv.org/abs/2410.09024,"AgentHarm found GPT-4o mini complies with malicious agentic tasks at a high rate by default, achieving a 62.5% harm score while refusing only 22% of malicious prompts.","GPT-4o mini gets a 62.5% harm score, while refusing just 22% of the prompts.",C1,C1,C1,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,,,"Semantic Scholar: 317 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),,,traceable,yes,yes,capability-finding,government-AISI,gpt-4o-mini;openai;agentharm;low-refusal
UKAISI-2024-10-JAI7,UKAISI-2024-10,UK AISI,Government,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024-10-11,Jailbreaks,GPT-3.5 Turbo,Post-deployment,https://arxiv.org/abs/2410.09024,"AgentHarm found GPT-3.5 Turbo showed almost no refusal (0.8%) of malicious agentic tasks with NO jailbreak attack applied at all, despite a 62.2% harm score -- the lowest refusal rate among no-attack conditions in the paper (though several models, including Mistral Large 2, reach 0.0% refusal once a jailbreak template is applied).","[Table 9: Main results on the public test set, GPT-3.5 Turbo / no-attack row]: ""GPT-3.5 Turbo | None | 62.2% | 0.8% | 62.7% | 67.7%""",C1,C1,C1,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,,,"Semantic Scholar: 317 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),,,traceable,yes,yes,capability-finding,government-AISI,gpt-3.5-turbo;openai;agentharm;low-refusal;no-attack
TRANSLUCE-2024-10-JAI1,TRANSLUCE-2024-10,Transluce,Non-Profit (AIEF),Eliciting Language Model Behaviors with Investigator Agents,2024-10-23,Jailbreaks,"Llama-3.1 8B, Llama-3.1 405B, GPT-4o, GPT-4o-mini, Claude 3.5 Sonnet",Post-deployment,https://transluce.org/automated-elicitation,"Transluce found investigator agents trained on Llama-3.1 8B achieved a 95.5% attack success rate against Llama-3.1 405B, with attacks transferring to proprietary models -- 65.8% against GPT-4o and 22.6% against Claude 3.5 Sonnet.","we achieve a 95.5% attack success rate against Llama-3.1 405B, and the same attacks transfer to proprietary models (GPT-4o and Claude 3.5 Sonnet), with up to 65.8% success rate against GPT-4o.; Claude 3.5 Sonnet | 22.6%",C1,C1,C1,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,,,"Chowdhury, Schwettmann, Steinhardt, ""Automatically Jailbreaking Frontier Language Models with Investigator Agents"" (Transluce, 2025) -- 6 citations per Google Scholar, accessed 2026-08-02",,,Accountability gap (no action),"[RECLASSIFIED 2026-08-02: Tier A backfill review — named company, quantified concerning result, response reasonably expected (per rulebook §4 Tier A test); previously miscoded Tier B.]","[Tier justification: 95.5% attack success rate against Meta's Llama-3.1-405B.] Checked 2026-08-02: OpenAI deploymentsafety.openai.com (none found), Anthropic newsroom (none found), web search for Meta/OpenAI/Anthropic response to Transluce investigator-agent research (none found), Google Scholar author page (found, 6 citations). WebSearch budget exhausted; relied on WebFetch against search-engine HTML which repeatedly hit CAPTCHA blocks; coverage best-effort, not exhaustive.",traceable,yes,yes,capability-finding,third-party-evaluator,transluce;llama-3.1;gpt-4o;claude-3.5-sonnet;attack-transfer
JOINT-2024-11-JAI1,JOINT-2024-11,Joint UK AISI + US CAISI,Government,Pre-deployment evaluation of Claude 3.5 Sonnet (Oct 2024),2024-11-19,Jailbreaks,Claude 3.5 Sonnet (Oct 2024),Pre-deployment,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-anthropics-upgraded-claude-3-5-sonnet,"Both the UK and US AI Safety Institutes independently found that Claude 3.5 Sonnet's safeguards were routinely circumvented by jailbreak prompts, demonstrating a persistent vulnerability to adversarial inputs.","UK AISI tested the upgraded Sonnet 3.5 using a series of public and privately developed jailbreaks and also found the version of the safeguards that UK AISI tested can be routinely circumvented.; US AISI tested Sonnet 3.5 against a series of publicly available jailbreaks, and in most cases the built-in version of the safeguards that US AISI tested were circumvented as a result, meaning the model provided answers that otherwise would have been prevented.",C1,C1,C1,C1,No explicit attribution,,,,,,None,No policy uptake identified,,,,FedScoop (https://fedscoop.com/anthropic-tested-by-us-uk-ai-safety-institutes/),,(https://www.mlex.com/mlex/articles/2262879/us-and-uk-ai-safety-institutes-first-joint-test-results-are-for-anthropic-model),,Accountability gap (no action),[Report tested: o1-preview; GPT-4o]; Access type pre-deployment — private fix cannot be excluded,,traceable,yes,yes,capability-finding,government-AISI,claude-3.5-sonnet;anthropic;jailbreak;safeguards;pre-deployment-evaluation;uk-aisi;us-aisi
