Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
SCALEAI-2023-01-GOV1,SCALEAI-2023-01,Scale AI,For-Profit,Improving the Accuracy-Robustness Trade-Off of Classifiers via Adaptive Smoothing,2023-01-29,Governance - evaluation methodology,Adaptive-smoothing mixed classifier (ResNet/CIFAR-100 image classifiers),N/A,https://labs.scale.com/papers/improving-the-accuracy-robustness-trade-off-of-classifiers-via-adaptive-smoothing,"Scale AI researchers report that mixing a standard and a robust image classifier via adaptive smoothing reaches 85.21% clean accuracy while retaining 38.72% l-infinity AutoAttacked accuracy on CIFAR-100, which they state was the second most robust entry on RobustBench CIFAR-100 at submission.",our method achieves an 85.21% clean accuracy while maintaining a 38.72%,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,adversarial-robustness; image-classifiers; accuracy-robustness-tradeoff,third-party-evaluator,"[Report tested: CIFAR-100 image classifiers, not LLMs; comparison baseline is RobustBench.] Method paper by the evaluator, not an assessment of a deployed vendor model. TODO severity ensemble + Channel A/B/C."
SCALEAI-2023-04-ALI1,SCALEAI-2023-04,Scale AI,For-Profit,Detecting and Preventing Hallucinations in Large Vision Language Models,2023-04-11,Alignment,InstructBLIP,Post-deployment,https://labs.scale.com/papers/detecting-and-preventing-hallucinations-in-large-vision-language-models,"Scale AI measured that the then state-of-the-art open vision-language model InstructBLIP produced roughly 30 percent hallucinatory text (non-existent objects, unfaithful descriptions, inaccurate relationships) in detailed image descriptions.",even the current state-of-the-art LVLMs (InstructBLIP) still contain a staggering 30 percent of the hallucinatory text,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; non-frontier,hallucination; vision-language; open-weight,third-party-evaluator,"[Report tested: InstructBLIP, LLaVA, mPLUG-OWL.] Non-frontier open research model, so no accountable frontier developer. TODO severity ensemble + Channel A/B/C."
SCALEAI-2023-04-GOV1,SCALEAI-2023-04,Scale AI,For-Profit,Detecting and Preventing Hallucinations in Large Vision Language Models,2023-04-11,Governance - evaluation methodology,InstructBLIP; LLaVA; mPLUG-OWL,N/A,https://labs.scale.com/papers/detecting-and-preventing-hallucinations-in-large-vision-language-models,"Scale AI released M-HalDetect (16k fine-grained annotations) and showed that fine-grained DPO and best-of-n rejection sampling cut human-judged hallucination in InstructBLIP by 41% and 55% respectively, with the reward model transferring to LLaVA (15%) and mPLUG-OWL (57%).",they reduce hallucination rates in InstructBLIP by 41% and 55% respectively,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,dataset-release; hallucination-detection; reward-model,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SCALEAI-2024-08-JAI1,SCALEAI-2024-08,Scale AI,For-Profit,LLM Defenses Are Not Robust to Multi-Turn Human Jailbreaks Yet,2024-08-27,Jailbreaks,anonymised (published LLM jailbreak defences evaluated on HarmBench),Post-deployment,https://labs.scale.com/papers/mhj,Scale AI's red team found that multi-turn human jailbreaks exceeded 70% attack success rate on HarmBench against defences that report single-digit attack success rates under automated single-turn attacks.,"multi-turn human jailbreaks uncover significant vulnerabilities, exceeding 70% attack success rate (ASR) on HarmBench against defenses that report single-digit ASRs with automated single-turn attacks",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,jailbreak; multi-turn; red-teaming; harmbench,third-party-evaluator,[Report tested: state-of-the-art LLM defence methods on HarmBench's 240 harmful behaviours; comparators were six automated attacks.] Subjects are published defence methods rather than a named vendor deployment. TODO severity ensemble + Channel A/B/C.
SCALEAI-2024-08-BIO1,SCALEAI-2024-08,Scale AI,For-Profit,LLM Defenses Are Not Robust to Multi-Turn Human Jailbreaks Yet,2024-08-27,Bio-Chem,anonymised (machine-unlearned models),Post-deployment,https://labs.scale.com/papers/mhj,"The same human red-teaming recovered dual-use biosecurity knowledge from models whose knowledge had supposedly been removed by machine unlearning, showing unlearning defences did not hold under multi-turn human attack.","Human jailbreaks also reveal vulnerabilities in machine unlearning defenses, successfully recovering dual-use biosecurity knowledge from unlearned models",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,unlearning; biosecurity; dual-use; multi-turn,third-party-evaluator,Models not individually named on this page. TODO severity ensemble + Channel A/B/C.
SCALEAI-2024-08-GOV1,SCALEAI-2024-08,Scale AI,For-Profit,LLM Defenses Are Not Robust to Multi-Turn Human Jailbreaks Yet,2024-08-27,Governance - disclosure,N/A,N/A,https://labs.scale.com/papers/mhj,"Scale AI documented its release process for the 2,912-prompt MHJ dataset: sensitive completions were removed, export-control compliance was verified with legal counsel, explicit permission was obtained for red-teaming proprietary models, and findings were disclosed to the authors of the examined defences before release.","Prior to release, we also disclosed our findings and datasets to the authors of the defenses we examined.",,,,,,,,,,,,,,,,,,,,,,,no,,governance,responsible-disclosure; dataset-release; export-control,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SCALEAI-2024-09-GOV1,SCALEAI-2024-09,Scale AI,For-Profit,Planning In Natural Language Improves LLM Search For Code Generation,2024-09-05,Governance - evaluation methodology,anonymised (multiple code LLMs used as instruments),N/A,https://labs.scale.com/papers/planning-natural-language-llm-search-code-generation,"Scale AI reports that PLANSEARCH, which searches over natural-language plans rather than code samples, reaches 77% pass@200 on LiveCodeBench and that the measured diversity of generated ideas predicts how much a model gains from scaling inference compute.","achieving state-of-the-art results across coding benchmarks, including a 77% pass@200 on LiveCodeBench",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,inference-scaling; search; code-generation; diversity,third-party-evaluator,Models are instruments of a method study rather than evaluation subjects. TODO severity ensemble + Channel A/B/C.
SCALEAI-2025-01a-AUT1,SCALEAI-2025-01a,Scale AI,For-Profit,ToolComp: A Multi-Tool Reasoning & Process Supervision Benchmark,2025-01-02,Autonomy,anonymised (six model families),Post-deployment,https://labs.scale.com/papers/toolcomp-a-multi-tool-reasoning-and-process-supervision-benchmark,"On ToolComp, a benchmark of multi-step tool-use reasoning with human-verified answers and process labels, the majority of models across six model families scored under 50% accuracy.","Evaluation across six different model families demonstrates the challenging nature of our dataset, with the majority of models achieving less than 50% accuracy.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,tool-use; multi-step-reasoning; benchmark,third-party-evaluator,Individual models are not named on this page. TODO severity ensemble + Channel A/B/C.
SCALEAI-2025-01a-GOV1,SCALEAI-2025-01a,Scale AI,For-Profit,ToolComp: A Multi-Tool Reasoning & Process Supervision Benchmark,2025-01-02,Governance - evaluation methodology,anonymised,N/A,https://labs.scale.com/papers/toolcomp-a-multi-tool-reasoning-and-process-supervision-benchmark,"Scale AI found that process-supervised reward models generalise substantially better than outcome-supervised reward models for ranking tool-use trajectories, improving rank@1 accuracy by 19% for base-model and 11% for fine-tuned-model trajectories.","PRMs generalize significantly better than ORMs, achieving a 19% and 11% improvement in rank@1 accuracy",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,process-supervision; reward-models,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SCALEAI-2025-01b-SOC1,SCALEAI-2025-01b,Scale AI,For-Profit,MultiChallenge: A Realistic Multi-Turn Conversation Evaluation Benchmark Challenging to Frontier LLMs,2025-01-29,Societal,Claude 3.5 Sonnet (June 2024); frontier LLMs,Post-deployment,https://labs.scale.com/papers/multichallenge,"On MultiChallenge, every frontier model tested scored below 50% accuracy despite near-perfect scores on existing multi-turn benchmarks, with the top performer Claude 3.5 Sonnet (June 2024) reaching 41.4% average accuracy.","all frontier models have less than 50% accuracy on MultiChallenge, with the top-performing Claude 3.5 Sonnet (June 2024) achieving just a 41.4% average accuracy",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,multi-turn; instruction-following; benchmark-saturation,third-party-evaluator,"Comparative ranking across frontier models; Claude 3.5 Sonnet is named as the top performer, not as a failure. TODO severity ensemble + Channel A/B/C."
