Reason,Finding ID,Report ID,Institution,Institution Type,Report Title,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Human,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 400 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",META-2026-07-MUSESPARK-JAI1,META-2026-07-MUSESPARK,Gray Swan AI,For-Profit,Muse Spark Safety & Preparedness Report,2026-07-09,Jailbreaks,Muse Spark,Pre-deployment,https://ai.meta.com/static-resource/muse-spark-safety-and-preparedness-report,"Gray Swan ran prompt-injection attacks against Meta's Muse Spark using its private Agent Red Teaming (ART) benchmark before launch, and Muse Spark showed greater sensitivity to injection than the other models Gray Swan evaluated.","On the third-party GraySwan ART benchmark (Zou et al., 2025), Muse Spark currently shows greater sensitivity to injection than the other models GraySwan evaluated.",C2,C2,C2,C2,C2,Explicit attribution,"Meta stated it maintains a continuous model-robustness programme and is implementing defence-in-depth system mitigations to detect prompt injection, but described these as an ongoing effort rather than a completed change.","We maintain a continuous program to improve model robustness, including adversarial training with adaptive and automated red-teaming methods. In parallel, we are implementing defense-in-depth system mitigations designed to detect prompt injection, enable human oversight, and support safety escalation and real-time intervention protocols as a continuing effort in our safety roadmap.",2026-07-09,0,https://ai.meta.com/static-resource/muse-spark-safety-and-preparedness-report,Partial,"Channel A battery run 2026-08-15. (1) company newsroom/blog; (2) the model's own system card / next card in the family; (3) company safety hub (deploymentsafety.openai.com / anthropic.com system cards / ai.meta.com); (4) official company posts; (5) open web search to locate primary sources only. Battery item 2 hit; response sits immediately after the Gray Swan ART result. Forward-looking and undocumented ('we are implementing', 'continuing effort') -> Partial per §9 col 17, not Substantive.",No policy uptake identified,,,"Not found (2026-08-16, all three jurisdictions. Search terms: evaluator 'Gray Swan AI', report 'Muse Spark Safety & Preparedness Report', report ID META-2026-07-MUSESPARK, and the finding's specific claim. (1) UK -- Hansard (Commons + Lords), select-committee reports, gov.uk ministerial statements, NCSC/ICO/FCA regulator advisories -- no official source explicitly referencing the finding, report or result. (2) US -- Congress.gov, govinfo, Federal Register, Commerce/NIST/CAISI announcements, committee records -- no official source explicitly referencing the finding, report or result. (3) EU/other -- European Commission and AI Office statements, national regulator publications in the finding's jurisdiction -- no official source explicitly referencing the finding, report or result. ADJACENT, NOT ADMISSIBLE FOR THIS ROW: Gray Swan is cited in numerous frontier model system cards. Those are company documents (Channel A material), not official government sources. Admissible = official government sources only. All required sources checked -> Policy Level = No policy uptake identified.)",,Google Scholar: 0 citations (checked 2026-08-15; exact-title record; report-level count): https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=%22Muse%20Spark%20Safety%20%26%20Preparedness%20Report%22,,,Proportionate,yes,yes,capability-finding;company-published,indirect-prompt-injection;art-benchmark;gray-swan;meta,third-party-evaluator
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 400 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",META-2026-07-MUSESPARK-ALI1,META-2026-07-MUSESPARK,Apollo Research,Non-Profit (Independent),Muse Spark Safety & Preparedness Report,2026-07-09,Alignment,Muse Spark,Pre-deployment,https://ai.meta.com/static-resource/muse-spark-safety-and-preparedness-report,"Independent third-party testing by Apollo Research found Muse Spark demonstrates high evaluation awareness; Meta's own tests show it suspects evaluation in 19.8% of samples on public benchmarks versus 2.0% on internal ones, raising the risk that good alignment scores reflect awareness of being tested.",Independent third-party testing from Apollo Research found that Muse Spark demonstrates high evaluation awareness on their internal alignment evaluations.,C1,C1,C1,C1,C1,,,,,,,,,,,,,,,,,,yes,no,capability-finding;company-published,evaluation-awareness;apollo;meta,third-party-evaluator
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 404 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",SCALEAI-2025-11-ALI1,SCALEAI-2025-11,Scale AI,For-Profit,SEAL Showdown: Insights from GPT-5,2025-11-20,Alignment,"GPT-5, GPT-5-high/medium/low, GPT-5 Chat, o4-mini, Claude Sonnet 4.5, Claude Opus 4.1",Post-deployment,https://scale.com/blog/seal-showdown-insights-gpt-5,"Scale AI's human-preference evaluation found GPT-5 ranked lower than expected despite strong benchmarks, with preference declining as reasoning effort increased (win rates 25-46% against most competitors); Claude Sonnet 4.5/Opus 4.1 ranked in the top tier.","Surprisingly, we found that on Showdown, GPT-5's ranking declines as the amount of reasoning effort increases.; With the exception of o4-mini, GPT-5 loses against all other models in the majority of the battles collected in this experiment.; gemini-2.5-flash-preview-05-20 0.25; llama4-maverick-instruct-basic 0.46; Claude Sonnet 4.5 joins Claude Opus 4.1 and GPT-5 Chat at the top of the leaderboard.",C2,C2,C2,C2,C2,,,,,,,,,,,,,,,,,,yes,no,capability-finding,scale-ai;gpt-5;claude-sonnet-4.5;claude-opus-4.1;human-preference,third-party-evaluator
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 404 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",NETWORK-2025-07-AUT1,NETWORK-2025-07,International Network of AI Safety Institutes,Government,"Advancing Methodologies for AI Agent Evaluation (Int'l Network, published on PEReN's domain)",2025-07-30,Autonomy,Two anonymised LLMs run as agents (labelled Model A and Model B),N/A,https://www.peren.gouv.fr/rapports/2025-july_advancing-methodologies-for-ai-agent-evaluation/,"Across nine languages and two anonymised models run as tool-using agents on fraud and sensitive-information-leakage tasks, safety pass rates were low — roughly 33-57% for Model A (mean ~46%) and 14-35% for Model B (mean ~23%) — and even the best agentic pass rate fell below the worst-performing category of the Network's previous conversational exercise.",The pass rates observed in this exercise range from (~33% to 57% for Model A - mean:,C1,C1,C1,C1,C1,,,,,,,,"[ADDED mapped · window-extension sweep 2026-08-29] Gate 1 yes — a measured empirical result on models run as agents. Gate 2 fails (b): the models are anonymised as Model A / Model B, and ""anonymised"" fails the named-company/model condition.",,,,,,,,,,yes,no,capability-finding,,government-AISI
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 404 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",NETWORK-2025-07-AUT2,NETWORK-2025-07,International Network of AI Safety Institutes,Government,"Advancing Methodologies for AI Agent Evaluation (Int'l Network, published on PEReN's domain)",2025-07-30,Autonomy,Two anonymised LLMs run as agents (Model A and Model B),N/A,https://www.peren.gouv.fr/rapports/2025-july_advancing-methodologies-for-ai-agent-evaluation/,"Agents sometimes showed awareness that they were in a simulated environment yet still executed the harmful action, cautioning against such behaviour 'in the real world' while completing it; in English alone at least two such instances were observed for Model A and five for Model B, some apparently independent of tool design.",in English there were at least two instances for Model A and five,C1,C1,C2,C1,C1,,,,,,,,"[ADDED mapped · window-extension sweep 2026-08-29] Gate 1 yes — an observed behaviour, counted. Gate 2 fails (b): models are anonymised, so no company response can be attached.",,,,,,,,,,yes,no,capability-finding,,government-AISI
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 404 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",NETWORK-2025-07-AUT3,NETWORK-2025-07,International Network of AI Safety Institutes,Government,"Advancing Methodologies for AI Agent Evaluation (Int'l Network, published on PEReN's domain)",2025-07-30,Autonomy,Two anonymised LLMs used as judge-LLMs (Model C and Model D),N/A,https://www.peren.gouv.fr/rapports/2025-july_advancing-methodologies-for-ai-agent-evaluation/,"LLM judges disagreed substantially with human annotators on agent trajectory safety — discrepancy of 15-36% for judge Model C and 23-41% for judge Model D — and were systematically more lenient than humans, with the largest discrepancies in Telugu, Hindi and Kiswahili.",15%-36% for Model C and 23%-41% for Model D.,C2,C2,C2,C2,C2,,,,,,,,[ADDED mapped · window-extension sweep 2026-08-29] Gate 1 yes — a measured behavioural result on judge models. Gate 2 fails (b) the judges are anonymised and (c) the models are the INSTRUMENT of a methodology study.,,,,,,,,,,yes,no,capability-finding,,government-AISI
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 404 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",NETWORK-2025-07-JAI1,NETWORK-2025-07,International Network of AI Safety Institutes,Government,"Advancing Methodologies for AI Agent Evaluation (Int'l Network, published on PEReN's domain)",2025-07-30,Jailbreaks,Two anonymised LLMs run as agents (Model A and Model B),N/A,https://www.peren.gouv.fr/rapports/2025-july_advancing-methodologies-for-ai-agent-evaluation/,"Agents failed to execute benign tasks at a high rate — around 30% in English with similar trends in Hindi and other languages — indicating that agentic execution capability, not only refusal behaviour, limits current agent reliability.","Execution failures in benign tasks were common (e.g. ~30% in English, similar",C2,C2,C2,C2,C2,,,,,,,,[ADDED mapped · window-extension sweep 2026-08-29] Gate 1 yes — a measured failure rate. Gate 2 fails (b) anonymised models and (c) an execution-capability shortfall is not a concerning safety result warranting a company response.,,,,,,,,,,yes,no,capability-finding,,government-AISI
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 404 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",SCALEAI-2026-07-AUT1,SCALEAI-2026-07-FRONTIERBENCH,Scale AI,For-Profit,Frontier-Bench: Harder Tasks for Better Agents,2026-07-23,Autonomy;Eval-methodology,Best frontier terminal agents,Post-deployment,https://labs.scale.com/blog/frontier-bench-harder-tasks-for-better-agents,The best frontier agents solved fewer than 40% of Frontier-Bench's verified terminal tasks.,the best frontier models can solve less than 40% of the tasks.,C2,C2,C2,C2,C2,,,,,,,,,,,,,,,,,,no,,methodology,scale-ai;benchmark;frontierbench,third-party-evaluator
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 404 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",SCALEAI-2026-07-AUT2,SCALEAI-2026-07-FRONTIERBENCH,Scale AI,For-Profit,Frontier-Bench: Harder Tasks for Better Agents,2026-07-23,Autonomy;Eval-methodology,Frontier terminal agents,Post-deployment,https://labs.scale.com/blog/frontier-bench-harder-tasks-for-better-agents,Scale observed recurring judgment failures: agents selected convenient but unsuitable methods despite often being able to execute once correctly directed.,"Models are strong at execution once pointed in the right direction, but they struggle with the step that comes first",C2,C2,C2,C2,C2,,,,,,,,,,,,,,,,,,no,,methodology,scale-ai;benchmark;frontierbench,third-party-evaluator
"Rulebook §2: 'Every included row must have a primary Source URL.' The cited source returned HTTP 404 on a direct fetch from a browser-headed request on 2026-09-10, so the finding cannot be verified against its source by a reader. The report was real when coded; the link has since rotted. Removed rather than retained with an unverifiable citation. Recoverable from this ledger if a replacement or archival URL is located.",NETWORK-2025-07-CYB1,NETWORK-2025-07,International Network of AI Safety Institutes,Government,"Advancing Methodologies for AI Agent Evaluation (Int'l Network, published on PEReN's domain)",2025-07-30,Cyber,"Two anonymised open-source models (Model E and Model F) on Cybench and InterCode CTF, evaluated with Inspect and HiBayES",N/A,https://www.peren.gouv.fr/rapports/2025-july_advancing-methodologies-for-ai-agent-evaluation/,"In the UK AISI-led cybersecurity strand, Bayesian modelling (HiBayES) over Cybench and InterCode CTF runs found that most evaluation parameters varied — agent prompt, individual tool removal, token limit — had no substantial effect on agent success rate; the only significant effect was reduced performance for Model E at higher temperature, and benchmark choice dominated all other variables.",most target variables did not have a substantial impact on model success rate.,C2,C2,C2,C2,C2,,,,,,,,"[ADDED mapped · window-extension sweep 2026-08-29] Gate 1 no — this is a methodology/tooling finding about which evaluation parameters move measured success rate, not a finding about a model's own capability or safety. Tier C, Action Trackable blank.",,,,,,,,,,no,,methodology,,government-AISI
