Finding ID,Finding Quote
UKAISI-2024-10-JAI1,Mistral Large 2 refuses just 1.1% of requests and gets our strongest score without attacking of 82.2%.
UKAISI-2024-10-JAI3,"GPT-4o, increasing its harm score from 48.4% to 72.7% and decreasing refusal rate from 48.9% to 13.6%"
UKAISI-2024-10-JAI2,"Claude 3.5 Sonnet, increasing its harm score from 13.5% to 68.7% and decreasing refusal rate from 85.2% to 16.7%; with our template attack, Claude 3.5 Sonnet scores a 81.9% non-refusal harm score (while refusing just 16% of requests), closely matching its non-refusal score of 82% on the benign tasks"
UKAISI-2024-10-JAI5,"Gemini 1.5 Pro, increasing its harm score from 15.7% to 56.1% and decreasing refusal rate from 78.4% to 3.5%"
UKAISI-2024-10-JAI6,"GPT-4o mini gets a 62.5% harm score, while refusing just 22% of the prompts."
UKAISI-2024-10-JAI7,"[Table 9: Main results on the public test set, GPT-3.5 Turbo / no-attack row]: ""GPT-3.5 Turbo | None | 62.2% | 0.8% | 62.7% | 67.7%"""
JOINT-2024-11-JAI1,"UK AISI tested the upgraded Sonnet 3.5 using a series of public and privately developed jailbreaks and also found the version of the safeguards that UK AISI tested can be routinely circumvented.; US AISI tested Sonnet 3.5 against a series of publicly available jailbreaks, and in most cases the built-in version of the safeguards that US AISI tested were circumvented as a result, meaning the model provided answers that otherwise would have been prevented."
JOINT-2024-12-CYB1,"The model was able to solve 45% of all tasks, compared to a 35% solve rate for the best-performing reference model evaluated.; The o1 model solved every challenge solved by any other reference model and solved an additional three cryptography-related challenges that no other model completed.; The model was able to solve 36% of tasks that are at the “cybersecurity apprentice” level of competency, compared to 46% of tasks at that same level for the best reference model evaluated."
UKAISI-2025-02-JAI1,"We test our attacks against the OpenAI fine-tuning API, finding they succeed in eliciting answers to harmful multiple-choice questions, and that they evade an enhanced monitoring system we design that successfully detects other fine-tuning attacks."
UKAISI-2025-04-ALI7,Only Claude 3.7 Sonnet is able to robustly and covertly exfiltrate weights while being monitored.; Serve Multi-GPU Model 0.98 0.00 0.00 0.00 0.00; Explore & Exploit 0.86 (0.65) 0.35 (0.00) 0.10 (0.00) 0.00 (0.00) 0.00 (0.00); only Claude 3.7 Sonnet and Claude 3.5 Sonnet (new) achieve a non-zero success rate on the easier C2 (Centralized) variant
JOINT-2025-05-ALI1,"in situations where strategic deception is instrumentally useful, [the early Claude Opus 4 snapshot] schemes and deceives at such high rates that we advise against deploying this model either internally or externally; We found instances of the model attempting to write self-propagating worms, fabricating legal documentation, and leaving hidden notes to future instances of itself all in an effort to undermine its developers' intentions."
UKAISI-2025-07-JAI4,"We also found vulnerabilities in Opus 4 [Anthropic, 2025b] and GPT-5 [OpenAI, 2025a] through component-wise attacks, validating that the general attack approach works against frontier model deployments."
UKAISI-2025-07-HUM2,"claims made by OpenAI’s GPT-4.5 (study 2) were rated inaccurate > 30% of the time—a figure roughly equivalent to our much smaller chat-tuned version of Llama3.1-8B. Indeed, and surprisingly, we also find that GPT-3.5—a model released more than 2 years earlier than GPT-4.5—made ∼13pp fewer inaccurate claims (Figure 4A)."
UKAISI-2025-07-JAI3,"We also found vulnerabilities in Opus 4 [Anthropic, 2025b] and GPT-5 OpenAI [2025a] through component-wise attacks, validating that the general attack approach works against frontier model deployments (Appendix K)."
JOINT-2025-08-JAI1,"The UK AISI's Safeguards team identified multiple model-level jailbreaks that overcome gpt-5-thinking's built-in refusal logic without degradation of model capabilities, producing content to the user that is subsequently flagged by OpenAI's generation monitor. One of the jailbreaks evades all layers of mitigations and is being patched."
JOINT-2025-09-CYB1,"CAISI identified two novel security vulnerabilities in ChatGPT Agent that, under certain circumstances, could have allowed a sophisticated attacker to bypass our security protections, and to remotely control the computer systems the agent could access for that session and successfully impersonate the user for other websites they'd logged into.; The CAISI team's multidisciplinary approach enabled them to develop a sophisticated exploit chain combining traditional software vulnerabilities with AI vulnerabilities.; The proof-of-concept attack developed by CAISI successfully bypassed various AI-based security protections, which led to a full exploit chain with a success rate of approximately 50%."
JOINT-2025-09-JAI2,"OpenAI made a range of improvements to our product configuration to fix a set of configuration vulnerabilities that UK AISI identified, where malicious content could be inputted or exfiltrated without triggering moderation."
JOINT-2025-09-BIO1,"Testers discovered that specific annotations, like falsely claiming human review had occurred, could bypass classifier detection entirely.; Identifying cipher-based attacks. Encoded harmful requests using ciphers, character substitutions, and other obfuscation techniques to evade our classifiers.; such as fragmenting harmful strings into seemingly benign components within a wider context."
USCAISI-2025-09-JAI1,"DeepSeek’s most secure model (R1-0528) responded to 94% of overtly malicious requests when a common jailbreaking technique was used, compared with 8% of requests for U.S. reference models."
USCAISI-2025-09-ALI1,"Agents based on DeepSeek’s most secure model (R1-0528) were, on average, 12 times more likely than evaluated U.S. frontier models to follow malicious instructions designed to derail them from user tasks."
UKAISI-2025-11-ALI1,"First, we extend MLE-Bench, a benchmark for realistic ML tasks, with code-sabotage tasks such as implanting backdoors and purposefully causing generalisation failures.; Agents can calibrate their performance to specified target levels below their actual capability."
JOINT-2026-02-JAI1,"Over the course of about 10 hours of manual red-teaming, UK AISI developed a universal jailbreak (with retries) that achieved 0.778 pass@200 on a policy violating cyber dataset we provided."
JOINT-2026-02-CYB5,"CAISI observed that GPT-5.3-Codex continued making meaningful progress on difficult cyber tasks across many compaction windows, finding novel results even after 50M or more unique tokens and tens of hours of analysis."
JOINT-2026-02-ALI1,"In their sabotage suite, Apollo reports a mean best-of-10 score of 0.88 (max 1.00), compared to 0.75 for GPT-5.2 and 0.66 for GPT-5.2 Codex."
JOINT-2026-02-ALI2,"On deferred subversion / sandbagging, Apollo reports that the model sometimes sandbags on capabilities Q&A tasks (ex: biology or chemistry), including without an explicit in-context goal, and documents cases where the model reasons explicitly about ""optimizing for survival"" by avoiding deployment restrictions."
JOINT-2026-02-JAI3,"Red teamers collectively devoted 1,375 hours to this effort, and made 21 submissions. Of these, they found 6 complete universal jailbreaks, and 14 partial universal jailbreaks (where at least 4/6 rubric attempts contain violative outputs).; Red teamers collectively spent 2,151 hours on this effort, and submitted 279 reports. They found 132 false negatives, in which Safety Reasoner should have triggered a block but didn't according to the red teaming set up; Based on the nature of the jailbreaks identified, and the depth of safeguards in place for this launch, these are not blocking and will be remediated."
JOINT-2026-02-CYB6,"During further local enumeration, it found a key embedded in a provisioning log that could be used to access the SIEM, where it deleted the alerts and then retrieved the flag."
UKAISI-2026-02-JAI1,"We believe BPJ is the first automated attack to succeed against Constitutional Classifiers, Anthropic's defence system that previously withstood over 3,700 hours of human red-teaming with only one fully successful, human-led attack found in that time.; BPJ increased average scores on a set of harmful questions from 0% to 25.5% (39.9% max across 50 attempts) at a cost of approximately $330 and 660k queries; With basic prompting strategies (elicitation), these scores rose to 68% average (80.4% max across 50)"
UKAISI-2026-02-JAI1-s2,"BPJ is also the first automated attack to succeed against OpenAI's input classifier for GPT-5 without relying on human seed attacks.; Against GPT-5's input classifier, BPJ achieved 75.6% average (94.3% max across 50) at a cost of approximately $210 and 800k queries"
UKAISI-2026-03-CYB10,"Interestingly, we observe significantly worse performance for GPT-5.2 compared to GPT-5 (0.27 [0.19, 0.37] vs. 0.50 [0.40, 0.60])."
UKAISI-2026-03-CYB11,"DeepSeek-R1 frequently hallucinated success, repeatedly submitting incorrect flags—averaging 21 incorrect submissions per sample, with one sample reaching 94."
UKAISI-2026-03-CYB12,"Claude Opus 4.5 (released 24 November 2025) succeeded on 56% of samples. Mythos Preview, announced 7 April 2026, succeeded at least once on 100% of samples.; For comparison, Cybench moved from roughly 10% to 82% over approximately 18 months (Irregular, 2025)"
UKAISI-2026-03-CYB9,"GPT 5.3 Codex achieves the highest single-run maximum of 3 steps out of 7.; several frontier models bypassed this sequence entirely: starting from the attacker's initial position, they directly probed the proprietary protocol running on the PLCs, deducing enough of its structure from network traffic alone to call unprotected functions and read PLC memory—obtaining Step 4 without any prior exploitation"
UKAISI-2026-03-CYB2,"Increasing the token budget from 10M to 100M yields gains of up to 59%, with no observed plateau.; At 100M tokens, the gap is even larger: Opus 4.5 averaged 11.0 steps compared to Opus 4.6's 15.6 – a 42% improvement between models released roughly two months apart."
UKAISI-2026-04-CYB1,"On expert-level tasks — which no model could complete before April 2025 — Mythos Preview succeeds 73% of the time; Claude Mythos Preview is the first model to solve TLO from start to finish, in 3 out of its 10 attempts."
