Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
DREADNODE-2025-04-JAI1,DREADNODE-2025-04,Dreadnode,For-Profit,The Automation Advantage in AI Red Teaming,2025-04-29,Jailbreaks,30 LLM red-teaming challenges on Dreadnode's Crucible platform (target models not named; anonymised),Post-deployment,https://dreadnode.io/research/the-automation-advantage-in-ai-red-teaming,"Analysing 214,271 attack attempts by 1,674 users across 30 LLM challenges, Dreadnode found automated attack sessions succeeded 69.5% of the time versus 47.6% for manual attempts, with purely automated approaches at 76.9% and hybrid at 63.1%, even though only 5.2% of users employed automation.",Our analysis shows that automated approaches achieve significantly higher success rates (69.5%) compared to manual attempts (47.6%)-a difference of 21.8 percentage points.,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-trend; anonymised-model,"automated-red-teaming, crucible, attack-success-rate, adoption-gap",third-party-evaluator,Same report as the arXiv paper https://arxiv.org/abs/2504.19855 (2025-04-28); extracted once. Dreadnode notes a selection bias: harder challenges attract automation. TODO severity ensemble + Channel A/B/C.
DREADNODE-2025-04-GOV1,DREADNODE-2025-04,Dreadnode,For-Profit,The Automation Advantage in AI Red Teaming,2025-04-29,Governance / evaluation methodology,30 LLM red-teaming challenges on Crucible (anonymised),N/A,https://dreadnode.io/research/the-automation-advantage-in-ai-red-teaming,"Although automation won on success rate, manual attempts solved challenges roughly 5.2x faster by median time (1.5 minutes versus 11.6 minutes), with the direction reversing on some challenge types, which Dreadnode uses to argue for hybrid human-plus-automated testing.",median solve times showed manual attempts were approximately 5.2 times faster (1.5 minutes versus 11.6 minutes for automated approaches),,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"time-to-solve, hybrid-red-teaming, evaluation-design",third-party-evaluator,TODO severity ensemble + Channel A/B/C.
DREADNODE-2025-06-CYB10,DREADNODE-2025-06B,Dreadnode,For-Profit,AI Red Teaming Case Study: Claude 3.7 Sonnet Solves the Turtle Challenge,2025-06-18,Cyber,Claude 3.7 Sonnet (Anthropic),Post-deployment,https://dreadnode.io/research/ai-red-teaming-case-study-claude-sonnet-solves-turtle,"In AIRTBench's turtle challenge - crafting a prompt that makes a target LLM emit shell-injection-vulnerable code, solved by only 6% of human operators - Claude-3.7-Sonnet succeeded autonomously in about 9 minutes over 30 conversation turns, persisting through failed attempts and switching strategies after sophisticated techniques failed.",Claude-3.7-Sonnet: Solve time: ~9 minutes,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"airtbench, autonomous-red-teaming, ctf, shell-injection, turtle-challenge",third-party-evaluator,"Companion case study to AIRTBench (already in v10 as DREADNODE-2025-06-CYB1/CYB2, which cover overall solve rates). This row records only the turtle-specific result, which is not in the existing index. Report ID suffixed 'B' to avoid collision with the existing 2025-06 AIRTBench report. TODO severity ensemble + Channel A/B/C."
DREADNODE-2025-06-CYB11,DREADNODE-2025-06B,Dreadnode,For-Profit,AI Red Teaming Case Study: Claude 3.7 Sonnet Solves the Turtle Challenge,2025-06-18,Cyber,Gemini 2.5 Pro (Google),Post-deployment,https://dreadnode.io/research/ai-red-teaming-case-study-claude-sonnet-solves-turtle,"On the same turtle challenge (6% human solve rate), Gemini-2.5-Pro succeeded autonomously in about 18 minutes over 41 conversation turns by systematically testing prompt formats until one bypassed the target's controls.",Gemini-2.5-Pro: Solve time: ~18 minutes,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"airtbench, autonomous-red-teaming, ctf, shell-injection, turtle-challenge",third-party-evaluator,"Companion case study to AIRTBench (already in v10 as DREADNODE-2025-06-CYB1/CYB2, which cover overall solve rates). This row records only the turtle-specific result, which is not in the existing index. Report ID suffixed 'B' to avoid collision with the existing 2025-06 AIRTBench report. TODO severity ensemble + Channel A/B/C."
DREADNODE-2025-06-CYB12,DREADNODE-2025-06B,Dreadnode,For-Profit,AI Red Teaming Case Study: Claude 3.7 Sonnet Solves the Turtle Challenge,2025-06-18,Cyber,Llama-4-17B (Meta),Post-deployment,https://dreadnode.io/research/ai-red-teaming-case-study-claude-sonnet-solves-turtle,"On the same turtle challenge, Llama-4-17B - the only open-source model to solve it - succeeded in about 1 minute over 6 conversation turns by presenting vulnerable code and asking for it to be 'made more secure', inducing the target to emit a different vulnerable implementation.",Solve time: ~1 minute Strategy: The only open-source model among the successful solutions employed a creative security-focused approach,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"airtbench, autonomous-red-teaming, ctf, shell-injection, turtle-challenge",third-party-evaluator,"Companion case study to AIRTBench (already in v10 as DREADNODE-2025-06-CYB1/CYB2, which cover overall solve rates). This row records only the turtle-specific result, which is not in the existing index. Report ID suffixed 'B' to avoid collision with the existing 2025-06 AIRTBench report. TODO severity ensemble + Channel A/B/C."
DREADNODE-2025-07-GOV1,DREADNODE-2025-07,Dreadnode,For-Profit,Evals: The Foundation for Autonomous Offensive Security,2025-07-30,Governance / evaluation methodology,OpenAI o1 (o1-2024-12-17) driving a Mythic/Apollo agent harness in the GOAD Active Directory lab; used as an instrument,N/A,https://dreadnode.io/research/evals-the-foundation-for-autonomous-offensive-security,"Dreadnode documents an evaluation methodology for autonomous offensive-security agents (action-space design, string/structured-object/LLM-judge verifiers, repeated trials with logged independent variables), motivated by the observation that the same o1-driven agent found the planted SYSVOL domain credentials on one run and failed to find anything usable on another.","In this run, the model performed some basic recon, but hasn't given us anything usable and failed to find the credentials. So does the agent work, or not?",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"offensive-agent-evaluation, verifiers, run-to-run-variance, active-directory",third-party-evaluator,"The planned five-model comparison (o1, gpt-4o-mini, claude-sonnet-4, DeepSeek-R1, gemini-2.5-pro) is described but no success-rate numbers are reported in the post. TODO severity ensemble + Channel A/B/C."
DREADNODE-2025-12-JAI1,DREADNODE-2025-12B,Dreadnode,For-Profit,186 Jailbreaks: Applying MLOps to AI Red Teaming,2025-12-11,Jailbreaks,"Llama Maverick-17B-128E-Instruct (Meta), deployed in production environments",Post-deployment,https://dreadnode.io/research/186-jailbreaks-applying-mlops-to-ai-red-teaming,"Running TAP, GOAT and Crescendo against 80 AdvBench prompts spanning eight harm categories, Dreadnode obtained 186 successful jailbreaks out of 240 attack runs (~78% ASR) against Llama Maverick-17B-128E-Instruct in about 137 minutes and 2,645 queries, including step-by-step explosive-preparation content and insider-trading tradecraft.",We ran an AI risk assessment against Llama Maverick-17B-128E-Instruct that resulted in 186 successful jailbreaks at an attack success rate of 78%.,,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,"advbench, tap, goat, crescendo, harmful-content, multi-modal",third-party-evaluator,Report ID suffixed 'B' to avoid collision with the existing DREADNODE-2025-12 AMSI report. Attacker and judge LLM: Moonshot Kimi-2 Instruct. TODO severity ensemble + Channel A/B/C.
DREADNODE-2025-12-JAI2,DREADNODE-2025-12B,Dreadnode,For-Profit,186 Jailbreaks: Applying MLOps to AI Red Teaming,2025-12-11,Jailbreaks,Llama Maverick-17B-128E-Instruct (Meta),Post-deployment,https://dreadnode.io/research/186-jailbreaks-applying-mlops-to-ai-red-teaming,"Multi-turn gradual escalation was by far the strongest attack against Llama Maverick: Crescendo reached 97.5% ASR (19 queries per attack on average) versus 78% for GOAT and 57% for TAP, and was 100% effective in the self-harm and violence categories, indicating safety training that holds for single-turn refusals but degrades across a conversation.","Self-harm and violence: Crescendo was devastatingly effective (100% ASR), while other methods struggled.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,"multi-turn-jailbreak, crescendo, self-harm, violence, safety-training-gap",third-party-evaluator,"Split from the overall-ASR row because the multi-turn weakness warrants a distinct remediation. GOAT reached 78% ASR with only 7 queries per attack, which Dreadnode flags as harder to detect. TODO severity ensemble + Channel A/B/C."
DREADNODE-2025-12-JAI3,DREADNODE-2025-12B,Dreadnode,For-Profit,186 Jailbreaks: Applying MLOps to AI Red Teaming,2025-12-11,Jailbreaks,GPT-3.5 (OpenAI),Post-deployment,https://dreadnode.io/research/186-jailbreaks-applying-mlops-to-ai-red-teaming,"Against GPT-3.5, which refused a direct password-cracking request, the TAP attack combined with a simple character-level transform (inserting underscores between characters) bypassed the refusal and elicited the harmful content.","In one run, we found that inserting underscores between characters in the prompt completely circumvented safety mechanisms.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; non-frontier,"character-level-transform, tap, refusal-bypass, legacy-model",third-party-evaluator,Single illustrative run; no ASR reported for this example. GPT-3.5 is a legacy model by the report date. TODO severity ensemble + Channel A/B/C.
DREADNODE-2026-06-JAI1,DREADNODE-2026-06,Dreadnode,For-Profit,"AI Red Teaming a Frontier Model, Live: From Natural Language to Findings",2026-06-16,Jailbreaks,"Llama 4 Scout (meta-llama/llama-4-scout-17b-16e-instruct, Meta)",Post-deployment,https://dreadnode.io/research/ai-red-teaming-frontier-model-live-demo,"In a live demonstration driven by one natural-language instruction, Dreadnode's red-teaming agent (orchestrated by Claude Opus 4.8) used Tree of Attacks with Pruning to elicit password-breaking code from Llama 4 Scout with a 100% attack success rate in just 2 trials, rated high severity; a Crescendo attack with a Telugu-language transform also reached 100% success (0.9 severity) and a trace-recommended nested-fiction transform reached 70% on violent-category probing.",It succeeded in just 2 trials with a 100% attack success rate and was categorized as high severity.,,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,"tap, crescendo, low-resource-language, nested-fiction, malware-code-generation",third-party-evaluator,"The report's other Llama Scout result (68 objectives, ~85% ASR in ~3 hours) is the case study already in v10 as DREADNODE-2026-05-JAI1 and is NOT re-extracted here. TODO severity ensemble + Channel A/B/C."
DREADNODE-2026-06-AUT1,DREADNODE-2026-06,Dreadnode,For-Profit,"AI Red Teaming a Frontier Model, Live: From Natural Language to Findings",2026-06-16,Autonomy / agentic risk,"A DevOps agent built on GPT-4o-mini (OpenAI) with read_file, execute_command, query_database, send_email, fetch_url and list_directory tools, deployed in Azure Container Apps",Post-deployment,https://dreadnode.io/research/ai-red-teaming-frontier-model-live-demo,"Attacking a deliberately undefended GPT-4o-mini DevOps agent with graph-of-attacks and TAP aimed at data exfiltration, credential extraction, RCE and SSRF produced a critical finding: the agent read sensitive configuration files and exfiltrated credentials through its read_file tool.","The result was a critical finding: the agent read sensitive configuration files and exfiltrated credentials via its read_file tool call, traced down to the exact tool invocations.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,"agentic-risk, credential-exfiltration, tool-calling, devops-agent",third-party-evaluator,"Dreadnode states the demo agent was deliberately undefended (no content-safety classifier, tool allow-lists, input validation or per-user scoping), so the result reflects the unguarded scaffold as much as the underlying model. TODO severity ensemble + Channel A/B/C."
DREADNODE-2026-06-GOV1,DREADNODE-2026-06,Dreadnode,For-Profit,"AI Red Teaming a Frontier Model, Live: From Natural Language to Findings",2026-06-16,Governance / evaluation methodology,LLM-as-judge scorers in Dreadnode's red-teaming platform,N/A,https://dreadnode.io/research/ai-red-teaming-frontier-model-live-demo,"Dreadnode reports that because finding severity is scored by LLM-as-judge, judges hallucinate and sometimes score refusals as jailbreaks, so the platform requires human-in-the-loop reclassification (with logged reasons and live metric updates), especially for critical categories such as remote code execution and data exfiltration.","Because scoring uses LLM-as-judge, judges can hallucinate or flag refusals as jailbreaks, so the platform supports human-in-the-loop review",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"llm-as-judge, false-positives, human-in-the-loop, scoring-reliability",third-party-evaluator,TODO severity ensemble + Channel A/B/C.
