"Canadian AI Safety Institute (CAISI Canada)","Research project: Repetition, Resistance, and Reinforcement — Longitudinal Effects of Conversational AI on Political Attitudes (Catalyst)","https://aisafety.ca/research_project/longitudinal-effects-of-conversational-ai-on-political-attitudes/","2026-04-11","EXCLUDED - no findings","Catalyst project announcement (Mekik & Sevi, CIFAR CAISI Research Program); describes a planned multi-wave survey experiment on AI political persuasion; no empirical results reported","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Safe autonomous chemistry labs (Catalyst)","https://aisafety.ca/research_project/safe-autonomous-chemistry-labs/","2026-04-11","EXCLUDED - no findings","Catalyst project announcement (Aspuru-Guzik, Vector/UofT); proposed safety framework for self-driving labs (black box, multi-agent oversight, digital twin); intentions only, no measured results","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Safeguarding courts from synthetic AI content (Solution Network)","https://aisafety.ca/research_project/safeguarding-courts-from-synthetic-ai-content/","2026-04-11","EXCLUDED - no findings","Solution Network announcement (Bagheri & Grossman); plans detection tools for AI-generated courtroom evidence; problem statement and approach only, no evaluation data","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Safety assurance and engineering for multimodal foundation model-enabled AI systems (Catalyst)","https://aisafety.ca/research_project/safety-assurance-and-engineering-for-multimodal-foundation-model-enabled-ai-systems/","2026-04-11","EXCLUDED - no findings","Catalyst project announcement (Khomh, Ma, Goebel); plans to build benchmarks and evaluation frameworks for multimodal models; methodology promise, no findings","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Sample-efficient online fine-tuning against resistant behaviors (AI Alignment)","https://aisafety.ca/research_project/sample-efficient-online-fine-tuning-against-resistant-behaviors/","2026-04-11","EXCLUDED - no findings","AI Alignment project announcement (Kong, Amii/UAlberta); proposed statistical framework for corrective fine-tuning; no empirical findings or experimental data","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Sampling latent explanations from LLMs for safe and interpretable reasoning (Catalyst)","https://aisafety.ca/research_project/sampling-latent-explanations-from-llms-for-safe-and-interpretable-reasoning/","2026-04-11","EXCLUDED - no findings","Catalyst project announcement (Bengio, Mila); prospective monitoring-guardrail research using GFlowNets; goals only, no results reported","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Scaling laws, data distributions, and learning dynamics (AI Alignment)","https://aisafety.ca/research_project/scaling-laws-data-distributions-and-learning-dynamics/","2026-04-11","EXCLUDED - no findings","AI Alignment project announcement (Kahn, UofT); proposed physics-based data generation to study scaling/generalization; no quantitative results presented","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Socio-Technical Solutions to Improve Information Integrity and AI Literacy (Catalyst)","https://aisafety.ca/research_project/socio-technical-solutions-to-improve-information-integrity-and-ai-literacy/","2026-04-11","EXCLUDED - no findings","Catalyst project announcement (Curtis, Godbout, Pelrine, Pennycook, Rand et al.); planned bilingual misinformation-correction experiments; no empirical outcomes reported","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Testing Red-Team Safeguards Against AI Persuasion in Democratic Governance (Catalyst)","https://aisafety.ca/research_project/testing-red-team-safeguards-against-ai-persuasion-in-democratic-governance/","2026-04-11","EXCLUDED - no findings","Catalyst project announcement (Johnson & Wynes); will test red-team safeguards via survey experiments and deliberative mini-publics; prospective only, no findings","","2026-08-01","agent"
"Canadian AI Safety Institute (CAISI Canada)","Research project: Towards Socially Grounded AI Safety — Integrating Causal and Institutional Reasoning in Language Models (Catalyst)","https://aisafety.ca/research_project/integrating-causal-and-institutional-reasoning/","2026-04-11","EXCLUDED - no findings","Catalyst project announcement (Jin & Ratto, Vector/UofT); plans agentic architectures and causal reasoning modules; research objectives only, no evaluation results","","2026-08-01","agent"
