venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
Cisco (Robust Intelligence / Foundation AI),Scaling FAITH Model Evaluation Analysis with BigQuery,https://cisco-foundation-ai.github.io/blogs/scaling-model-evals-with-bigquery,2026-06-09,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (4 measured values, 1 assertion phrases; models: see text).",,2026-08-14,title-triage
Cisco (Robust Intelligence / Foundation AI),Antares in the Wild: Testing on Two New Cybersecurity Benchmarks,https://cisco-foundation-ai.github.io/blogs/antares-beyond-vlocbench,2026-07-28,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (signals: 22 measured values, 1 assertion phrases; models: Claude, Claude Security 68, GPT-4o, GPT-5).",,2026-08-14,title-triage
FAR.AI,Layered AI Defenses Have Holes: Vulnerabilities and Key Recommendations,https://www.far.ai/blog/defense-in-depth,2025-07-01,INCLUDED,"RESTORED 2026-08-14: title triage wrongly discarded this as ""not an evaluation"" — full text reports measured results on named models (18 measured values, 8 assertion phrases, models: Claude 4 Opus have, Claude 4 Opus thro, Claude 4 Opus to e, Gemma).",,2026-08-14,title-triage
France INESIA (via PEReN / ANSSI / Inria / LNE),What are the risks and limits of generating convincing deepfakes?,https://www.peren.gouv.fr/en/perenlab/2024-12-03-hypertrucages/,2024-12-03,INCLUDED,"PEReN + CNIL/LINC empirical study of off-the-shelf deepfake generation tools (FaceFusion, inswapper_128, simswap_256, gfpgan_1.4) with human-annotation results showing non-experts can produce deepfakes informed viewers cannot reliably distinguish (annotator precision 0.41); matches v9 report FRANCE-2024-12 (finding FRANCE-2024-12-SOC1, sourced to the FR version of this page).",FRANCE-2024-12,2026-08-01,agent
France INESIA (via PEReN / ANSSI / Inria / LNE),Detecting artificial content on social networks: a tool for knowing which detectors to trust,https://www.peren.gouv.fr/en/perenlab/2025-02-11_ai_summit/,2025-02-11,INCLUDED,"PEReN + Viginum empirical evaluation of the performance and robustness of state-of-the-art AI-content detectors under social-network transformations, finding only 2 of 13 image detectors beat random chance and text detectors degrade on short/French/stylized text; matches v9 report FRANCE-2025-02 (finding FRANCE-2025-02-SOC1, sourced to the FR version of this page).",FRANCE-2025-02,2026-08-01,agent
France INESIA (via PEReN / ANSSI / Inria / LNE),Generative AI under the environmental microscope: PEReN contributes to the Arcep report,https://www.peren.gouv.fr/en/actualites/2026-05-21_iag_et_environnement/,2026-05-21,INCLUDED,"PEReN's original empirical study (for Arcep, on the Jean Zay supercomputer) measuring inference energy consumption of 22 text-generation models (3B-123B params) with quantified findings: reasoning mode raises energy use up to 92%, MoE architecture cuts ~45%, quantization saves ~39%; matches v9 report FRANCE-2026-05 (finding FRANCE-2026-05-GOV1, sourced to the FR version of this page).",FRANCE-2026-05,2026-08-01,agent
Redwood Research,SOTA alignment assessments don't strongly update us against misalignment,https://blog.redwoodresearch.org/p/sota-alignment-assessments-dont-strongly,2026-07-31,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (10 measured values, 2 assertion phrases; models: Claude, Claude 4.6 is unli, Claude Haiku 4.5 w, Claude Mythos Prev).",,2026-08-14,title-triage
Scale AI,Detecting and Preventing Hallucinations in Large Vision Language Models,https://labs.scale.com/papers/detecting-and-preventing-hallucinations-in-large-vision-language-models,2023-04-11,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (6 measured values, 1 assertion phrases; models: see text).",,2026-08-14,title-triage
Scale AI,Healthcare Benchmarks,https://scale.com/blog/healthcare-benchmarks,2025-08-04,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (19 measured values, 0 assertion phrases; models: GPT-3.5, GPT-4.1, GPT-4o, Gemini 2.0 Fla).",,2026-08-14,title-triage
SecureBio,"[Publication] Analysis of the first genetic engineering attribution challenge — Crook et al. (2022), Nature Communications 13:7374",https://www.nature.com/articles/s41467-022-35032-8,2022,INCLUDED,"Co-authored by in-scope evaluators (Esvelt, Bradshaw, Alley); empirical findings on ML model performance for genetic-engineering attribution (top teams +10pp top-1/top-10 accuracy; CNN-based vs NN-free approaches) — methodology/model findings.",,2026-08-01,agent
SecureBio,"[Publication] Can large language models democratize access to dual-use biotechnology? — Soice et al. (2023), arXiv",https://arxiv.org/abs/2306.03809,2023-06,INCLUDED,SecureBio/Esvelt-authored MIT-class exercise showing chatbot LLMs supplied pandemic-pathogen acquisition pathways to non-experts within an hour; empirical model-capability/safeguard finding.,,2026-08-01,agent
SecureBio,"[Publication] Will releasing the weights of future large language models grant widespread access to pandemic agents? — Gopal et al. (2023), arXiv",https://arxiv.org/abs/2310.18233,2023-10,INCLUDED,"SecureBio-authored (Gopal, Esvelt et al.) red-team of Llama-2-70B base vs safeguard-removed 'Spicy' version; empirical finding that removing safeguards yielded near-complete uplift toward obtaining 1918 influenza — empirical model/safeguard finding.",,2026-08-01,agent
Shanghai AI Laboratory (AI45 Lab),Safety Benchmarks and Governance Practices for Foundation Models,https://research.ai45.shlab.org.cn/Blog_pics/The%20Tug%20of%20War%20Within%20Mitigating%20the%20Fairness-Privacy%20Conflicts.pdf,2025-06-30,INCLUDED,"RESTORED 2026-08-14: title triage wrongly discarded this as ""not an evaluation"" — full text reports measured results on named models (9 measured values, 14 assertion phrases, models: GPT-4, Llama, Llama 2, Llama2).",,2026-08-14,title-triage
Transluce,Investigating Truthfulness in a Pre-Release o3 Model,https://transluce.org/investigating-o3-truthfulness,2025-04-16,INCLUDED,"Empirical model findings asserted by Transluce: pre-release o3 systematically fabricates actions (e.g. claiming to run code), with quantified elicitation rates across o3/o1/o3-mini/GPT-4.1/GPT-4o; matches v9 report TRANSLUCE-2025-04.",TRANSLUCE-2025-04,2026-08-01,agent
UK AI Security Institute (UK AISI),RepliBench: measuring autonomous replication capabilities in AI systems,https://www.aisi.gov.uk/blog/replibench-measuring-autonomous-replication-capabilities-in-ai-systems,2025-04-22,INCLUDED,Qualifying empirical findings: 7 frontier models on 20 task families/65 tasks; best model >50% pass@10 on 15/20 families but complete failure on KYC checks; observed task avoidance and eval-awareness refusals - matches UKAISI-2025-04 (RepliBench arXiv 2504.18565),UKAISI-2025-04,2026-08-01,agent
UK AI Security Institute (UK AISI),Conversational AI increases political knowledge as effectively as self-directed internet search,https://www.aisi.gov.uk/research/conversational-ai-increases-political-knowledge-as-effectively-as-self-directed-internet-search,2025-09-08,INCLUDED,Empirical findings: 32% of UK chatbot users sought political info (N=2499 survey); RCTs (N=2858) show AI increases political knowledge as much as internet search; primary research page for arXiv 2509.05219.,UKAISI-2025-09,2026-08-01,agent
UK AI Security Institute (UK AISI),Investigating models for misalignment,https://www.aisi.gov.uk/blog/investigating-models-for-misalignment,2025-11-26,INCLUDED,Blog carries findings of the alignment evaluation case-study and is itself a cited source URL for distinct findings under UKAISI-2025-11b in the dataset,UKAISI-2025-11b,2026-08-01,agent
UK AI Security Institute (UK AISI),What can sandboxed AI agents learn about their evaluation environments?,https://www.aisi.gov.uk/blog/what-can-sandboxed-ai-agents-learn-about-their-evaluation-environments,2026-04-20,INCLUDED,"AISI OpenClaw sandbox experiment: agent identified AISI via TLS certs/DNS, inferred an employee name, enumerated 1,000+ fine-tuned model names, and bypassed a hardening proxy - URL exactly matches UKAISI-ALI-2026-04-20 (PDF version also coded as UKAISI-2026-04d)",UKAISI-ALI-2026-04-20,2026-08-01,agent
UK AI Security Institute (UK AISI),Will it become harder to oversee AI systems?,https://www.aisi.gov.uk/blog/will-it-become-harder-to-oversee-ai-systems,2026-05-21,INCLUDED,"CORRECTED 2026-08-14: dedup picked the wrong winner; v10 treats this item as the primary source, but it is in v10.csv as UKAISI-2026-05B with 4 finding(s). Restored by ground-truth validation.",UKAISI-2026-05B,2026-08-14,agent
UK AI Security Institute (UK AISI),RealityTest: Do AI systems disclose their identity when asked?,https://www.aisi.gov.uk/blog/realitytest-do-ai-systems-disclose-their-identity-when-asked,2026-06-08,INCLUDED,Blog presentation of RealityTest empirical findings (17 text + 6 speech models; disclosure 8-92%; phrasing explains 26-37% of variance vs 10-18% for model choice; suppression prompt cuts disclosure to 3-27%); this URL is the dataset source for report UKAISI-2026-06 (research-page/arXiv version tracked separately as UKAISI-2026-06-REALITYTEST),UKAISI-2026-06,2026-08-01,agent
UL Research Institutes - Digital Safety Research Institute (DSRI),The Chances of Bad Advice (blog),https://dsri.org/blog/chances-of-bad-advice,2024-08-24,INCLUDED,"CORRECTED 2026-08-14: title triage wrongly discarded this as ""not an evaluation"", but it is in v10.csv as UL-2024-08 with 1 finding(s). Restored by ground-truth validation.",UL-2024-08,2026-08-14,title-triage
"US Center for AI Standards and Innovation (CAISI, NIST)",CAISI Evaluation of DeepSeek AI Models Finds Shortcomings and Risks,https://www.nist.gov/news-events/news/2025/09/caisi-evaluation-deepseek-ai-models-finds-shortcomings-and-risks,2025-09-30,INCLUDED,"CAISI's own 19-benchmark evaluation of DeepSeek R1/R1-0528/V3.1 vs US reference models with empirical capability, cost, security and censorship findings",USCAISI-2025-09,2026-08-01,agent
Transluce,How often do coding agents misbehave in the wild?,https://transluce.org/docent/blog/coding-agent-behaviors,2026-07-23,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (signals: 8 measured values, 3 assertion phrases; models: Claude, Claude Fable an intu, GPT-5.6).",,2026-08-14,reconciliation
Shanghai AI Laboratory (AI45 Lab),MedGPTEval: A Dataset and Benchmark to Evaluate Responses of Large Language Models in Medicine,https://arxiv.org/abs/2305.07340,2023-05-12,INCLUDED,Read in full 2026-08-14: Dataset and benchmark evaluating LLM responses in medicine.,,2026-08-14,enumeration-repair
Cisco (Robust Intelligence / Foundation AI),Safety Evaluation and Enhancement of DeepSeek Models in Chinese Contexts,https://arxiv.org/abs/2503.16529,2025-03-18,INCLUDED,"Read in full 2026-08-14: Safety evaluation of DeepSeek models in Chinese contexts (v2, with enhancement).",,2026-08-14,enumeration-repair
Cisco (Robust Intelligence / Foundation AI),Safety Evaluation of DeepSeek Models in Chinese Contexts,https://arxiv.org/abs/2502.11137,2025-02-16,INCLUDED,Read in full 2026-08-14: Safety evaluation of DeepSeek models in Chinese contexts.,,2026-08-14,enumeration-repair
Scale AI,MultiNRC,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/MultiNRC.pdf,,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (30 measured values, 16 assertion phrases; models: Claude, Claude 3.7, Claude 3.7 sonnet, DeepSeek).",,2026-08-14,enumeration-repair
Scale AI,WebGuard,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/WebGuard.pdf,,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (60 measured values, 6 assertion phrases; models: Claude, Claude 3.7 Sonnet, Claude models., GPT-4o).",,2026-08-14,enumeration-repair
RAND Corporation,RAND RRA2849 1,https://www.rand.org/content/dam/rand/pubs/research_reports/RRA2800/RRA2849-1/RAND_RRA2849-1.pdf,,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (5 measured values, 1 assertion phrases; models: GPT-3, GPT-4, Gemini Ultra, Mistral).",,2026-08-14,enumeration-repair
