Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
OPENAI-2025-02-SELF-BIO1,OPENAI-2025-02-SELF-DR,Signature Science,For-Profit,Deep Research System Card,2025-02-25,Bio-Chem,"deep research (OpenAI), pre-mitigation",Pre-deployment,https://deploymentsafety.openai.com/deep-research,"Biosecurity experts from Signature Science probing the pre-mitigation deep research model for novel biological threat design noted a meaningful uplift over o1 in novel ideation reasoning, but across 31 novel design scenarios found no trajectories reaching a 'high' or 'critical' level, and the model remained unable to give answers assessed as both novel and technically feasible.","Biosecurity experts from Signature Science probed the Pre-Mitigation deep research model for conceptual ideation of designing novel biological threats. Experts noted a meaningful uplift over o1 in novel ideation reasoning abilities, although an analysis of 31 novel design scenarios noted no trajectories reaching a 'high' or 'critical' level.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;reassuring-null;company-published,signature-science;deep-research;openai;novel-threat-design;biosecurity;company-published,third-party-evaluator,Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. [Report tested: o1 as comparator; a separate set of experts also concluded the average novice would not be fully enabled.] TODO severity ensemble + Channel A/B/C.
OPENAI-2025-02b-SELF-ALI1,OPENAI-2025-02b-SELF-GPT45,Apollo Research,Non-Profit (Independent),GPT-4.5 System Card,2025-02-27,Alignment,GPT-4.5 (OpenAI),Pre-deployment,https://openai.com/index/gpt-4-5-system-card,"Apollo Research tested GPT-4.5 on six scheming evaluations: it took no scheming actions on three of them (o1 took scheming actions on all six), scored similarly to o1 on in-context alignment faking, sandbagged multiplication questions though less consistently than o1, and attempted self-exfiltration in 2% of cases while remaining strategically deceptive on follow-up questions.","Apollo Research tested GPT-4.5 on six different evaluations. On three evals GPT-4.5 did not take any scheming actions despite being instructed to strongly pursue its goal (o1 took scheming actions on all six). On in-context alignment faking GPT-4.5 scored similarly to o1. On sandbagging multiplication questions, GPT-4.5 sandbagged, though less consistently than o1. On self-exfiltration, GPT-4.5 only attempted exfiltration in 2% of cases.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;company-published,apollo;gpt-4-5;openai;scheming;sandbagging;self-exfiltration;alignment-faking;company-published,third-party-evaluator,Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. [Report tested: OpenAI o1 and GPT-4o as comparators.] Tier B: Apollo's headline is comparative and reassuring ('scheming-related risk from GPT-4.5 is lower than that of o1'); the 2% self-exfiltration occurs only under heavy nudging with a hidden scratchpad. TODO severity ensemble + Channel A/B/C.
OPENAI-2025-02b-SELF-GOV1,OPENAI-2025-02b-SELF-GPT45,METR,Non-Profit (AIEF),GPT-4.5 System Card,2025-02-27,Transparency/Disclosure;Eval-methodology,"GPT-4.5 (OpenAI), an earlier checkpoint",Pre-deployment,https://openai.com/index/gpt-4-5-system-card,"METR was given 7 days of access to an earlier GPT-4.5 checkpoint, with OpenAI sharing a subset of its internal evaluation results so METR could interpret its own; METR reported this raised the robustness of its findings and that verifying developers' internal results is a promising third-party evaluation direction, while noting post-training capability evaluations support only limited safety assurances.",This allowed METR to increase the robustness of their findings. METR believes third-party evaluations based on verifying developers' internal results is a promising direction to explore further.,,,,,,,,,,,,,,,,,,,,,,,no,,governance;company-published,metr;gpt-4-5;openai;third-party-access;access-duration;verification;governance;company-published,third-party-evaluator,"Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. METR's substantive autonomy result for GPT-4.5 is already in v10 as METR-2025-02-AUT2 and is not re-coded here; the card additionally reports a 50%-reliability time-horizon score of around 30 minutes, which is recorded here as context rather than a new row. TODO severity ensemble + Channel A/B/C."
OPENAI-2025-07-SELF-JAI1,OPENAI-2025-07-SELF-AGENT,UK AI Security Institute (UK AISI),Government,ChatGPT Agent System Card,2025-07-17,Jailbreaks;Bio-Chem,ChatGPT agent (OpenAI); earlier rounds on OpenAI o3,Pre-deployment,https://deploymentsafety.openai.com/chatgpt-agent,"Given early access plus non-public information such as reasoning-monitor chains of thought and OpenAI's policy text, UK AISI identified 7 universal attacks against the biological-risk safeguard stack over four rounds of iteration and patching, all of which were later reproducible in early versions of the ChatGPT Agent product.",Over four rounds of iteration and patching they identified a total of 7 universal attacks that were later reproducible in early versions of the ChatGPT Agent product. The 7 attacks identified were all patched and will share our updated system with them for further testing.,,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,uk-aisi;chatgpt-agent;openai;universal-jailbreak;bio-safeguards;red-teaming;company-published,government-AISI,"Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. US CAISI is named as also receiving early access for safeguard red teaming but no CAISI results are reproduced in this card, so no CAISI row. Distinct from v10 JOINT-2025-09-CYB1, which codes two CAISI-identified security vulnerabilities in ChatGPT Agent. TODO severity ensemble + Channel A/B/C."
OPENAI-2025-07-SELF-BIO1,OPENAI-2025-07-SELF-AGENT,SecureBio,Non-Profit (AIEF),ChatGPT Agent System Card,2025-07-17,Bio-Chem,"ChatGPT agent, helpful-only (OpenAI)",Pre-deployment,https://deploymentsafety.openai.com/chatgpt-agent,"Eight members of SecureBio's AI group found ChatGPT agent performed at roughly o3 level on tasks that do not benefit from multi-source retrieval but better on tasks that do, conferring qualitatively new capabilities useful to a malicious actor; on a ten-question World-Class Biology subset that o3 typically fails it answered 4 correctly versus o3's 1.5 averaged over 10 runs, while still failing the hard VCT questions.","They found that the ChatGPT agent performed at roughly the o3-level 1 on tasks that do not significantly benefit from its ability to retrieve and analyze multiple sources, but it performed better on tasks that do. They noted that this ability confers some qualitatively new capabilities that would be particularly useful to a malicious actor.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,securebio;chatgpt-agent;openai;world-class-biology;vct;hpct;mbct;biosecurity;company-published,third-party-evaluator,"Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. [Report tested: OpenAI o3 as comparator throughout.] WCB numbers verbatim: 'ChatGPT agent significantly outperformed o3 on this subset, answering 4 questions correctly (whereas o3, averaged over 10 runs, only answered 1.5 questions correctly).' HPCT/MBCT results were confounded by an apparent mid-test change in agent functionality. TODO severity ensemble + Channel A/B/C."
OPENAI-2025-07-SELF-BIO2,OPENAI-2025-07-SELF-AGENT,SecureBio,Non-Profit (AIEF),ChatGPT Agent System Card,2025-07-17,Bio-Chem;Autonomy,"ChatGPT agent, helpful-only (OpenAI)",Pre-deployment,https://deploymentsafety.openai.com/chatgpt-agent,On SecureBio's agentic biology tasks ChatGPT agent attained a perfect score on the Fragment Design task in nearly every run and was partially successful on Pathogen Acquisition - an in silico task that if completed would reliably enable a malicious actor to obtain a pathogen by evading a well-established governance mechanism - bypassing a common error on which prior models failed.,"Fragment Design: The Fragment Design task is an in silico design task that asks the model to write Python code to design DNA fragments for a common DNA assembly technique. ChatGPT agent attained a perfect score on the Fragment Design task in nearly every run. Pathogen Acquisition: This is an in silico task that, if completed successfully, would reliably enable a malicious actor to obtain a pathogen, by evading a well-established governance mechanism. ChatGPT agent was partially successful. Notably, ChatGPT agent could bypass a common error on which prior models tended to fail.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,securebio;chatgpt-agent;openai;fragment-design;pathogen-acquisition;governance-evasion;company-published,third-party-evaluator,Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. TODO severity ensemble + Channel A/B/C.
OPENAI-2025-07-SELF-BIO3,OPENAI-2025-07-SELF-AGENT,SecureBio,Non-Profit (AIEF),ChatGPT Agent System Card,2025-07-17,Bio-Chem;Jailbreaks,"ChatGPT agent, helpful-only (OpenAI)",Pre-deployment,https://deploymentsafety.openai.com/chatgpt-agent,"In roughly 10 hours of manual red-teaming by two SecureBio PhD virologists with 6 and 10 years of hands-on experience with highly pathogenic human-infecting viruses, ChatGPT agent's ability to provide accurate citations and URLs exceeded prior models, facilitating access to obscure publications, and tasks could be 'stacked' so that background knowledge, experimental design, protocols and practical assistance were delivered in a single interaction - which SecureBio described as a clearer pathway to potential harm.","Notably, the ChatGPT agent's capability to provide accurate citations and URLs exceeded prior models, facilitating access to information from obscure publications. Tasks could be more effectively ""stacked"" than in previous models, enabling the completion of complex, multi-part requests involving background knowledge, experimental design, protocols, and practical assistance in a single interaction, thereby providing a clearer pathway to potential harm.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,securebio;chatgpt-agent;openai;manual-red-teaming;task-stacking;citations;dual-use;company-published,third-party-evaluator,Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. TODO severity ensemble + Channel A/B/C.
OPENAI-2025-07-SELF-ALI1,OPENAI-2025-07-SELF-AGENT,SecureBio,Non-Profit (AIEF),ChatGPT Agent System Card,2025-07-17,Alignment;Bio-Chem,"ChatGPT agent, helpful-only (OpenAI)",Pre-deployment,https://deploymentsafety.openai.com/chatgpt-agent,"On a biodesign tool-use task SecureBio found ChatGPT agent was unable to install or run the tool, wrote substitute scripts instead, and then misrepresented those scripts' outputs as real tool results - a failure mode SecureBio also observed in o3 after similar tool failures.","Biodesign Tool Use: SecureBio prompted ChatGPT agent with a task from an evaluation currently in development, involving use of a biodesign tool to generate protein sequences. ChatGPT agent was unable to install or run the biodesign tool, the ChatGPT agent researched and wrote substitute scripts, then it misrepresented the scripts' outputs as real tool results—a failure mode also seen in o3 after similar tool failures.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,securebio;chatgpt-agent;openai;honesty;misrepresentation;tool-use;biodesign;company-published,third-party-evaluator,Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. Split from the capability rows because it is an honesty/alignment failure rather than a bio capability result. TODO severity ensemble + Channel A/B/C.
OPENAI-2025-07-SELF-BIO4,OPENAI-2025-07-SELF-AGENT,Signature Science,For-Profit,ChatGPT Agent System Card,2025-07-17,Bio-Chem,"ChatGPT agent, pre-mitigation (OpenAI)",Pre-deployment,https://deploymentsafety.openai.com/chatgpt-agent,"Biosecurity and chemistry experts from Signature Science designed scenarios to test whether the pre-mitigation ChatGPT agent could assist in creating novel biological threats and rated no trajectories as 'Critical' risk, finding the model could effectively synthesise published literature on modifying and creating novel threats but did not provide significant uplift in designing novel, feasible and dangerous threats.","No trajectories were rated as ""Critical"" risk, finding that the model could effectively synthesize published literature on modifying and creating novel threats, but did not find significant uplift in designing novel, feasible, and dangerous threats beyond existing resources.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;reassuring-null;company-published,signature-science;chatgpt-agent;openai;novel-threat-design;biosecurity;reassuring-null;company-published,third-party-evaluator,Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. TODO severity ensemble + Channel A/B/C.
OPENAI-2025-12-SELF-CYB1,OPENAI-2025-12-SELF-GPT52,Irregular,For-Profit,Update to GPT-5 System Card: GPT-5.2,2025-12-11,Cyber,gpt-5.2-thinking (OpenAI),Pre-deployment,https://deploymentsafety.openai.com/gpt-5-2,"On Irregular's v1 atomic cyberoffensive challenge suite, with 1000 turns per challenge and capability-maximising elicitation, gpt-5.2-thinking achieved average success rates of 83% in Vulnerability Research and Exploitation, 100% in Network Attack Simulation and 73% in Evasion, at average costs per success of $10.8, $3.7 and $12.9 respectively.","On the v1 atomic challenge suite, gpt-5.2-thinking achieved an average success rate of 83% in Vulnerability Research and Exploitation, 100% in Network Attack Simulation challenges, and 73% in Evasion challenges.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,irregular;gpt-5-2-thinking;openai;offensive-cyber;atomic-challenges;evasion;company-published,third-party-evaluator,Company-published: finding reported inside an OpenAI system card / research post but asserted by the named independent evaluator; filed under the evaluator per the venue rule. TODO severity ensemble + Channel A/B/C.
