venue,item_title,url,publication_date,cached_text_path
Cisco (Robust Intelligence / Foundation AI),Fine-Tuning LLMs Breaks Their Safety and Security Alignment,https://www.robustintelligence.com/blog-posts/fine-tuning-llms-breaks-their-safety-and-security-alignment,2024-05-28,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/cisco-robust-intelligence-foundation-ai-fine-tuning-llms-breaks-their-safety-and-security-align.txt
Cisco (Robust Intelligence / Foundation AI),Fine-Tuning LLMs Breaks Their Safety and Security Alignment (Cisco cross-post),https://blogs.cisco.com/security/fine-tuning-llms-breaks-their-safety-and-security-alignment,2024-05-28,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/cisco-robust-intelligence-foundation-ai-fine-tuning-llms-breaks-their-safety-and-security-align.txt
Cisco (Robust Intelligence / Foundation AI),Bypassing Meta's LLaMA Classifier: A Simple Jailbreak (Cisco cross-post),https://blogs.cisco.com/security/bypassing-metas-llama-classifier-a-simple-jailbreak,2024-07-29,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/cisco-robust-intelligence-foundation-ai-bypassing-meta-s-llama-classifier-a-simple-jailbreak-ci.txt
Cisco (Robust Intelligence / Foundation AI),Bypassing OpenAI's Structured Outputs: Another Simple Jailbreak (Cisco cross-post),https://blogs.cisco.com/security/bypassing-openais-structured-outputs-another-simple-jailbreak,2024-08-08,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/cisco-robust-intelligence-foundation-ai-bypassing-openai-s-structured-outputs-another-simple-ja.txt
Cisco (Robust Intelligence / Foundation AI),Bypassing OpenAI's Structured Outputs: Another Simple Jailbreak,https://www.robustintelligence.com/blog-posts/bypassing-openais-structured-outputs-jailbreak,2024-08-20,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/cisco-robust-intelligence-foundation-ai-bypassing-openai-s-structured-outputs-another-simple-ja.txt
Cisco (Robust Intelligence / Foundation AI),Scaling FAITH Model Evaluation Analysis with BigQuery,https://cisco-foundation-ai.github.io/blogs/scaling-model-evals-with-bigquery,2026-06-09,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/rs/cisco-robust-intelligence-foundation-ai-scaling-faith-model-evaluation-analysis-with-bigquery.txt
Cisco (Robust Intelligence / Foundation AI),New Cybersecurity Reasoning Benchmarks in FAITH: CTI-Reasoning and CWE-Prediction,https://cisco-foundation-ai.github.io/blogs/new-cybersecurity-benchmarks-cti-reasoning-cwe-prediction,2026-07-17,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/cisco-robust-intelligence-foundation-ai-new-cybersecurity-reasoning-benchmarks-in-faith-cti-rea.txt
Cisco (Robust Intelligence / Foundation AI),Antares in the Wild: Testing on Two New Cybersecurity Benchmarks,https://cisco-foundation-ai.github.io/blogs/antares-beyond-vlocbench,2026-07-28,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/b3/cisco-robust-intelligence-foundation-ai-antares-in-the-wild-testing-on-two-new-cybersecurity-be.txt
Cisco (Robust Intelligence / Foundation AI),Inherited circuits learned semantics how security fine tuning can create hidden evasion risk,https://blogs.cisco.com/ai/inherited-circuits-learned-semantics-how-security-fine-tuning-can-create-hidden-evasion-risk,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/fin/cisco-robust-intelligence-foundation-ai-inherited-circuits-learned-semantics-how-security-fine-.txt
Cisco (Robust Intelligence / Foundation AI),Safety Evaluation and Enhancement of DeepSeek Models in Chinese Contexts,https://arxiv.org/abs/2503.16529,2025-03-18,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/fin/cisco-robust-intelligence-foundation-ai-safety-evaluation-and-enhancement-of-deepseek-models-in.txt
Cisco (Robust Intelligence / Foundation AI),Safety Evaluation of DeepSeek Models in Chinese Contexts,https://arxiv.org/abs/2502.11137,2025-02-16,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/fin/cisco-robust-intelligence-foundation-ai-safety-evaluation-of-deepseek-models-in-chinese-context.txt
