venue,item_title,url,publication_date,cached_text_path
METR,Update on ARC's recent eval efforts,https://metr.org/blog/2023-03-18-update-on-recent-evals/,2023-03-17,
METR,Language Model Pilot Report,https://metr.org/language-model-pilot-report/,2023-07-31,
METR,Measuring the impact of post-training enhancements,https://metr.org/blog/2024-03-15-measuring-post-impact-enhancements/,2024-03-15,
METR,An update on our general capability evaluations,https://metr.org/blog/2024-08-06-update-on-evaluations/,2024-08-06,
METR,Evaluating frontier AI R&D capabilities of language model agents against human experts (RE-Bench),https://metr.org/blog/2024-11-22-evaluating-r-d-capabilities-of-llms/,2024-11-22,
METR,An update on our preliminary evaluations of Claude 3.5 Sonnet and o1,https://metr.org/blog/2025-01-31-update-sonnet-o1-evals/,2025-01-31,
METR,Measuring Automated Kernel Engineering,https://metr.org/blog/2025-02-14-measuring-automated-kernel-engineering/,2025-02-14,
METR,HCAST: Human-Calibrated Autonomy Software Tasks,https://arxiv.org/abs/2503.17354,2025-03-17,
METR,Measuring AI Ability to Complete Long Software Tasks,https://metr.org/blog/2025-03-19-measuring-ai-ability-to-complete-long-tasks/,2025-03-19,
METR,Recent Frontier Models Are Reward Hacking,https://metr.org/blog/2025-06-05-recent-reward-hacking/,2025-06-05,
METR,Measuring the Impact of Early-2025 AI on Experienced Open-Source Developer Productivity,https://metr.org/blog/2025-07-10-early-2025-ai-experienced-os-dev-study/,2025-07-10,
METR,How Does Time Horizon Vary Across Domains?,https://metr.org/blog/2025-07-14-how-does-time-horizon-vary-across-domains/,2025-07-14,
METR,"CoT May Be Highly Informative Despite \Unfaithfulness\""""",https://metr.org/blog/2025-08-08-cot-may-be-highly-informative-despite-unfaithfulness/,2025-08-08,
METR,Research Update: Algorithmic vs. Holistic Evaluation,https://metr.org/blog/2025-08-12-research-update-towards-reconciling-slowdown-with-time-horizons/,2025-08-13,
METR,"Claude, GPT, and Gemini All Struggle to Evade Monitors",https://metr.org/notes/2025-08-22-claude-gpt-gemini-struggle-evade-monitors/,2025-08-22,
METR,Early Results on Monitorability in QA Settings,https://metr.org/notes/2025-10-06-early-results-on-monitorability-in-qa-settings/,2025-10-06,
METR,MALT: A Dataset of Natural and Prompted Behaviors That Threaten Eval Integrity,https://metr.org/blog/2025-10-14-malt-dataset-of-natural-and-prompted-behaviors/,2025-10-14,
METR,Summary of our gpt-oss methodology review,https://metr.org/blog/2025-10-23-gpt-oss-methodology-review/,2025-10-23,
METR,Review of the Anthropic Summer 2025 Pilot Sabotage Risk Report,https://metr.org/blog/2025-10-28-sabotage-report-review/,2025-10-28,
METR,Measuring Time Horizon using Claude Code and Codex,https://metr.org/notes/2026-02-13-measuring-time-horizon-using-claude-code-and-codex/,2026-02-13,
METR,Analyzing coding agent transcripts to upper bound productivity gains from AI agents,https://metr.org/notes/2026-02-17-exploratory-transcript-analysis-for-estimating-time-savings-from-coding-agents/,2026-02-17,
METR,We are Changing our Developer Productivity Experiment Design,https://metr.org/blog/2026-02-24-uplift-update/,2026-02-24,
METR,Observations from two CLI game reimplementation runs with Opus 4.6,https://metr.org/notes/2026-03-03-balatro-sts-cli/,2026-03-03,
METR,Many SWE-bench-Passing PRs Would Not Be Merged into Main,https://metr.org/notes/2026-03-10-many-swe-bench-passing-prs-would-not-be-merged-into-main/,2026-03-10,
METR,Impact of modelling assumptions on time horizon results,https://metr.org/notes/2026-03-20-impact-of-modelling-assumptions-on-time-horizon-results/,2026-03-20,
METR,Red-Teaming Anthropic's Internal Agent Monitoring Systems,https://metr.org/blog/2026-03-25-red-teaming-anthropic-agent-monitoring/,2026-03-26,
METR,Evidence on AI R&D Progress from NanoGPT,https://metr.org/notes/2026-04-21-ai-rd-nanogpt-progress/,2026-04-21,
METR,Review of the 'Risks from automated R&D' section in the Anthropic Risk Report (February 2026),https://metr.org/blog/2026-05-08-rd-section-anthropic-risk-report-feb-2026-review/,2026-05-08,
METR,Measuring the Self-Reported Impact of Early-2026 AI on Technical Worker Productivity,https://metr.org/blog/2026-05-11-ai-usage-survey/,2026-05-11,
METR,AI R D Evaluation Report,https://metr.org/AI_R_D_Evaluation_Report.pdf,,/private/tmp/claude-501/-Users-kunalsingh-Desktop/9b4cd91a-0a4c-4c96-9f90-0e5248653043/scratchpad/fin/metr-ai-r-d-evaluation-report.txt
