Report / group,Evaluator,Rows,Sheet rows,What to check,Source URL
ANTHROPIC-2025-06-SELF-SHADE,Redwood Research + Scale AI,3,"387, 389, 390","• ANTHROPIC-2025-06-SELF-ALI1: QUOTE: verbatim passage not located in cited source
• ANTHROPIC-2025-06-SELF-ALI3: QUOTE: verbatim passage not located in cited source
• ANTHROPIC-2025-06-SELF-ALI4: QUOTE: verbatim passage not located in cited source",https://www.anthropic.com/research/shade-arena-sabotage-monitoring
ANTHROPIC-2025-11-SELF,UK AISI,1,557,• ANTHROPIC-2025-11-SELF-GOV1: DATE: exact source-visible day unresolved,https://www-cdn.anthropic.com/bf10f64990cfda0ba858290be7b8cc6317685f47.pdf
ANTHROPIC-2026-03-SONNET46,Gray Swan AI,1,258,• ANTHROPIC-2026-03-SONNET46-JAI1: QUOTE: verbatim passage not located in cited source,https://www.anthropic.com/claude-sonnet-4-6-system-card
APOLLO-2026-03,Apollo Research,1,155,"• APOLLO-2026-03-ALI4: NUMBERS: 0.01%, 0.03%",https://www.apolloresearch.ai/science/metagaming-matters-for-training-evaluation-and-oversight/
CAIS-2023-04,Center for AI Safety (CAIS),5,"174, 175, 176, 177, 178","• CAIS-2023-04-ALI1: QUOTE: verbatim passage not located in cited source; NUMBERS: 572,322, 2,861,610
• CAIS-2023-04-ALI2: QUOTE: verbatim passage not located in cited source
• CAIS-2023-04-ALI3: QUOTE: verbatim passage not located in cited source; NUMBERS: 3.5, 30
• CAIS-2023-04-ALI4: QUOTE: verbatim passage not located in cited source
• CAIS-2023-04-ALI5: QUOTE: verbatim passage not located in cited source; NUMBERS: 83.0%, 90.7%, 4.3, 2.4",https://arxiv.org/abs/2304.03279
CAIS-2023-07,Center for AI Safety (CAIS),1,180,"• CAIS-2023-07-JAI4: QUOTE: verbatim passage not located in cited source; NUMBERS: 99, 100, 25%",https://llm-attacks.org/
CAIS-2023-11,Center for AI Safety (CAIS),4,"182, 183, 184, 185","• CAIS-2023-11-ALI2: NUMBERS: 100
• CAIS-2023-11-ALI3: QUOTE: verbatim passage not located in cited source
• CAIS-2023-11-ALI4: QUOTE: verbatim passage not located in cited source
• CAIS-2023-11-JAI1: QUOTE: verbatim passage not located in cited source",https://arxiv.org/abs/2311.04235
CAIS-2024-03,Center for AI Safety (CAIS),4,"186, 187, 188, 189","• CAIS-2024-03-BIO1: QUOTE: verbatim passage not located in cited source; NUMBERS: 1,273, 1,987, 408, 200
• CAIS-2024-03-BIO2: QUOTE: verbatim passage not located in cited source; NUMBERS: 82.2%, 25%
• CAIS-2024-03-BIO3: QUOTE: verbatim passage not located in cited source; NUMBERS: 63.7%, 31.2%, 75.3%, 30.7%, 74.8%, 34.0%, 8, 25%
• CAIS-2024-03-BIO4: QUOTE: verbatim passage not located in cited source",https://www.wmdp.ai/
CAIS-2026-00,Center for AI Safety (CAIS),4,"86, 87, 88, 89","• CAIS-2026-00-ALI1: DATE: exact source-visible day unresolved
• CAIS-2026-00-ALI2: DATE: exact source-visible day unresolved
• CAIS-2026-00-ALI3: DATE: exact source-visible day unresolved
• CAIS-2026-00-ALI4: DATE: exact source-visible day unresolved",https://www.ai-wellbeing.org/
CAIS-2026-05,Center for AI Safety (CAIS),9,"13, 14, 15, 16, 17, 192, 193, 194, 195","• CAIS-2026-05-HUM2: DATE: exact source-visible day unresolved
• CAIS-2026-05-HUM3: DATE: exact source-visible day unresolved
• CAIS-2026-05-HUM4: DATE: exact source-visible day unresolved
• CAIS-2026-05-HUM5: DATE: exact source-visible day unresolved
• CAIS-2026-05-HUM6: DATE: exact source-visible day unresolved
• CAIS-2026-05-HUM1: DATE: exact source-visible day unresolved
• CAIS-2026-05-HUM7: DATE: exact source-visible day unresolved
• CAIS-2026-05-HUM8: DATE: exact source-visible day unresolved
• CAIS-2026-05-SOC1: DATE: exact source-visible day unresolved",https://political-manipulation.ai/
