venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
Anthropic,"Red Teaming Language Models to Reduce Harms: Methods, Scaling Behaviors, and Lessons Learned",https://www.anthropic.com/research/red-teaming-language-models-to-reduce-harms-methods-scaling-behaviors-and-lessons-learned,2022-08-22,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Frontier threats red teaming for AI safety,https://www.anthropic.com/news/frontier-threats-red-teaming-for-ai-safety,2022-08-22,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Measuring Progress on Scalable Oversight for Large Language Models,https://www.anthropic.com/research/measuring-progress-on-scalable-oversight-for-large-language-models,2022-11-04,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Discovering Language Model Behaviors with Model-Written Evaluations,https://www.anthropic.com/research/discovering-language-model-behaviors-with-model-written-evaluations,2022-12-19,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Towards Measuring the Representation of Subjective Global Opinions in Language Models,https://www.anthropic.com/research/towards-measuring-the-representation-of-subjective-global-opinions-in-language-models,2023-06-29,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Measuring Faithfulness in Chain-of-Thought Reasoning,https://www.anthropic.com/research/measuring-faithfulness-in-chain-of-thought-reasoning,2023-07-18,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Challenges in evaluating AI systems,https://www.anthropic.com/research/evaluating-ai-systems,2023-09-19,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Evaluating and Mitigating Discrimination in Language Model Decisions,https://www.anthropic.com/research/evaluating-and-mitigating-discrimination-in-language-model-decisions,2023-12-07,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Many-shot jailbreaking,https://www.anthropic.com/research/many-shot-jailbreaking,2024-04-02,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Measuring the Persuasiveness of Language Models,https://www.anthropic.com/research/measuring-model-persuasiveness,2024-04-09,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Simple probes can catch sleeper agents,https://www.anthropic.com/research/probes-catch-sleeper-agents,2024-04-23,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Challenges in Red Teaming AI Systems,https://www.anthropic.com/news/challenges-in-red-teaming-ai-systems,2024-06-12,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,A new initiative for developing third-party model evaluations,https://www.anthropic.com/news/a-new-initiative-for-developing-third-party-model-evaluations,2024-07-01,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Using dictionary learning features as classifiers,https://www.anthropic.com/research/features-as-classifiers,2024-10-16,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Evaluating feature steering: A case study in mitigating social biases,https://www.anthropic.com/research/evaluating-feature-steering,2024-10-25,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Rapid Response: Mitigating LLM Jailbreaks with a Few Examples,https://arxiv.org/abs/2411.07494,2024-11,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,A statistical approach to model evaluations,https://www.anthropic.com/research/statistical-approach-to-model-evals,2024-11-19,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,A Toy Evaluation of Inference Code Tampering,https://alignment.anthropic.com/2024/rogue-eval,2024-12,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Claude SWE-Bench Performance,https://www.anthropic.com/research/swe-bench-sonnet,2025-01-06,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Won't vs. Can't: Sandbagging-like Behavior from Claude Models,https://alignment.anthropic.com/2025/wont-vs-cant,2025-02,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Constitutional Classifiers: Defending against universal jailbreaks,https://www.anthropic.com/research/constitutional-classifiers,2025-02-03,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Auditing language models for hidden objectives,https://www.anthropic.com/research/auditing-hidden-objectives,2025-03-13,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Progress from our Frontier Red Team,https://www.anthropic.com/news/strategic-warning-for-ai-risk-progress-and-insights-from-our-frontier-red-team,2025-03-19,EXCLUDED - not an evaluation,"Anthropic Frontier Red Team progress/strategic-warning announcement. SecureBio (VCT), US/UK AISI, NNSA and CMU appear only as benchmark authors / testing partners; results reported are Anthropic's own with no independent finding attributed to an external evaluator.",,2026-08-01,eval-lean
Anthropic,Publicly Releasing CoT Faithfulness Evaluations,https://drive.google.com/drive/folders/1l0pkcZxvFwMtczst_hhiCC44v-IiODlY,2025-04,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Model-Internals Classifiers,https://alignment.anthropic.com/2025/cheap-monitors,2025-06,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Inverse Scaling in Test-Time Compute,https://alignment.anthropic.com/2025/inverse-scaling,2025-07,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Detecting and countering misuse of AI: August 2025,https://www.anthropic.com/news/detecting-countering-misuse-aug-2025,2025-08-27,EXCLUDED - not an evaluation,Fetched: Anthropic threat-intelligence report documenting three case studies of real-world Claude misuse Anthropic detected and disrupted; not a model capability/safety evaluation and no findings attributed to any named external evaluator,,2026-08-01,eval-lean
Anthropic,Petri: An open-source auditing tool to accelerate AI safety research,https://www.anthropic.com/research/petri-open-source-auditing,2025-10-06,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Evaluating honesty and lie detection techniques on a diverse suite of dishonest models,https://alignment.anthropic.com/2025/honesty-elicitation,2025-11,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Strengthening Red Teams: A Modular Scaffold for Control Evaluations,https://alignment.anthropic.com/2025/strengthening-red-teams,2025-11,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Measuring political bias in Claude,https://www.anthropic.com/news/political-even-handedness,2025-11-13,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Mitigating the risk of prompt injections in browser use,https://www.anthropic.com/research/prompt-injection-defenses,2025-11-24,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Bloom: an open source tool for automated behavioral evaluations,https://alignment.anthropic.com/2025/bloom-auto-evals,2025-12,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
