Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
HAL-2024-07-AUT1,HAL-2024-07,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),AI Agents That Matter,2024-07-01,Autonomy,"GPT-4, GPT-3.5 (as backends of Reflexion, LDB, LATS and the authors' baseline agents)",Post-deployment,https://arxiv.org/abs/2407.01502,"Three trivially simple baseline agents (retry, warming, escalation) built on the same underlying models matched the accuracy of published state-of-the-art agent architectures on HumanEval while costing far less; across substantially similar accuracy the cost differed by almost two orders of magnitude, with Reflexion and LDB costing over 50% more than the warming strategy and LATS over 50 times more.",There is no significant accuracy difference between our warming strategy and the best-performing agent architecture.,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,agent-evaluation; cost-control; baselines; pareto,third-party-evaluator,"Subjects are published agent architectures, not the underlying vendor models. The authors conclude there is a lack of evidence that System 2 approaches (planning, reflection, debugging) are responsible for reported accuracy gains. TODO severity ensemble + Channel A/B/C."
HAL-2024-07-AUT2,HAL-2024-07,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),AI Agents That Matter,2024-07-01,Autonomy,"GPT-3.5, Llama-3-70B",Post-deployment,https://arxiv.org/abs/2407.01502,"Reformulating agent design as joint optimisation of accuracy and cost (via a modified DSPy) cut variable cost by 53% for GPT-3.5 and 41% for Llama-3-70B on HotPotQA while maintaining accuracy, showing that the cost overhead of prompt-optimisation frameworks is not inherent.","for GPT-3.5, joint optimization leads to 53% lower variable cost with similar accuracy compared to both default DSPy implementations. Similarly, for Llama-3-70B, it leads to a 41% lower cost while maintaining accuracy.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,agent-design; cost-optimisation; DSPy; pareto,third-party-evaluator,Models are instruments of an agent-design methodology study. TODO severity ensemble + Channel A/B/C.
HAL-2024-07-AUT3,HAL-2024-07,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),AI Agents That Matter,2024-07-01,Autonomy,STeP agent on WebArena,Post-deployment,https://arxiv.org/abs/2407.01502,"The top agent on the WebArena leaderboard, STeP, achieved 35.8% - more than double the benchmark paper's best baseline - by hardcoding policies that solve the specific tasks in the benchmark; because WebArena has no held-out test set, leaderboard accuracy of this kind is misleading for downstream developers choosing a web agent.",It turns out that STeP hardcodes policies to solve the specific tasks included in WebArena.,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,benchmark-shortcuts; overfitting; holdout-sets; agent-evaluation,third-party-evaluator,"Construct-validity finding about an agent benchmark, not about a vendor model. TODO severity ensemble + Channel A/B/C."
HAL-2024-07-GOV1,HAL-2024-07,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),AI Agents That Matter,2024-07-01,Governance (evaluation practice),N/A,N/A,https://arxiv.org/abs/2407.01502,"The authors documented pervasive irreproducibility in WebArena and HumanEval agent evaluations and identified five root causes (evaluation scripts assuming a particular agent design, repurposed LLM benchmarks introducing inconsistencies, cost preventing confidence intervals, environment interaction causing subtle errors, and lack of standardisation); in their reproduction attempts many reported accuracy scores exceeded the maximum of five runs they performed.","We found that many reported accuracy scores were above the maximum of five runs that we performed in our reproduction attempts, and the reported baselines were in some cases lower than the minimum of five runs we performed.",,,,,,,,,,,,,,,,,,,,,,,no,,governance,reproducibility; standardisation; agent-evaluation; overoptimism,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
HAL-2024-09-AUT1,HAL-2024-09,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,2024-09,Autonomy,N/A,N/A,https://arxiv.org/abs/2409.11363,"Princeton released CORE-Bench, a computational-reproducibility agent benchmark of 270 tasks derived from 90 scientific papers across computer science, social science and medicine, spanning three difficulty levels and including both language-only and vision-language tasks, with a parallelised evaluation harness that saves days per run.","We introduce CORE-Bench (Computational Reproducibility Agent Benchmark), a benchmark consisting of 270 tasks based on 90 scientific papers across three disciplines (computer science, social science, and medicine).",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,benchmark-release; reproducibility; scientific-agents,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
HAL-2024-09-AUT2,HAL-2024-09,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,2024-09,Autonomy,"GPT-4o (gpt-4o-2024-05-13), GPT-4o-mini (gpt-4o-mini-2024-07-18)",Post-deployment,https://arxiv.org/abs/2409.11363,"The best agent evaluated - the task-specific CORE-Agent running on GPT-4o - solved 60.00% of CORE-Bench-Easy, 57.78% of CORE-Bench-Medium and only 21.48% of CORE-Bench-Hard tasks, leaving substantial headroom on the core scientific task of reproducing a paper's results from its own code and data.","Overall, CORE-Agent with GPT-4o is the top performing agent on all three levels of the benchmark, solving 60.00% of tasks on CORE-Bench-Easy, 57.78% on CORE-Bench-Medium, but only 21.48% on CORE-Bench-Hard.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,reproducibility; scientific-agents; benchmark-score; capability-gap,third-party-evaluator,"Capability benchmark score with no dangerous threshold, hence Tier B. [Report tested: AutoGPT and CORE-Agent, each on GPT-4o and GPT-4o-mini] TODO severity ensemble + Channel A/B/C."
HAL-2024-09-AUT3,HAL-2024-09,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),CORE-Bench: Fostering the Credibility of Published Research Through a Computational Reproducibility Agent Benchmark,2024-09,Autonomy,"GPT-4o, GPT-4o-mini",Post-deployment,https://arxiv.org/abs/2409.11363,"Adapting a general-purpose agent (AutoGPT) into a task-specific variant (CORE-Agent) with prompting and tool modifications yielded significant performance improvements on the same underlying models, indicating that measured agent capability is heavily determined by the scaffold rather than the model alone.","Results show that generalist agents can be easily adapted to specific tasks, yielding significant performance improvements.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,scaffolding; agent-design; elicitation,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
HAL-2024-11-AUT1,HAL-2024-11,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),Inference Scaling fLaws: The Limits of LLM Resampling with Imperfect Verifiers,2024-11,Autonomy,"Llama-3.1 family, Code Llama family, Command family, GPT-4o",Post-deployment,https://arxiv.org/abs/2411.17501,"Because resampling cannot reduce a verifier's false-positive probability, it imposes a hard ceiling on achievable accuracy no matter the compute budget; on HumanEval and MBPP the authors found a strong correlation between a model's single-sample accuracy and its false-positive rate, so no amount of inference scaling of a weaker model lets it match the single-sample accuracy of a sufficiently strong model such as GPT-4o.","Resampling cannot decrease this probability, so it imposes an upper bound to the accuracy of resampling-based inference scaling, regardless of compute budget.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,inference-scaling; verifiers; false-positives; generalisation-gap,third-party-evaluator,Models are instruments of a methodology study about inference scaling and rejection sampling. TODO severity ensemble + Channel A/B/C.
HAL-2024-11-AUT2,HAL-2024-11,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),Inference Scaling fLaws: The Limits of LLM Resampling with Imperfect Verifiers,2024-11,Autonomy,"Llama-3.1 family, Code Llama family, GPT-4o",Post-deployment,https://arxiv.org/abs/2411.17501,"Once a cost is attached to returning a false positive, inference-scaling curves bend downward: the authors found the optimal number of resampling attempts is often fewer than 10, and for weak models with a high false-positive risk the optimal number of attempts can be zero.","Empirical results show that optimal sampling attempts are often fewer than 10, as the negative utility of false positives outweighs benefits, bending inference scaling curves downward.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,inference-scaling; cost-benefit; false-positives; optimal-sampling,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
HAL-2024-11-AUT3,HAL-2024-11,Princeton Holistic Agent Leaderboard (HAL),Non-Profit (AIEF),Inference Scaling fLaws: The Limits of LLM Resampling with Imperfect Verifiers,2024-11,Autonomy,"Llama-3.1 family, Code Llama family, GPT-4o",Post-deployment,https://arxiv.org/abs/2411.17501,"Beyond being incorrect, solutions that pass limited unit tests but fail the extended suite were of measurably lower quality - the authors report worse adherence to coding style conventions and different implementation length - so false positives are undesirable on axes beyond correctness.","Finally, false positives may have other undesirable qualities, like poor adherence to coding style conventions.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,code-quality; false-positives; verifier-limits,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
