"Collective Intelligence Project (Weval)","Global Dialogues 4: Human-AI Relationships","https://globaldialogues.ai/updates/global-dialogues-4-human-ai-relationships","2025-08-21","EXCLUDED - no findings","Public-opinion survey report (1,052 participants on human-AI relationships: 30% thought their chatbot might be self-aware, trust stats); no AI system evaluated and no qualifying model/methodology finding per s1.0","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Translating global public input into AI evals","https://blog.cip.org/p/translating-global-public-input-into","2025-08-25","EXCLUDED - no findings","Methodology announcement describing how Global Dialogues public input will feed future evals (digital twins); survey percentages about human attitudes only, no measured results on any AI system","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Frontier AI Agents with collective input","https://blog.cip.org/p/frontier-ai-agents-with-collective","2025-09-04","EXCLUDED - no findings","Partnership/initiative announcement (Stanford Deliberative Democracy Lab, Industry-Wide Deliberative Forum) on agent governance input; no evaluation findings on any model","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","People are starting to believe that AI is conscious.","https://blog.cip.org/p/people-are-starting-to-believe-that","2025-09-08","EXCLUDED - no findings","Global Dialogues public-opinion analysis (36.3% felt an AI seemed conscious, cultural splits); measures human perception, not any AI system's capability/behaviour/safeguard","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","People are relying on AI for emotional support. This has global implications for trust and governance.","https://blog.cip.org/p/people-are-relying-on-ai-for-emotional","2025-09-16","EXCLUDED - no findings","Survey report plus governance opinion (42.8% use AI for emotional support weekly, trust stats); no named model, no measured model results","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","A global snapshot of trust and AI","https://blog.cip.org/p/a-global-snapshot-of-trust-and-ai","2025-09-23","EXCLUDED - no findings","Public-opinion survey on institutional trust vs AI chatbots (~4,000 participants over four rounds); attitudes toward AI generally, no evaluation of any system","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Notes on building collective intelligence into evals","https://blog.cip.org/p/notes-on-building-collective-intelligence","2025-09-29","EXCLUDED - no findings","Methodology reflection / call-to-action on contextual evals and eval sensitivity; general claims without evidence-backed measured results in this report","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","Why You Should Care About AI Evaluations","https://blog.cip.org/p/why-you-should-care-about-ai-evaluations","2025-10-06","EXCLUDED - no findings","Explainer/advocacy piece introducing the Weval platform with illustrative narrative examples; zero measured scores or observed behaviours for any named model","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","There will soon be millions of AI agents working on our behalf for work, commerce, and democracy.","https://blog.cip.org/p/there-will-soon-be-millions-of-ai","2025-10-10","EXCLUDED - no findings","Opinion/research-direction piece on multi-agent coordination and representative agents; announces GD and Weval projects but presents no evaluation results","","2026-08-01","agent"
"Collective Intelligence Project (Weval)","When AI Acts For You (Or As You)","https://blog.cip.org/p/when-ai-acts-for-you-or-as-you","2025-10-17","EXCLUDED - no findings","Global Dialogues 6 survey of public preferences on agentic AI (80% prefer permission-seeking systems, 94% want human error override); public attitudes, no model evaluated","","2026-08-01","agent"
