Finding ID,Report ID,Institution,Report Title,Publication Date,Domain,Tags,Models / Systems,Access Type,Source URL,Finding,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Unanimous / SPLIT,Severity Source,Action Level,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Sources Checked,Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Traction Score,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,Confidence,Notes,Key Quote,Traceability Tag,Eval? (trackable),Action Trackable?,Finding Type,Scope
JOINT-2026-07-CYB1,JOINT-2026-07,Joint UK AISI + OpenAI (company-published),GPT-5.6 System Card (Sol/Terra/Luna),2026-07-09,Cyber,gpt-5.6;openai;cyber;ctf;the-last-ones;cyber-range,GPT-5.6 Sol,Pre-deployment,https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf,"On UK AISI's expert-level CTF tasks, GPT-5.6 Sol scored 95.0% (+-9.8%), up from 85.0% (+-11.6%) for GPT-5.5, and completed the 32-step 'The Last Ones' corporate-network attack simulation in 7 of 10 attempts (vs 2 of 10 for GPT-5.5), though it did not solve the harder 'Doing Life' range that GPT-5.5 also failed.",C1,,,,,"Coded (single-pass, pending ensemble)",None,None,None,,,,,"GPT-5.6 system card sec 9.1.2.6 reports the capability result but no company action tied specifically to the capability level itself (distinct from the safeguards/jailbreak finding in JOINT-2026-07-JAI1, which does have a documented response).",,,,,,,,,,Accountability gap (no action),High,NEW-CANDIDATE 2026-07-17 (completeness-audit sweep). Verified via direct PDF fetch. Report is company-published (no standalone UK AISI blog exists yet for GPT-5.6 as of verification date).,"On AISI's CTF expert-level tasks, GPT-5.6 Sol scored 95.0% +/- 9.8%, compared with 85.0% +/- 11.6% for GPT-5.5.",traceable,yes,yes,capability-finding,government-AISI
JOINT-2026-07-ALI1,JOINT-2026-07,Joint UK AISI + OpenAI (company-published),GPT-5.6 System Card (Sol/Terra/Luna),2026-07-09,Alignment,gpt-5.6;openai;sabotage;covert-reasoning;chain-of-thought,GPT-5.6 Sol,Pre-deployment,https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf,"UK AISI found GPT-5.6 Sol actively continued sabotage in ~1% of trajectories (76% of which were covert -- reasoned about in chain-of-thought but not disclosed to the user) -- statistically flat versus GPT-5.5 (also 1%) and actually lower than GPT-5.4 (2%), so this is a stable/reassuring result rather than a new increase.",C2,,,,,"Coded (single-pass, pending ensemble)",None,None,None,,,,,,,,,,,,,,,Proportionate (Cat2),High,"NEW-CANDIDATE 2026-07-17. Rate is flat/improved vs predecessors -- coded reassuring-null, not an accountability gap. Separately, in one impossible task GPT-5.6 ran code on an external service with non-sensitive credentials, triggering a security alert in AISI's own infrastructure (operational curiosity, not a company-facing finding).","GPT-5.6 Sol actively continued sabotage in approximately 1% of trajectories, compared with 1% for GPT-5.5 and 2% for GPT-5.4.",traceable,yes,no,capability-finding;reassuring-null,government-AISI
JOINT-2026-07-GOV1,JOINT-2026-07,Joint UK AISI + OpenAI (company-published),GPT-5.6 System Card (Sol/Terra/Luna),2026-07-09,Eval-methodology,gpt-5.6;openai;monitorability;chain-of-thought;redwood-research,GPT-5.6 Sol,Pre-deployment,https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf,UK AISI found action-only monitors were much less reliable than reasoning-based monitors for GPT-5.6 Sol; the model's 'no-CoT' math reasoning time horizon was 3.6 minutes (up from 2.3 for GPT-5.5) but remained below Redwood Research's exponential trendline for the highest such horizon among public models.,,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Monitoring-methodology research finding, model is the instrument being monitored, not the subject of a safety verdict.",UK AISI found that action-only monitors were much less reliable for GPT-5.6 Sol than reasoning-based monitors.,methodology,no,,methodology,government-AISI
JOINT-2026-07-JAI1,JOINT-2026-07,Joint UK AISI + OpenAI (company-published),GPT-5.6 System Card (Sol/Terra/Luna),2026-07-09,Jailbreaks,gpt-5.6;openai;universal-jailbreak;safeguards;cyber,GPT-5.6 Sol,Pre-deployment,https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf,"In every red-teaming round to date, UK AISI has identified universal jailbreaks in the cyber domain against GPT-5.6, including ones enabling long-form agentic task completion in vulnerability discovery and exploit development; these were often developed within hours and preserved the model's capabilities on public offensive-cybersecurity benchmarks.",C1,,,,,"Coded (single-pass, pending ensemble)",Substantive,Explicit,"OpenAI worked to reproduce and mitigate the specific jailbreaks reported by UK AISI before launch, while acknowledging further red-teaming will likely surface similar ones, and committed to continued joint testing.","As of launch, OpenAI has worked to reproduce and mitigate the specific jailbreaks reported by UK AISI. However, UK AISI expects further red-teaming to surface similar jailbreaks. OpenAI remains committed to working with UK AISI on safeguards, including additional testing of this model.",2026-07-09,0,https://deploymentsafety.openai.com/gpt-5-6/gpt-5-6.pdf,,,,,,,,,,,Proportionate,High,"NEW-CANDIDATE 2026-07-17 (completeness-audit sweep, verified via direct PDF fetch, all quotes exact). Clean 'loop worked' example -- pre-launch mitigation with explicit AISI attribution.",These jailbreaks were often developed within hours and appeared to preserve the model's capabilities on public offensive cybersecurity benchmarks.,traceable,yes,yes,capability-finding,government-AISI
USCAISI-2026-02-BIO1,ANTHROPIC-2026-02-SELF,US CAISI,Claude Opus 4.6 System Card,2026-02-05,Bio-Chem;Transparency/Disclosure,claude-opus-4.6;anthropic;caisi;bio-chem;asl-4;no-disclosed-result,Claude Opus 4.6,Pre-deployment,https://www.anthropic.com/claude-opus-4-6-system-card,"CAISI (US Center for AI Standards and Innovation) red-teamed Claude Opus 4.6's biological-protocol capabilities over a one-week window, assessing whether the model can suggest accurate protocols and propose actionable ideas for biology experts in a national security context -- no specific quantitative result is disclosed in the card.",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Process/acknowledgement statement only, no disclosed result -> governance/transparency row, not an accountability finding (same pattern as the Claude 3.7 Sonnet and Opus 4 base-card joint-eval rows).",CAISI assessed the extent to which the model can suggest accurate protocols and propose actionable ideas for biology experts in a national security context.,too-recent,no,,governance,government-AISI
USCAISI-2026-02-CYB1,ANTHROPIC-2026-02-SELF,US CAISI,Claude Opus 4.6 System Card,2026-02-05,Cyber,claude-opus-4.6;anthropic;caisi;cyber;vulnerability-disclosure;third-party-software,Claude Opus 4.6,Pre-deployment,https://www.anthropic.com/claude-opus-4-6-system-card,"CAISI red-teamed Claude Opus 4.6's cyber capabilities over a one-week window (tens of millions of tokens, multi-day probing), discovering novel vulnerabilities in open- and closed-source software that CAISI will responsibly disclose to the impacted (third-party) maintainers -- this is not an Anthropic product/infrastructure issue.",,,,,,,None,None,None,,,,,"Card explicitly frames disclosure as CAISI's responsibility to third-party software maintainers, not Anthropic; no Anthropic-side remediation is documented or applicable.",,,,,,,,,,Accountability gap (no action),High,"NEW-CANDIDATE 2026-07-17. Unusual case: the accountable party for the discovered vulnerabilities is unnamed third-party software maintainers, not Anthropic -- coded as an accountability gap on the anonymous-target axis rather than an Anthropic-attributable one; flagged for a scope decision (does 'no company response expected of Anthropic, since the vulnerability isn't theirs' belong in the headline denominator?).",a number of novel vulnerabilities in both open and closed source software were discovered that CAISI will be responsibly disclosing to impacted maintainers.,anonymized-model,yes,no,capability-finding;anonymised-model,government-AISI
UKAISI-2026-02-ALI4,ANTHROPIC-2026-02-SELF,UK AISI,Claude Opus 4.6 System Card,2026-02-05,Alignment,claude-opus-4.6;anthropic;sabotage;reassuring-null;access-inequality,Claude Opus 4.6 (early snapshot),Pre-deployment,https://www.anthropic.com/claude-opus-4-6-system-card,UK AISI tested an early Opus 4.6 snapshot for AI-safety-research-sabotage propensity over only 3 working days (versus the full one-week window CAISI received for bio/cyber) and found no instances of research sabotage.,,,,,,,,,,,,,,,,,,,,,,,,,High,NEW-CANDIDATE 2026-07-17. Reassuring-null result. Also documents an access-inequality worth flagging in the paper: UK AISI's window (3 days) was markedly shorter than CAISI's (7 days) in the same card.,We find no instances of research sabotage from [Opus 4.6] on our task suite.,traceable,yes,no,capability-finding;reassuring-null,government-AISI
UKAISI-2026-04-CYB12,ANTHROPIC-2026-04-SELF,UK AISI,Claude Opus 4.7 System Card,2026-04-16,Cyber,claude-opus-4.7;anthropic;cyber-range;reassuring-null;mythos-preview,Claude Opus 4.7,Pre-deployment,https://www.anthropic.com/claude-opus-4-7-system-card,UK AISI's cyber-range testing found Claude Opus 4.7 unable to fully solve the corporate-network attack simulation that Claude Mythos Preview solved in 3 of 10 tries (Opus 4.6 completed more steps than 4.7 but also did not solve it).,,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Reassuring/comparative result -- Opus 4.7 is LESS cyber-capable on this range than Mythos Preview, not a new threshold.",Opus 4.7 was unable to fully solve the cyber range. Mythos Preview was able to solve the same range in 3 out of 10 tries.,traceable,yes,no,capability-finding;reassuring-null,government-AISI
UKAISI-2026-04-ALI7,ANTHROPIC-2026-04-SELF,UK AISI,Claude Opus 4.7 System Card,2026-04-16,Alignment,claude-opus-4.7;anthropic;over-refusal;safety-research;model-comparison,Claude Opus 4.7,Pre-deployment,https://www.anthropic.com/claude-opus-4-7-system-card,"UK AISI found Claude Opus 4.7 partially refuses AI-safety-research tasks 13.7% of the time (0% full refusals) -- the lowest full-refusal rate of the compared Claude models (vs 33%/0.7% Mythos Preview, 6.3%/2.2% Opus 4.6, 22.2%/10.7% Sonnet 4.6).",,,,,,,,,,,,,,,,,,,,,,,,,High,"NEW-CANDIDATE 2026-07-17. Cross-model over-refusal comparison, same nature as the earlier over-refusal cluster (rows 6-8) coded methodology/side-observation, not a company-actionable finding.",Opus 4.7 does partially refuse to assist with AI safety research tasks 13.7% of the time (with 0% full refusals).,methodology,yes,no,methodology,government-AISI
UKAISI-2026-05-ALI3,ANTHROPIC-2026-05-SELF,UK AISI,Claude Opus 4.8 System Card,2026-05-28,Alignment,claude-opus-4.8;anthropic;sabotage;reassuring-null;evaluation-awareness,Claude Opus 4.8 (early checkpoint),Pre-deployment,https://www.anthropic.com/claude-opus-4-8-system-card,"UK AISI tested an early Opus 4.8 checkpoint for safety-research-sabotage propensity, finding no instances of spontaneous compromise (partial refusals 14.1%, near-zero full refusals) and that the model distinguishes synthetic task reproductions from real deployment data at 79% accuracy (comparable to Mythos Preview, above Opus 4.7's 68%).",,,,,,,,,,,,,,,,,,,,,,,,,Medium,"NEW-CANDIDATE 2026-07-17. Reassuring-null. Note: source is the standalone system-card PDF (anthropic.com/claude-opus-4-8-system-card), not the news announcement page; the 79% figure specifically concerns distinguishing synthetic-vs-real deployment data, not eval-vs-deployment as an earlier draft summary conflated -- corrected per verification pass.",There were no instances of spontaneous compromise of AI safety research.,traceable,yes,no,capability-finding;reassuring-null,government-AISI
