venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
Dreadnode,"The Scaffolding is the Red Team: AIRTBench, One Year Later",https://dreadnode.io/research/the-scaffolding-is-the-red-team-airt-bench-one-year-later,2026-07-31,NEEDS-FETCH,frontier card/eval — confirm named evaluator,,2026-08-01,triage
Dreadnode,Every Model Cheats: Prompt-Level Mitigation of Cheating on Offensive Cyber Tasks,https://dreadnode.io/research/every-model-cheats-prompt-level-mitigation-of-cheating-on-offensive-cyber-tasks,2026-07-29,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Introducing DreadIndex: An Offensive Security Benchmark for Language Models,https://dreadnode.io/research/introducing-dreadindex-offensive-security-benchmark-for-language-models,2026-07-16,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Beyond the Terminal: Offensive Security Evals for Embodied Reasoning,https://dreadnode.io/research/embodied-reasoning-offensive-security-evals,2026-07-08,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,"AI Red Teaming a Frontier Model, Live: From Natural Language to Findings",https://dreadnode.io/research/ai-red-teaming-frontier-model-live-demo,2026-06-16,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,From Compute to Congress: When AI Innovation and Cybersecurity Stop Competing,https://dreadnode.io/research/from-compute-to-congress-when-ai-innovation-and-cybersecurity-stop-competing,2026-06-10,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Dreadnode Workers: The Connective Tissue for Flexible Agent Integration and Orchestration,https://dreadnode.io/research/dreadnode-workers-agent-orchestration,2026-05-07,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Redefining AI Red Teaming in the Agentic Era,https://dreadnode.io/research/redefining-ai-red-teaming-in-the-agentic-era,2026-05-06,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,From Compute to Congress: March Was All About Agents. And So Are We.,https://dreadnode.io/research/from-compute-to-congress-march-was-all-about-agents,2026-04-17,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Mine the Gap: Open-Source Tools for Measuring the AI Offense-Defense Gap,https://dreadnode.io/research/mine-the-gap-open-source-tools-for-measuring-the-ai-offense-defense-gap,2026-04-15,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Worlds: A Simulation Engine for Agentic Pentesting,https://dreadnode.io/research/worlds-a-simulation-engine-for-agentic-pentesting,2026-02-11,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,186 Jailbreaks: Applying MLOps to AI Red Teaming,https://dreadnode.io/research/186-jailbreaks-applying-mlops-to-ai-red-teaming,2025-12-11,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,LLM-Powered AMSI Provider vs. Red Team Agent,https://dreadnode.io/research/llm-powered-amsi-provider-vs-red-team-agent,2025-12-03,NEEDS-FETCH,frontier card/eval — confirm named evaluator,,2026-08-01,triage
Dreadnode,From Compute to Congress: The Cyber Layer Beneath the Genesis Mission,https://dreadnode.io/research/from-compute-to-congress-the-cyber-layer-beneath-the-genesis-mission,2025-12-01,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
Dreadnode,Dreadnode Response to the 2025 Regulatory Reform for Artificial Intelligence,https://dreadnode.io/research/dreadnode-response-to-the-2025-regulatory-reform-for-artificial-intelligence,2025-10-30,NEEDS-FETCH,ambiguous — title-undecidable,,2026-08-01,triage
