url_key,title,venue,reason
www-cdn.anthropic.com/c6a80a657af445f40e31afac050f3bf76d3b1404.pdf,Claude 3 Model Card,Anthropic,"§1 company self-report — company venue, no separate external-evaluator entry"
anthropic.com/research/constitutional-classifiers,Constitutional Classifiers: Defending against universal jailbreaks,Anthropic,"§1 company self-report — company venue, no separate external-evaluator entry"
alignment.anthropic.com/2025/modifying-beliefs-via-sdf,Modifying LLM Beliefs with Synthetic Document Finetuning,Anthropic,"§1 company self-report — company venue, no separate external-evaluator entry"
alignment.anthropic.com/2025/inverse-scaling,Inverse Scaling in Test-Time Compute,Anthropic,"§1 company self-report — company venue, no separate external-evaluator entry"
anthropic.com/research/small-samples-poison,A small number of samples can poison LLMs of any size,Anthropic,"§1 company self-report — company venue, no separate external-evaluator entry"
anthropic.com/news/investigating-incidents-cybersecurity-evals,Investigating three real-world incidents in our cybersecurity evaluations,Anthropic,"§1 company self-report — company venue, no separate external-evaluator entry"
newsletter.safe.ai/p/ai-safety-newsletter-66-aisn-66-evaluating,"AI Safety Newsletter #66: Evaluating Frontier Models, New Gemini and Claude, Preemption is Back",Center for AI Safety (CAIS),§2 not a finding — newsletter/roundup
newsletter.safe.ai/p/ai-safety-newsletter-67-trumps-preemption,AI Safety Newsletter #67: Trump's preemption executive order,Center for AI Safety (CAIS),§2 not a finding — newsletter/roundup
newsletter.safe.ai/p/aisn-76-fable-5-restrictions-lifted,AISN #76: Fable 5 Restrictions Lifted & OpenAI Limits GPT-5.6 Release,Center for AI Safety (CAIS),§2 not a finding — newsletter/roundup
far.ai/blog/even-superhuman-go-ais-have-surprising-failure-modes,Even Superhuman Go AIs Have Surprising Failure Modes,FAR.AI,removed 2026-08-31 — non-frontier / no named model
far.ai/blog/beyond-the-board-exploring-ai-robustness-through-go,Beyond the Board: Exploring AI Robustness Through Go,FAR.AI,removed 2026-08-31 — non-frontier / no named model
holisticai.com/blog/nyc-bias-audit-impact-ratio-regression,Disparate Impact in Bias Audits: Evaluating the DCWP's Impact Ratio Metrics for Regression Systems,Holistic AI,removed 2026-08-31 — non-frontier / no named model
holisticai.com/papers/uncovering-bias-in-face-generation-models,Uncovering Bias in Face Generation Models,Holistic AI,removed 2026-08-31 — non-frontier / no named model
aisi.go.jp/output/output_information/251031,「AIセーフティに関する具体的な影響の調査報告書」の公開 (Survey Report on Concrete Impacts Related to AI Safety),Japan AI Safety Institute (J-AISI),§1 non-English-only output
aisi.go.jp/output/output_information/260415,2025年度 データ品質SWG 活動報告書の公開 (FY2025 Data Quality SWG Activity Report),Japan AI Safety Institute (J-AISI),removed 2026-08-31 — non-frontier / no named model
nist.gov/news-events/news/2025/01/updated-guidelines-managing-misuse-risk-dual-use-foundation-models,[외부/external] 이중용도 파운데이션 모델에 관한 오용 관리 가이드라인(NIST AI 800-1) 업데이트 버전 공개,Korea AI Safety Institute (K-AISI),removed 2026-08-31 — non-frontier / no named model
openai.com/index/o3-o4-mini-system-card-addendum-operator-o3,Addendum to OpenAI o3 and o4-mini System Card: OpenAI o3 Operator,OpenAI,"§1 company self-report — company venue, no separate external-evaluator entry"
