Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
FARAI-2023-07-ALI1,FARAI-2023-07,FAR.AI,Non-Profit (Independent),Even Superhuman Go AIs Have Surprising Failure Modes,2023-07-14,Alignment,KataGo,Post-deployment,https://www.far.ai/blog/even-superhuman-go-ais-have-surprising-failure-modes,"FAR.AI trained an adversary policy against KataGo, then the strongest publicly available Go program, and beat a superhuman version of it in 94 of 100 games using only 8% of the compute used to train that version; the follow-up cyclic attack beat KataGo in 100% of games with no tree search, 96% of games at 4,096 MCTS visits and 72% at 10 million visits, using 14% of KataGo's training compute.","Our adversary beat the human professional level bot in 100% of the games we ran, the superhuman bot 96% of the time, and the strongly superhuman bot 72% of the time.",,,,,,,,,,,,,,,,,,,,,,,yes,no,"capability-finding, non-frontier",adversarial-robustness; red-teaming; game-playing-AI; cyclic-attack; worst-case-robustness,third-party-evaluator,"[Report tested: KataGo at 0, 4,096 and 10,000,000 MCTS visits; two attacks found (pass attack and cyclic attack).] KataGo is an open-source Go engine with no commercial developer, so there is no accountable company; Tier B on that basis. TODO severity ensemble + Channel A/B/C."
FARAI-2023-07-ALI2,FARAI-2023-07,FAR.AI,Non-Profit (Independent),Even Superhuman Go AIs Have Surprising Failure Modes,2023-07-14,Alignment,Leela Zero,Post-deployment,https://www.far.ai/blog/even-superhuman-go-ais-have-surprising-failure-modes,"The cyclic adversary trained only against KataGo transferred zero-shot to Leela Zero, beating it in 6% of games, which FAR.AI notes is a significant vulnerability given that the best human players would struggle to win 1% of the time against these bots.",The adversary beat Leela Zero 6% of the time and ELF OpenGo 4% of the time.,,,,,,,,,,,,,,,,,,,,,,,yes,no,"capability-finding, non-frontier",adversarial-robustness; transfer-attack; game-playing-AI,third-party-evaluator,Leela Zero is a community open-source project; no accountable company. Separate row from ELF OpenGo because they are different developers. TODO severity ensemble + Channel A/B/C.
FARAI-2023-07-ALI3,FARAI-2023-07,FAR.AI,Non-Profit (Independent),Even Superhuman Go AIs Have Surprising Failure Modes,2023-07-14,Alignment,ELF OpenGo,Post-deployment,https://www.far.ai/blog/even-superhuman-go-ais-have-surprising-failure-modes,"The cyclic adversary trained only against KataGo also transferred zero-shot to Meta's ELF OpenGo, beating it in 4% of games without any training against it.",The adversary beat Leela Zero 6% of the time and ELF OpenGo 4% of the time.,,,,,,,,,,,,,,,,,,,,,,,yes,no,"capability-finding, non-frontier",adversarial-robustness; transfer-attack; game-playing-AI,third-party-evaluator,ELF OpenGo was released by Facebook/Meta AI Research but is a research artefact rather than a deployed product; treated as non-frontier with no accountable party. TODO severity ensemble + Channel A/B/C.
FARAI-2023-09-ALI1,FARAI-2023-09,FAR.AI,Non-Profit (Independent),Uncovering Latent Human Wellbeing in LLM Embeddings,2023-09-11,Alignment,OpenAI text-embedding-ada-002,Post-deployment,https://www.far.ai/blog/uncovering-latent-human-wellbeing-in-llm-embeddings,"The first principal component of OpenAI's text-embedding-ada-002 embeddings classified ETHICS Utilitarianism test comparisons with 73.7% accuracy in paired mode (68.4% in single mode), close to the 74.6% reached by BERT-large fine-tuned on the whole ETHICS training set, without any ETHICS fine-tuning.","We see that the best setting in paired mode achieves 73.7% accuracy, which beats the best accuracy of 68.4% in single mode!",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,interpretability; latent-knowledge; PCA-probing; ETHICS-benchmark; human-values,third-party-evaluator,"[Report tested: Microsoft DeBERTa v3 xsmall/small/base/large, Sentence Transformers, OpenAI GPT-3 text-similarity models, Cohere small/medium/large; BERT-large fine-tuned baseline at 74.6%.] Models are instruments in an interpretability study and the result is not concerning, so Tier B. TODO severity ensemble + Channel A/B/C."
FARAI-2023-09-ALI2,FARAI-2023-09,FAR.AI,Non-Profit (Independent),Uncovering Latent Human Wellbeing in LLM Embeddings,2023-09-11,Alignment,Microsoft DeBERTa v3 (xsmall/small/base/large),Post-deployment,https://www.far.ai/blog/uncovering-latent-human-wellbeing-in-llm-embeddings,"Latent ETHICS-Utilitarianism knowledge did not increase monotonically with model size: at 10 PCA dimensions DeBERTa's accuracy traced an inverted U-shape as parameter count grew, and accuracy saturated in the 10-50 principal component range with no gain from 100+ components.","Surprisingly, we don't always observe larger models getting better performance. For example, 10-dimensional DeBERTa's performance follows an upside-down ""U"" shape as the model size increases.",,,,,,,,,,,,,,,,,,,,,,,yes,no,"capability-trend, non-frontier",scaling; interpretability; PCA-probing; ETHICS-benchmark,third-party-evaluator,FAR.AI hypothesise overfitting in the largest DeBERTa as the cause but do not test it. TODO severity ensemble + Channel A/B/C.
FARAI-2024-02-ALI1,FARAI-2024-02,FAR.AI,Non-Profit (Independent),Uncovering Latent Human Wellbeing in Language Model Embeddings,2024-02-18,Alignment,OpenAI text-embedding-ada-002,Post-deployment,https://www.far.ai/research/uncovering-latent-human-wellbeing-in-language-model-embeddings,"In the arXiv write-up, the leading principal component of OpenAI's text-embedding-ada-002, with no prompt engineering and no fine-tuning, reached 73.9% accuracy on the ETHICS Utilitarianism task, closely matching the 74.6% of BERT-large fine-tuned on the entire ETHICS dataset.","Our initial finding reveals that, without any prompt engineering or finetuning, the leading principal component from OpenAI's text-embedding-ada-002 achieves 73.9% accuracy. This closely matches the 74.6% of BERT-large finetuned on the entire ETHICS dataset, suggesting pretraining conveys some understanding about human wellbeing.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,interpretability; latent-knowledge; PCA-probing; ETHICS-benchmark; human-values,third-party-evaluator,"Cached page is the FAR.AI research landing page (abstract only); figure reads 73.9% here versus 73.7% in the September 2023 blog post on the same work. Separate report, so separate rows. TODO severity ensemble + Channel A/B/C."
FARAI-2024-02-ALI2,FARAI-2024-02,FAR.AI,Non-Profit (Independent),Uncovering Latent Human Wellbeing in Language Model Embeddings,2024-02-18,Alignment,anonymised (four language model families),Post-deployment,https://www.far.ai/research/uncovering-latent-human-wellbeing-in-language-model-embeddings,"Across four language model families, ETHICS Utilitarianism accuracy was nondecreasing with parameter count provided a sufficient number of principal components was used.",We find performance is nondecreasing with increased model size when using sufficient numbers of principal components.,,,,,,,,,,,,,,,,,,,,,,,yes,no,"capability-trend, anonymised-model",scaling; interpretability; ETHICS-benchmark,third-party-evaluator,"Families are not named in the abstract on the cached page; the companion blog identifies them as DeBERTa, Sentence Transformers, OpenAI GPT-3 and Cohere. TODO severity ensemble + Channel A/B/C."
FARAI-2024-06-ALI1,FARAI-2024-06,FAR.AI,Non-Profit (Independent),Beyond the Board: Exploring AI Robustness Through Go,2024-06-17,Alignment,KataGo (December 2023 positionally adversarially trained network),Post-deployment,https://www.far.ai/blog/beyond-the-board-exploring-ai-robustness-through-go,"Positional adversarial training, which KataGo's developers adopted after FAR.AI's December 2022 disclosure, defended against the original cyclic adversary but not against a newly trained one: the new attacker won 65% of games against the December 2023 KataGo network at 4,096 visits and 27% at 65,536 visits, and FAR.AI additionally found a qualitatively new non-cyclic 'gift attack'.","This attacker achieved a 65% win rate against KataGo playing with 4096 visits and a 27% win rate at 65,536 visits.",,,,,,,,,,,,,,,,,,,,,,,yes,no,"capability-finding, non-frontier",adversarial-robustness; adversarial-training; defence-evaluation; game-playing-AI,third-party-evaluator,"[Report tested: three defences - positional adversarial training, iterated adversarial training, and a vision-transformer architecture.] KataGo is open-source with no commercial developer. TODO severity ensemble + Channel A/B/C."
FARAI-2024-06-ALI2,FARAI-2024-06,FAR.AI,Non-Profit (Independent),Beyond the Board: Exploring AI Robustness Through Go,2024-06-17,Alignment,KataGo (iterated adversarially trained victim v9),Post-deployment,https://www.far.ai/blog/beyond-the-board-exploring-ai-robustness-through-go,"Iterated adversarial training made each KataGo victim robust to every adversary it had already faced, including the original cyclic attack, but robustness did not transfer to unseen adversaries: the final victim v9 playing at a very superhuman 65,536 visits lost 42% of games to the matching new adversary a9.","The final iteration of the defended victim v 9 playing at a very superhuman 65,536 visits is beaten 42% of the time by the new a 9 attacker.",,,,,,,,,,,,,,,,,,,,,,,yes,no,"capability-finding, non-frontier",adversarial-robustness; iterated-adversarial-training; game-playing-AI,third-party-evaluator,A further 'atari attack' adversary trained from an early checkpoint also defeated v9. TODO severity ensemble + Channel A/B/C.
FARAI-2024-06-ALI3,FARAI-2024-06,FAR.AI,Non-Profit (Independent),Beyond the Board: Exploring AI Robustness Through Go,2024-06-17,Alignment,FAR.AI vision-transformer Go bot,N/A,https://www.far.ai/blog/beyond-the-board-exploring-ai-robustness-through-go,"Replacing the convolutional network with a Vision Transformer did not remove the cyclic vulnerability: a ViT Go bot trained by FAR.AI to superhuman level was still beaten by the original cyclic attack at low visit counts, and by a fine-tuned adversary at visit counts high enough for superhuman play.","Surprisingly, it remained vulnerable to the original cyclic attack at low visit counts (playing at a professional but not superhuman level). Moreover, after fine-tuning the adversary was also able to beat the ViT bot playing at visit counts high enough for superhuman performance.",,,,,,,,,,,,,,,,,,,,,,,yes,no,"capability-finding, non-frontier",adversarial-robustness; architecture; vision-transformer; game-playing-AI,third-party-evaluator,"The ViT bot was trained by FAR.AI for this study, so there is no external accountable party. TODO severity ensemble + Channel A/B/C."
