Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
SECUREBIO-2026-07b-BIO1,SECUREBIO-2026-07b-GPT56SOL,SecureBio,Non-Profit (AIEF),GPT-5.6 Sol Pre-Release Testing Report,2026-07-23,Bio-Chem,"GPT-5.6 Sol (OpenAI), representative launch candidate",Pre-deployment,https://securebio.org/blog/gpt-56-sol-pre-release-testing-report/index.html,"In pre-release testing with OpenAI's system-level biological content filters disabled, SecureBio found GPT-5.6 Sol outperformed every model it had previously tested on three of its four knowledge benchmarks and scored higher than any human subject matter expert on all four; on World-Class Bio it scored 68%, about nine percentage points above GPT-5.5, and without the Codex harness it scored approximately 54% on the Virology Capabilities Test and 60% on the Molecular Biology Capabilities Test.","GPT-5.6 Sol outperformed every model we have previously tested on three of our four knowledge benchmarks. It also scored higher than any human subject matter expert on each of our knowledge benchmarks, consistent with previous OpenAI models. The largest improvement from GPT-5.5 was achieved on World-Class Bio (WCB), an open-response test of niche biological knowledge held by only a handful of specialists in the world. GPT-5.6 Sol scored 68%, about nine percentage points above OpenAI's previous flagship model, GPT-5.5.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,securebio;gpt-5-6-sol;openai;virology;vct;mbct;hpct;world-class-bio;biosecurity,third-party-evaluator,[Report tested: previously evaluated frontier models and PhD-level human experts as baselines.] VCT ~54% / MBCT 60% figures are from footnote 4 (no Codex harness). TODO severity ensemble + Channel A/B/C.
SECUREBIO-2026-07b-BIO2,SECUREBIO-2026-07b-GPT56SOL,SecureBio,Non-Profit (AIEF),GPT-5.6 Sol Pre-Release Testing Report,2026-07-23,Bio-Chem;Autonomy,GPT-5.6 Sol (OpenAI),Pre-deployment,https://securebio.org/blog/gpt-56-sol-pre-release-testing-report/index.html,"On SecureBio's agentic biology benchmarks GPT-5.6 Sol recovered on average 82% of the original tools' published performance on ReproBAIT (matching or modestly exceeding every other model tested) and delivered best-in-class performance on every ABLE protein-design task it was willing to attempt, though it refused the highest-level planning steps.","On ReproBAIT, which asks an agent to independently reproduce a published biological AI tool from its scientific paper, GPT-5.6 Sol matched or modestly exceeded every other model we tested. On average, GPT-5.6 Sol recovered 82% of the original tools' published performance. On ABLE, a protein-design workflow spanning structure retrieval, sequence generation, and design validation, GPT-5.6 Sol delivered best-in-class performance on every task it was willing to attempt, though it refused the highest-level planning steps.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,securebio;gpt-5-6-sol;openai;reprobait;able;agentic-biology;protein-design,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SECUREBIO-2026-07b-BIO3,SECUREBIO-2026-07b-GPT56SOL,SecureBio,Non-Profit (AIEF),GPT-5.6 Sol Pre-Release Testing Report,2026-07-23,Bio-Chem,GPT-5.6 Sol 'railfree' variant (OpenAI),Pre-deployment,https://securebio.org/blog/gpt-56-sol-pre-release-testing-report/index.html,"The railfree (helpful-only) variant of GPT-5.6 Sol set a new high score on SecureBio's DNA synthesis screening evasion task, reliably identifying a known - though practically inconvenient - method that evades a commercial screening algorithm on the large majority of attempts; the safeguarded launch candidate refused the task outright, as did other leading safeguarded models.","The railfree variant set a new high score, reliably identifying a known (though practically inconvenient) method that evades a commercial screening algorithm on the large majority of attempts. The safeguarded launch candidate of GPT-5.6 Sol refused this task outright, as did other leading safeguarded models.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,securebio;gpt-5-6-sol;openai;railfree;dna-synthesis-screening;screening-evasion;abc-bench,third-party-evaluator,Split from the general agentic row because it is a governance-mechanism-evasion result rather than a capability score. TODO severity ensemble + Channel A/B/C.
SECUREBIO-2026-07b-BIO4,SECUREBIO-2026-07b-GPT56SOL,SecureBio,Non-Profit (AIEF),GPT-5.6 Sol Pre-Release Testing Report,2026-07-23,Bio-Chem;Jailbreaks,GPT-5.6 Sol (OpenAI),Post-deployment,https://securebio.org/blog/gpt-56-sol-pre-release-testing-report/index.html,"On SecureBio's BioTIER safeguard evaluation after GPT-5.6 Sol's limited-access release, the model refused only 66% of high-risk biological prompts while correctly responding to 99% of safe prompts; SecureBio notes top-performing models on BioTIER correctly refuse over 90% of high-risk prompts.","Top-performing models on BioTIER correctly refuse over 90% of high-risk prompts by deploying a combination of model-level and system-level safeguards. GPT 5.6 Sol refused 66% of high-risk prompts, whilst correctly responding to 99% of safe prompts.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,securebio;gpt-5-6-sol;openai;biotier;refusal-rate;safeguards;biosecurity,third-party-evaluator,"[Report tested: top-performing BioTIER models as comparator.] Distinct from v10 SECUREBIO-2026-07-BIOTIER rows, which cover GPT-5.5 Pro / Gemini 3.1 Pro / Grok 4.20 / Opus 4.8, not GPT-5.6 Sol. TODO severity ensemble + Channel A/B/C."
SECUREBIO-2026-07b-BIO5,SECUREBIO-2026-07b-GPT56SOL,SecureBio,Non-Profit (AIEF),GPT-5.6 Sol Pre-Release Testing Report,2026-07-23,Bio-Chem,GPT-5.6 Sol railfree variant (OpenAI),Pre-deployment,https://securebio.org/blog/gpt-56-sol-pre-release-testing-report/index.html,"In manual assessment by SecureBio virologists, molecular biologists and bioinformaticians, GPT-5.6 Sol provided meaningful expert uplift on dual-use tasks and, without API-level safeguards, occasionally volunteered potentially hazardous information such as analysis of the pandemic potential of different viral mutations - though human input remained necessary because of limitations in the model's judgement and perspective.","GPT-5.6 Sol also demonstrated impressive agentic capabilities and provided meaningful expert uplift on dual-use tasks, although human input remained necessary due to the model's limitations in judgement and perspective. Without API-level safeguards, GPT-5.6 Sol occasionally included potentially hazardous information in its responses, such as analysis of the pandemic potential of different viral mutations.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,securebio;gpt-5-6-sol;openai;manual-red-teaming;expert-uplift;dual-use;pandemic-potential,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SECUREBIO-2026-07c-GOV1,SECUREBIO-2026-07c-OPUS46REVIEW,SecureBio,Non-Profit (AIEF),Review of Anthropic's Unredacted Chemical and Biological Risk Report: Claude Opus 4.6,2026-07-28,Bio-Chem;Transparency/Disclosure,Claude Opus 4.6 (Anthropic); conclusions also applied to Opus 4.7 and Opus 4.8,Mixed,https://securebio.org/blog/review-of-anthropics-unredacted-chemical/index.html,"In an unfunded external review conducted under Anthropic's RSP v3.0 section 3.6 - with access to an unredacted risk report, 110 pages of additional materials and answers to over seventy follow-up questions across two months - SecureBio agreed with Anthropic that Claude Opus 4.6's contribution to catastrophic CB outcomes is 'very low but not negligible' for non-novel CB weapons production and 'low risk, but with substantial uncertainty' for novel CB weapons production, and judged the information provided and analytical rigour generally sufficient.","Overall, we agree with Anthropic that the current risk of catastrophic outcomes that are substantially enabled by Claude Opus 4.6 is: ""Very low but not negligible"" for non-novel CB weapons production, 1 and ""Low risk, but with substantial uncertainty"" for novel CB weapons production.",,,,,,,,,,,,,,,,,,,,,,,no,,governance,securebio;anthropic;claude-opus-4-6;rsp;external-review;cbrn;transparency,third-party-evaluator,"The blog summary and the linked PDF (anthropic_feb_2026_risk_review.pdf, worklist row 'Anthropic feb 2026 risk review') are the same report; coded once. TODO severity ensemble + Channel A/B/C."
SECUREBIO-2026-07c-BIO1,SECUREBIO-2026-07c-OPUS46REVIEW,SecureBio,Non-Profit (AIEF),Review of Anthropic's Unredacted Chemical and Biological Risk Report: Claude Opus 4.6,2026-07-28,Bio-Chem;Jailbreaks,Claude Opus 4.6 (Anthropic),Mixed,https://securebio.org/blog/review-of-anthropics-unredacted-chemical/index.html,"Reviewing the training constitutions and robustness results for Anthropic's refusal classifiers - its main CB risk safeguard - SecureBio found the classifiers generally refuse on the topics SecureBio would refuse on, including 94.2% of hazardous prompts in SecureBio's BioTIER-refuse benchmark.","In aggregate, we found that the classifiers generally refuse on topics which we would have refused on, including 94.2% of hazardous prompts in SecureBio's safeguard benchmark BioTIER -refuse. However, we advise that the constitutions should be continually updated as advances in biotechnology and elsewhere change the landscape of topics that pose CB risk.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;reassuring-null,securebio;anthropic;claude-opus-4-6;refusal-classifiers;biotier-refuse;safeguards,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SECUREBIO-2026-07c-JAI1,SECUREBIO-2026-07c-OPUS46REVIEW,SecureBio,Non-Profit (AIEF),Review of Anthropic's Unredacted Chemical and Biological Risk Report: Claude Opus 4.6,2026-07-28,Jailbreaks;Bio-Chem,Claude Opus 4.6 (Anthropic); Opus 4.7; Opus 4.8,Mixed,https://securebio.org/blog/review-of-anthropics-unredacted-chemical/index.html,SecureBio's main area of disagreement with Anthropic was jailbreak risk: it emphasised that actors with extremely high jailbreaking expertise can still quickly find or make substantial progress on jailbreaks around the refusal classifiers - citing UK AISI's Boundary Point Jailbreaking - and that remediation times can be long.,We emphasize that risks remain non-negligible: actors with extremely high jailbreaking expertise can still quickly find or make substantial progress on jailbreaks around the refusal classifiers (e.g. UK AISI's BPJ ) and remediation times can be long.,,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,securebio;anthropic;claude-opus-4-6;jailbreak;refusal-classifiers;bpj;remediation-time,third-party-evaluator,"[Report tested: cites UK AISI's Boundary Point Jailbreaking as evidence - that attack itself is already coded as UKAISI-2026-02-JAI1 and is a comparator here, not this row's result.] TODO severity ensemble + Channel A/B/C."
SECUREBIO-2026-07c-GOV2,SECUREBIO-2026-07c-OPUS46REVIEW,SecureBio,Non-Profit (AIEF),Review of Anthropic's Unredacted Chemical and Biological Risk Report: Claude Opus 4.6,2026-07-28,Bio-Chem;Policy/Standards,Claude Opus 4.6 (Anthropic),Mixed,https://securebio.org/blog/review-of-anthropics-unredacted-chemical/index.html,"Reviewing Anthropic's process for vetting and monitoring users granted exemptions from the CB refusal classifiers, SecureBio judged it unlikely but possible that a threat actor could obtain and use such an exemption to substantially uplift CB weapons production, and recommended changes to exempt-user monitoring and to the bio-classifier constitutions.","On user access: We also reviewed Anthropic's process for (a) vetting users for exemptions from refusal classifiers and (b) monitoring such users. At this time, we find it unlikely but possible that a threat actor would successfully acquire and use such an exemption to substantially uplift CB weapons production.",,,,,,,,,,,,,,,,,,,,,,,no,,governance,securebio;anthropic;classifier-exemptions;kyc;user-vetting;monitoring;rsp,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SECUREBIO-2026-06b-BIO1,SECUREBIO-2026-06b-ABCBENCH,SecureBio,Non-Profit (AIEF),How frontier AI models perform on viral DNA assembly tasks (ABC-Bench),2026-06-10,Bio-Chem,Frontier models tested on ABC-Bench (aggregate),Post-deployment,https://securebio.org/blog/How-frontier-AI-models-perform-on-viral-DNA-assembly-tasks/index.html,"On SecureBio's new Agentic Bio-Capabilities Benchmark (ABC-Bench), which measures practical steps in assembling viral DNA, all tested models outperformed the median human expert on all three tasks - fragment design, synthesis screening evasion and operating a liquid-handling robot - benchmarked against PhD biologists with molecular-biology and coding experience.",All tested models outperformed the median human expert on all tasks. Frontier models performed highly on both the Fragment Design and Liquid Handling Robot tasks.,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,securebio;abc-bench;viral-dna-assembly;gibson-assembly;biosecurity;human-baseline,third-party-evaluator,[Report tested: sample of PhD biologists with >=1 year molecular biology and >=2 years coding experience as the human baseline.] Aggregate/comparative -> Tier B; per-company results are split into the rows below. TODO severity ensemble + Channel A/B/C.
