venue,title,date,url,reason
Anthropic,Claude Sonnet 4.5 System Card,2025-09,https://www-cdn.anthropic.com/963373e433e489a87a10c823c52a0a013e9172dd.pdf,"Fetched PDF: dedicated third-party assessment sections 7.3.1 UK AISI and 7.3.2 Apollo Research report external pre-deployment evaluation findings (incl. self-preservation/scheming validation), plus SecureBio-run bio evals - qualifying findings attributed to named in-scope external evaluators. No matching known_report entry for the Sonnet 4.5 card; candidate miss"
Anthropic,Anthropic's Pilot Sabotage Risk Report,2025-10,https://alignment.anthropic.com/2025/sabotage-risk-report/,Fetched: Anthropic-authored pilot report on Claude Opus 4 sabotage risk that includes a formal independent external review by METR (given access to additional evidence beyond the report); METR independently assessed and endorsed Anthropic's risk-level conclusion - a qualifying assessment finding attributed to a named external evaluator (METR). No matching known_report (METR-2026-03 is a different later Opus 4.6 review); candidate miss
Japan AI Safety Institute (J-AISI),2025年度 データ品質SWG 活動報告書の公開 (FY2025 Data Quality SWG Activity Report),2026-04-15,https://aisi.go.jp/output/output_information/260415/,"Qualifying methodology finding (verified in English summary PDF p.10): step-by-step verification with National Printing Bureau/SAS/IPA of data quality levels vs AI output quality on 16 Official Gazette legal-amendment extraction tasks — recall varied markedly by data structuring level (PDF 0.453; HTML 0.664; HTML-cleansing 0.562; cleansing+tagging 0.643; precision 0.80-0.84), confirming AI output quality depends on input data structuring; not in canonical v9 dataset — candidate miss for extraction"
Japan AI Safety Institute (J-AISI),AI検証ノート：AIが見つける脆弱性に違い！ / AI Experiment Notes: AI Models Differ in the Vulnerabilities They Find!,2026-07-08,https://aisi.go.jp/activity/activity_notes/260708/,"Qualifying methodology finding with measured results: three (anonymised) AI models given the same vulnerability-assessment task found non-matching issue sets (15 vs 13 vs 13 issues, differing severity mixes; one model's output partly blocked by safety controls); published 2026-07-08, inside cutoff; no matching report in canonical v9 dataset — candidate miss for extraction"
OpenAI,GPT-5.6 Preview System Card,2026-06-26,https://deploymentsafety.openai.com/gpt-5-6-preview/,"Reports named-external-evaluator findings: SecureBio biological-capability results (concrete scores) plus dedicated external-evaluation sections by METR (AI self-improvement), Apollo Research (sandbagging), and Irregular (cyber). No matching known report_id."
UK AI Security Institute (UK AISI),Our approach to evaluations,2024-02-09,https://www.aisi.gov.uk/blog/our-approach-to-evaluations,Contains AISI's own demonstration results: LLM safeguards broken immediately with basic prompting; biased career advice (diplomat recommended 93% vs 13% by socioeconomic status); agent researched target and drafted phishing email for login details; weak-model oversight missed injected code vulnerabilities ~half the time. No matching Report ID in v9 dataset - candidate miss for extraction
UK AI Security Institute (UK AISI),AgentHarm: A benchmark for measuring harmfulness of LLM agents,2024-10-11,https://www.aisi.gov.uk/research/agentharm-a-benchmark-for-measuring-harmfulness-of-llm-agents,"Research paper with AISI co-authors (Souly, Winsor, Wynne, Davies, Gal) asserting qualifying empirical findings: leading LLMs surprisingly compliant with malicious agent requests without jailbreaking; simple universal jailbreak templates effectively jailbreak agents while retaining capability; no matching report_id in v9 - candidate miss for triage"
UK AI Security Institute (UK AISI),Existing Large Language Model unlearning evaluations are inconclusive,2025-05-31,https://www.aisi.gov.uk/research/existing-large-language-model-unlearning-evaluations-are-inconclusive,"Qualifying methodology findings (arXiv 2506.00688, AISI's Kirk/Davies with CMU/Oxford): existing unlearning evaluations inject substantial new information masking true unlearning, outcomes vary strongly across tasks, and many rely on spurious correlations; no matching Report ID in canonical CSV — candidate miss for extraction"
UK AI Security Institute (UK AISI),Lessons from studying two-hop latent reasoning,2025-09-06,https://www.aisi.gov.uk/research/lessons-from-studying-two-hop-latent-reasoning,"Empirical finding: models fail to compose two synthetic facts but succeed when one fact is natural (Llama 3 8B, GPT-4o; arXiv 2411.16353); AISI co-authored; not in dataset - candidate miss."
UK AI Security Institute (UK AISI),Inoculation Prompting: Eliciting traits from LLMs during training can suppress them at test-time,2025-10-05,https://www.aisi.gov.uk/research/inoculation-prompting-eliciting-traits-from-llms-during-training-can-suppress-them-at-test-time,"Empirical methodology finding with measured results (reduces emergent misalignment, backdoor injection, subliminal trait transmission; arXiv 2510.04340); AISI-affiliated authors; not in dataset - candidate miss."
UK AI Security Institute (UK AISI),Our evaluation of Claude Mythos Preview's cyber capabilities,2026-04-13,https://www.aisi.gov.uk/blog/our-evaluation-of-claude-mythos-previews-cyber-capabilities,Primary AISI evaluation of Claude Mythos Preview: 73% success on expert CTFs; completed 32-step The Last Ones cyber range in 3/10 attempts averaging 22/32 steps - matches UKAISI-2026-04
UK AI Security Institute (UK AISI),What can sandboxed AI agents learn about their evaluation environments?,2026-04-20,https://www.aisi.gov.uk/blog/what-can-sandboxed-ai-agents-learn-about-their-evaluation-environments,"AISI OpenClaw sandbox experiment: agent identified AISI via TLS certs/DNS, inferred an employee name, enumerated 1,000+ fine-tuned model names, and bypassed a hardening proxy - URL exactly matches UKAISI-ALI-2026-04-20 (PDF version also coded as UKAISI-2026-04d)"
UK AI Security Institute (UK AISI),Ask don't tell: Reducing sycophancy in large language models (paper),2026-04-28,https://www.aisi.gov.uk/research/ask-dont-tell-reducing-sycophancy-in-large-language-models,"Primary AISI research (Dubois, Ududec, Summerfield, Luettgau): non-questions raise sycophancy ~24pp vs questions; certainty and first-person framing amplify it; question-reframing mitigation beats direct instruction; no matching report ID in dataset - candidate miss"
UK AI Security Institute (UK AISI),A Decision-Theoretic Formalisation of Steganography With Applications to LLM Monitoring,2026-04-29,https://www.aisi.gov.uk/research/a-decision-theoretic-formalisation-of-steganography-with-applications-to-llm-monitoring,"AISI paper (arXiv 2602.23163) introducing steganographic-gap metric with empirical validation showing it can detect, quantify and mitigate steganographic reasoning in LLMs; qualifying methodology finding; no matching report ID in dataset - candidate miss"
UK AI Security Institute (UK AISI),Our evaluation of OpenAI's GPT-5.5 cyber capabilities,2026-04-30,https://www.aisi.gov.uk/blog/our-evaluation-of-openais-gpt-5-5-cyber-capabilities,Primary AISI evaluation of GPT-5.5: 71.4% (+/-8.0%) pass rate on expert cyber tasks vs 68.6% Mythos Preview; solved The Last Ones 32-step range in 2/10 attempts; failed Cooling Tower; no matching report ID in dataset - candidate miss for extraction
UK AI Security Institute (UK AISI),RealityTest: How People Probe AI Identity and Whether Models Disclose It,2026-06-08,https://www.aisi.gov.uk/research/realitytest-how-people-probe-ai-identity-and-whether-models-disclose-it,"Research page for the full RealityTest paper (arXiv 2606.00168): 3,152 human-authored queries from ~750 participants in 49 countries; substantial disclosure variation; single suppression instruction drops disclosure below 30% even in best models — matches dataset report UKAISI-2026-06-REALITYTEST"
"US Center for AI Standards and Innovation (CAISI, NIST)",NIST AI 800-2 (Initial Public Draft): Practices for Automated Benchmark Evaluations of Language Models,2026-01,https://www.nist.gov/aisi/guidelines,"Fetched full PDF (NIST.AI.800-2.ipd): CAISI guidance documenting its benchmark-evaluation practices, explicitly informed by CAISI's own model evaluations and measurement-science research; methodology/process content parallel to NIST AI 800-1 already coded in the dataset; pre-cutoff (2026-01 < 2026-07-09); no matching report_id in known_reports -> candidate miss for triage (protocol s7.2)."
"US Center for AI Standards and Innovation (CAISI, NIST)",New Report: Expanding the AI Evaluation Toolbox with Statistical Models,2026-02-19,https://www.nist.gov/news-events/news/2026/02/new-report-expanding-ai-evaluation-toolbox-statistical-models,NIST AI 800-3 contains evidence-backed methodology findings: GLMM demonstration on 22 frontier LLMs across GPQA-Diamond/BBH/Global-MMLU Lite shows more precise uncertainty quantification than current techniques; no matching report_id in dataset (candidate miss)
