"Center for AI Safety (CAIS)","How Would The Viewer Feel? Estimating Wellbeing From Video Scenarios","https://arxiv.org/abs/2210.10039","2022-10-18","EXCLUDED - out-of-scope org","Academic ML dataset/method paper (video emotion/wellbeing prediction) published under UC Berkeley and other academic affiliations, predating CAIS activity as an evaluator; listed retrospectively on safe.ai as the director's pre-CAIS back-catalog — no finding asserted by CAIS and no in-scope system evaluated","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Forecasting Future World Events with Neural Networks","https://arxiv.org/abs/2206.15474","2022-06-30","EXCLUDED - out-of-scope org","Academic benchmark paper (Autocast forecasting dataset; fine-tuned T5/GPT-2-class models vs human forecasters) published under UC Berkeley/academic affiliations with no CAIS affiliation on the paper; pre-CAIS back-catalog listed on safe.ai, not a finding asserted by CAIS as evaluator","","2026-08-01","agent"
"Center for AI Safety (CAIS)","PixMix: Dreamlike Pictures Comprehensively Improve Safety Measures","https://arxiv.org/abs/2112.05135","2021-12-09","EXCLUDED - out-of-scope org","Academic data-augmentation methods paper (CVPR 2022) published under UC Berkeley affiliations before CAIS existed as a publishing org; general ML robustness research, not an evaluation finding asserted by a roster org","","2026-08-01","agent"
"Center for AI Safety (CAIS)","What Would Jiminy Cricket Do? Towards Agents That Behave Morally","https://arxiv.org/abs/2110.13136","2021-10-25","EXCLUDED - out-of-scope org","Academic benchmark/methods paper (25 text-game moral-behavior suite) published under UC Berkeley affiliations before CAIS existed; pre-CAIS academic work listed retrospectively on safe.ai, no CAIS-asserted finding","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Aligning AI With Shared Human Values","https://arxiv.org/abs/2008.02275","2020-08-05","EXCLUDED - out-of-scope org","Academic benchmark paper (ETHICS dataset) published under UC Berkeley affiliations two years before CAIS was founded; no roster-org author at publication, findings not asserted by CAIS","","2026-08-01","agent"
"Center for AI Safety (CAIS)","The Many Faces of Robustness: A Critical Analysis of Out-of-Distribution Generalization","https://arxiv.org/abs/2006.16241","2020-06-29","EXCLUDED - out-of-scope org","Academic distribution-shift datasets/methods paper (ImageNet-R etc.) published under UC Berkeley/Google affiliations before CAIS existed; general ML research, no CAIS-asserted finding","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Pretrained Transformers Improve Out-of-Distribution Robustness","https://arxiv.org/abs/2004.06100","2020-04-13","EXCLUDED - out-of-scope org","Academic NLP robustness study (BERT vs earlier architectures) published under UC Berkeley affiliations before CAIS existed; no roster-org author at publication","","2026-08-01","agent"
"Center for AI Safety (CAIS)","AugMix: A Simple Data Processing Method to Improve Robustness and Uncertainty","https://arxiv.org/abs/1912.02781","2019-12-05","EXCLUDED - out-of-scope org","Academic data-augmentation methods paper (with Google Research) published years before CAIS was founded; ML methods research, not an evaluator finding","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Scaling Out-of-Distribution Detection for Real-World Settings","https://arxiv.org/abs/1911.11132","2019-11-25","EXCLUDED - out-of-scope org","Academic OOD-detection benchmarks/methods paper (ICML 2022) authored under UC Berkeley and other academic affiliations before CAIS existed; no CAIS-asserted finding","","2026-08-01","agent"
"Center for AI Safety (CAIS)","Natural Adversarial Examples","https://arxiv.org/abs/1907.07174","2019-07-16","EXCLUDED - out-of-scope org","Academic benchmark paper (ImageNet-A/ImageNet-O) published under UC Berkeley affiliations years before CAIS was founded; evaluates standard academic vision models, not an in-scope evaluator finding","","2026-08-01","agent"
