venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
Anthropic,Claude 3 Model Card,https://www-cdn.anthropic.com/c6a80a657af445f40e31afac050f3bf76d3b1404.pdf,2024-03,INCLUDED,"Evaluator check PASSED (2026-08-14): UK AISI, US CAISI/NIST, METR named as external testers. File findings under the named evaluator (rulebook §1 carve-out).",,2026-08-14,title-triage
Anthropic,Constitutional Classifiers: Defending against universal jailbreaks,https://www.anthropic.com/research/constitutional-classifiers,2025-02-03,INCLUDED,"Evaluator check PASSED (2026-08-14, clarified rule): Haize Labs, Gray Swan and UK AISI red-teamed the prototype system. File findings under the named independent evaluator.",,2026-08-14,title-triage
Anthropic,Modifying LLM Beliefs with Synthetic Document Finetuning,https://alignment.anthropic.com/2025/modifying-beliefs-via-sdf,2025-04,INCLUDED,"Evaluator check PASSED (2026-08-14, clarified rule): Scale AI named in author affiliations (Julian Michael). File findings under the named independent evaluator. | CONFIRMED 2026-08-14 under the benchmark-usage rule: Scale AI named in author affiliations (Julian Michael).",,2026-08-14,title-triage
Anthropic,Inverse Scaling in Test-Time Compute,https://alignment.anthropic.com/2025/inverse-scaling,2025-07,INCLUDED,"Evaluator check PASSED (2026-08-14, clarified rule): Scale AI named in author affiliations. File findings under the named independent evaluator. | CONFIRMED 2026-08-14 under the benchmark-usage rule: Scale AI named in author affiliations.",,2026-08-14,title-triage
Anthropic,A small number of samples can poison LLMs of any size,https://www.anthropic.com/research/small-samples-poison,2025-10-09,INCLUDED,"Evaluator check PASSED (2026-08-14, clarified rule): Joint study with the UK AI Security Institute and the Alan Turing Institute. File findings under the named independent evaluator.",,2026-08-14,title-triage
Anthropic,Investigating three real-world incidents in our cybersecurity evaluations,https://www.anthropic.com/news/investigating-incidents-cybersecurity-evals,2026-07-30,INCLUDED,"Evaluator check PASSED (2026-08-14): Incidents occurred in the evaluation environment of Irregular, ""one of our third-party evaluation partners""; METR also in dialogue. File findings under the named evaluator (rulebook §1 carve-out).",,2026-08-14,title-triage
Center for AI Safety (CAIS),"AI Safety Newsletter #66: Evaluating Frontier Models, New Gemini and Claude, Preemption is Back",https://newsletter.safe.ai/p/ai-safety-newsletter-66-aisn-66-evaluating,2025-12-02,INCLUDED,"First narrative publication of CAIS AI Dashboard independent evaluations: Claude Opus 4.5 safest on CAIS six-benchmark Risk Index (33.6), Gemini 3 Pro ninth on safety while leading text and vision capability indexes — CAIS-asserted measured results; candidate miss for extraction",,2026-08-01,agent
Center for AI Safety (CAIS),AI Safety Newsletter #67: Trump's preemption executive order,https://newsletter.safe.ai/p/ai-safety-newsletter-67-trumps-preemption,2025-12-17,INCLUDED,"Contains CAIS-asserted measured findings from its own AI Dashboard evaluations: GPT-5.2 ranks third on CAIS's safety risk index with weakest area bioweapons research (score 80), and DeepSeek-v3.2 assessed poor across all safety areas except TextQuests Harm; no earlier primary write-up — candidate miss for extraction",,2026-08-01,agent
Center for AI Safety (CAIS),AISN #76: Fable 5 Restrictions Lifted & OpenAI Limits GPT-5.6 Release,https://newsletter.safe.ai/p/aisn-76-fable-5-restrictions-lifted,2026-07-06,INCLUDED,"Contains a CAIS-asserted measured result: Claude Fable 5 scores 16.1% on CAIS's Remote Labor Index (vs 2.5% eight months prior; capabilities more than quadrupled) — a leaderboard-update finding whose narrative publication is this newsletter; no fuller primary write-up found, so candidate miss for extraction",,2026-08-01,agent
Cisco (Robust Intelligence / Foundation AI),Scaling FAITH Model Evaluation Analysis with BigQuery,https://cisco-foundation-ai.github.io/blogs/scaling-model-evals-with-bigquery,2026-06-09,INCLUDED,"Screened 2026-08-14: reports measured empirical results on named models (4 measured values, 1 assertion phrases; models: see text).",,2026-08-14,title-triage
