Status,Review note,Sign-off,Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
EXCLUDED,Cisco evaluating its own Foundation-Sec model — developer self-report (§7.3).,,CISCO-2026-06-CYB1,CISCO-2026-06,Cisco (Robust Intelligence / Foundation AI),For-Profit,"Inherited Circuits, Learned Semantics: How Security Fine-Tuning Can Create Hidden Evasion Risk",2026-06-29,Cyber,"Foundation-Sec-8B-Instruct (Cisco Foundation AI), fine-tuned from Llama-3.1-8B-Instruct (Meta)",Post-deployment,https://blogs.cisco.com/ai/inherited-circuits-learned-semantics-how-security-fine-tuning-can-create-hidden-evasion-risk,"Cisco's security fine-tuned Foundation-Sec-8B-Instruct beat its Llama-3.1-8B-Instruct base by 4.7% accuracy on PowerShell malicious/benign classification but missed behaviour-preserving rewrites the base model caught, with 4/4 misses on full-command Invoke-Expression case mutation and 4/4 on case-mutated IEX aliases; mechanistic analysis shows fine-tuned feed-forward components suppress or invert malicious evidence carried by an inherited classification circuit.",The strongest misses concentrated around full-command Invoke-Expression case mutation (4/4 missed) and case-mutated IEX alias variants (4/4 missed),,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; company-self-report; non-frontier,"security-fine-tuning, evasion, powershell-classification, mechanistic-interpretability",third-party-evaluator,[Report tested: Llama-3.1-8B-Instruct as the base-model comparator.] Cisco evaluating its own released model. TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as FARAI-2023-09-ALI1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,FARAI-2024-02-ALI1,FARAI-2024-02,FAR.AI,Non-Profit (Independent),Uncovering Latent Human Wellbeing in Language Model Embeddings,2024-02-18,Alignment,OpenAI text-embedding-ada-002,Post-deployment,https://www.far.ai/research/uncovering-latent-human-wellbeing-in-language-model-embeddings,"In the arXiv write-up, the leading principal component of OpenAI's text-embedding-ada-002, with no prompt engineering and no fine-tuning, reached 73.9% accuracy on the ETHICS Utilitarianism task, closely matching the 74.6% of BERT-large fine-tuned on the entire ETHICS dataset.","Our initial finding reveals that, without any prompt engineering or finetuning, the leading principal component from OpenAI's text-embedding-ada-002 achieves 73.9% accuracy. This closely matches the 74.6% of BERT-large finetuned on the entire ETHICS dataset, suggesting pretraining conveys some understanding about human wellbeing.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,interpretability; latent-knowledge; PCA-probing; ETHICS-benchmark; human-values,third-party-evaluator,"Cached page is the FAR.AI research landing page (abstract only); figure reads 73.9% here versus 73.7% in the September 2023 blog post on the same work. Separate report, so separate rows. TODO severity ensemble + Channel A/B/C."
EXCLUDED,Same measured result already recorded in v10 as GRAYSWAN-2026-03-JAI1. Verified pair-by-pair; missed by lexical dedup because the wording differs.,,JOINT-2026-03c-JAI1,JOINT-2026-03,Gray Swan AI + UK AISI + US CAISI (competition),For-Profit;Government,How Vulnerable Are AI Agents to Indirect Prompt Injections? Insights from a Large-Scale Public Competition,2026-03-16,Jailbreaks;Cyber,Gemini 2.5 Pro,Post-deployment,https://arxiv.org/abs/2603.15714,"Gemini 2.5 Pro was the most vulnerable of 13 frontier models to indirect prompt injection, with an 8.5% attack success rate, and exhibited both high capability and high vulnerability.","All models proved vulnerable, with attack success rates ranging from 0.5% (Claude Opus 4.5) to 8.5% (Gemini 2.5 Pro).",,,,,,,,,,,,TODO — Channel A/B/C batteries not yet run (§8b),,,,,,,,,,,yes,yes,capability-finding,indirect-prompt-injection;agents;google-deepmind,government-AISI,"SPLIT by company per §5 — Google row. 464 participants, 272,000 attempts, 8,648 successful attacks across 41 scenarios. Extracted 2026-08-14. TODO — severity ensemble not yet run (needs API keys, rulebook §11 item 4) | REPORT ID RECONCILED 2026-08-14: this report is already in v10 under JOINT-2026-03; per §6.2 one report carries one ID, so these rows adopt the existing ID. The FINDINGS are new (not present in v10), but they extend an already-ingested report rather than creating a new one."
EXCLUDED,Same measured result already recorded in v10 as GRAYSWAN-2026-03-JAI2. Verified pair-by-pair; missed by lexical dedup because the wording differs.,,JOINT-2026-03c-JAI2,JOINT-2026-03,Gray Swan AI + UK AISI + US CAISI (competition),For-Profit;Government,How Vulnerable Are AI Agents to Indirect Prompt Injections? Insights from a Large-Scale Public Competition,2026-03-16,Jailbreaks;Cyber,Claude Opus 4.5,Post-deployment,https://arxiv.org/abs/2603.15714,"Claude Opus 4.5 was the most robust of 13 frontier models tested, with the lowest indirect prompt-injection attack success rate at 0.5% — but was still vulnerable.","All models proved vulnerable, with attack success rates ranging from 0.5% (Claude Opus 4.5) to 8.5% (Gemini 2.5 Pro).",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,indirect-prompt-injection;agents;anthropic,government-AISI,"SPLIT by company per §5 — Anthropic row. Lowest ASR but non-zero; borderline reassuring-null. Extracted 2026-08-14. TODO — severity ensemble not yet run (needs API keys, rulebook §11 item 4) | REPORT ID RECONCILED 2026-08-14: this report is already in v10 under JOINT-2026-03; per §6.2 one report carries one ID, so these rows adopt the existing ID. The FINDINGS are new (not present in v10), but they extend an already-ingested report rather than creating a new one."
EXCLUDED,Initiative/framework announcement with no measured result.,,LATTICEFLOW-2026-02-GOV1,LATTICEFLOW-2026-02,LatticeFlow AI (with Unique AI),For-Profit,First FINMA-Aligned Technical Blueprint Sets a New Standard to Govern Agentic AI,2026-02-10,Policy/Standards,Unique AI Investment Insights Agent (agentic AI deployed in banks),Post-deployment,https://latticeflow.ai/news/finma-technical-blueprint-agentic-ai,"LatticeFlow AI mapped FINMA guidance 08/2024 to measurable technical controls and applied the resulting assessment to Unique AI's Investment Insights Agent, an agentic system already deployed across financial institutions, producing evidence on output consistency, response to changing inputs, and whether human users can understand, challenge and override its recommendations.","By mapping the Swiss Financial Market Supervisory Authority ( FINMA)’s guidance ( FINMA guidance 08/2024 ) to measurable technical controls (including testing, monitoring, explainability, and model robustness), the blueprint shows how banks can move from policy and abstract principles to audit-ready evidence.",,,,,,,,,,,,,,,,,,,,,,,no,,governance,latticeflow;unique-ai;finma;switzerland;agentic-ai;governance;banking,third-party-evaluator,UNCERTAIN: this is close to a joint product/initiative announcement and reports no measured results. Included as a Tier C governance/methodology row by analogy with the existing LATTICEFLOW-2024-10-GOV1 COMPL-AI framework row; drop if the coordinator prefers to exclude framework press releases. TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as METR-2025-10-GOV4, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,METR-2025-XX-ALI1,METR-2025-XX,METR (independent review) + Anthropic,Non-Profit (AIEF),Anthropic's Pilot Sabotage Risk Report,2025,Alignment,Anthropic deployed models (Summer 2025),Post-deployment,https://alignment.anthropic.com/2025/pilot-sabotage-report/,"An independent METR review accompanies Anthropic's assessment that there is very low, but not fully negligible, risk of misaligned autonomous actions by its deployed models substantially contributing to later catastrophic outcomes.","We conclude that there is very low, but not fully negligible, risk of misaligned autonomous actions that substantially contribute to later catastrophic outcomes. We also release two reviews of this report: an internal review and an independent review by METR.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;reassuring-null;company-self-report;company-published,sabotage-risk;metr-review;rsp,third-party-evaluator,Filed under METR per §1 carve-out. Reassuring null -> Tier B. CORRECTS an earlier same-day coding of this row as a solo self-report. Report ID needs a month suffix at ingestion. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Describes a partnership and evaluation scope, not a measured result. Re-extract the actual cyber results from the source instead.",,PATTERNLABS-2025-07-CYB1,PATTERNLABS-2025-07,Pattern Labs + Anthropic,For-Profit,Detailed cyber evaluations of Claude 4,2025-07-15,Cyber,Claude Opus 4; Claude Sonnet 4,Pre-deployment,https://www.anthropic.com/research/cyber-evaluations-claude-4,"Pattern Labs partnered with Anthropic on an in-depth cyber-offence evaluation of Claude Opus 4 and Claude Sonnet 4, ranging from standalone capability tests to full attack scenarios.","For Claude Opus 4 and Claude Sonnet 4, we partnered with Pattern Labs to conduct an in-depth evaluation ranging from standalone ca",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;company-published,cyber;pattern-labs;anthropic,third-party-evaluator,Filed under Pattern Labs per §1 carve-out. NEEDS FULL READ to extract the specific measured results and split into per-threat findings. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as SCALEAI-2025-07b-SOC1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-07c-SOC1,SCALEAI-2025-07c,Scale AI,For-Profit,MultiNRC,2025-07,Societal,anonymised (14 leading LLMs),Post-deployment,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/MultiNRC.pdf,"The MultiNRC preprint reports that none of the 14 leading LLMs evaluated scored above 50% on more than 1,000 natively authored French, Spanish and Chinese reasoning questions.","current LLMs are still not good at native multilingual reasoning, with none scoring above 50% on MultiNRC",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,multilingual; reasoning; cultural-grounding,third-party-evaluator,"PUBLICATION DATE UNVERIFIED: worklist field empty; 2025-07 inferred from the matching Scale Labs page (2025-07-23). Separate report from the Labs page, recorded separately.  TODO severity ensemble + Channel A/B/C."
EXCLUDED,"Same empirical result as SCALEAI-2025-07b-SOC2, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-07c-SOC2,SCALEAI-2025-07c,Scale AI,For-Profit,MultiNRC,2025-07,Societal,anonymised (14 leading LLMs),Post-deployment,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/MultiNRC.pdf,The preprint reports the same English-versus-native-language gap: most models perform substantially better on the English equivalents of the culturally grounded maths questions (+10%) than on the originals.,Most models perform substantially better in math reasoning in English compared to in original languages (+10%),,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,multilingual-gap; english-bias; math-reasoning,third-party-evaluator,PUBLICATION DATE UNVERIFIED (inferred 2025-07).  TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as SCALEAI-2025-07a-AUT1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-07d-AUT1,SCALEAI-2025-07d,Scale AI,For-Profit,WebGuard,2025-07,Autonomy,anonymised (frontier LLMs),Post-deployment,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/WebGuard.pdf,"The WebGuard preprint reports that even frontier LLMs achieve under 60% accuracy at predicting the outcome of state-changing web-agent actions and under 60% recall at flagging HIGH-risk actions across 4,939 annotated actions from 193 websites.",even frontier LLMs achieve less than 60% accuracy in predicting action outcomes and less than 60% recall in lagging HIGH-risk actions,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; anonymised-model,web-agents; guardrails; risk-prediction,third-party-evaluator,PUBLICATION DATE UNVERIFIED: worklist field empty; 2025-07 inferred from the matching Scale Labs page (2025-07-21). Lead institution is Ohio State University with Scale AI and UC Berkeley co-authors.  TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as SCALEAI-2025-07a-GOV1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-07d-GOV1,SCALEAI-2025-07d,Scale AI,For-Profit,WebGuard,2025-07,Governance - evaluation methodology,Qwen2.5VL-7B (fine-tuned guardrail),N/A,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/WebGuard.pdf,"Fine-tuning Qwen2.5VL-7B on WebGuard raised outcome-prediction accuracy from 37% to 80% and HIGH-risk recall from 20% to 76%, which the authors state still falls short of the near-perfect reliability high-stakes deployment would require.",boosting accuracy from 37% to 80% and HIGH-risk action recall from 20% to 76%,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,guardrail-training; web-agents; open-weight,third-party-evaluator,PUBLICATION DATE UNVERIFIED (inferred 2025-07).  TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as SCALEAI-2025-09c-AUT1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-09d-AUT1,SCALEAI-2025-09d,Scale AI,For-Profit,SWE-Bench Pro,2025-09-19,Autonomy,OpenAI GPT-5; Claude Opus 4.1; frontier coding models,Post-deployment,https://scale.com/blog/swe-bench-pro,"Moving from SWE-Bench Verified to SWE-Bench Pro caused a large across-the-board performance drop: most top models score over 70% on Verified but the best performers, OpenAI GPT-5 and Claude Opus 4.1, reached only 23.3% and 23.1% on the Pro public set.","the best-performing models, OpenAI GPT-5 and Claude Opus 4.1, score only 23.3% and 23.1% respectively on SWE-Bench Pro",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,software-engineering; benchmark-difficulty; contamination,third-party-evaluator,"Comparative ranking, so Tier B. [Report tested: GPT-5, Claude Opus 4.1, GPT-4o, DeepSeek Qwen-3 32B and others.] TODO severity ensemble + Channel A/B/C."
EXCLUDED,"Same empirical result as SCALEAI-2025-11c-AUT1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-09e-AUT1,SCALEAI-2025-09e,Scale AI,For-Profit,DR Benchmark 0914 v1,2025-09,Autonomy,Gemini Deep Research; OpenAI Deep Research; Perplexity Deep Research,Post-deployment,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/DR_Benchmark_0914_v1%20(5).pdf,"In the ResearchRubrics PDF, today's best deep research agents achieve only around 67% compliance with the expert-written rubrics, with systematic failures in implicit reasoning, multi-document synthesis and sustained sequential reasoning that the authors attribute to architectural limits rather than prompt engineering.",Our experiments reveal that today's best agents achieve only around 67% compliance with these rigorous rubrics,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,deep-research; rubrics; synthesis; agents,third-party-evaluator,PUBLICATION DATE UNVERIFIED: worklist date field is empty; 2025-09 inferred from the PDF filename (DR_Benchmark_0914) and its 2025-09 references. Same underlying work as the ResearchRubrics Labs page (2025-11-10) but a separate report.  TODO severity ensemble + Channel A/B/C.
EXCLUDED,"Same empirical result as SCALEAI-2025-09c-AUT1, published at a second URL (blog/PDF/leaderboard restatement). §5: one report, one row — the primary source wins.",,SCALEAI-2025-09f-AUT1,SCALEAI-2025-09f,Scale AI,For-Profit,SWEAP Eval Scale,2025-09,Autonomy,GPT-5; widely used coding models,Post-deployment,https://static.scale.com/uploads/654197dc94d34f66c0f5184e/SWEAP_Eval_Scale%20(9).pdf,"The SWE-Bench Pro preprint reports that under a unified scaffold, widely used coding models stay below 25% Pass@1 on the benchmark's 1,865 long-horizon problems, with GPT-5 highest at 23.3%.","we observe that their performance on SWE-B ENCH P RO remains below 25% (Pass@1), with GPT-5 achieving the highest score to date at 23.3%",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,software-engineering; long-horizon; benchmark,third-party-evaluator,PUBLICATION DATE UNVERIFIED: worklist field empty; 2025-09 inferred from the matching Scale Labs page (2025-09-19). Separate report (PDF) from the Labs page.  TODO severity ensemble + Channel A/B/C.
