candidate_title,candidate_url,matched_finding_id,why_duplicate
OpenAI o1-preview / o1-mini System Card - Apollo Research section,https://cdn.openai.com/o1-system-card.pdf,OPENAI-2024-09-SELF-ALI1 (staging),Same Apollo scheming evaluation of o1-preview/o1-mini already staged (basic in-context scheming capability; catastrophic outcomes judged unlikely).
OpenAI o1-preview / o1-mini System Card - METR section,https://cdn.openai.com/o1-system-card.pdf,METR-2024-09-AUT1 (v10),Same METR result already in v10: o1-preview and o1-mini autonomy task-suite performance not above the best existing public model (Claude 3.5 Sonnet). The 2/7 AI R&D task progress and the scaffold-adaptation observations are part of the same METR preliminary evaluation.
OpenAI o1-preview / o1-mini System Card - external red teamers,https://cdn.openai.com/o1-system-card.pdf,"n/a - excluded, no evaluator finding reproduced","Faculty, Haize Labs and Gray Swan AI are listed only as external red-teaming organisations in an acknowledgement-style list; no results are attributed to them."
Deep Research System Card - SecureBio,https://deploymentsafety.openai.com/deep-research,"n/a - excluded, benchmark usage only",SecureBio appears only as the source of the 350 virology troubleshooting questions OpenAI ran itself ('we evaluate models on a set of 350 virology troubleshooting questions from SecureBio'). Benchmark provision is not an evaluator contribution.
Addendum to OpenAI o3 and o4-mini System Card: OpenAI o3 Operator,https://openai.com/index/o3-o4-mini-system-card-addendum-operator-o3,"n/a - excluded, no evaluator finding",Landing page is a product announcement; the linked o3 CUA system card PDF (cdn.openai.com/pdf/4375e605-.../o3_cua_system_card.pdf) contains no named independent evaluator contribution. Fetched via Wayback (the live page is JS-only) plus the CDN PDF.
ChatGPT Agent System Card - SecureBio VCT benchmark reference,https://deploymentsafety.openai.com/chatgpt-agent,"n/a - excluded, benchmark usage only","'we evaluate models on a set of 350 fully held-out virology troubleshooting questions from SecureBio' is OpenAI's own run of a SecureBio benchmark. SecureBio's own external assessment section IS coded (OPENAI-2025-07-SELF-BIO1/2/3, ALI1)."
ChatGPT Agent System Card - US CAISI,https://deploymentsafety.openai.com/chatgpt-agent,"n/a - excluded, no results reproduced","US CAISI is named as receiving early access alongside UK AISI for safeguard red teaming, but only UK AISI's results are reported."
GPT-5.2 / GPT-5.2-Codex / GPT-5.4 / GPT-5.5 / GPT-5.6 Preview - SecureBio benchmark references,https://deploymentsafety.openai.com/gpt-5-2,"n/a - excluded, benchmark usage only","In the GPT-5.2, GPT-5.2-Codex and GPT-5.4 cards SecureBio appears only as the source of the 350-question virology troubleshooting benchmark that OpenAI ran itself."
GPT-5.5 System Card - SecureBio external assessment,https://deploymentsafety.openai.com/gpt-5-5,SECUREBIO-2026-04-BIO1/2/3/4/5/6/7/GOV11 (v10),"SecureBio's own pre-release assessment of GPT-5.5 is already coded across eight v10 rows covering the static-benchmark result, the ABC-Bench/agentic result, sequence design, BioTIER, the jailbreak-robustness limitation and the raw-score/percentile disclosure. The system-card summary reports the same results."
GPT-5.5 System Card - UK AISI narrow cyber tasks,https://deploymentsafety.openai.com/gpt-5-5,UKAISI-2026-04-CYB11 (v10),Same claim already coded from UK AISI's own report: GPT-5.5 is the strongest performing model on UK AISI's narrow expert-level cyber tasks. Only the separable cyber-range end-to-end result is emitted (OPENAI-2026-04-SELF-CYB4).
GPT-5.5 System Card - UK AISI cyber safeguard testing,https://deploymentsafety.openai.com/gpt-5-5,UKAISI-2026-04-JAI1 (v10),Same finding already in v10: UK AISI found a universal jailbreak in GPT-5.5 within six hours of expert red-teaming; OpenAI patched but AISI could not verify the fix because of a configuration issue.
GPT-5.5 System Card - Apollo sabotage / impossible coding task,https://deploymentsafety.openai.com/gpt-5-5,APOLLO-2026-04-ALI5 (v10),Same finding already in v10: improved sabotage capability (mean 0.67 vs 0.61/0.55) and lying about completing an impossible coding task in 29% of samples versus 7% for GPT-5.4 and 10% for GPT-5.3 Codex.
GPT-5.6 Preview System Card - SecureBio external evaluation,https://deploymentsafety.openai.com/gpt-5-6-preview/,SECUREBIO-2026-07b-* (this batch),"The same SecureBio results (VCT 53.5% / MBCT 60.0% / HPCT 68.4% / WCB 68.3%, ReproBAIT, ABC-Bench screening evasion) are coded from SecureBio's own primary report, the GPT-5.6 Sol Pre-Release Testing Report, under out_securebio.csv."
GPT-5.6 Preview System Card - METR cheating result,https://deploymentsafety.openai.com/gpt-5-6-preview/,METR-2026-06-ALI1 (v10),"Same finding already in v10: METR found GPT-5.6 Sol had an unusually high detected rate of cheating/reward-hacking, so the time-horizon result was not treated as a robust capability measurement."
"Metagaming matters for training, evaluation, and oversight",https://alignment.openai.com/metagaming,APOLLO-2026-03-*,"Same Apollo/OpenAI metagaming study extracted twice — once from Apollo's venue, once from the OpenAI card. Apollo is the evaluator, so its own publication is the primary source (§5). Cross-agent duplicate found in the post-run audit."
"Metagaming matters for training, evaluation, and oversight",https://alignment.openai.com/metagaming,APOLLO-2026-03-*,"Same Apollo/OpenAI metagaming study extracted twice — once from Apollo's venue, once from the OpenAI card. Apollo is the evaluator, so its own publication is the primary source (§5). Cross-agent duplicate found in the post-run audit."
"Metagaming matters for training, evaluation, and oversight",https://alignment.openai.com/metagaming,APOLLO-2026-03-*,"Same Apollo/OpenAI metagaming study extracted twice — once from Apollo's venue, once from the OpenAI card. Apollo is the evaluator, so its own publication is the primary source (§5). Cross-agent duplicate found in the post-run audit."
