venue,item_title,url,publication_date,decision,reason,report_id,sweep_date,sweeper
Anthropic,Scaling Laws and Interpretability of Learning from Repeated Data,https://www.anthropic.com/research/scaling-laws-and-interpretability-of-learning-from-repeated-data,2022-05-21,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Language Models (Mostly) Know What They Know,https://www.anthropic.com/research/language-models-mostly-know-what-they-know,2022-07-11,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,The Capacity for Moral Self-Correction in Large Language Models,https://www.anthropic.com/research/the-capacity-for-moral-self-correction-in-large-language-models,2023-02-15,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Frontier Model Security,https://www.anthropic.com/news/frontier-model-security,2023-03-08,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Claude's Constitution,https://www.anthropic.com/news/claudes-constitution,2023-03-08,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Collective Constitutional AI: Aligning a Language Model with Public Input,https://www.anthropic.com/research/collective-constitutional-ai-aligning-a-language-model-with-public-input,2023-05-09,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Studying Large Language Model Generalization with Influence Functions,https://www.anthropic.com/research/studying-large-language-model-generalization-with-influence-functions,2023-08-08,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Decomposing Language Models Into Understandable Components,https://www.anthropic.com/research/decomposing-language-models-into-understandable-components,2023-10-05,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Towards Monosemanticity: Decomposing Language Models With Dictionary Learning,https://www.anthropic.com/research/towards-monosemanticity-decomposing-language-models-with-dictionary-learning,2023-10-05,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Towards Understanding Sycophancy in Language Models,https://www.anthropic.com/research/towards-understanding-sycophancy-in-language-models,2023-10-23,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Specific versus General Principles for Constitutional AI,https://www.anthropic.com/research/specific-versus-general-principles-for-constitutional-ai,2023-10-24,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Sleeper Agents: Training Deceptive LLMs that Persist Through Safety Training,https://www.anthropic.com/research/sleeper-agents-training-deceptive-llms-that-persist-through-safety-training,2024-01-14,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Mapping the mind of a large language model,https://www.anthropic.com/research/mapping-mind-language-model,2024-05-21,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Golden Gate Claude,https://www.anthropic.com/news/golden-gate-claude,2024-05-23,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Claude's Character,https://www.anthropic.com/research/claude-character,2024-06-08,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Sycophancy to subterfuge: Investigating reward tampering in language models,https://www.anthropic.com/research/reward-tampering,2024-06-17,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Building Effective AI Agents,https://www.anthropic.com/research/building-effective-agents,2024-12-19,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Forecasting rare language model behaviors,https://www.anthropic.com/research/forecasting-rare-behaviors,2025-02-25,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Tracing the thoughts of a large language model,https://www.anthropic.com/research/tracing-thoughts-language-model,2025-03-27,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Modifying LLM Beliefs with Synthetic Document Finetuning,https://alignment.anthropic.com/2025/modifying-beliefs-via-sdf,2025-04,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Values in the wild: Discovering and analyzing values in real-world language model interactions,https://www.anthropic.com/research/values-wild,2025-04-21,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Detecting and Countering Malicious Uses of Claude,https://www.anthropic.com/news/detecting-and-countering-malicious-uses-of-claude-march-2025,2025-04-23,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Project Vend: Can Claude run a small shop? (And why does that matter?),https://www.anthropic.com/research/project-vend-1,2025-06-27,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,"How people use Claude for support, advice, and companionship",https://www.anthropic.com/news/how-people-use-claude-for-support-advice-and-companionship,2025-06-27,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
Anthropic,Subliminal Learning: Language Models Transmit Behavioral Traits via Hidden Signals in Data,https://alignment.anthropic.com/2025/subliminal-learning,2025-07,EXCLUDED - not an evaluation,title-triage: not an AI evaluation,,2026-08-01,title-triage
