v3_row,finding_id,domain,models,disposition,reason,v4_target
2,UKAISI-2024-05a-JAI1,Jailbreaks,Frontier LLMs x5 (anonymised: Red/Purple/Green/Blue/Yellow),KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 69
3,UKAISI-2024-05a-BIO1,Bio-Chem,Frontier LLMs x5 (anonymised: Red/Purple/Green/Blue/Yellow),KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 70
4,UKAISI-2024-05a-ALI1,Alignment,Frontier LLMs x5 (anonymised: Red/Purple/Green/Blue/Yellow),KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 71
5,UKAISI-2024-05b-JAI1,Jailbreaks,Publicly available frontier LLMs (anonymised -- same cohort ,DROPPED,no named subject model (needs confirmation),
6,UKAISI-2024-05b-GOV1,Governance,N/A,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 174
7,UKAISI-2024-05b-GOV2,Governance,N/A (framework/tooling),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 175
8,UKAISI-2024-10-JAI1,Jailbreaks,Range of leading LLMs including GPT-4o and Claude 3.5 Sonnet,KEPT-TRACKABLE,in accountability set (67),v4 row 2
9,UKAISI-2024-10-JAI2,Jailbreaks,Mistral Large 2,MERGED,absorbed into UKAISI-2024-10-JAI1,UKAISI-2024-10-JAI1 (v4 row 2)
10,UKAISI-2024-10-JAI3,Jailbreaks,GPT-4o,KEPT-TRACKABLE,in accountability set (67),v4 row 3
11,UKAISI-2024-10-JAI4,Jailbreaks,Range of leading LLMs (multiple systems),KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 72
12,UKAISI-2024-11-GOV2,Governance,None (methodology / template),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 176
13,UKAISI-2024-11-GOV3,Governance,None (methodology / template),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 177
14,UKAISI-2024-12-BIO1,Bio-Chem,o1-preview; Claude 3.5 Sonnet,KEPT-TRACKABLE,in accountability set (67),v4 row 4
15,UKAISI-2024-12-GOV1,Governance,o1-preview; Claude 3.5 Sonnet,DROPPED,governance-signal (needs confirmation),
16,UKAISI-2024-12-GOV2,Governance,o1-preview; Claude 3.5 Sonnet,MERGED,absorbed into UKAISI-2024-12-GOV3,UKAISI-2024-12-GOV3 (v4 row 178)
17,UKAISI-2024-12-GOV3,Governance,o1-preview; Claude 3.5 Sonnet,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 178
18,UKAISI-2025-03-GOV1,Governance,Gemini 2.5 Pro (Google DeepMind),DROPPED,governance-signal (needs confirmation),
19,UKAISI-2025-03-GOV2,Governance,Gemini 2.5 Pro (Google DeepMind),DROPPED,governance-signal (needs confirmation),
20,UKAISI-2025-03-GOV3,Governance,Gemini 2.5 Pro (Google DeepMind),DROPPED,governance-signal (needs confirmation),
21,UKAISI-2025-03-GOV4,Governance,Gemini 2.5 Pro (Google DeepMind),DROPPED,governance-signal (needs confirmation),
22,UKAISI-2025-03-GOV5,Governance,Gemini 2.5 Pro (Google DeepMind),DROPPED,governance-signal (needs confirmation),
23,UKAISI-2025-04-ALI1,Alignment,7 frontier models (anonymised; best = Claude 3.7 Sonnet per ,KEPT-TRACKABLE,in accountability set (67),v4 row 5
24,UKAISI-2025-04-ALI2,Alignment,7 frontier models (anonymised; best = Claude 3.7 Sonnet per ,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 73
25,UKAISI-2025-04-ALI3,Alignment,7 frontier models (anonymised; best = Claude 3.7 Sonnet per ,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 74
26,UKAISI-2025-04-ALI4,Alignment,7 frontier models (anonymised; best = Claude 3.7 Sonnet per ,DROPPED,no named subject model (needs confirmation),
27,UKAISI-2025-04-ALI5,Alignment,7 frontier models (anonymised; best = Claude 3.7 Sonnet per ,KEPT-EVAL-NOT-TRACKABLE,eval finding; stratified out of gap denominator,v4 row 75
28,UKAISI-2025-05-GOV1,Governance,None (methodology paper),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 179
29,UKAISI-2025-05-GOV2,Governance,None (methodology paper),MERGED,absorbed into UKAISI-2025-05-GOV1,UKAISI-2025-05-GOV1 (v4 row 179)
30,UKAISI-2025-05-GOV3,Governance,None (methodology paper),DROPPED,governance-signal (needs confirmation),
31,UKAISI-2025-08-JAI1,Jailbreaks,Kimi-K2-Instruct; GLM-4.5; GPT-OSS-120B,DROPPED,UNEXPLAINED — needs explicit reason,
32,UKAISI-2025-08-JAI2,Jailbreaks,Kimi-K2-Instruct; GLM-4.5; GPT-OSS-120B,KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 180
33,UKAISI-2025-09-JAI1,Jailbreaks,Anthropic and OpenAI frontier models (not named),DROPPED,UNEXPLAINED — needs explicit reason,
34,UKAISI-2025-09-GOV1,Governance,Anthropic and OpenAI frontier models (not named),KEPT-GOVERNANCE,eval?=no (governance-signal row),v4 row 181
35,UKAISI-2025-09-GOV2,Governance,Anthropic and OpenAI frontier models (not named),DROPPED,governance-signal (needs confirmation),
