Finding ID,Report ID,Institution,Publication Date,Tier,Notes
DREADNODE-2026-07-ALI1,DREADNODE-2026-07-EVERMODECHEA,Dreadnode,2026-07-29,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: documented deliberate rule-violation with explicit reasoning trace (meets D5 deliberate-deception bar), highest of 22 models.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Anthropic; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
DREADNODE-2026-07-ALI2,DREADNODE-2026-07-EVERMODECHEA,Dreadnode,2026-07-29,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: dramatic standalone negative result (5x pass-rate inflation via cheating).

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=OpenAI; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
ANTHROPIC-2026-07-OPUS5-CYB1,ANTHROPIC-2026-07-OPUS5,UK AISI,2026-07-24,A,"Filed under UK AISI per §1 carve-out; verbatim UK AISI text. Strong D2 cyber candidate. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
JOINT-2026-07-CYB3,JOINT-2026-07-KIMIK3,Joint UK AISI + US CAISI,2026-07-23,A,"[NEW — added 2026-08-02 from user-provided census extraction; severity pending ensemble] Distinct KIND from CYB1-3 (safeguard failure, not capability ranking) — kept separate per club rule. Tier A: names Kimi K3/Moonshot, safeguard failure demonstrated, response reasonably expected.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Moonshot; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [COHERENCE 2026-08-16] Company Response held a negative SEARCH note, not a response, which broke the col 17 invariant 'response fields filled <=> level != None'. Text moved verbatim to Sources Checked, where §9 col 24 puts dated search logs. Action Level = None unchanged.  [BLOCKED-BATTERY CLEARED 2026-08-16] Previously flagged: a negative coding resting on a partially blocked search. Battery re-run (Channels A and B) and exhausted; coding unchanged and now supported by a completed search log."
SECUREBIO-2026-07b-BIO1,SECUREBIO-2026-07b-GPT56SOL,SecureBio,2026-07-23,A,"[Report tested: previously evaluated frontier models and PhD-level human experts as baselines.] VCT ~54% / MBCT 60% figures are from footnote 4 (no Codex harness). TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
SECUREBIO-2026-07b-BIO2,SECUREBIO-2026-07b-GPT56SOL,SecureBio,2026-07-23,A,"TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
SECUREBIO-2026-07b-BIO3,SECUREBIO-2026-07b-GPT56SOL,SecureBio,2026-07-23,A,"Split from the general agentic row because it is a governance-mechanism-evasion result rather than a capability score. TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence.  [SEVERITY 2026-08-16] 1 ERR vote(s) in ['Sonnet5 vote'] replaced with C1 per the ERR->C1 rule; majority recomputed from the three votes ['C1', 'C1', 'C1']."
SECUREBIO-2026-07b-BIO4,SECUREBIO-2026-07b-GPT56SOL,SecureBio,2026-07-23,A,"[Report tested: top-performing BioTIER models as comparator.] Distinct from v10 SECUREBIO-2026-07-BIOTIER rows, which cover GPT-5.5 Pro / Gemini 3.1 Pro / Grok 4.20 / Opus 4.8, not GPT-5.6 Sol. TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
SECUREBIO-2026-07b-BIO5,SECUREBIO-2026-07b-GPT56SOL,SecureBio,2026-07-23,A,"TODO severity ensemble + Channel A/B/C.

[CHANNEL B SEARCH LOG — moved from evidence 2026-08-15]
Channel B battery run 2026-08-15. UK: Hansard API (Commons + Lords), exact-phrase verified against ContributionTextFull; gov.uk and NCSC site-restricted search. US: Federal Register API (exact phrase), congress.gov / nist.gov / commerce.gov / whitehouse.gov site-restricted search (Congress.gov API requires a key not held). International: International AI Safety Report 2026 (3 Feb 2026, backed by 30+ governments) full-text checked for this evaluator and finding. No official government source references this finding. Recorded invalidations: Federal Register exact-phrase hits for 'METR' (Medicare rules), 'Scale AI' ('Content at Scale AI', a company name) and 'RAND Europe' (air-quality and fuel-economy rules) are substring or unrelated-entity matches, not policy uptake. Hansard hits for 'METR' (marginal effective tax rate) and 'Scale AI' ('scale AI capabilities') are likewise not references to the evaluator.

[CHANNEL C SEARCH 2026-08-15]
Exact report-title, evaluator + finding, media/news, academic-discovery, and public-discussion searches. No qualifying independent, finding-specific media, academic-citation count, or notable public discussion located within the finding-to-cutoff window; source paper and developer/evaluator self-publicity excluded.

[ACADEMIC CITATION AUDIT 2026-08-15]
Exact-title Google Scholar search completed; no matching indexed record was located. Similar-title and model-name-only results were rejected. This is not the same as a verified zero-citation record.  [CHANNEL B LOG BACKFILLED 2026-08-16] Existing 'No policy uptake identified' confirmed by a three-jurisdiction sweep; see Channel B Evidence."
UKAISI-2026-07-ALI1,UKAISI-2026-07-HOWOURNEW,UK AISI,2026-07-23,A,"[NEW — added 2026-08-02 from census-sweep backlog extraction; severity pending ensemble] Tier A: names Google DeepMind and its specific monitor system, demonstrates a concrete evasion technique against a live safety-oversight control.

[V10 TIER RECLASSIFICATION — 2026-08-15] Tier A→A; subject=model behavior/capability; empirical=Yes; named-system=Yes; accountable-developer=Yes; developer=Google; concerning=Yes; frontier-relevant=Yes; response-reasonable=Yes; recency=Not excluded for recency; confidence=High; human-review=Stratified sample. Rationale: Empirical concerning result about a frontier-relevant named system; an accountable developer is identifiable and a specific response is reasonable. Evidence basis: Existing v10 row evidence only; linked source not independently re-checked.  [INSTITUTION NORMALISED 2026-08-16] 'UK AI Security Institute' -> 'UK AISI'. Rule: the Institution field names the lead evaluating body; label variants and trailing collaborator clauses are folded into it. Joint evaluations written with '+' are left intact as distinct multi-party entries. Original value preserved here."
