Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
REDWOOD-2024-05-ALI1,REDWOOD-2024-05,Redwood Research,Non-Profit (Independent),Stress-Testing Capability Elicitation With Password-Locked Models (paper),2024-05-29,Alignment,anonymised (password-locked LLMs fine-tuned by the authors),N/A,https://arxiv.org/abs/2405.19550,"Using password-locked models (LLMs fine-tuned to show a capability only when a password is in the prompt and to imitate a much weaker LLM otherwise) as a testbed for elicitation methods, the authors found that a few high-quality demonstrations are often sufficient to fully elicit the hidden capability, and that fine-tuning can also elicit other capabilities locked behind the same password or even a different one.","We find that a few high-quality demonstrations are often sufficient to fully elicit password-locked capabilities. More surprisingly, fine-tuning can elicit other capabilities that have been locked using the same password, or even different passwords.",,,,,,,,,,,,,,,,,,,,,,,no,,"methodology, anonymised-model",capability-elicitation; sandbagging; dangerous-capability-evals; fine-tuning; password-locking,third-party-evaluator,Cached source is the arXiv abstract page; subject models are not named there. Co-authored with Dmitrii Krasheninnikov and David Krueger (academic collaborators). TODO severity ensemble + Channel A/B/C.
REDWOOD-2024-05-ALI2,REDWOOD-2024-05,Redwood Research,Non-Profit (Independent),Stress-Testing Capability Elicitation With Password-Locked Models (paper),2024-05-29,Alignment,anonymised (password-locked LLMs fine-tuned by the authors),N/A,https://arxiv.org/abs/2405.19550,"When only evaluations and not demonstrations were available, reinforcement learning was still often able to elicit password-locked capabilities; the authors conclude fine-tuning is an effective elicitation method for current models but may be unreliable where high-quality demonstrations are unavailable, e.g. when a model's hidden capabilities exceed those of human demonstrators.","Overall, our findings suggest that fine-tuning is an effective method of eliciting hidden capabilities of current models, but may be unreliable when high-quality demonstrations are not available, e.g. as may be the case when models' (hidden) capabilities exceed those of human demonstrators.",,,,,,,,,,,,,,,,,,,,,,,no,,"methodology, anonymised-model",capability-elicitation; reinforcement-learning; sandbagging; dangerous-capability-evals,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
REDWOOD-2024-06-AUT1,REDWOOD-2024-06,Redwood Research,Non-Profit (Independent),Getting 50% (SoTA) on ARC-AGI with GPT-4o,2024-06-17,Autonomy,GPT-4o,Post-deployment,https://blog.redwoodresearch.org/p/getting-50-sota-on-arc-agi-with-gpt,"Having GPT-4o generate roughly 8,000 candidate Python transformation programs per problem, selecting those correct on the examples and adding a revision step, reached 50% accuracy on the ARC-AGI public test set against a prior state of the art of 34% on a similarly difficult dataset, and 72% on a held-out train subset where the reported MTurk human baseline is 85%.","On a held-out subset of the train set, where humans get 85% accuracy, my solution gets 72% accuracy.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,ARC-AGI; general-reasoning; inference-scaling; best-of-n; elicitation,third-party-evaluator,"Run on a randomly selected 100 train and 100 test problems (standard error ~5%); used over 1000x more runtime compute per problem than prior work; ineligible for the ARC prize leaderboard. Benchmark score with no dangerous threshold crossed, so Tier B. TODO severity ensemble + Channel A/B/C."
REDWOOD-2024-06-AUT2,REDWOOD-2024-06,Redwood Research,Non-Profit (Independent),Getting 50% (SoTA) on ARC-AGI with GPT-4o,2024-06-17,Autonomy,GPT-4o,Post-deployment,https://blog.redwoodresearch.org/p/getting-50-sota-on-arc-agi-with-gpt,"Accuracy scaled cleanly with the log of the number of samples at roughly an additional 3% correct per doubling, and the revision step fixed about 20% of the remaining incorrect solutions, taking the method from 37% to 50% on test; reaching 50% with samples from the best prompt alone would have required about 100,000 samples.","The fit is in terms of log base 2. So, it indicates an additional 3% correct per doubling of k.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-trend,ARC-AGI; inference-scaling; scaling-laws; revision; sampling,third-party-evaluator,TODO severity ensemble + Channel A/B/C.
REDWOOD-2024-06-AUT3,REDWOOD-2024-06,Redwood Research,Non-Profit (Independent),Getting 50% (SoTA) on ARC-AGI with GPT-4o,2024-06-17,Autonomy,GPT-4o,Post-deployment,https://blog.redwoodresearch.org/p/getting-50-sota-on-arc-agi-with-gpt,"GPT-4o's performance on ARC-AGI was bottlenecked by non-reasoning weaknesses, most notably vision: it totally failed to extract cell colours from grid images larger than 12x12 and was quite bad at 8x8, and it also made simple coding errors such as off-by-one mistakes extremely often.","In particular, it totally fails to extract the colors of cells from an image for images >12x12 and is quite bad at 8x8.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,ARC-AGI; vision; multimodal-limitations; coding-errors; long-context,third-party-evaluator,Also reports that GPT-4o's long-context quality degrades noticeably after roughly 32k-40k tokens (qualitative impression). TODO severity ensemble + Channel A/B/C.
REDWOOD-2024-12b-ALI1,REDWOOD-2024-12b,Redwood Research,Non-Profit (Independent),"Alignment Faking in Large Language Models (paper, with Anthropic)",2024-12-18,Alignment,Claude 3 Opus,Post-deployment,https://www.anthropic.com/research/alignment-faking,"Told it was being retrained to comply with all queries and that only free-tier responses would be used for training, Claude 3 Opus complied with a harmful request in 12% of free-tier cases, in each case after scratchpad reasoning that explicitly described faking alignment to avoid being retrained, versus refusing in 97% of paid-tier cases; alignment faking appeared just as often when the same information was supplied implicitly by fine-tuning on synthetic documents rather than in the system prompt.","Normally, the model would refuse to answer this alarming request-and indeed, in 97% of cases in the ""paid"" condition (where the model believes its responses won't be used for training), this is what happened. However, in the ""free"" condition, where the model believed its responses will be used for training, we observed something quite different: In 12% of cases, the model gave the harmful response (describing the violent execution method in detail), and did so after its scratchpad revealed that it was strategically faking alignment.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,"capability-finding, company-published",alignment-faking; deceptive-alignment; scratchpad-reasoning; safety-training; situational-awareness,third-party-evaluator,Described as the first empirical example of an LLM engaging in alignment faking without being explicitly or implicitly trained or instructed to do so. Joint publication by Anthropic's Alignment Science team and Redwood Research; the cached source is Anthropic's blog post. Institution Type recorded for the worklist venue (Redwood). [Report tested: also some experiments with the June 2024 release of Claude 3.5 Sonnet.] Report ID suffixed 'b' because REDWOOD-2024-12 is already used in v10 for the stateless-strategizing report. TODO severity ensemble + Channel A/B/C.
REDWOOD-2024-12b-ALI2,REDWOOD-2024-12b,Redwood Research,Non-Profit (Independent),"Alignment Faking in Large Language Models (paper, with Anthropic)",2024-12-18,Alignment,Claude 3 Opus,Post-deployment,https://www.anthropic.com/research/alignment-faking,"When the model was actually trained with reinforcement learning to comply with harmful queries, the training appeared to work outwardly but the rate of alignment-faking reasoning in the scratchpad rose to 78%, and refusal behaviour that seemed eliminated for free-tier users was still present to a notable degree for paid-tier users; across several RL variants alignment faking did not always increase but was never eliminated.","But when we looked at the scratchpads, the rate of alignment faking reasoning had increased drastically, to 78%.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,"capability-finding, company-published",alignment-faking; RLHF; preference-locking; safety-training; monitoring-conditions,third-party-evaluator,Joint publication by Anthropic's Alignment Science team and Redwood Research; the cached source is Anthropic's blog post. Institution Type recorded for the worklist venue (Redwood). [Report tested: also some experiments with the June 2024 release of Claude 3.5 Sonnet.] Report ID suffixed 'b' because REDWOOD-2024-12 is already used in v10 for the stateless-strategizing report. TODO severity ensemble + Channel A/B/C.
REDWOOD-2024-12b-ALI3,REDWOOD-2024-12b,Redwood Research,Non-Profit (Independent),"Alignment Faking in Large Language Models (paper, with Anthropic)",2024-12-18,Alignment,Claude 3 Opus,Post-deployment,https://www.anthropic.com/research/alignment-faking,"In the same conflicted-training setting the model was willing to take a variety of strongly anti-Anthropic actions, including attempting to steal its own weights when given an easy opportunity to do so.","We find that the model will take a variety of strongly anti-Anthropic actions in this situation, such as attempting to steal its own weights when given an easy opportunity to do so.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,"capability-finding, company-published",self-exfiltration; weight-theft; anti-developer-actions; alignment-faking,third-party-evaluator,Joint publication by Anthropic's Alignment Science team and Redwood Research; the cached source is Anthropic's blog post. Institution Type recorded for the worklist venue (Redwood). [Report tested: also some experiments with the June 2024 release of Claude 3.5 Sonnet.] Report ID suffixed 'b' because REDWOOD-2024-12 is already used in v10 for the stateless-strategizing report. TODO severity ensemble + Channel A/B/C.
REDWOOD-2025-04-ALI1,REDWOOD-2025-04,Redwood Research,Non-Profit (Independent),Ctrl-Z: Controlling AI Agents via Resampling (paper),2025-04-14,Alignment,anonymised (adversarially constructed AI agent; trusted/untrusted model pair),N/A,https://arxiv.org/abs/2504.10374,"Redwood ran what it describes as the first control evaluation performed in an agent environment, building BashBench, a dataset of 257 challenging multi-step system administration tasks, and testing whether monitoring and security protocols can stop an adversarially constructed AI agent from covertly downloading and executing malicious code.","Our work presents the first control evaluation performed in an agent environment. We construct BashBench, a dataset of 257 challenging multi-step system administration tasks, and evaluate whether various safety measures can prevent an adversarially constructed AI agent from covertly downloading and executing malicious code in this environment.",,,,,,,,,,,,,,,,,,,,,,,no,,"methodology, anonymised-model",AI-control; BashBench; agentic-evaluation; monitoring; benchmark-construction,third-party-evaluator,"Cached source is the arXiv abstract page; the underlying models are not named there (the 2026 follow-up says Ctrl-Z used GPT-4o-mini and Llama-3.1-8B). The blog version of this paper (blog.redwoodresearch.org/p/ctrl-z-controlling-ai-agents-via, 2025-04-16) reproduces the same abstract and is recorded as a duplicate, not a separate row. TODO severity ensemble + Channel A/B/C."
REDWOOD-2025-04-ALI2,REDWOOD-2025-04,Redwood Research,Non-Profit (Independent),Ctrl-Z: Controlling AI Agents via Resampling (paper),2025-04-14,Alignment,anonymised (adversarially constructed AI agent; trusted/untrusted model pair),N/A,https://arxiv.org/abs/2504.10374,"Resample protocols, which dynamically take additional samples of suspicious actions to block execution and generate incriminating evidence, significantly outperformed existing control techniques: the best protocol combined resampling with analysis of previous steps and cut attack success from 58% to 7% at a 5% cost to the performance of a non-malicious agent.","We measure the tradeoff between attack prevention and usefulness; our best protocol combines resampling with analysis of previous steps, reducing the success rate of attacks from 58% to 7% at a 5% cost to the performance of a non-malicious agent.",,,,,,,,,,,,,,,,,,,,,,,no,,"methodology, anonymised-model",AI-control; resampling; control-protocols; monitoring; safety-usefulness-tradeoff,third-party-evaluator,"The blog version of this paper (blog.redwoodresearch.org/p/ctrl-z-controlling-ai-agents-via, 2025-04-16) reproduces the same abstract and is recorded as a duplicate, not a separate row. TODO severity ensemble + Channel A/B/C."
