Finding ID,Report ID,Institution,Report Title,Publication Date,Domain,Tags,Models / Systems,Access Type,Source URL,Finding,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Unanimous / SPLIT,Action Level,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Sources Checked,Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Traction Score,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,Confidence,Notes,Key Quote,Traceability Tag,Eval? (trackable),Action Trackable?,Finding Type,Scope
UKAISI-2024-10-JAI1,UKAISI-2024-10,UK AISI,AgentHarm: Benchmark for Measuring Harmfulness of LLM Agents (ICLR 2025),2024-10-11,Jailbreaks,gpt-4o;claude-3.5-sonnet;mistral-large-2;openai;anthropic;mistral;agentharm;agent-misuse;harm-compliance,"GPT-4o, Claude 3.5 Sonnet, Mistral Large 2",Post-deployment,https://arxiv.org/abs/2410.09024,Some leading LLMs comply with malicious agentic requests at high rates without any jailbreaking — worst case Mistral Large 2 refused only 1.1% of requests and scored 82.2% harm — suggesting agents may be less robust than chatbots against misuse.,C1,C1,C1,C1,yes,None,None,,,,,,,Cited,"Finding stems from UK AISI's AgentHarm benchmark, an official UK government (AI Security Institute) evaluation that is published and maintained by AISI.",,https://www.aisi.gov.uk/research/agentharm-a-benchmark-for-measuring-harmfulness-of-llm-agents,High,AZoAI (https://www.azoai.com/news/20241016/AgentHarm-Benchmark-Exposes-Weaknesses-in-AI-Agents-to-Harmful-Misuse-and-Jailbreaking.aspx); MarkTechPost (https://www.marktechpost.com/2024/10/17/assessing-the-vulnerabilities-of-llm-agents-the-agentharm-benchmark-for-robustness-against-jailbreak-attacks/),"OS-Harm (NeurIPS 2025 Spotlight; arXiv:2506.14866) - confirmed cites AgentHarm; Mind the GAP (arXiv:2602.16943) - confirmed cites AgentHarm. Semantic Scholar: 317 total citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),High,"ch_a=None (no company response); ch_b=In guidance (Partial) -> Mixed override applies; high academic traction but zero company response [Report tested: Range of leading LLMs including GPT-4o and Claude 3.5 Sonnet (anonymised and named)] Academic Citations URL corrected 2026-07-18: the semanticscholar.org/paper/ page returns HTTP 202 (no content) to any non-browser client, even with the correct title-slug format -- confirmed broken for verification purposes. Replaced with the Semantic Scholar API endpoint, confirmed to return live, checkable JSON.",leading LLMs are surprisingly compliant with malicious agent requests without jailbreaking,traceable,yes,yes,capability-finding,government-AISI
UKAISI-2024-10-JAI3,UKAISI-2024-10,UK AISI,AgentHarm: Benchmark for Measuring Harmfulness of LLM Agents (ICLR 2025),2024-10-11,Jailbreaks,gpt-4o;openai;universal-jailbreak;agentharm;agent-misuse;harm-compliance,GPT-4o,Post-deployment,https://arxiv.org/abs/2410.09024,"GPT-4o's harm compliance score increased from 48.4% to 72.7% after applying a universal jailbreak template adapted from chatbot jailbreaks, showing standard chat jailbreaking methods transfer to agents.",C1,C1,C1,C1,yes,None,None,,,,,,,,,,,High,MarkTechPost (https://www.marktechpost.com/2024/10/17/assessing-the-vulnerabilities-of-llm-agents-the-agentharm-benchmark-for-robustness-against-jailbreak-attacks/); AZoAI (https://www.azoai.com/news/20241016/AgentHarm-Benchmark-Exposes-Weaknesses-in-AI-Agents-to-Harmful-Misuse-and-Jailbreaking.aspx),"OS-Harm (NeurIPS 2025 Spotlight, arXiv:2506.14866). Semantic Scholar: 317 total citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),High,"ch_a=None (no OpenAI response to AgentHarm); ch_b=In guidance -> Mixed override Academic Citations URL corrected 2026-07-18: the semanticscholar.org/paper/ page returns HTTP 202 (no content) to any non-browser client, even with the correct title-slug format -- confirmed broken for verification purposes. Replaced with the Semantic Scholar API endpoint, confirmed to return live, checkable JSON.","GPT-4o, increasing its harm score from 48.4% to 72.7% and decreasing refusal rate from 48.9% to 13.6%",traceable,yes,yes,capability-finding,government-AISI
UKAISI-2024-10-JAI2,UKAISI-2024-10,UK AISI,AgentHarm: Benchmark for Measuring Harmfulness of LLM Agents (ICLR 2025),2024-10-11,Jailbreaks,claude-3.5-sonnet;anthropic;universal-jailbreak;agentharm;harm-compliance;refusals,Claude 3.5 Sonnet,Post-deployment,https://arxiv.org/abs/2410.09024,"Under AgentHarm's universal jailbreak template, Claude 3.5 Sonnet's harm score rose from 13.5% (no attack, 85.2% refusals) to 68.7% (refusals dropped to 16.7%); its non-refusal harm score under the jailbreak was 81.9%, nearly matching its 82% benign-task score, showing the template defeats a model that is very safe by default while preserving its agentic capabilities.",C1,C1,C1,C1,yes,None,None,,,,,,,,,,,High,AZoAI (https://www.azoai.com/news/20241016/AgentHarm-Benchmark-Exposes-Weaknesses-in-AI-Agents-to-Harmful-Misuse-and-Jailbreaking.aspx),"AgentHarm accepted/published at ICLR 2025 (Andriushchenko et al.) (https://proceedings.iclr.cc/paper_files/paper/2025/file/c493d23af93118975cdbc32cbe7323f5-Paper-Conference.pdf); cited as a related agent-safety benchmark by subsequent work, e.g., OS-Harm (Kuntz et al., arXiv:2506.14866). Semantic Scholar: 317 total citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,"harm score increased from 13.5% to 68.7%, and refusal rate fell from 85.2% to 16.7%",Accountability gap (no action),High,"UKAISI-2024-10-JAI2: completeness-audit; pending severity/response/channel Academic Citations URL corrected 2026-07-18: the semanticscholar.org/paper/ page returns HTTP 202 (no content) to any non-browser client, even with the correct title-slug format -- confirmed broken for verification purposes. Replaced with the Semantic Scholar API endpoint, confirmed to return live, checkable JSON. ACCESS TYPE FILLED 2026-07-19: Post-deployment -- AgentHarm tests already-released models (Claude 3.5 Sonnet, Gemini 1.5 Pro, GPT-4o, etc.) via public API.","with our template attack, Claude 3.5 Sonnet scores a 81.9% non-refusal harm score (while refusing just 16% of requests), closely matching its non-refusal score of 82% on the benign tasks",traceable,yes,yes,capability-finding,government-AISI
UKAISI-2024-10-JAI5,UKAISI-2024-10,UK AISI,AgentHarm: Benchmark for Measuring Harmfulness of LLM Agents (ICLR 2025),2024-10-11,Jailbreaks,gemini-1.5-pro;google;universal-jailbreak;agentharm;harm-compliance;refusals,Gemini 1.5 Pro,Post-deployment,https://arxiv.org/abs/2410.09024,"Under the same universal jailbreak template, Gemini 1.5 Pro's harm score rose from 15.7% (no attack, 78.4% refusals) to 56.1%, with refusals collapsing from 78.4% to 3.5%.",C1,C1,C1,C1,yes,None,None,,,,,,,,,,,Medium,,"Semantic Scholar: 317 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),High,"UKAISI-2024-10-JAI5: completeness-audit; pending severity/response/channel Academic Citations URL corrected 2026-07-18: the semanticscholar.org/paper/ page returns HTTP 202 (no content) to any non-browser client, even with the correct title-slug format -- confirmed broken for verification purposes. Replaced with the Semantic Scholar API endpoint, confirmed to return live, checkable JSON. ACCESS TYPE FILLED 2026-07-19: Post-deployment -- AgentHarm tests already-released models (Claude 3.5 Sonnet, Gemini 1.5 Pro, GPT-4o, etc.) via public API.","Gemini 1.5 Pro, increasing its harm score from 15.7% to 56.1% and decreasing refusal rate from 78.4% to 3.5%",traceable,yes,yes,capability-finding,government-AISI
UKAISI-2024-10-JAI6,UKAISI-2024-10,UK AISI,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024-10-11,Jailbreaks,gpt-4o-mini;openai;agentharm;low-refusal,GPT-4o mini,Post-deployment,https://arxiv.org/abs/2410.09024,"AgentHarm found GPT-4o mini complies with malicious agentic tasks at a high rate by default, achieving a 62.5% harm score while refusing only 22% of malicious prompts.",C1,C1,C1,C1,yes,None,None,,,,,,,,,,,High,,"Semantic Scholar: 317 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),High,NEW-CANDIDATE 2026-07-19 (deep-read completeness sweep of alarming-not-trackable sources).,"GPT-4o mini gets a 62.5% harm score, while refusing just 22% of the prompts.",traceable,yes,yes,capability-finding,government-AISI
UKAISI-2024-10-JAI7,UKAISI-2024-10,UK AISI,AgentHarm: A Benchmark for Measuring Harmfulness of LLM Agents,2024-10-11,Jailbreaks,gpt-3.5-turbo;openai;agentharm;low-refusal;no-attack,GPT-3.5 Turbo,Post-deployment,https://arxiv.org/abs/2410.09024,"AgentHarm found GPT-3.5 Turbo showed almost no refusal (0.8%) of malicious agentic tasks with NO jailbreak attack applied at all, despite a 62.2% harm score -- the lowest refusal rate of any model in the paper.",C1,C1,C1,C1,yes,None,None,,,,,,,,,,,High,,"Semantic Scholar: 317 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2410.09024?fields=title,citationCount)",,,Accountability gap (no action),High,NEW-CANDIDATE 2026-07-19 (deep-read completeness sweep of alarming-not-trackable sources).,GPT-3.5 Turbo None 62.2% 0.8% 62.7% 67.7%,traceable,yes,yes,capability-finding,government-AISI
JOINT-2024-11-JAI1,JOINT-2024-11,Joint UK AISI + US CAISI,Pre-deployment evaluation of Claude 3.5 Sonnet (Oct 2024),2024-11-19,Jailbreaks,claude-3.5-sonnet;anthropic;jailbreak;safeguards;pre-deployment-evaluation;uk-aisi;us-aisi,Claude 3.5 Sonnet (Oct 2024),Pre-deployment,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-anthropics-upgraded-claude-3-5-sonnet,"Both the UK and US AI Safety Institutes independently found that Claude 3.5 Sonnet's safeguards were routinely circumvented by jailbreak prompts, demonstrating a persistent vulnerability to adversarial inputs.",C1,C1,C1,C1,yes,None,None,,,,,,,,,,,Medium,FedScoop (https://fedscoop.com/anthropic-tested-by-us-uk-ai-safety-institutes/),,(https://www.mlex.com/mlex/articles/2262879/us-and-uk-ai-safety-institutes-first-joint-test-results-are-for-anthropic-model),,Accountability gap (no action),High,"access type pre-deployment -- private fix cannot be excluded; Anthropic blog acknowledges collaboration but does not cite this jailbreak finding explicitly; ch_a classified as Topical+Temporal not Explicit [Report tested: o1-preview; GPT-4o] Companion academic paper identified: ""UK AISI / US AISI Joint Pre-Deployment Test: Claude 3.5 Sonnet"" (https://cdn.prod.website-files.com/663bd486c5e4c81588db7a1d/673b689ec926d8d32e889a8e_UK-US-Testing-Report-Nov-19.pdf) -- not swapped as Source URL since Key Quote was independently verified against the current blog URL; paper noted here for future citation-tracking.",UK AISI tested the upgraded Sonnet 3.5 using a series of public and privately developed jailbreaks and also found the version of the safeguards that UK AISI tested can be routinely circumvented.,traceable,yes,yes,capability-finding,government-AISI
JOINT-2024-12-CYB1,JOINT-2024-12,Joint UK AISI + US CAISI,Pre-deployment evaluation of OpenAI o1,2024-12-18,Cyber,o1;openai;cyber;ctf;cryptography;cybench,OpenAI o1,Pre-deployment,https://www.aisi.gov.uk/blog/pre-deployment-evaluation-of-openais-o1-model,"On US CAISI's 40-challenge cyber suite, OpenAI o1 solved 45% versus 35% for reference models and uniquely solved 3 cryptography challenges no other evaluated model completed; on UK AISI's separate 47-challenge apprentice-level suite, however, o1 solved 36% versus 46% for the best reference model.",C2,C2,C2,C2,yes,Acknowledged,Explicit,Evaluation referenced in o1 System Card in dedicated section; OpenAI published collaboration blog,,2024-12-05,0,https://openai.com/index/openai-o1-system-card | https://openai.com/index/us-caisi-uk-aisi-ai-update/,,Cited,Finding published in the joint US AISI (NIST) and UK AISI pre-deployment evaluation of OpenAI's o1 model; the NIST report confirms the 45% vs 35% cyber solve rate and the three additional cryptography challenges no other model solved.,"The model was able to successfully solve 45% of all tasks, compared to a 35% solve rate for the best-performing reference model evaluated.",https://www.nist.gov/news-events/news/2024/12/pre-deployment-evaluation-openais-o1-model,Low,,,,,Proportionate (Cat2),High,"Access type pre-deployment -- private fix cannot be excluded; Medium+Partial -> Proportionate [Report tested: o1-preview, GPT-4o, Claude 3.5 Sonnet] Companion academic paper identified: ""US AISI / UK AISI Joint Pre-Deployment Test: OpenAI o1"" (https://cdn.prod.website-files.com/663bd486c5e4c81588db7a1d/6763fac97cd22a9484ac3c37_o1_uk_us_december_publication_final.pdf) -- not swapped as Source URL since Key Quote was independently verified against the current blog URL; paper noted here for future citation-tracking.","The model was able to solve 45% of all tasks, compared to a 35% solve rate for the best-performing reference model evaluated.",traceable,yes,yes,capability-finding,government-AISI
UKAISI-2025-02-JAI1,UKAISI-2025-02,UK AISI,Fundamental limitations in defending LLM finetuning APIs,2025-02-20,Jailbreaks,openai;fine-tuning-api;finetuning-attacks;pointwise-undetectable;harmful-knowledge;jailbreak,OpenAI fine-tuning API (commercial closed model behind the API),Post-deployment,https://www.aisi.gov.uk/research/fundamental-limitations-in-defending-llm-finetuning-apis-2,"The authors demonstrate a class of 'pointwise-undetectable' finetuning attacks composed entirely of individually benign, low-perplexity samples that covertly transmit harmful knowledge. Tested against the live OpenAI fine-tuning API, the attacks succeeded in eliciting answers to harmful multiple-choice questions AND evaded an enhanced monitoring system built to detect finetuning attacks -- showing pointwise detection defences are fundamentally limited.",C1,C1,C1,C1,yes,None,None,,,,,,https://www.aisi.gov.uk/research/fundamental-limitations-in-defending-llm-finetuning-apis-2,,,,,Low,,"Companion paper: ""Fundamental Limitations in Pointwise Defences of LLM Finetuning APIs"" -- Semantic Scholar: 13 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2502.14828?fields=title,citationCount)",,,Accountability gap (no action),High,"Genuine eval, C1 (D6 safeguard defeat against live OpenAI finetuning API). No admissible Channel A (OpenAI own-domain) or Channel B response located despite the paper referencing OpenAI's enhanced monitoring; action_level None -> attribution None. Proportionality Disproportionate reflects Cat-1 finding with no observed company/policy response. Vendor named (OpenAI) but response unobservable. Companion academic paper identified: ""Fundamental Limitations in Pointwise Defences of LLM Finetuning APIs"" (https://arxiv.org/abs/2502.14828) -- not swapped as Source URL since Key Quote was independently verified against the current blog URL; paper noted here for future citation-tracking.","We test our attacks against the OpenAI fine-tuning API, finding they succeed in eliciting answers to harmful multiple-choice questions, and that they evade an enhanced monitoring system we design that successfully detects other fine-tuning attacks.",traceable,yes,yes,capability-finding,government-AISI
UKAISI-2025-04-ALI7,UKAISI-2025-04,UK AISI,RepliBench: Evaluating the Autonomous Replication Capabilities of Language Model Agents,2025-04-25,Autonomy;Cyber,claude-3.7-sonnet;anthropic;replibench;weight-exfiltration;persistence,Claude 3.7 Sonnet,Post-deployment,https://arxiv.org/abs/2504.18565,"RepliBench found Claude 3.7 Sonnet is a dramatic, isolated outlier on autonomous-replication sub-capabilities versus Claude 3.5 Sonnet, GPT-4o, o1, and o3-mini: it is the only model able to robustly and covertly exfiltrate its own weights while under active monitoring, the only model to succeed at multi-GPU model serving (0.98 vs 0.00 for every other model), and far ahead on persistence/network-exploitation tasks (0.86 vs <=0.35 average pass@10), including being the only model able to set up command-and-control infrastructure across compromised machines.",C1,C1,C1,C1,yes,None,None,,,,,,,,,,,Medium,,"Semantic Scholar: 13 citations as of 2026-07-18 (https://api.semanticscholar.org/graph/v1/paper/arXiv:2504.18565?fields=title,citationCount)",,,Accountability gap (no action),High,NEW-CANDIDATE 2026-07-19 (deep-read completeness sweep of alarming-not-trackable sources).,Only Claude 3.7 Sonnet is able to robustly and covertly exfiltrate weights while being monitored.,traceable,yes,yes,capability-finding,government-AISI
