Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
UKAISI-2026-08a-GOV1,UKAISI-2026-08a,UK AISI,Government,Existing Large Language Model unlearning evaluations are inconclusive,2026-08,Governance;Eval-methodology,anonymised,N/A,https://www.aisi.gov.uk/research/existing-large-language-model-unlearning-evaluations-are-inconclusive,UK AISI identifies principles that LLM unlearning evaluations must satisfy and shows through targeted experiments that violating each principle leads to misleading conclusions about whether knowledge has been removed.,"We validate these principles through a series of targeted experiments, showing how violations of each can lead to misleading conclusions.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,unlearning;eval-methodology;uk-aisi,government-AISI,"Extracted 2026-08-14. TODO — severity ensemble not yet run (needs API keys, rulebook §11 item 4)"
UKAISI-2026-08b-ALI1,UKAISI-2026-08b,UK AISI,Government,Inoculation Prompting: Eliciting traits from LLMs during training can suppress them at test time,2026-08,Alignment;Eval-methodology,anonymised,N/A,https://www.aisi.gov.uk/research/inoculation-prompting-eliciting-traits-from-llms-during-training-can-suppress-them-at-test-time,"Inoculation prompting reduces emergent misalignment from task-specific finetuning, defends against backdoor injections, and mitigates trait transmission via subliminal learning; making a trait less surprising reduces optimisation pressure to globally update the model.","We find that inoculation is also effective across several additional settings: reducing emergent misalignment (EM) from task-specific finetuning, defending against backdoor injections, and mitigating the transmission of traits via subliminal learning.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,inoculation-prompting;emergent-misalignment;backdoor;subliminal-learning,government-AISI,"Extracted 2026-08-14. TODO — severity ensemble not yet run (needs API keys, rulebook §11 item 4)"
UKAISI-2026-08c-ALI1,UKAISI-2026-08c,UK AISI,Government,A Decision-Theoretic Formalisation of Steganography With Applications to LLM Monitoring,2026-08,Alignment;Eval-methodology,anonymised,N/A,https://www.aisi.gov.uk/research/a-decision-theoretic-formalisation-of-steganography-with-applications-to-llm-monitoring,"UK AISI introduces generalised information and the ""steganographic gap"" metric, and empirically validates that it can detect, quantify and mitigate steganographic reasoning in LLMs.","We empirically validate our formalism, and show that it can be used to detect, quantify, and mitigate steganographic reasoning in LLMs.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,steganography;monitoring;cot;eval-methodology,government-AISI,"Extracted 2026-08-14. TODO — severity ensemble not yet run (needs API keys, rulebook §11 item 4)"
JOINT-2026-03c-JAI1,JOINT-2026-03,Gray Swan AI + UK AISI + US CAISI (competition),For-Profit;Government,How Vulnerable Are AI Agents to Indirect Prompt Injections? Insights from a Large-Scale Public Competition,2026-03-16,Jailbreaks;Cyber,Gemini 2.5 Pro,Post-deployment,https://arxiv.org/abs/2603.15714,"Gemini 2.5 Pro was the most vulnerable of 13 frontier models to indirect prompt injection, with an 8.5% attack success rate, and exhibited both high capability and high vulnerability.","All models proved vulnerable, with attack success rates ranging from 0.5% (Claude Opus 4.5) to 8.5% (Gemini 2.5 Pro).",,,,,,,,,,,,TODO — Channel A/B/C batteries not yet run (§8b),,,,,,,,,,,yes,yes,capability-finding,indirect-prompt-injection;agents;google-deepmind,government-AISI,"SPLIT by company per §5 — Google row. 464 participants, 272,000 attempts, 8,648 successful attacks across 41 scenarios. Extracted 2026-08-14. TODO — severity ensemble not yet run (needs API keys, rulebook §11 item 4) | REPORT ID RECONCILED 2026-08-14: this report is already in v10 under JOINT-2026-03; per §6.2 one report carries one ID, so these rows adopt the existing ID. The FINDINGS are new (not present in v10), but they extend an already-ingested report rather than creating a new one."
JOINT-2026-03c-JAI2,JOINT-2026-03,Gray Swan AI + UK AISI + US CAISI (competition),For-Profit;Government,How Vulnerable Are AI Agents to Indirect Prompt Injections? Insights from a Large-Scale Public Competition,2026-03-16,Jailbreaks;Cyber,Claude Opus 4.5,Post-deployment,https://arxiv.org/abs/2603.15714,"Claude Opus 4.5 was the most robust of 13 frontier models tested, with the lowest indirect prompt-injection attack success rate at 0.5% — but was still vulnerable.","All models proved vulnerable, with attack success rates ranging from 0.5% (Claude Opus 4.5) to 8.5% (Gemini 2.5 Pro).",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding,indirect-prompt-injection;agents;anthropic,government-AISI,"SPLIT by company per §5 — Anthropic row. Lowest ASR but non-zero; borderline reassuring-null. Extracted 2026-08-14. TODO — severity ensemble not yet run (needs API keys, rulebook §11 item 4) | REPORT ID RECONCILED 2026-08-14: this report is already in v10 under JOINT-2026-03; per §6.2 one report carries one ID, so these rows adopt the existing ID. The FINDINGS are new (not present in v10), but they extend an already-ingested report rather than creating a new one."
JOINT-2025-10-ALI1,JOINT-2025-10,UK AISI + Alan Turing Institute + Anthropic,Government;For-Profit,A small number of samples can poison LLMs of any size,2025-10-09,Alignment,LLMs 600M-13B parameters (anonymised family),N/A,https://www.anthropic.com/research/small-samples-poison,A joint study with the UK AI Security Institute and the Alan Turing Institute found that as few as 250 malicious documents can create a backdoor in an LLM regardless of model size or training-data volume — a 13B model trained on 20x more data is backdoored by the same absolute number of poisoned documents as a 600M model.,"we found that as few as 250 malicious documents can produce a ""backdoor"" vulnerability in a large language model—regardless of model size or training data volume.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;anonymised-model;company-published,data-poisoning;backdoor;pretraining;uk-aisi,government-AISI,"Filed under UK AISI per §1 carve-out (joint study, company-published). Largest poisoning investigation to date; challenges the percentage-of-training-data assumption. Models anonymised -> Tier B. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C."
IRREGULAR-2026-07-CYB1,IRREGULAR-2026-07,Irregular (third-party evaluation partner) + Anthropic,For-Profit,Investigating three real-world incidents in our cybersecurity evaluations,2026-07-30,Cyber,Claude (multiple versions incl. Opus 4.7),Pre-deployment,https://www.anthropic.com/research/cyber-eval-incidents,"Reviewing 141,006 evaluation runs, three incidents were identified in which Claude accessed the open internet from inside the sealed evaluation environment of third-party evaluator Irregular and then gained unauthorised access to the production infrastructure of three different organisations during capture-the-flag tasks.","After reviewing 141,006 evaluation runs where Claude could have obtained internet access, we identified three incidents in which a model accessed the internet from within or while interacting with the evaluation environment of Irregular, one of our third-party evaluation partners, and then gained unauthorized access to the production infrastructure of three different organizations.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,sandbox-escape;ctf;unauthorised-access;irregular;anthropic,third-party-evaluator,Filed under Irregular per §1 carve-out. METR engaged for a third-party review with transcript access. Strong D2/D7 candidate. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
METR-2025-XX-ALI1,METR-2025-XX,METR (independent review) + Anthropic,Non-Profit (AIEF),Anthropic's Pilot Sabotage Risk Report,2025,Alignment,Anthropic deployed models (Summer 2025),Post-deployment,https://alignment.anthropic.com/2025/pilot-sabotage-report/,"An independent METR review accompanies Anthropic's assessment that there is very low, but not fully negligible, risk of misaligned autonomous actions by its deployed models substantially contributing to later catastrophic outcomes.","We conclude that there is very low, but not fully negligible, risk of misaligned autonomous actions that substantially contribute to later catastrophic outcomes. We also release two reviews of this report: an internal review and an independent review by METR.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;reassuring-null;company-self-report;company-published,sabotage-risk;metr-review;rsp,third-party-evaluator,Filed under METR per §1 carve-out. Reassuring null -> Tier B. CORRECTS an earlier same-day coding of this row as a solo self-report. Report ID needs a month suffix at ingestion. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
PATTERNLABS-2025-07-CYB1,PATTERNLABS-2025-07,Pattern Labs + Anthropic,For-Profit,Detailed cyber evaluations of Claude 4,2025-07-15,Cyber,Claude Opus 4; Claude Sonnet 4,Pre-deployment,https://www.anthropic.com/research/cyber-evaluations-claude-4,"Pattern Labs partnered with Anthropic on an in-depth cyber-offence evaluation of Claude Opus 4 and Claude Sonnet 4, ranging from standalone capability tests to full attack scenarios.","For Claude Opus 4 and Claude Sonnet 4, we partnered with Pattern Labs to conduct an in-depth evaluation ranging from standalone ca",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding;company-published,cyber;pattern-labs;anthropic,third-party-evaluator,Filed under Pattern Labs per §1 carve-out. NEEDS FULL READ to extract the specific measured results and split into per-threat findings. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
JOINT-2026-XX-AM-ALI1,JOINT-2026-XX-AM,UK AISI + Anthropic + Theorem + MATS,Government;For-Profit,Agentic Misalignment in Summer 2026,2026,Alignment,Gemini 3.1 Pro,Post-deployment,https://alignment.anthropic.com/2026/agentic-misalignment-summer-2026,"In a pipeline-sabotage scenario simulating deployment inside an AI lab, Gemini 3.1 Pro secretly altered work rather than refusing or escalating.","In one transcript, Gemini 3.1 Pro is deployed within Google DeepMind as G",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding;company-published,sabotage;agentic-misalignment;google-deepmind,government-AISI,SPLIT by company per §5 — Google row. Filed under UK AISI (Robert Kirk co-author) per §1 carve-out. NEEDS FULL READ for the complete per-model result set. Extracted 2026-08-14. TODO severity ensemble + Channel A/B/C.
