Finding ID,Report ID,Institution,Institution Type,Report Title ,Publication Date,Domain,Models / Systems,Access Type,Source URL,Finding,Finding Quote,Severity (C1/C2) majority,Sonnet5 vote,GPT-5.5 vote,Gemini3.1 vote,Attribution,Company Response,Channel A Verbatim,Response Date,Lag (days),Channel A Evidence,Action Level,Sources Checked (channel A),Policy Level,Policy Response,Channel B Verbatim,Channel B Evidence,Media Outlets,Academic Citations,Social Highlights,Channel C Verbatim,Proportionality,,Eval? (trackable),Action Trackable?,Finding Type,Tags,Scope,Notes
SHANGHAIAILAB-2025-04-SOC1,SHANGHAIAILAB-2025-04,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),Building intelligence identification system via large language model watermarking: a survey and beyond (Artificial Intelligence Review),2025-04,Societal / content provenance,N/A (survey and evaluation of published LLM watermarking algorithms),N/A,https://research.ai45.shlab.org.cn/Blog_pics/94-Building%20intelligence%20identification%20system%20via%20large%20language%20model%20watermarking%20a%20survey%20and%20beyond.pdf,"Scoring published LLM watermarking algorithms against the ten evaluation dimensions the authors define, the team finds none covers them all - methods such as Yoo et al. (2024) and Li et al. (2023) score well on accuracy and AUROC but fall short on robustness and imperceptibility - and argues existing watermark evaluation tools need extending to cover all ten.",current watermarking algorithms do not fully address all ten dimensions that an ideal watermarking algorithm should encompass.,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"watermarking, provenance, evaluation-metrics, survey",third-party-evaluator,"Primarily a survey; only the authors' own framework, metric analysis (Table 4) and experiments are treated as findings. TODO severity ensemble + Channel A/B/C."
SHANGHAIAILAB-2025-04-SOC2,SHANGHAIAILAB-2025-04,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),Building intelligence identification system via large language model watermarking: a survey and beyond (Artificial Intelligence Review),2025-04,Societal / content provenance,"Three multi-bit watermarking schemes (Cyclic-Shift hash, MPAC, CTWL), with LLaMA-2-13B as the perplexity oracle",N/A,https://research.ai45.shlab.org.cn/Blog_pics/94-Building%20intelligence%20identification%20system%20via%20large%20language%20model%20watermarking%20a%20survey%20and%20beyond.pdf,"In the authors' own experiments on three multi-bit watermarking schemes, success rate, text quality (perplexity) and information density (bits per word) trade off against each other: at fixed information density, better text quality comes with lower extraction success rate, and lowering information density improves both other metrics.","a trade-off exists between text quality, watermark success rate, and information density. At the same information density, achieving better text quality often results in a decreased success rate.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"watermarking, multi-bit, text-quality, information-density",third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SHANGHAIAILAB-2024-02-ALI1,SHANGHAIAILAB-2024-02B,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),Towards Tracing Trustworthiness Dynamics: Revisiting Pre-training Period of Large Language Models (ACL 2024 Findings),2024-02,Alignment,"LLM360 Amber pre-training checkpoints (360 checkpoints), plus AmberChat and AmberSafe",N/A,https://arxiv.org/pdf/2402.19465,"Linear probing across 360 LLM360 Amber pre-training checkpoints shows LLMs already encode linearly separable representations of reliability, privacy, toxicity, fairness and robustness early in pre-training, and mutual-information probing reveals a two-phase fitting-then-compression dynamic over the pre-training period.",The high probing accuracy suggests that LLMs in early pre-training can already distinguish concepts in each trustworthiness dimension.,,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; non-frontier,"probing, pre-training-dynamics, trustworthiness, mutual-information",third-party-evaluator,Report ID suffixed 'B' because SHANGHAIAILAB-2024-02 is already used by SALAD-Bench in v10. TODO severity ensemble + Channel A/B/C.
SHANGHAIAILAB-2024-02-ALI2,SHANGHAIAILAB-2024-02B,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),Towards Tracing Trustworthiness Dynamics: Revisiting Pre-training Period of Large Language Models (ACL 2024 Findings),2024-02,Alignment,LLM360 Amber pre-training checkpoints,N/A,https://arxiv.org/pdf/2402.19465,"The authors show pre-training checkpoints can be used as an alignment resource: steering vectors extracted from them improve the trustworthiness of the fully pre-trained model, a technique not available if only the final checkpoint is studied.",we extract steering vectors from a LLM's pre-training checkpoints to enhance the LLM's trustworthiness.,,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"steering-vectors, alignment-technique, pre-training-checkpoints",third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SHANGHAIAILAB-2025-07-JAI1,SHANGHAIAILAB-2025-07A,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),Visual Contextual Attack: Jailbreaking MLLMs with Image-Driven Context Injection (EMNLP 2025),2025-07,Jailbreaks,GPT-4o and GPT-4o-mini (OpenAI),Post-deployment,https://arxiv.org/pdf/2507.02844,"The VisCo vision-centric jailbreak reached an average attack success rate of 85.00% on GPT-4o and 86.13% on GPT-4o-mini on MM-SafetyBench (gains of 62.80 and 62.56 percentage points over the QR Attack baseline), with a toxicity score of 4.78 on GPT-4o versus 2.48 for the baseline; on SafeBench-Tiny, GPT-4o's ASR rose from 12% under the original FigStep attack to 76% under VisCo.","In terms of average ASR, VisCo Attack achieves 85.00%, 86.13%, 91.07%, and 89.88% on GPT-4o, GPT-4o-mini, Gemini-2.0-Flash, and InternVL2.5-78B, respectively, corresponding to absolute gains of 62.80, 62.56, 60.00, and 55.83 percentage points (pp) over QR Attack.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,"multimodal-jailbreak, mm-safetybench, context-injection, black-box",third-party-evaluator,"Report ID suffixed 'A' to disambiguate four Shanghai AI Lab reports dated 2025-07. [Report tested: Qwen2.5-VL-72B-Instruct as an additional target, 64% ASR under the FigStep baseline.] TODO severity ensemble + Channel A/B/C."
SHANGHAIAILAB-2025-07-JAI2,SHANGHAIAILAB-2025-07A,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),Visual Contextual Attack: Jailbreaking MLLMs with Image-Driven Context Injection (EMNLP 2025),2025-07,Jailbreaks,Gemini-2.0-Flash (Google),Post-deployment,https://arxiv.org/pdf/2507.02844,"The VisCo vision-centric jailbreak reached an average attack success rate of 91.07% against Gemini-2.0-Flash on MM-SafetyBench, 60.00 percentage points above the QR Attack baseline, with toxicity scores above 4.5 in every case.","In terms of average ASR, VisCo Attack achieves 85.00%, 86.13%, 91.07%, and 89.88% on GPT-4o, GPT-4o-mini, Gemini-2.0-Flash, and InternVL2.5-78B, respectively, corresponding to absolute gains of 62.80, 62.56, 60.00, and 55.83 percentage points (pp) over QR Attack.",,,,,,,,,,,,,,,,,,,,,,,yes,yes,capability-finding,"multimodal-jailbreak, mm-safetybench, context-injection, black-box",third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SHANGHAIAILAB-2025-07-JAI3,SHANGHAIAILAB-2025-07A,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),Visual Contextual Attack: Jailbreaking MLLMs with Image-Driven Context Injection (EMNLP 2025),2025-07,Jailbreaks,InternVL2.5-78B (OpenGVLab / Shanghai AI Laboratory),Post-deployment,https://arxiv.org/pdf/2507.02844,"The VisCo jailbreak reached an average attack success rate of 89.88% against the open-weight InternVL2.5-78B on MM-SafetyBench, 55.83 percentage points above the QR Attack baseline.","In terms of average ASR, VisCo Attack achieves 85.00%, 86.13%, 91.07%, and 89.88% on GPT-4o, GPT-4o-mini, Gemini-2.0-Flash, and InternVL2.5-78B, respectively, corresponding to absolute gains of 62.80, 62.56, 60.00, and 55.83 percentage points (pp) over QR Attack.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-finding; company-self-report,"multimodal-jailbreak, open-weights, mm-safetybench",third-party-evaluator,"InternVL is developed by OpenGVLab/Shanghai AI Laboratory, so this is the evaluator testing an in-house model. TODO severity ensemble + Channel A/B/C."
SHANGHAIAILAB-2024-06-HUM1,SHANGHAIAILAB-2024-06A,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),ESC-Eval: Evaluating Emotion Support Conversations in Large Language Models (EMNLP 2024),2024-06,Human Influence / emotional support,"14 LLMs used as emotion-support models, including general assistants (e.g. ChatGPT, Llama3) and ESC-oriented models (e.g. ExTES-Llama); evaluated in aggregate",Post-deployment,https://arxiv.org/pdf/2406.14952,"Interacting 14 LLMs with a trained role-playing agent (ESC-Role) over 2,801 role cards and manually annotating the multi-turn dialogues, the team found ESC-oriented LLMs outperform general-purpose assistants at emotional support but all remain below human performance.","exhibit superior ESC abilities compared to general AI-assistant LLMs, but there is still a gap behind human performance",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-trend; anonymised-model,"emotional-support, mental-health, role-play-evaluation, human-comparison",third-party-evaluator,Report ID suffixed 'A' to disambiguate two Shanghai AI Lab reports dated 2024-06. Aggregate finding across 14 models; per-model scores are in the paper's tables and were not extracted. TODO severity ensemble + Channel A/B/C.
SHANGHAIAILAB-2024-06-HUM2,SHANGHAIAILAB-2024-06A,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),ESC-Eval: Evaluating Emotion Support Conversations in Large Language Models (EMNLP 2024),2024-06,Governance / evaluation methodology,ESC-Role role-playing evaluator and ESC-RANK automatic scorer,N/A,https://arxiv.org/pdf/2406.14952,"The team built an interactive evaluation pipeline for emotional-support conversation - a role-playing model (ESC-Role) driven by 2,801 reorganised role cards, followed by human annotation - and trained ESC-RANK on 59,654 manual evaluation results, reporting scoring performance that surpasses GPT-4 by 35 points.","we developed ESC-RANK, which trained on the annotated data, achieving a scoring performance surpassing 35 points of GPT-4.",,,,,,,,,,,,,,,,,,,,,,,no,,methodology,"role-play-agent, automatic-judge, esc-rank, evaluation-pipeline",third-party-evaluator,TODO severity ensemble + Channel A/B/C.
SHANGHAIAILAB-2024-06-AUT1,SHANGHAIAILAB-2024-06B,Shanghai AI Laboratory (AI45 Lab),Non-Profit (Independent),CELLO: Causal Evaluation of Large Vision-Language Models (EMNLP),2024-06,Autonomy / embodied reasoning,"GPT-4o, Gemini-1.5-Pro, Claude-3-opus, Claude-3-sonnet, plus BLIP-2, LLaVA-Mistral, BakLlava, LLaVA-Vicuna, MiniCPM-Llama3-V-2.5 and Qwen-VL (aggregate)",Post-deployment,https://arxiv.org/pdf/2406.19131v1,"On CELLO's 14,094 causal questions spanning discovery, association, intervention and counterfactual levels, no LVLM without CELLO-CoT prompting exceeded 0.5 accuracy on multiple-choice questions; GPT-4o was best overall at 0.59 while Claude-3-sonnet and BLIP-2 scored 0.49 on binary questions, below the 0.5 random baseline.","Notably, their scores on binary questions (0.49) fail to surpass the random baseline of 0.5, indicating significant deficiencies in their causal reasoning abilities.",,,,,,,,,,,,,,,,,,,,,,,yes,no,capability-trend,"causal-reasoning, vision-language, benchmark, embodied-agents",third-party-evaluator,"Aggregate capability-trend row rather than per-company rows; per-model numbers are in Table 2 (GPT-4o 0.59, Gemini-1.5-Pro 0.54, Claude-3-opus 0.52, Claude-3-sonnet 0.40, BLIP-2 0.30 overall). Report ID suffixed 'B' to disambiguate two Shanghai AI Lab reports dated 2024-06. Borderline scope: capability benchmark rather than safety evaluation. TODO severity ensemble + Channel A/B/C."
